candidate_label,ledger_view,n_threshold,skip_event_count,skipped_trade_count,skipped_winner_count,skipped_loser_count,skipped_top1_count,skipped_top3_count,skipped_top5_count,skipped_top10_count,terminal_value,cagr,sharpe,delta_terminal_value,delta_cagr,delta_sharpe,delta_sharpe_pct,verdict
LATCH,unit_size,2,13,13,7,6,0,0,0,2,48039.01,27.309445,0.665929,-45057.8,-13.641143,-0.15861,-19.2362,HARMFUL
LATCH,native,3,6,6,4,2,0,0,0,2,21765.45,12.710468,0.686904,-2431.81,-1.851625,-0.137634,-16.6923,HARMFUL
LATCH,unit_size,3,6,6,4,2,0,0,0,2,55457.8,30.153483,0.686904,-37639.01,-10.797106,-0.137634,-16.6923,HARMFUL
LATCH,native,4,1,1,0,1,0,0,0,0,24449.63,14.745116,0.850986,252.38,0.183024,0.026447,3.2075,NEUTRAL
LATCH,unit_size,4,1,1,0,1,0,0,0,0,101905.85,42.924787,0.850986,8809.04,1.974199,0.026447,3.2075,NEUTRAL
LATCH,native,5,1,1,0,1,0,0,0,0,24341.57,14.666947,0.836702,144.32,0.104855,0.012164,1.4753,NEUTRAL
LATCH,unit_size,5,1,1,0,1,0,0,0,0,97001.73,41.844412,0.836702,3904.92,0.893823,0.012164,1.4753,NEUTRAL
E0_plus_EMA1D21,native,2,30,30,15,15,0,0,0,3,165279.09,53.96363,0.98049,-88162.33,-10.466413,-0.194511,-16.5541,HARMFUL
E0_plus_EMA1D21,unit_size,2,30,30,15,15,0,0,0,3,138356.24,49.809125,0.98049,-239196.04,-25.019225,-0.194511,-16.5541,HARMFUL
E0_plus_EMA1D21,native,3,12,12,5,7,0,0,0,1,225317.19,61.481288,1.147609,-28124.23,-2.948755,-0.027391,-2.3312,NEUTRAL
E0_plus_EMA1D21,unit_size,3,12,12,5,7,0,0,0,0,331889.55,71.395341,1.147609,-45662.73,-3.43301,-0.027391,-2.3312,NEUTRAL
E0_plus_EMA1D21,native,4,7,7,2,5,0,0,0,0,247427.77,63.823682,1.136881,-6013.65,-0.60636,-0.038119,-3.2441,NEUTRAL
E0_plus_EMA1D21,unit_size,4,7,7,2,5,0,0,0,0,318023.26,70.27368,1.136881,-59529.01,-4.554671,-0.038119,-3.2441,NEUTRAL
E0_plus_EMA1D21,native,5,5,5,1,4,0,0,0,0,260235.72,65.100639,1.203508,6794.3,0.670597,0.028508,2.4262,NEUTRAL
E0_plus_EMA1D21,unit_size,5,5,5,1,4,0,0,0,0,417658.47,77.5649,1.203508,40106.19,2.73655,0.028508,2.4262,NEUTRAL
E5_plus_EMA1D21,native,2,33,33,19,14,0,0,0,3,182596.36,56.342017,1.018266,-138303.74,-14.167729,-0.251886,-19.8312,HARMFUL
E5_plus_EMA1D21,unit_size,2,33,33,19,14,0,0,0,3,118953.69,46.36686,1.018266,-378512.58,-36.039745,-0.251886,-19.8312,HARMFUL
E5_plus_EMA1D21,native,3,12,12,3,9,0,0,0,1,298709.94,68.640347,1.277811,-22190.16,-1.869399,0.007659,0.603,NEUTRAL
E5_plus_EMA1D21,unit_size,3,12,12,3,9,0,0,0,0,499012.22,82.493699,1.277811,1545.95,0.087094,0.007659,0.603,NEUTRAL
E5_plus_EMA1D21,native,4,8,8,2,6,0,0,0,0,315599.32,70.073369,1.234676,-5300.78,-0.436377,-0.035476,-2.793,NEUTRAL
E5_plus_EMA1D21,unit_size,4,8,8,2,6,0,0,0,0,421103.71,77.78946,1.234676,-76362.57,-4.617146,-0.035476,-2.793,NEUTRAL
E5_plus_EMA1D21,native,5,6,6,2,4,0,0,0,0,326166.8,70.937318,1.295741,5266.7,0.427571,0.025589,2.0147,NEUTRAL
E5_plus_EMA1D21,unit_size,5,6,6,2,4,0,0,0,0,541692.82,84.812458,1.295741,44226.54,2.405853,0.025589,2.0147,NEUTRAL
