trade_id,exit_time,entry_price,exit_price,peak_price,peak_profit_pct,return_pct,mult_used,tightened,atr_at_exit,atr_pct,atr_compressed,trail_dist_pct,in_noise_zone,compression,continuation_pct,continuation_high_pct,is_false_exit,forgone_pct,regime,days_held
32,2021-01-11T08:00:00Z,18464.89,34353.35,41950.0,127.19,86.05,2.5,True,2182.16,6.348,False,13.005,False,MULT_ONLY,6.0,6.62,True,6.62,BULL,30.17
33,2021-01-20T04:00:00Z,36441.45,35043.21,40100.0,10.04,-3.84,3.5,False,1325.8,3.781,True,11.572,True,ATR_ONLY,1.81,2.56,False,2.56,BULL,6.5
34,2021-02-07T16:00:00Z,35271.67,37900.27,40955.51,16.11,7.45,3.5,False,1115.59,2.942,True,9.534,True,ATR_ONLY,25.34,27.02,True,27.02,BULL,15.5
35,2021-02-23T04:00:00Z,47566.65,51872.19,58352.8,22.68,9.05,2.5,True,2077.15,4.002,False,8.899,True,MULT_ONLY,-1.92,0.85,False,0.85,BULL,14.5
36,2021-03-16T04:00:00Z,51672.03,54242.81,61844.0,19.69,4.98,3.5,False,1792.88,3.303,False,10.147,False,NONE,9.75,9.95,True,9.95,BULL,14.17
37,2021-04-17T16:00:00Z,58198.75,60231.51,64854.0,11.44,3.49,3.5,False,1189.34,1.974,False,6.419,False,NONE,0.79,1.2,False,1.2,BULL,28.0
38,2021-05-05T00:00:00Z,51475.14,53175.79,58981.44,14.58,3.3,3.5,False,1392.82,2.618,True,8.265,True,ATR_ONLY,9.05,9.75,True,9.75,BULL,9.83
41,2021-08-19T04:00:00Z,42549.14,44022.75,48144.0,13.15,3.46,3.5,False,1006.54,2.285,False,7.317,True,NONE,12.04,12.23,True,12.23,BULL,19.17
42,2021-08-26T12:00:00Z,47462.88,46810.14,50500.0,6.4,-1.38,3.5,False,921.36,1.967,True,6.386,True,ATR_ONLY,4.83,5.32,True,5.32,BULL,6.67
43,2021-09-08T04:00:00Z,48660.64,46424.86,52920.0,8.75,-4.59,3.5,False,1342.55,2.89,False,8.879,False,NONE,1.24,2.1,False,2.1,SHOCK,11.5
44,2021-09-20T08:00:00Z,45068.75,44805.36,48843.2,8.37,-0.58,3.5,False,890.27,1.986,False,6.379,True,NONE,-2.13,1.09,False,1.09,BULL,9.0
45,2021-10-22T00:00:00Z,43662.0,62158.95,67000.0,53.45,42.36,2.5,True,1514.51,2.435,False,5.651,True,MULT_ONLY,1.96,2.53,False,2.53,BULL,29.33
46,2021-11-12T12:00:00Z,62611.83,63718.13,69000.0,10.2,1.77,3.5,False,1267.62,1.988,False,6.43,True,NONE,2.83,2.88,False,2.88,BULL,18.33
49,2021-12-28T20:00:00Z,48787.83,47663.23,52088.0,6.76,-2.31,3.5,False,885.81,1.857,True,5.952,True,ATR_ONLY,0.71,1.01,False,1.01,BULL,13.83
51,2023-04-17T08:00:00Z,28437.6,29821.89,31000.0,9.01,4.87,3.5,False,272.69,0.914,True,3.079,True,ATR_ONLY,1.87,2.22,False,2.22,BULL,18.0
53,2023-05-01T16:00:00Z,27670.08,28155.15,30036.0,8.55,1.75,3.5,False,436.71,1.55,False,5.089,False,NONE,3.34,3.95,True,3.95,BULL,9.0
55,2023-07-08T08:00:00Z,27297.37,30176.76,31500.0,15.4,10.55,3.5,False,324.42,1.074,True,3.605,True,ATR_ONLY,2.19,2.2,False,2.2,BULL,22.33
58,2023-08-31T20:00:00Z,26265.53,26148.4,28142.85,7.15,-0.45,3.5,False,345.77,1.322,False,4.3,False,NONE,-0.26,0.18,False,0.18,BULL,13.5
59,2023-10-29T04:00:00Z,28542.38,33952.19,35280.0,23.61,18.95,2.5,True,425.87,1.254,True,3.018,True,DOUBLE,2.07,2.66,False,2.66,BULL,27.0
60,2023-11-15T04:00:00Z,35113.1,35362.54,37972.24,8.14,0.71,3.5,False,496.14,1.402,False,4.573,False,NONE,7.06,7.4,True,7.4,BULL,14.17
61,2023-12-11T20:00:00Z,37580.42,40757.56,44700.0,18.94,8.45,3.5,False,713.2,1.749,False,5.584,False,NONE,5.25,6.67,True,6.67,BULL,26.0
62,2024-01-13T04:00:00Z,42344.93,42586.51,48969.48,15.64,0.57,3.5,False,1187.13,2.786,False,8.485,False,NONE,1.33,1.57,False,1.57,CHOP,30.5
64,2024-02-24T00:00:00Z,39699.98,50716.24,52985.0,33.46,27.75,2.5,True,643.3,1.268,True,3.035,True,DOUBLE,2.0,2.45,False,2.45,BULL,31.33
65,2024-03-05T20:00:00Z,54353.7,61377.21,69000.0,26.95,12.92,2.5,True,1916.72,3.121,False,6.945,False,MULT_ONLY,9.97,10.76,True,10.76,SHOCK,9.67
66,2024-04-02T08:00:00Z,67328.89,66418.95,71769.54,6.6,-1.35,3.5,False,1118.64,1.683,True,5.455,True,ATR_ONLY,3.13,4.35,True,4.35,BULL,14.33
68,2024-04-26T16:00:00Z,63166.89,63468.3,67232.35,6.44,0.48,3.5,False,952.49,1.5,True,4.959,True,ATR_ONLY,0.87,1.42,False,1.42,TOPPING,9.67
69,2024-05-23T20:00:00Z,62415.05,67163.03,71979.0,15.32,7.61,3.5,False,1052.72,1.567,False,5.119,False,NONE,3.24,3.64,True,3.64,BULL,23.67
75,2024-07-30T20:00:00Z,66197.79,65894.77,70079.99,5.86,-0.46,3.5,False,1025.55,1.555,False,5.122,True,NONE,0.74,1.45,False,1.45,BULL,14.17
76,2024-08-19T00:00:00Z,57011.85,58395.22,62745.14,10.06,2.43,3.5,False,921.27,1.577,True,5.139,True,ATR_ONLY,4.33,5.15,True,5.15,NEUTRAL,12.83
77,2024-08-27T16:00:00Z,60715.84,61675.19,65000.0,7.06,1.58,3.5,False,749.29,1.214,True,4.035,True,ATR_ONLY,0.69,0.85,False,0.85,BULL,7.5
78,2024-09-30T16:00:00Z,60832.03,63526.47,66498.0,9.31,4.43,3.5,False,646.98,1.018,True,3.405,True,ATR_ONLY,0.82,0.95,False,0.95,BULL,30.67
79,2024-10-23T12:00:00Z,62433.8,66377.48,69519.52,11.35,6.32,3.5,False,700.98,1.055,True,3.529,True,ATR_ONLY,2.91,3.72,False,3.72,BULL,19.17
80,2024-11-01T08:00:00Z,67690.14,69235.6,73620.12,8.76,2.28,3.5,False,906.96,1.309,False,4.312,False,NONE,1.11,3.46,False,3.46,BULL,7.5
81,2024-11-24T16:00:00Z,70374.63,95848.78,99588.01,41.51,36.2,2.5,True,1198.68,1.25,True,3.009,True,DOUBLE,2.44,3.15,False,3.15,BULL,20.5
82,2024-12-09T20:00:00Z,96196.79,97016.95,104088.0,8.2,0.85,3.5,False,1665.42,1.716,False,5.6,False,NONE,4.23,5.02,True,5.02,BULL,12.17
83,2024-12-19T00:00:00Z,101528.53,100148.91,108353.0,6.72,-1.36,3.5,False,1673.28,1.67,False,5.405,True,NONE,2.3,2.65,False,2.65,BULL,7.33
84,2025-01-07T20:00:00Z,95897.94,96398.95,102724.38,7.12,0.52,3.5,False,1330.89,1.38,False,4.535,True,NONE,0.58,0.9,False,0.9,BULL,16.83
85,2025-01-23T12:00:00Z,96020.77,101888.44,109588.0,14.13,6.11,3.5,False,2037.09,1.998,False,6.506,False,NONE,3.9,5.13,True,5.13,CHOP,12.67
89,2025-03-04T08:00:00Z,85177.75,83140.65,95000.0,11.53,-2.39,3.5,False,2532.82,3.045,False,9.331,False,NONE,10.18,11.63,True,11.63,SHOCK,4.5
91,2025-04-06T08:00:00Z,82527.43,82979.31,88500.0,7.24,0.55,3.5,False,1158.27,1.395,False,4.581,False,NONE,-0.15,0.23,False,0.23,CHOP,7.67
92,2025-05-05T00:00:00Z,88220.91,94225.76,97895.68,10.97,6.81,3.5,False,805.03,0.854,True,2.878,True,ATR_ONLY,2.99,3.72,False,3.72,BULL,13.83
93,2025-05-25T12:00:00Z,96401.99,107201.01,111980.0,16.16,11.2,3.5,False,1383.37,1.29,False,4.324,True,NONE,2.74,3.28,False,3.28,BULL,18.67
94,2025-07-15T08:00:00Z,105156.84,116714.91,123218.0,17.18,10.99,3.5,False,1428.79,1.223,False,4.058,False,NONE,2.16,2.87,False,2.87,BULL,42.67
96,2025-08-15T16:00:00Z,116023.6,117210.74,124474.0,7.28,1.02,3.5,False,1371.78,1.17,False,3.857,False,NONE,0.94,1.16,False,1.16,BULL,11.83
99,2025-09-21T04:00:00Z,111302.28,115605.81,117900.0,5.93,3.87,3.5,False,666.98,0.577,True,1.98,True,ATR_ONLY,0.18,0.18,False,0.18,BULL,18.83
100,2025-10-10T16:00:00Z,110689.74,118953.54,126199.63,14.01,7.47,3.5,False,1556.36,1.308,False,4.316,False,NONE,-1.93,0.42,False,0.42,BULL,16.17
102,2025-10-30T00:00:00Z,109358.53,109960.8,116400.0,6.44,0.55,3.5,False,1391.64,1.265,True,4.184,True,ATR_ONLY,1.28,1.48,False,1.48,BULL,10.83
