config_id,mechanism_type,candidate_id,fold,cost_bps_rt,cagr,sharpe,max_drawdown,entries,exposure,mean_daily_return
CFG011,cross_tf_range_flow,D1Range_H4Flow,12,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG011,cross_tf_range_flow,D1Range_H4Flow,13,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG011,cross_tf_range_flow,D1Range_H4Flow,14,50.0,-0.0464470635879757,-2.5499250529570525,0.0117874855801156,1,0.0311355311355311,-0.0001298195275925
CFG012,cross_tf_range_flow,D1Range_H4Flow,1,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG012,cross_tf_range_flow,D1Range_H4Flow,2,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG012,cross_tf_range_flow,D1Range_H4Flow,3,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG012,cross_tf_range_flow,D1Range_H4Flow,4,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG012,cross_tf_range_flow,D1Range_H4Flow,5,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG012,cross_tf_range_flow,D1Range_H4Flow,6,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG012,cross_tf_range_flow,D1Range_H4Flow,7,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG012,cross_tf_range_flow,D1Range_H4Flow,8,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG012,cross_tf_range_flow,D1Range_H4Flow,9,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG012,cross_tf_range_flow,D1Range_H4Flow,10,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG012,cross_tf_range_flow,D1Range_H4Flow,11,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG012,cross_tf_range_flow,D1Range_H4Flow,12,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG012,cross_tf_range_flow,D1Range_H4Flow,13,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG012,cross_tf_range_flow,D1Range_H4Flow,14,20.0,-0.0155694406878899,-1.2833001858127973,0.0039802805861962,1,0.0164835164835164,-4.278753604488751e-05
CFG012,cross_tf_range_flow,D1Range_H4Flow,1,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG012,cross_tf_range_flow,D1Range_H4Flow,2,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG012,cross_tf_range_flow,D1Range_H4Flow,3,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG012,cross_tf_range_flow,D1Range_H4Flow,4,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG012,cross_tf_range_flow,D1Range_H4Flow,5,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG012,cross_tf_range_flow,D1Range_H4Flow,6,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG012,cross_tf_range_flow,D1Range_H4Flow,7,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG012,cross_tf_range_flow,D1Range_H4Flow,8,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG012,cross_tf_range_flow,D1Range_H4Flow,9,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG012,cross_tf_range_flow,D1Range_H4Flow,10,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG012,cross_tf_range_flow,D1Range_H4Flow,11,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG012,cross_tf_range_flow,D1Range_H4Flow,12,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG012,cross_tf_range_flow,D1Range_H4Flow,13,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG012,cross_tf_range_flow,D1Range_H4Flow,14,50.0,-0.0273951916433093,-1.7441775170941245,0.0069014087978497,1,0.0164835164835164,-7.575456901192049e-05
CFG013,cross_tf_range_flow,D1Range_H4Flow,1,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG013,cross_tf_range_flow,D1Range_H4Flow,2,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG013,cross_tf_range_flow,D1Range_H4Flow,3,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG013,cross_tf_range_flow,D1Range_H4Flow,4,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG013,cross_tf_range_flow,D1Range_H4Flow,5,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG013,cross_tf_range_flow,D1Range_H4Flow,6,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG013,cross_tf_range_flow,D1Range_H4Flow,7,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG013,cross_tf_range_flow,D1Range_H4Flow,8,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG013,cross_tf_range_flow,D1Range_H4Flow,9,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG013,cross_tf_range_flow,D1Range_H4Flow,10,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG013,cross_tf_range_flow,D1Range_H4Flow,11,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG013,cross_tf_range_flow,D1Range_H4Flow,12,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG013,cross_tf_range_flow,D1Range_H4Flow,13,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG013,cross_tf_range_flow,D1Range_H4Flow,14,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG013,cross_tf_range_flow,D1Range_H4Flow,1,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG013,cross_tf_range_flow,D1Range_H4Flow,2,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG013,cross_tf_range_flow,D1Range_H4Flow,3,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG013,cross_tf_range_flow,D1Range_H4Flow,4,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG013,cross_tf_range_flow,D1Range_H4Flow,5,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG013,cross_tf_range_flow,D1Range_H4Flow,6,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG013,cross_tf_range_flow,D1Range_H4Flow,7,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG013,cross_tf_range_flow,D1Range_H4Flow,8,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG013,cross_tf_range_flow,D1Range_H4Flow,9,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG013,cross_tf_range_flow,D1Range_H4Flow,10,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG013,cross_tf_range_flow,D1Range_H4Flow,11,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG013,cross_tf_range_flow,D1Range_H4Flow,12,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG013,cross_tf_range_flow,D1Range_H4Flow,13,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG013,cross_tf_range_flow,D1Range_H4Flow,14,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG014,cross_tf_range_flow,D1Range_H4Flow,1,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG014,cross_tf_range_flow,D1Range_H4Flow,2,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG014,cross_tf_range_flow,D1Range_H4Flow,3,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG014,cross_tf_range_flow,D1Range_H4Flow,4,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG014,cross_tf_range_flow,D1Range_H4Flow,5,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG014,cross_tf_range_flow,D1Range_H4Flow,6,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG014,cross_tf_range_flow,D1Range_H4Flow,7,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG014,cross_tf_range_flow,D1Range_H4Flow,8,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG014,cross_tf_range_flow,D1Range_H4Flow,9,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG014,cross_tf_range_flow,D1Range_H4Flow,10,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG014,cross_tf_range_flow,D1Range_H4Flow,11,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG014,cross_tf_range_flow,D1Range_H4Flow,12,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG014,cross_tf_range_flow,D1Range_H4Flow,13,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG014,cross_tf_range_flow,D1Range_H4Flow,14,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG014,cross_tf_range_flow,D1Range_H4Flow,1,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG014,cross_tf_range_flow,D1Range_H4Flow,2,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG014,cross_tf_range_flow,D1Range_H4Flow,3,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG014,cross_tf_range_flow,D1Range_H4Flow,4,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG014,cross_tf_range_flow,D1Range_H4Flow,5,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG014,cross_tf_range_flow,D1Range_H4Flow,6,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG014,cross_tf_range_flow,D1Range_H4Flow,7,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG014,cross_tf_range_flow,D1Range_H4Flow,8,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG014,cross_tf_range_flow,D1Range_H4Flow,9,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG014,cross_tf_range_flow,D1Range_H4Flow,10,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG014,cross_tf_range_flow,D1Range_H4Flow,11,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG014,cross_tf_range_flow,D1Range_H4Flow,12,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG014,cross_tf_range_flow,D1Range_H4Flow,13,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG014,cross_tf_range_flow,D1Range_H4Flow,14,50.0,0.0,0.0,0.0,0,0.0,0.0
D1Range_H4Flow_no_day_range,cross_tf_range_flow_ablation,D1Range_H4Flow,1,50.0,0.0,0.0,0.0,0,0.0,0.0
D1Range_H4Flow_no_day_range,cross_tf_range_flow_ablation,D1Range_H4Flow,2,50.0,0.0,0.0,0.0,0,0.0,0.0
D1Range_H4Flow_no_day_range,cross_tf_range_flow_ablation,D1Range_H4Flow,3,50.0,0.0,0.0,0.0,0,0.0,0.0
D1Range_H4Flow_no_day_range,cross_tf_range_flow_ablation,D1Range_H4Flow,4,50.0,0.0,0.0,0.0,0,0.0,0.0
D1Range_H4Flow_no_day_range,cross_tf_range_flow_ablation,D1Range_H4Flow,5,50.0,0.0,0.0,0.0,0,0.0,0.0
D1Range_H4Flow_no_day_range,cross_tf_range_flow_ablation,D1Range_H4Flow,6,50.0,0.0,0.0,0.0,0,0.0,0.0
D1Range_H4Flow_no_day_range,cross_tf_range_flow_ablation,D1Range_H4Flow,7,50.0,0.0,0.0,0.0,0,0.0,0.0
D1Range_H4Flow_no_day_range,cross_tf_range_flow_ablation,D1Range_H4Flow,8,50.0,0.0,0.0,0.0,0,0.0,0.0
D1Range_H4Flow_no_day_range,cross_tf_range_flow_ablation,D1Range_H4Flow,9,50.0,0.0,0.0,0.0,0,0.0,0.0
D1Range_H4Flow_no_day_range,cross_tf_range_flow_ablation,D1Range_H4Flow,10,50.0,0.0,0.0,0.0,0,0.0,0.0
D1Range_H4Flow_no_day_range,cross_tf_range_flow_ablation,D1Range_H4Flow,11,50.0,0.0,0.0,0.0,0,0.0,0.0
D1Range_H4Flow_no_day_range,cross_tf_range_flow_ablation,D1Range_H4Flow,12,50.0,0.0,0.0,0.0,0,0.0,0.0
D1Range_H4Flow_no_day_range,cross_tf_range_flow_ablation,D1Range_H4Flow,13,50.0,0.0,0.0,0.0,0,0.0,0.0
D1Range_H4Flow_no_day_range,cross_tf_range_flow_ablation,D1Range_H4Flow,14,50.0,-0.04644706358797579,-2.5499250529570525,0.011787485580115664,1,0.031135531135531136,-0.0001298195275925458
D1Range_H4Flow_no_flow4h,cross_tf_range_flow_ablation,D1Range_H4Flow,1,50.0,0.7262762706454544,1.4977465218640313,0.15150065907873955,4,0.5944954128440367,0.0017412142806293245
