pair_id,entry_ts,reference,candidate,channel,reference_in_position,pnl_usd,return_pct,bars_held,entry_context,entry_vdo,entry_er30,entry_price_to_slow_atr,failure_mode,is_winner
x0_stretch18,2022-07-30T04:00:00Z,X0,X0_CHOP_STRETCH18,sequence_added,True,-6307.06,-4.0412,16,transition,0.003161,0.302252,3.180949,trail_stop_noise,False
x0_stretch18,2022-10-06T00:00:00Z,X0,X0_CHOP_STRETCH18,sequence_added,True,-5426.38,-3.9487,11,transition,4.8e-05,0.27268,1.740373,trail_stop_noise,False
x0_stretch18,2023-02-24T12:00:00Z,X0,X0_CHOP_STRETCH18,sequence_added,True,-10450.58,-7.0146,40,chop,7.1e-05,0.150002,1.015778,other_loss,False
x0_stretch18,2023-04-01T16:00:00Z,X0,X0_CHOP_STRETCH18,sequence_added,True,6502.08,4.5402,94,transition,0.00559,0.288353,3.800189,winner,True
x0_stretch18,2023-07-06T20:00:00Z,X0,X0_CHOP_STRETCH18,sequence_added,True,-1703.31,-1.1379,48,chop,0.016138,0.076953,1.623655,late_exit_giveback,False
x0_stretch18,2023-10-05T20:00:00Z,X0,X0_CHOP_STRETCH18,sequence_added,True,-1144.65,-0.7927,31,chop,0.002601,0.106038,1.673414,late_exit_giveback,False
x0_stretch18,2024-03-11T12:00:00Z,X0,X0_CHOP_STRETCH18,sequence_added,True,-19592.69,-6.8676,32,transition,0.001926,0.31618,7.725148,trail_stop_noise,False
x0_stretch18,2024-05-24T08:00:00Z,X0,X0_CHOP_STRETCH18,sequence_added,True,-414.9,-0.168,32,chop,0.003349,0.009421,1.27031,late_exit_giveback,False
x0_stretch18,2024-07-29T04:00:00Z,X0,X0_CHOP_STRETCH18,sequence_added,True,-11010.11,-4.4784,8,transition,0.011171,0.278253,4.610627,trail_stop_noise,False
x0_stretch18,2024-10-07T12:00:00Z,X0,X0_CHOP_STRETCH18,sequence_added,True,-8909.21,-3.8138,14,chop,0.007487,0.186775,1.223435,trail_stop_noise,False
x0_stretch18,2024-10-26T12:00:00Z,X0,X0_CHOP_STRETCH18,sequence_added,True,9226.4,3.8793,32,chop,0.001297,0.125368,1.424938,winner,True
x0_stretch18,2024-11-26T20:00:00Z,X0,X0_CHOP_STRETCH18,sequence_added,True,21601.64,6.4519,76,transition,0.004113,0.308606,1.356493,winner,True
x0_stretch18,2025-03-27T16:00:00Z,X0,X0_CHOP_STRETCH18,sequence_added,True,-13419.79,-3.8427,6,chop,0.003969,0.201262,1.105475,trail_stop_noise,False
x0_stretch18,2025-05-08T16:00:00Z,X0,X0_CHOP_STRETCH18,sequence_added,True,21967.41,5.9221,101,transition,0.035039,0.271796,6.587782,winner,True
x0_stretch18,2025-05-29T20:00:00Z,X0,X0_CHOP_STRETCH18,sequence_added,False,-6397.61,-1.6283,41,chop,0.00071,0.181038,0.188598,slow_trend_reversal,False
x0_stretch18,2025-06-26T20:00:00Z,X0,X0_CHOP_STRETCH18,sequence_added,True,-7393.62,-1.9587,29,transition,0.008425,0.299993,2.028159,trail_stop_noise,False
x0_stretch18,2025-07-05T04:00:00Z,X0,X0_CHOP_STRETCH18,sequence_added,True,28775.56,7.7754,60,chop,0.002033,0.024158,1.681822,winner,True
x0_stretch18,2025-07-15T12:00:00Z,X0,X0_CHOP_STRETCH18,sequence_added,True,-7731.0,-1.9383,58,transition,0.007866,0.266138,3.839323,late_exit_giveback,False
x0_stretch18,2025-07-28T20:00:00Z,X0,X0_CHOP_STRETCH18,sequence_added,True,-11796.43,-3.016,21,chop,0.02205,0.023732,1.695847,trail_stop_noise,False
x0_stretch18,2026-01-03T08:00:00Z,X0,X0_CHOP_STRETCH18,sequence_added,True,3306.17,0.8745,29,chop,0.019392,0.003432,1.154066,winner,True
x0e5_stretch18,2019-04-17T04:00:00Z,X0_E5EXIT,X0E5_CHOP_STRETCH18,sequence_added,True,-14.56,-0.118,53,transition,0.00594,0.291308,5.069122,late_exit_giveback,False
x0e5_stretch18,2019-06-30T16:00:00Z,X0_E5EXIT,X0E5_CHOP_STRETCH18,sequence_added,True,-3724.11,-12.0613,10,chop,0.004097,0.022557,1.336317,trail_stop_noise,False
x0e5_stretch18,2020-01-11T00:00:00Z,X0_E5EXIT,X0E5_CHOP_STRETCH18,sequence_added,True,1321.38,5.3544,51,transition,0.006594,0.312674,3.816373,winner,True
x0e5_stretch18,2020-02-11T20:00:00Z,X0_E5EXIT,X0E5_CHOP_STRETCH18,sequence_added,True,-1188.5,-3.9273,24,transition,0.002509,0.271727,5.972721,trail_stop_noise,False
x0e5_stretch18,2020-04-15T08:00:00Z,X0_E5EXIT,X0E5_CHOP_STRETCH18,sequence_added,True,-526.85,-1.849,33,chop,0.001576,0.032164,0.191268,late_exit_giveback,False
x0e5_stretch18,2020-05-30T00:00:00Z,X0_E5EXIT,X0E5_CHOP_STRETCH18,sequence_added,True,-19.93,-0.0609,22,transition,0.002674,0.344963,1.967387,late_exit_giveback,False
x0e5_stretch18,2020-06-07T00:00:00Z,X0_E5EXIT,X0E5_CHOP_STRETCH18,sequence_added,True,-652.09,-1.9944,28,transition,0.003155,0.287691,1.812369,late_exit_giveback,False
x0e5_stretch18,2020-08-10T04:00:00Z,X0_E5EXIT,X0E5_CHOP_STRETCH18,sequence_added,True,-2012.81,-5.6551,10,transition,0.015368,0.305011,5.987024,other_loss,False
x0e5_stretch18,2020-08-20T08:00:00Z,X0_E5EXIT,X0E5_CHOP_STRETCH18,sequence_added,True,-1006.72,-2.9171,32,chop,0.002452,0.077793,1.082073,false_breakout,False
x0e5_stretch18,2020-10-31T16:00:00Z,X0_E5EXIT,X0E5_CHOP_STRETCH18,sequence_added,True,1879.67,5.1868,43,transition,0.02468,0.250352,4.899072,winner,True
x0e5_stretch18,2020-11-12T20:00:00Z,X0_E5EXIT,X0E5_CHOP_STRETCH18,sequence_added,True,4211.46,11.0481,80,transition,0.010395,0.31287,5.23923,winner,True
x0e5_stretch18,2021-01-05T20:00:00Z,X0_E5EXIT,X0E5_CHOP_STRETCH18,sequence_added,True,3666.89,4.6527,32,transition,0.012671,0.254983,4.432131,winner,True
x0e5_stretch18,2021-03-22T00:00:00Z,X0_E5EXIT,X0E5_CHOP_STRETCH18,sequence_added,True,-11341.65,-9.2565,18,chop,0.003828,0.023258,1.770115,trail_stop_noise,False
x0e5_stretch18,2021-08-18T20:00:00Z,X0_E5EXIT,X0E5_CHOP_STRETCH18,sequence_added,True,7956.47,5.646,37,chop,0.009859,0.105794,1.579479,winner,True
x0e5_stretch18,2021-10-02T16:00:00Z,X0_E5EXIT,X0E5_CHOP_STRETCH18,sequence_added,True,42639.56,30.9943,114,transition,0.009058,0.2778,3.123144,winner,True
x0e5_stretch18,2021-11-15T16:00:00Z,X0_E5EXIT,X0E5_CHOP_STRETCH18,sequence_added,True,-10695.4,-5.7313,3,transition,0.008933,0.261576,1.025667,other_loss,False
x0e5_stretch18,2022-04-05T16:00:00Z,X0_E5EXIT,X0E5_CHOP_STRETCH18,sequence_added,True,-8594.54,-4.8672,7,chop,0.001658,0.075789,1.678291,trail_stop_noise,False
x0e5_stretch18,2022-07-30T04:00:00Z,X0_E5EXIT,X0E5_CHOP_STRETCH18,sequence_added,True,-6475.72,-4.0412,16,transition,0.003161,0.302252,3.180949,trail_stop_noise,False
x0e5_stretch18,2022-10-06T00:00:00Z,X0_E5EXIT,X0E5_CHOP_STRETCH18,sequence_added,True,-5270.62,-3.9487,11,transition,4.8e-05,0.27268,1.740373,trail_stop_noise,False
x0e5_stretch18,2023-02-24T12:00:00Z,X0_E5EXIT,X0E5_CHOP_STRETCH18,sequence_added,True,-9985.54,-7.0146,40,chop,7.1e-05,0.150002,1.015778,other_loss,False
x0e5_stretch18,2023-04-01T16:00:00Z,X0_E5EXIT,X0E5_CHOP_STRETCH18,sequence_added,True,6149.08,4.5402,94,transition,0.00559,0.288353,3.800189,winner,True
x0e5_stretch18,2023-07-06T20:00:00Z,X0_E5EXIT,X0E5_CHOP_STRETCH18,sequence_added,True,-1623.17,-1.1379,48,chop,0.016138,0.076953,1.623655,late_exit_giveback,False
x0e5_stretch18,2023-10-05T20:00:00Z,X0_E5EXIT,X0E5_CHOP_STRETCH18,sequence_added,True,-1097.41,-0.7927,31,chop,0.002601,0.106038,1.673414,late_exit_giveback,False
x0e5_stretch18,2024-03-11T12:00:00Z,X0_E5EXIT,X0E5_CHOP_STRETCH18,sequence_added,True,-9750.03,-3.3829,20,transition,0.001926,0.31618,7.725148,trail_stop_noise,False
x0e5_stretch18,2024-05-24T08:00:00Z,X0_E5EXIT,X0E5_CHOP_STRETCH18,sequence_added,True,771.89,0.2985,24,chop,0.003349,0.009421,1.27031,winner,True
x0e5_stretch18,2024-05-29T16:00:00Z,X0_E5EXIT,X0E5_CHOP_STRETCH18,sequence_added,True,5891.36,2.2714,55,chop,0.005543,0.076857,0.451589,winner,True
x0e5_stretch18,2024-07-29T04:00:00Z,X0_E5EXIT,X0E5_CHOP_STRETCH18,sequence_added,True,-11399.71,-4.4268,6,transition,0.011171,0.278253,4.610627,trail_stop_noise,False
x0e5_stretch18,2024-10-07T12:00:00Z,X0_E5EXIT,X0E5_CHOP_STRETCH18,sequence_added,True,-9483.19,-3.8138,14,chop,0.007487,0.186775,1.223435,trail_stop_noise,False
x0e5_stretch18,2024-10-26T12:00:00Z,X0_E5EXIT,X0E5_CHOP_STRETCH18,sequence_added,True,9820.82,3.8793,32,chop,0.001297,0.125368,1.424938,winner,True
x0e5_stretch18,2024-11-26T20:00:00Z,X0_E5EXIT,X0E5_CHOP_STRETCH18,sequence_added,True,18293.59,5.2116,55,transition,0.004113,0.308606,1.356493,winner,True
x0e5_stretch18,2025-03-27T16:00:00Z,X0_E5EXIT,X0E5_CHOP_STRETCH18,sequence_added,True,-13906.89,-3.8427,6,chop,0.003969,0.201262,1.105475,trail_stop_noise,False
x0e5_stretch18,2025-05-08T16:00:00Z,X0_E5EXIT,X0E5_CHOP_STRETCH18,sequence_added,True,6454.41,1.6791,65,transition,0.035039,0.271796,6.587782,winner,True
x0e5_stretch18,2025-05-22T00:00:00Z,X0_E5EXIT,X0E5_CHOP_STRETCH18,sequence_added,True,-10198.74,-2.6093,12,transition,0.021288,0.293069,4.7587,trail_stop_noise,False
x0e5_stretch18,2025-05-29T20:00:00Z,X0_E5EXIT,X0E5_CHOP_STRETCH18,sequence_added,False,-6198.19,-1.6283,41,chop,0.00071,0.181038,0.188598,slow_trend_reversal,False
x0e5_stretch18,2025-06-26T20:00:00Z,X0_E5EXIT,X0E5_CHOP_STRETCH18,sequence_added,True,-7163.15,-1.9587,29,transition,0.008425,0.299993,2.028159,trail_stop_noise,False
x0e5_stretch18,2025-07-05T04:00:00Z,X0_E5EXIT,X0E5_CHOP_STRETCH18,sequence_added,True,27878.59,7.7754,60,chop,0.002033,0.024158,1.681822,winner,True
x0e5_stretch18,2025-07-15T12:00:00Z,X0_E5EXIT,X0E5_CHOP_STRETCH18,sequence_added,True,-7490.01,-1.9383,58,transition,0.007866,0.266138,3.839323,late_exit_giveback,False
x0e5_stretch18,2025-07-28T20:00:00Z,X0_E5EXIT,X0E5_CHOP_STRETCH18,sequence_added,True,-11428.72,-3.016,21,chop,0.02205,0.023732,1.695847,trail_stop_noise,False
x0e5_stretch18,2025-08-13T16:00:00Z,X0_E5EXIT,X0E5_CHOP_STRETCH18,sequence_added,True,-9975.03,-2.6903,6,transition,0.001698,0.2751,3.279281,late_exit_giveback,False
x0e5_stretch18,2026-01-03T08:00:00Z,X0_E5EXIT,X0E5_CHOP_STRETCH18,sequence_added,True,5271.93,1.4705,26,chop,0.019392,0.003432,1.154066,winner,True
