ts_ms,side,qty,price,fee_quote,reason,kind,trade_id,btc_after,cash_after,exposure_after,datetime_utc,notional
1634529599999,BUY,0.01713353,62145.614907596755,1.0647737573877565,rebound_add,TWAP,17,0.26485796,5690.109342137273,0.7430418683777585,2021-10-18T03:59:59.999000+00:00,1064.7737573877564
1634673599999,BUY,0.01089448,64199.61360692876,0.6994214064484132,breakout_add,TWAP,17,0.27575244,4989.988514282411,0.7800506992637602,2021-10-19T19:59:59.999000+00:00,699.4214064484132
1634687999999,SELL,0.00233008,64258.09340051475,0.14972649827067142,daily_deleverage,TWAP,17,0.27342236,5139.5652860548125,0.7737400920457123,2021-10-19T23:59:59.999000+00:00,149.7264982706714
1634774399999,SELL,0.00529168,65978.31115653526,0.3491361095808145,daily_deleverage,TWAP,17,0.26813068,5488.3522595260465,0.7632836671559765,2021-10-20T23:59:59.999000+00:00,349.1361095808145
1634860799999,SELL,0.0191975,62171.38395232875,1.1935351434248311,daily_deleverage,TWAP,17,0.24893317999999998,6680.693867807453,0.6985604541161295,2021-10-21T23:59:59.999000+00:00,1193.5351434248312
1635134399999,BUY,0.0213924,62105.99104310651,1.3285962027905516,rebound_add,TWAP,17,0.27032558,5350.769068814111,0.758252747040909,2021-10-25T03:59:59.999000+00:00,1328.5962027905516
1635148799999,BUY,0.0052335,62682.582794016256,0.32804929705248415,rebound_add,TWAP,17,0.27555908,5022.391722464575,0.7746705298062366,2021-10-25T07:59:59.999000+00:00,328.0492970524841
1635292799999,SELL,0.01134901,60307.69642472025,0.6844326498011143,daily_deleverage,TWAP,17,0.26421006999999996,5706.139939615888,0.7363836106643697,2021-10-26T23:59:59.999000+00:00,684.4326498011143
1635623999999,BUY,0.00617994,61752.45734077125,0.3816264812185259,rebound_add,TWAP,17,0.27039001,5324.131831916144,0.758164798043418,2021-10-30T19:59:59.999000+00:00,381.6264812185259
1635724799999,BUY,0.02143463,61321.256462495,1.3143984434086893,rebound_add,TWAP,17,0.29182463999999997,4008.418990064046,0.8169438573887359,2021-10-31T23:59:59.999000+00:00,1314.3984434086892
1635839999999,BUY,0.01693648,61542.663933528245,1.0423160968569225,rebound_add,TWAP,17,0.30876112,2965.0605771102664,0.864981446422349,2021-11-02T07:59:59.999000+00:00,1042.3160968569225
1635897599999,SELL,0.00515401,63197.864583999755,0.32572242604458057,daily_deleverage,TWAP,17,0.30360711,3290.4572807288023,0.8536566121408614,2021-11-02T23:59:59.999000+00:00,325.7224260445806
1635983999999,BUY,0.0139153,62918.49534041201,0.8755297382104352,rebound_add,TWAP,17,0.31752241,2414.0520127801565,0.8921580574513067,2021-11-03T23:59:59.999000+00:00,875.5297382104352
1636084799999,BUY,0.0017852,62225.572885095,0.1110850927144716,rebound_add,TWAP,17,0.31930760999999996,2302.8558349729706,0.8961039670442139,2021-11-05T03:59:59.999000+00:00,111.0850927144716
1636329599999,BUY,0.02987925,63295.73733833975,1.891229159866588,breakout_add,TWAP,17,0.34918686,409.73544594651617,0.9817928062809497,2021-11-07T23:59:59.999000+00:00,1891.229159866588
1636415999999,SELL,0.05199726,67502.19764764575,3.509929321656024,daily_deleverage,TWAP,17,0.2971896,3916.154838280884,0.8367189069834029,2021-11-08T23:59:59.999000+00:00,3509.929321656024
1636588799999,SELL,0.2971896,63116.0595,18.7574364763812,emergency,MARKET,17,0.0,22654.833878185702,0.0,2021-11-10T23:59:59.999000+00:00,18757.4364763812
1648828799999,BUY,0.02921194,46548.2873633,1.3597657775594778,rebound_add,TWAP,18,0.02921194,21293.708334848663,0.06000485995110631,2022-04-01T15:59:59.999000+00:00,1359.7657775594778
1648972799999,BUY,0.02930917,46380.04849609551,1.3593607259803075,rebound_add,TWAP,18,0.05852111,19932.988248142374,0.11981065983644452,2022-04-03T07:59:59.999000+00:00,1359.3607259803075
1649116799999,BUY,0.02918679,46596.81434301276,1.3600114348985015,rebound_add,TWAP,18,0.0877079,18571.616801808974,0.18031784834704206,2022-04-04T23:59:59.999000+00:00,1360.0114348985014
1649131199999,BUY,0.02915093,46662.1472031455,1.36024498676859,rebound_add,TWAP,18,0.11685883,17210.011570053615,0.24054450164033195,2022-04-05T03:59:59.999000+00:00,1360.24498676859
1649289599999,SELL,0.10310224,43155.361414761755,4.449414429871506,risk_off,TWAP,18,0.013756590000000003,21654.97658549525,0.026692540123634582,2022-04-06T23:59:59.999000+00:00,4449.414429871506
1649375999999,SELL,0.01375659,43428.98561960475,0.5974347492847986,risk_off,TWAP,18,0.0,22251.813900030764,0.0,2022-04-07T23:59:59.999000+00:00,597.4347492847985
1674633599999,BUY,0.05878312,22720.399925311252,1.3355759952575625,rebound_add,TWAP,19,0.05878312,20914.902328777942,0.060004854545315546,2023-01-25T07:59:59.999000+00:00,1335.5759952575625
1674676799999,BUY,0.05868993,22756.822669721503,1.3355963295083682,rebound_add,TWAP,19,0.11747305,19577.970402940064,0.12010499447669143,2023-01-25T19:59:59.999000+00:00,1335.5963295083682
1674691199999,BUY,0.05798638,23069.0119055235,1.3376884905782096,rebound_add,TWAP,19,0.17545943,18238.944223871276,0.18156708182687356,2023-01-25T23:59:59.999000+00:00,1337.6884905782097
1674806399999,BUY,0.05795735,23080.846046319253,1.3377046726026411,rebound_add,TWAP,19,0.23341678,16899.901846596033,0.2416628784160907,2023-01-27T07:59:59.999000+00:00,1337.704672602641
1675022399999,BUY,0.11348898,23906.204841446,2.713090803126769,breakout_add,TWAP,19,0.34690576,14184.097952666138,0.36887746557515205,2023-01-29T19:59:59.999000+00:00,2713.0908031267686
1675180799999,BUY,0.05762142,23129.893208045,1.3327772910959084,rebound_add,TWAP,19,0.40452718,12849.987884279133,0.42125994701343067,2023-01-31T15:59:59.999000+00:00,1332.7772910959084
1675195199999,BUY,0.05755617,23171.987937097,1.3336908769455043,rebound_add,TWAP,19,0.46208335,11514.963316456684,0.48174232835160763,2023-01-31T19:59:59.999000+00:00,1333.6908769455042
1675223999999,BUY,0.05759495,23138.28614475475,1.3326484335928426,rebound_add,TWAP,19,0.5196783,10180.982234430248,0.5414228119490921,2023-02-01T03:59:59.999000+00:00,1332.6484335928426
1675281599999,BUY,0.05730141,23394.175681149754,1.3405192523175913,rebound_add,TWAP,19,0.57697971,8839.12246286034,0.6042012217240417,2023-02-01T19:59:59.999000+00:00,1340.5192523175913
1675295999999,BUY,0.05696491,23740.967024316502,1.3524020498531575,rebound_add,TWAP,19,0.62662004,7658.965170037538,0.6600597199390528,2023-02-01T23:59:59.999000+00:00,1352.4020498531575
1675295999999,SELL,0.00732458,23724.3541623165,0.17377093001022018,daily_deleverage,TWAP,19,0.56965513,9012.719621940549,0.600006250351026,2023-02-01T23:59:59.999000+00:00,173.77093001022018
1675382399999,SELL,0.05500789,23480.7194582235,1.2916248330788178,daily_deleverage,TWAP,19,0.57161215,8949.298378283276,0.6000467633776244,2023-02-02T23:59:59.999000+00:00,1291.6248330788178
1675439999999,BUY,0.05704594,23611.621766084,1.346947158570722,rebound_add,TWAP,19,0.6286580900000001,7601.004272553983,0.6612659791776029,2023-02-03T15:59:59.999000+00:00,1346.947158570722
1675468799999,SELL,0.05683102,23423.699420797504,1.3311927302573314,daily_deleverage,TWAP,19,0.57182707,8930.865810081057,0.6000482941916739,2023-02-03T23:59:59.999000+00:00,1331.1927302573315
1675972799999,SELL,0.57182707,21969.19464342986,12.56258020321219,crash,MARKET,19,0.0,21480.883433090035,0.0,2023-02-09T19:59:59.999000+00:00,12562.58020321219
1676879999999,BUY,0.0525984,24512.226890091253,1.2893039148557757,rebound_add,TWAP,20,0.0525984,20190.290214319404,0.06000485141568465,2023-02-20T07:59:59.999000+00:00,1289.3039148557757
1677009599999,BUY,0.05239474,24611.491623072,1.2895127046030355,rebound_add,TWAP,20,0.10499314,18899.487997011765,0.1202429419362598,2023-02-21T19:59:59.999000+00:00,1289.5127046030354
1677124799999,BUY,0.0526695,24463.40980887125,1.2884755629283444,rebound_add,TWAP,20,0.15766264,17609.72395852049,0.1796205502083927,2023-02-23T03:59:59.999000+00:00,1288.4755629283443
1677153599999,SELL,0.15766264,23739.707319338526,3.742864928794235,kill,MARKET,20,0.0,21348.846022385933,0.0,2023-02-23T11:59:59.999000+00:00,3742.864928794235
