close_time,datetime_utc,realtime_interval,close,bid,ask,mid,cash,btc_qty,btc_value_mid,nav_mid,nav_liq,drawdown_mid,drawdown_liq,exposure,target_exposure,regime,kill_active,crash_cooldown_active,entry_price_avg,note
1634716799999,2021-10-20T07:59:59.999000+00:00,4h,63999.97,63983.9700075,64015.96999250001,63999.97,5139.5652860548125,0.27342236,17499.022837329198,22638.588123384012,22634.21336767468,0.003377799497948919,0.0033776083958322323,0.7729732411737277,0.7737331995184595,RISK_ON,False,False,52835.453211795306,
1634731199999,2021-10-20T11:59:59.999000+00:00,4h,63791.1,63775.152225,63807.04777500001,63791.1,5139.5652860548125,0.27342236,17441.913108996,22581.478395050814,22577.11791677356,0.005891950239651611,0.005891616897141905,0.7723990787431679,0.7737331995184595,RISK_ON,False,False,52835.453211795306,
1634745599999,2021-10-20T15:59:59.999000+00:00,4h,66875.83,66859.11104250001,66892.54895750001,66875.83,5139.5652860548125,0.27342236,18285.347265558798,23424.912551613612,23420.341214797227,0.0,0.0,0.780594045987131,0.7737331995184595,RISK_ON,False,False,52835.453211795306,
1634759999999,2021-10-20T19:59:59.999000+00:00,4h,66397.59,66380.9906025,66414.1893975,66397.59,5139.5652860548125,0.27342236,18154.585756112396,23294.151042167206,23289.61239572818,0.005582155713849124,0.005581849464535105,0.7793624126180371,0.7737331995184595,RISK_ON,False,False,52835.453211795306,
1634774399999,2021-10-20T23:59:59.999000+00:00,4h,66001.41,65984.90964750001,66017.91035250001,66001.41,5488.3522595260465,0.26813068,17697.002944258802,23185.35520378485,23180.930953048788,0.01022660585395696,0.010222321679804414,0.7632836671559765,0.763268125726966,RISK_ON,False,False,52835.453211795306,
1634788799999,2021-10-21T03:59:59.999000+00:00,4h,65069.02,65052.752745,65085.287255,65069.02,5488.3522595260465,0.26813068,17447.0005795336,22935.352839059648,22930.991088914765,0.020899105235730797,0.02089423554483849,0.7607033866869837,0.763268125726966,RISK_ON,False,False,52835.453211795306,
1634803199999,2021-10-21T07:59:59.999000+00:00,4h,65100.7,65084.424825,65116.975175,65100.7,5488.3522595260465,0.26813068,17455.494959476,22943.847219002047,22939.48334526218,0.020536483606997558,0.020531633810323635,0.7607919802141724,0.763268125726966,RISK_ON,False,False,52835.453211795306,
1634817599999,2021-10-21T11:59:59.999000+00:00,4h,64827.9,64811.693025,64844.10697500001,64827.9,5488.3522595260465,0.26813068,17382.348909972003,22870.70116949805,22866.355582270557,0.023659058743311534,0.023654037635312375,0.7600269349482957,0.763268125726966,RISK_ON,False,False,52835.453211795306,
1634831999999,2021-10-21T15:59:59.999000+00:00,4h,62971.2,62955.4572,62986.942800000004,62971.2,5488.3522595260465,0.26813068,16884.510676416,22372.86293594205,22368.641808272943,0.04491157067730844,0.04490538360985996,0.7546870833991925,0.763268125726966,RISK_ON,False,False,52835.453211795306,
1634846399999,2021-10-21T19:59:59.999000+00:00,4h,62802.07,62786.3694825,62817.77051750001,62802.07,5488.3522595260465,0.26813068,16839.1617345076,22327.51399403365,22323.304203600022,0.04684749858348436,0.04684120530678193,0.7541888335175764,0.763268125726966,RISK_ON,False,False,52835.453211795306,
1634860799999,2021-10-21T23:59:59.999000+00:00,4h,62193.15,62177.6017125,62208.6982875,62193.15,6680.693867807453,0.24893317999999998,15481.938603716999,22162.632471524452,22158.76198687352,0.05388622379306207,0.053866816727957234,0.6985604541161295,0.6985096522122266,RISK_ON,False,False,52835.453211795306,
1634875199999,2021-10-22T03:59:59.999000+00:00,4h,63237.9,63222.090525,63253.709475,63237.9,6680.693867807453,0.24893317999999998,15742.011543522,22422.70541132945,22418.769908443574,0.04278381565249967,0.04276501768987251,0.7020567435884915,0.6985096522122266,RISK_ON,False,False,52835.453211795306,
1634889599999,2021-10-22T07:59:59.999000+00:00,4h,63371.33,63355.4871675,63387.17283250001,63371.33,6680.693867807453,0.24893317999999998,15775.226697729398,22455.92056553685,22451.97675886242,0.04136587421369109,0.04134715404244338,0.7024974394476472,0.6985096522122266,RISK_ON,False,False,52835.453211795306,
1634903999999,2021-10-22T11:59:59.999000+00:00,4h,63376.8,63360.9558,63392.64420000001,63376.8,6680.693867807453,0.24893317999999998,15776.588362224,22457.28223003145,22453.338082940896,0.04130774530961934,0.04128902832745096,0.702515478080711,0.6985096522122266,RISK_ON,False,False,52835.453211795306,
1634918399999,2021-10-22T15:59:59.999000+00:00,4h,60690.94,60675.767265,60706.11273500001,60690.94,6680.693867807453,0.24893317999999998,15107.988691389199,21788.68255919665,21784.905562023807,0.06984999362587796,0.069829710753323,0.6933869751116439,0.6985096522122266,RISK_ON,False,False,52835.453211795306,
1634932799999,2021-10-22T19:59:59.999000+00:00,4h,61032.7,61017.441825,61047.958175,61032.7,6680.693867807453,0.24893317999999998,15193.064094985997,21873.75796279345,21869.959696769707,0.0662181592098755,0.06619807558772761,0.6945795103351196,0.6985096522122266,RISK_ON,False,False,52835.453211795306,
1634947199999,2021-10-22T23:59:59.999000+00:00,4h,60688.22,60673.047945000006,60703.392055000004,60688.22,6680.693867807453,0.24893317999999998,15107.311593139599,21788.005460947054,21784.22863304877,0.06987889867506891,0.06985861421671957,0.6933774466055661,0.7063447517525705,RISK_ON,False,False,52835.453211795306,
