strategy_id,strategy_name,cost_bps,sharpe,cagr,mdd,calmar,n_trades,exposure,win_rate,avg_winner,avg_loser,profit_factor,avg_hold,suppressions,monitor_blocks
S04,X14D+T45,100,1.2220,51.69,50.99,1.0137,103,53.3,0.282,24.19,-4.17,1.65,81.0,420,0
S05,X18,10,1.7315,84.36,34.25,2.4629,161,49.9,0.429,11.97,-3.05,2.17,48.5,531,0
S05,X18,15,1.7058,82.48,34.57,2.3859,161,49.9,0.429,11.91,-3.10,2.12,48.5,531,0
S05,X18,20,1.6801,80.63,34.90,2.3104,161,49.9,0.416,12.21,-3.08,2.07,48.5,531,0
S05,X18,25,1.6544,78.79,35.22,2.2369,161,49.9,0.410,12.34,-3.10,2.03,48.5,531,0
S05,X18,30,1.6287,76.97,35.55,2.1654,161,49.9,0.404,12.47,-3.12,1.98,48.5,531,0
S05,X18,35,1.6030,75.17,35.87,2.0958,161,49.9,0.404,12.41,-3.16,1.94,48.5,531,0
S05,X18,50,1.5257,69.88,36.82,1.8978,161,49.9,0.404,12.25,-3.31,1.82,48.5,531,0
S05,X18,75,1.3968,61.41,38.38,1.6001,161,49.9,0.391,12.35,-3.48,1.66,48.5,531,0
S05,X18,100,1.2678,53.37,40.47,1.3187,161,49.9,0.373,12.68,-3.61,1.52,48.5,531,0
S06,X18+T45,10,1.5057,69.91,39.19,1.7839,128,52.9,0.375,15.78,-3.63,1.90,64.7,106,0
S06,X18+T45,15,1.4860,68.55,39.64,1.7294,128,52.9,0.375,15.72,-3.67,1.87,64.7,106,0
S06,X18+T45,20,1.4663,67.21,40.09,1.6765,128,52.9,0.367,15.99,-3.68,1.84,64.7,106,0
S06,X18+T45,25,1.4466,65.88,40.55,1.6247,128,52.9,0.352,16.65,-3.64,1.81,64.7,106,0
S06,X18+T45,30,1.4268,64.57,41.03,1.5738,128,52.9,0.352,16.59,-3.68,1.78,64.7,106,0
S06,X18+T45,35,1.4071,63.26,41.50,1.5244,128,52.9,0.344,16.91,-3.69,1.75,64.7,106,0
S06,X18+T45,50,1.3479,59.39,42.88,1.3850,128,52.9,0.336,17.12,-3.79,1.67,64.7,106,0
S06,X18+T45,75,1.2491,53.16,45.68,1.1636,128,52.9,0.328,17.23,-3.98,1.55,64.7,106,0
S06,X18+T45,100,1.1503,47.16,49.01,0.9623,128,52.9,0.328,16.94,-4.22,1.44,64.7,106,0
S07,Mon,10,1.8673,85.92,35.39,2.4280,184,45.0,0.462,9.91,-3.03,2.20,38.3,0,268
S07,Mon,15,1.8350,83.72,35.80,2.3387,184,45.0,0.462,9.86,-3.08,2.14,38.3,0,268
S07,Mon,20,1.8027,81.54,36.21,2.2518,184,45.0,0.451,10.04,-3.07,2.09,38.3,0,268
S07,Mon,25,1.7703,79.40,36.63,2.1678,184,45.0,0.451,9.98,-3.11,2.04,38.3,0,268
S07,Mon,30,1.7379,77.27,37.04,2.0864,184,45.0,0.440,10.17,-3.10,1.99,38.3,0,268
S07,Mon,35,1.7055,75.17,37.44,2.0077,184,45.0,0.440,10.12,-3.15,1.95,38.3,0,268
S07,Mon,50,1.6081,69.03,38.65,1.7859,184,45.0,0.429,10.21,-3.23,1.82,38.3,0,268
S07,Mon,75,1.4454,59.26,40.61,1.4591,184,45.0,0.413,10.33,-3.38,1.64,38.3,0,268
S07,Mon,100,1.2826,50.06,42.51,1.1775,184,45.0,0.397,10.47,-3.53,1.49,38.3,0,268
S08,Mon+T45,10,1.4782,64.80,36.06,1.7970,128,49.3,0.406,14.18,-3.86,1.93,60.2,0,268
S08,Mon+T45,15,1.4573,63.47,36.25,1.7508,128,49.3,0.406,14.12,-3.91,1.89,60.2,0,268
S08,Mon+T45,20,1.4364,62.14,36.44,1.7053,128,49.3,0.398,14.34,-3.90,1.86,60.2,0,268
S08,Mon+T45,25,1.4154,60.83,36.63,1.6606,128,49.3,0.383,14.86,-3.85,1.83,60.2,0,268
S08,Mon+T45,30,1.3945,59.53,36.82,1.6167,128,49.3,0.383,14.81,-3.90,1.79,60.2,0,268
S08,Mon+T45,35,1.3736,58.24,37.01,1.5736,128,49.3,0.375,15.06,-3.90,1.76,60.2,0,268
S08,Mon+T45,50,1.3107,54.43,37.58,1.4486,128,49.3,0.367,15.20,-4.00,1.68,60.2,0,268
S08,Mon+T45,75,1.2057,48.28,38.50,1.2540,128,49.3,0.367,14.91,-4.24,1.55,60.2,0,268
S08,Mon+T45,100,1.1007,42.38,39.42,1.0751,128,49.3,0.359,14.95,-4.42,1.45,60.2,0,268
S09,Mon+X14D,10,1.7242,83.07,29.32,2.8328,96,49.5,0.375,20.88,-3.21,2.63,80.7,1555,268
S09,Mon+X14D,15,1.7090,81.97,29.32,2.7953,96,49.5,0.375,20.81,-3.26,2.58,80.7,1555,268
S09,Mon+X14D,20,1.6937,80.87,29.32,2.7580,96,49.5,0.375,20.75,-3.30,2.53,80.7,1555,268
S09,Mon+X14D,25,1.6784,79.79,29.32,2.7210,96,49.5,0.365,21.29,-3.30,2.49,80.7,1555,268
S09,Mon+X14D,30,1.6631,78.71,29.32,2.6842,96,49.5,0.365,21.23,-3.35,2.44,80.7,1555,268
S09,Mon+X14D,35,1.6478,77.64,29.32,2.6476,96,49.5,0.354,21.79,-3.34,2.40,80.7,1555,268
S09,Mon+X14D,50,1.6018,74.46,29.88,2.4916,96,49.5,0.344,22.26,-3.43,2.27,80.7,1555,268
S09,Mon+X14D,75,1.5250,69.28,31.10,2.2277,96,49.5,0.333,22.65,-3.62,2.09,80.7,1555,268
S09,Mon+X14D,100,1.4480,64.26,32.67,1.9668,96,49.5,0.312,23.84,-3.74,1.94,80.7,1555,268
S10,Mon+X14D+T45,10,1.6321,76.79,37.81,2.0307,93,50.0,0.333,23.57,-3.31,2.45,84.1,364,268
S10,Mon+X14D+T45,15,1.6176,75.78,38.03,1.9925,93,50.0,0.333,23.51,-3.36,2.41,84.1,364,268
S10,Mon+X14D+T45,20,1.6031,74.77,38.25,1.9549,93,50.0,0.333,23.45,-3.41,2.37,84.1,364,268
S10,Mon+X14D+T45,25,1.5885,73.77,38.46,1.9179,93,50.0,0.333,23.39,-3.46,2.33,84.1,364,268
S10,Mon+X14D+T45,30,1.5740,72.78,38.68,1.8815,93,50.0,0.333,23.33,-3.51,2.29,84.1,364,268
S10,Mon+X14D+T45,35,1.5594,71.79,38.89,1.8457,93,50.0,0.333,23.27,-3.55,2.25,84.1,364,268
S10,Mon+X14D+T45,50,1.5157,68.85,39.53,1.7417,93,50.0,0.301,25.56,-3.53,2.15,84.1,364,268
S10,Mon+X14D+T45,75,1.4426,64.07,40.69,1.5748,93,50.0,0.301,25.25,-3.77,1.99,84.1,364,268
S10,Mon+X14D+T45,100,1.3695,59.43,41.86,1.4197,93,50.0,0.301,24.93,-4.01,1.85,84.1,364,268
S11,Mon+X18,10,1.8348,89.34,34.25,2.6082,145,47.0,0.448,12.56,-3.01,2.32,50.7,525,268
S11,Mon+X18,15,1.8108,87.58,34.57,2.5333,145,47.0,0.448,12.51,-3.05,2.27,50.7,525,268
S11,Mon+X18,20,1.7868,85.84,34.90,2.4598,145,47.0,0.434,12.85,-3.03,2.22,50.7,525,268
S11,Mon+X18,25,1.7628,84.12,35.22,2.3882,145,47.0,0.428,13.00,-3.04,2.18,50.7,525,268
S11,Mon+X18,30,1.7387,82.41,35.55,2.3185,145,47.0,0.421,13.15,-3.05,2.13,50.7,525,268
S11,Mon+X18,35,1.7147,80.72,35.87,2.2505,145,47.0,0.421,13.10,-3.10,2.09,50.7,525,268
S11,Mon+X18,50,1.6424,75.74,36.82,2.0569,145,47.0,0.421,12.93,-3.24,1.96,50.7,525,268
S11,Mon+X18,75,1.5217,67.75,38.38,1.7650,145,47.0,0.407,13.08,-3.41,1.79,50.7,525,268
S11,Mon+X18,100,1.4008,60.11,39.90,1.5064,145,47.0,0.386,13.49,-3.53,1.64,50.7,525,268
S12,Mon+X18+T45,10,1.5815,73.16,38.59,1.8958,117,49.6,0.393,16.34,-3.70,2.01,66.3,106,268
S12,Mon+X18+T45,15,1.5629,71.89,38.77,1.8541,117,49.6,0.393,16.28,-3.75,1.97,66.3,106,268
S12,Mon+X18+T45,20,1.5443,70.63,38.96,1.8130,117,49.6,0.385,16.58,-3.74,1.94,66.3,106,268
S12,Mon+X18+T45,25,1.5256,69.38,39.14,1.7726,117,49.6,0.368,17.30,-3.69,1.91,66.3,106,268
S12,Mon+X18+T45,30,1.5070,68.14,39.32,1.7328,117,49.6,0.368,17.24,-3.74,1.88,66.3,106,268
S12,Mon+X18+T45,35,1.4883,66.90,39.50,1.6937,117,49.6,0.359,17.59,-3.74,1.85,66.3,106,268
S12,Mon+X18+T45,50,1.4323,63.26,40.04,1.5798,117,49.6,0.350,17.84,-3.83,1.76,66.3,106,268
S12,Mon+X18+T45,75,1.3389,57.37,40.94,1.4014,117,49.6,0.350,17.54,-4.07,1.64,66.3,106,268
S12,Mon+X18+T45,100,1.2454,51.69,41.82,1.2361,117,49.6,0.350,17.25,-4.31,1.53,66.3,106,268
