feature,horizon,spearman_r,spearman_p,mi_bits,n_obs,abs_spearman
ema_spread_20,60,0.024385559034185416,0.0009120272479901167,0.02736004715707497,18492,0.024385559034185416
ema_spread_50,1,0.0008807083383527329,0.9045257453333653,0.07208603509998403,18551,0.0008807083383527329
ema_spread_50,5,0.0073428416490158716,0.31733548974377296,0.05405359065840773,18547,0.0073428416490158716
ema_spread_50,10,0.02704212201972961,0.00023075474718675318,0.04558285357128326,18542,0.02704212201972961
ema_spread_50,20,0.03505372709259053,1.8142157534640027e-06,0.05281496267059127,18532,0.03505372709259053
ema_spread_50,40,0.036194023434758936,8.401715107097881e-07,0.04757696123817978,18512,0.036194023434758936
ema_spread_50,60,0.04719713503245491,1.3515035263153972e-10,0.04381818126711688,18492,0.04719713503245491
ema_spread_90,1,0.008155771290981068,0.2666645917927181,0.06481326207386018,18551,0.008155771290981068
ema_spread_90,5,0.0178284429975905,0.015180748653375712,0.0564572861768627,18547,0.0178284429975905
ema_spread_90,10,0.038555444252788326,1.507383073144379e-07,0.048084493212227415,18542,0.038555444252788326
ema_spread_90,20,0.048636521089060934,3.484854063628928e-11,0.053558893630265975,18532,0.048636521089060934
ema_spread_90,40,0.05332649711231259,3.8647366442868596e-13,0.06014828750121431,18512,0.05332649711231259
ema_spread_90,60,0.0646521298053035,1.3638774345280167e-18,0.06084348772811058,18492,0.0646521298053035
ema_spread_120,1,0.010464229018735413,0.1541015689969216,0.06287884647984528,18551,0.010464229018735413
ema_spread_120,5,0.021849205670072768,0.0029228204818290858,0.05605203516510706,18547,0.021849205670072768
ema_spread_120,10,0.04267689997395311,6.116971813119695e-09,0.05551327816862627,18542,0.04267689997395311
ema_spread_120,20,0.053620294358760125,2.7888887830972153e-13,0.06062919512143265,18532,0.053620294358760125
ema_spread_120,40,0.062006762859373774,3.063379302732342e-17,0.06310169995774763,18512,0.062006762859373774
ema_spread_120,60,0.07375689383106508,9.877304914794406e-24,0.06807981559873469,18492,0.07375689383106508
roc_10,1,-0.0142852533311106,0.051696912991125096,0.054967822430474225,18551,0.0142852533311106
roc_10,5,-0.004100030349101667,0.576614238065633,0.04172100985897137,18547,0.004100030349101667
roc_10,10,0.014747388107946695,0.04463148838998916,0.029530390887255804,18542,0.014747388107946695
roc_10,20,0.0191401030779121,0.009170039309949314,0.035007234909904594,18532,0.0191401030779121
roc_10,40,0.020433204150347963,0.0054322089591579414,0.027590133563836824,18512,0.020433204150347963
roc_10,60,0.017307745662555194,0.018591803628913828,0.02526909208133588,18492,0.017307745662555194
roc_20,1,-3.3703192547522345e-05,0.9963376151791273,0.060051598355286735,18551,3.3703192547522345e-05
roc_20,5,0.0012850210298941194,0.8610859880959207,0.04120797896227256,18547,0.0012850210298941194
roc_20,10,0.01292322524013679,0.07845908268433217,0.03643704912203993,18542,0.01292322524013679
roc_20,20,0.014876707369467994,0.04284932859970038,0.04003477157609362,18532,0.014876707369467994
roc_20,40,0.007157826794690736,0.33013990550810185,0.031244847972537022,18512,0.007157826794690736
roc_20,60,0.014007201391271514,0.056814128555834606,0.032063786976389626,18492,0.014007201391271514
roc_40,1,0.006276838100218562,0.39262363770687636,0.06180051962755824,18551,0.006276838100218562
roc_40,5,0.00949528002741693,0.19598366314642615,0.05533356471288659,18547,0.00949528002741693
roc_40,10,0.026062918328225645,0.00038621940670521555,0.044037803104912746,18542,0.026062918328225645
roc_40,20,0.019904727604873978,0.006733154821964645,0.0481258573806317,18532,0.019904727604873978
roc_40,40,0.020685911276891296,0.004883622165724555,0.04471204709850445,18512,0.020685911276891296
roc_40,60,0.04212648549830071,9.999398481793323e-09,0.05326461595018954,18492,0.04212648549830071
breakout_pos_20,1,-0.015979557499104135,0.029522310431638877,0.013886552590029815,18551,0.015979557499104135
breakout_pos_20,5,0.002217413655427242,0.7626796940707903,0.011237063610720494,18547,0.002217413655427242
breakout_pos_20,10,0.016962280118194534,0.020902144306805377,0.006758992001632333,18542,0.016962280118194534
breakout_pos_20,20,0.015653404228241036,0.03309568822371691,0.016328599038738588,18532,0.015653404228241036
breakout_pos_20,40,0.008207221779063944,0.2641618689095349,0.012980307605166039,18512,0.008207221779063944
breakout_pos_20,60,0.0109624713611023,0.13604581858236448,0.013444833340787318,18492,0.0109624713611023
breakout_pos_60,1,-0.002672656478413205,0.7158599302846976,0.011448615601076427,18551,0.002672656478413205
breakout_pos_60,5,0.006896941675780481,0.3476156374342326,0.01513757835377068,18547,0.006896941675780481
breakout_pos_60,10,0.0240752103873171,0.0010434122226979435,0.010910532412536382,18542,0.0240752103873171
breakout_pos_60,20,0.02942880692578613,6.154475950499058e-05,0.020214449120758492,18532,0.02942880692578613
breakout_pos_60,40,0.027880731012202006,0.00014829917689245848,0.02604070557225065,18512,0.027880731012202006
breakout_pos_60,60,0.04812357730822739,5.852790130356139e-11,0.02783968288931645,18492,0.04812357730822739
vdo,1,0.013292827733169199,0.07022317320659865,0.02054663774784008,18551,0.013292827733169199
vdo,5,0.014080509375523553,0.055167668773232904,0.01057898129670654,18547,0.014080509375523553
vdo,10,0.02727509849216558,0.0002036349975358845,0.006174373917418888,18542,0.02727509849216558
vdo,20,0.02665465217472907,0.0002845667037404254,0.009016647666970586,18532,0.02665465217472907
vdo,40,0.023948814112073863,0.0011192613516572301,0.011135740929860149,18512,0.023948814112073863
vdo,60,0.018864630603219613,0.010306667388001569,0.009058916012671189,18492,0.018864630603219613
log_volume,1,0.004125417333160069,0.5742149177347219,0.03742367888200973,18551,0.004125417333160069
log_volume,5,0.009048200872281425,0.21787705084760678,0.023199496951697342,18547,0.009048200872281425
log_volume,10,0.010428050753020087,0.1556309004152743,0.01870764795965861,18542,0.010428050753020087
log_volume,20,0.010633887376465766,0.14774050771002137,0.020599525103118382,18532,0.010633887376465766
log_volume,40,0.014646406399383815,0.04628938252956401,0.0306068294524106,18512,0.014646406399383815
log_volume,60,0.010009395126277106,0.17349074340217632,0.03544075220384694,18492,0.010009395126277106
rvol_10,1,0.014858421616851983,0.04299867045659906,0.09190031355177937,18551,0.014858421616851983
rvol_10,5,0.017610317513013764,0.016470147201483636,0.0685377741525964,18547,0.017610317513013764
rvol_10,10,0.017239560949097097,0.018899357211009844,0.05824144191454036,18542,0.017239560949097097
rvol_10,20,0.02154827017665804,0.003351009863485367,0.05394427776873624,18532,0.02154827017665804
rvol_10,40,0.0323732438820235,1.0552930875693493e-05,0.05434075374877714,18512,0.0323732438820235
rvol_10,60,0.019826650415183097,0.007013225384821347,0.04805529134725854,18492,0.019826650415183097
rvol_60,1,0.012557109953701523,0.08721847675894737,0.10875916428006668,18551,0.012557109953701523
rvol_60,5,0.019866675841129288,0.006816572096497062,0.10098668145983851,18547,0.019866675841129288
rvol_60,10,0.021039080272629795,0.004170161793231469,0.10055215501691982,18542,0.021039080272629795
rvol_60,20,0.03382658908309096,4.1068892130229895e-06,0.11605796438200457,18532,0.03382658908309096
rvol_60,40,0.03056637669087088,3.1892286669352806e-05,0.111839006199235,18512,0.03056637669087088
rvol_60,60,0.02143540723207648,0.003556452474136364,0.12499833405022891,18492,0.02143540723207648
natr_14,1,0.018712509905840374,0.0108114816396,0.13495234692542457,18551,0.018712509905840374
natr_14,5,0.02709933995154038,0.00022335927982579135,0.09983433707371112,18547,0.02709933995154038
natr_14,10,0.02861806282252462,9.721938026922708e-05,0.08416281972383041,18542,0.02861806282252462
natr_14,20,0.037588488236570725,3.0802342112829844e-07,0.07232876312610262,18532,0.037588488236570725
natr_14,40,0.039936141255402756,5.465363846724571e-08,0.06375131631114435,18512,0.039936141255402756
natr_14,60,0.027031189782684477,0.00023667136967436237,0.05926566258527754,18492,0.027031189782684477
vol_ratio,1,0.010238420853787854,0.16318581850288738,0.009764168791487886,18551,0.010238420853787854
vol_ratio,5,0.008172641941981614,0.2657281049786313,0.008806210622695064,18547,0.008172641941981614
vol_ratio,10,0.004753292459009997,0.5174952887441848,0.006398114085034065,18542,0.004753292459009997
vol_ratio,20,-0.003669456878767069,0.6174275041508899,0.015300447662239423,18532,0.003669456878767069
vol_ratio,40,0.028776666620407544,9.008044790466779e-05,0.02998473698815542,18512,0.028776666620407544
vol_ratio,60,0.0157143336002234,0.03260565882525152,0.028870894024839545,18492,0.0157143336002234
d1_regime_ema21,1,0.016452807897195377,0.025032104839035223,,18551,0.016452807897195377
d1_regime_ema21,5,0.030324963756597437,3.618985496028207e-05,,18547,0.030324963756597437
d1_regime_ema21,10,0.047344851470974364,1.117882080633945e-10,,18542,0.047344851470974364
d1_regime_ema21,20,0.04476267054038869,1.0855885368413195e-09,,18532,0.04476267054038869
d1_regime_ema21,40,0.05622554902871063,1.92530449809669e-14,,18512,0.05622554902871063
d1_regime_ema21,60,0.056137359821338696,2.1829811636744228e-14,,18492,0.056137359821338696
d1_regime_ema50,1,0.01754603379156299,0.01685622855347026,,18551,0.01754603379156299
d1_regime_ema50,5,0.030629092390274497,3.0194667711288583e-05,,18547,0.030629092390274497
d1_regime_ema50,10,0.0440633753153386,1.942099966961873e-09,,18542,0.0440633753153386
d1_regime_ema50,20,0.05452296513300606,1.1078644547208832e-13,,18532,0.05452296513300606
d1_regime_ema50,40,0.06440954005174865,1.7551635782623702e-18,,18512,0.06440954005174865
d1_regime_ema50,60,0.06245132083682188,1.892893988900291e-17,,18492,0.06245132083682188
d1_ema_spread_21,1,0.017892671836812257,0.014807650363891115,0.054629926205256196,18551,0.017892671836812257
d1_ema_spread_21,5,0.025343933953056452,0.000556766421134135,0.057252682958043935,18547,0.025343933953056452
d1_ema_spread_21,10,0.04250702864245233,7.023284673056145e-09,0.05963154396127974,18542,0.04250702864245233
d1_ema_spread_21,20,0.048364622098509155,4.476029664140687e-11,0.06588259241515133,18532,0.048364622098509155
d1_ema_spread_21,40,0.06189177093574573,3.503256574407034e-17,0.07710738555796628,18512,0.06189177093574573
d1_ema_spread_21,60,0.07202735009253934,1.0531940073314747e-22,0.08433013308266156,18492,0.07202735009253934
d1_ema_spread_50,1,0.022056229866425744,0.0026622171167402305,0.05468544749444303,18551,0.022056229866425744
d1_ema_spread_50,5,0.036651604214092456,5.950196583109489e-07,0.05812398800039914,18547,0.036651604214092456
d1_ema_spread_50,10,0.052584054191249,7.790426419241003e-13,0.0784704867768058,18542,0.052584054191249
d1_ema_spread_50,20,0.0631645475283037,7.51616664419143e-18,0.08565441509882032,18532,0.0631645475283037
d1_ema_spread_50,40,0.07911766563634573,4.240397047727356e-27,0.10451170797426312,18512,0.07911766563634573
d1_ema_spread_50,60,0.08807677088042945,3.567556852772184e-33,0.10677422670164977,18492,0.08807677088042945
