trade_id,entry_price,exit_price,return_pct,pnl,days_held,qty,entry_reason,entry_ts,exit_ts,exit_compressed,exit_tightened,exit_double_compressed,exit_trail_dist_pct,exit_compression_ratio,exit_multiplier,exit_peak_profit,exit_current_profit,trade_noise_ratio,trade_bars,max_high_1d,max_return_1d,close_at_1d,close_return_1d,max_high_2d,max_return_2d,close_at_2d,close_return_2d,max_high_3d,max_return_3d,close_at_3d,close_return_3d,max_high_5d,max_return_5d,close_at_5d,close_return_5d,max_high_7d,max_return_7d,close_at_7d,close_return_7d,max_dd_7d
28,10246.21,10413.04,1.63,239.94,15.33,1.53397248,vdo_trend_accel,2020-09-06 08:00:00,2020-09-21 16:00:00,False,False,False,0.05613333423574903,1.1567265904296489,3.5,0.08723127868743671,0.024627642806462114,0.0,93,10533.46,0.01156434624278772,10491.97,0.00757991902460746,10572.71,0.015333658566566367,10293.0,-0.011527853537487694,10743.59,0.03174385193949118,10653.82,0.02312293047947562,10820.94,0.03917203813679767,10718.55,0.02933917472707282,10950.0,0.05156611325799181,10869.0,0.0437874050229327,-0.02652635541590171
29,10729.41,13131.64,22.39,3643.33,33.0,1.52497584,vdo_trend,2020-09-26 08:00:00,2020-10-29 08:00:00,False,True,False,0.04581616602274899,1.1109780266670224,2.5,0.28431945465780506,0.21647509042901703,0.0,199,13669.98,0.04099564106235019,13347.79,0.016460244112692816,14100.0,0.07374250284046781,13940.0,0.06155819075149795,14100.0,0.07374250284046781,13696.58,0.04302128294714145,14100.0,0.07374250284046781,13532.14,0.03049885619770265,14740.0,0.12247975119634719,14717.6,0.12077394750389145,-0.01605816181375662
30,13905.98,17601.24,26.57,5209.41,26.0,1.4165015,vdo_trend,2020-10-31 08:00:00,2020-11-26 08:00:00,False,True,False,0.10265686723494255,1.4081706752428569,2.5,0.3921039725355567,0.2296867966155568,0.015748031496062992,157,17457.62,-0.008159652388127348,16789.37,-0.04612572750556225,17457.62,-0.008159652388127348,17160.29,-0.02505221223050198,18250.0,0.03685876676870484,18090.44,0.02779349636730123,19888.0,0.12992039197238367,19425.0,0.10361542709490912,19888.0,0.12992039197238367,19396.5,0.10199622299337992,-0.08029207033140855
31,18048.93,18314.03,1.47,332.59,10.5,1.34766607,vdo_trend_accel,2020-11-28 12:00:00,2020-12-09 00:00:00,False,False,False,0.062160245279291364,0.9270105873914235,3.5,0.091248622494519,0.013911073952860259,0.0,64,18639.57,0.017775443198465926,18409.77,0.005227686096397221,18639.57,0.017775443198465926,17990.88,-0.017644942156368523,18639.57,0.017775443198465926,18282.02,-0.0017478403169590964,19411.0,0.05989779420477095,19260.68,0.05168987928926629,19570.0,0.06857966269575845,19346.52,0.05637699621546987,-0.04049900540732963
32,18464.89,34353.35,86.05,21122.39,30.17,1.33229732,vdo_trend_accel,2020-12-12 04:00:00,2021-01-11 08:00:00,False,True,False,0.18299827045524042,1.3139649939758455,2.5,1.2359553726017323,0.8520857692626383,0.012121212121212121,182,36628.0,0.06621333872824635,35410.99,0.030787099365855133,36628.0,0.06621333872824635,34385.48,0.0009352799654183554,38786.1,0.12903399522899514,38365.86,0.11680112710987435,40100.0,0.16728062910895158,37680.0,0.0968362619657181,40100.0,0.16728062910895158,36442.08,0.06080134834011831,-0.11449683946398237
33,36441.45,35043.21,-3.84,-1168.01,6.5,0.81491878,vdo_trend,2021-01-13 16:00:00,2021-01-20 04:00:00,False,False,False,0.11867881332886697,0.8224090966647957,3.5,0.09427533756203461,-0.02097364402349516,0.0,40,35939.12,0.025565865684108378,34624.27,-0.011954955039792369,35939.12,0.025565865684108378,30842.45,-0.11987372161397311,35939.12,0.025565865684108378,32931.18,-0.0602693075206295,35939.12,0.025565865684108378,33346.95,-0.048404812230386486,35939.12,0.025565865684108378,31743.33,-0.09416603102284286,-0.17673067050649752
34,35271.67,37900.27,7.45,2177.26,15.5,0.84041801,vdo_trend,2021-01-23 04:00:00,2021-02-07 16:00:00,False,False,False,0.10624172187218289,1.0193466306984045,3.5,0.158570887060352,0.07876944868218606,0.0,94,44918.0,0.18516306084362996,43051.95,0.13592726384271142,48142.19,0.270233431054713,47060.18,0.24168455792003604,48142.19,0.270233431054713,45190.05,0.19234110997098455,48985.8,0.29249211153377025,47272.95,0.24729850209510384,49707.43,0.31153234528408386,48693.39,0.2847768630672025,-0.006313939188295905
35,47566.65,51872.19,9.05,3488.83,14.5,0.82019393,vdo_trend_accel,2021-02-08 16:00:00,2021-02-23 04:00:00,False,True,False,0.13242964870023335,1.4087502116067412,2.5,0.22086840254674234,0.04359525003337423,0.02702702702702703,88,51357.0,-0.00993191149245872,50090.57,-0.03434634242356073,51374.99,-0.0095850975252829,50395.99,-0.028458409024180478,52041.73,0.003268418009727387,44973.68,-0.13299052922192028,52041.73,0.003268418009727387,44400.83,-0.1440340189993906,52041.73,0.003268418009727387,48331.61,-0.06825584190680982,-0.17103943365414112
36,51672.03,54242.81,4.98,2315.35,14.17,0.92005257,vdo_trend_accel,2021-03-02 00:00:00,2021-03-16 04:00:00,False,False,False,0.12475705512024794,1.1779394327389665,3.5,0.18741822219874077,0.06904663896502612,0.0,86,57189.43,0.05432277568215958,55821.01,0.029095100346018293,59561.54,0.09805410154820525,58355.15,0.07581355021983566,60129.97,0.10853346277598826,57834.04,0.0662065626762331,60129.97,0.10853346277598826,56972.68,0.050326854379409966,60129.97,0.10853346277598826,54161.34,-0.0015019502123876172,-0.022911976720969982
37,58198.75,60231.51,3.49,1670.94,28.0,0.84710631,vdo_trend_accel,2021-03-20 16:00:00,2021-04-17 16:00:00,False,False,False,0.06881193568714383,1.0282690444945697,3.5,0.10846384157735345,0.04306398333297531,0.0,169,60955.0,0.012011819062812769,55720.66,-0.07489186307964052,60955.0,0.012011819062812769,55930.94,-0.07140066719230515,60955.0,0.012011819062812769,56572.44,-0.06075009575552729,60955.0,0.012011819062812769,52923.54,-0.12133134301298441,60955.0,0.012011819062812769,50667.75,-0.15878333450381704,-0.2113762381185529
