signal,measurement,operator,role,rule_type,natural_center,aggregate_sharpe,aggregate_cagr,aggregate_mdd,delta_sharpe_vs_base_exit,positive_folds_vs_base_exit,avg_cont_decisions,avg_selected_threshold,positive_folds_vs_price_model,pass_vs_base_exit,pass_vs_price_model
osc_12_28_vol_surprise_quote_28,vol_surprise_quote_28,osc_12_28,stateful,train_threshold,1.0,1.0940869769134498,0.33697489858781604,-0.3552306538656199,-0.036672823058752746,0,6.5,-0.0032290269931826376,1,False,False
ema28_vol_surprise_quote_28,vol_surprise_quote_28,ema28,stateful,train_threshold,1.0,1.0890331943409663,0.3338776982055749,-0.37093930671517084,-0.0417266056312362,1,3.0,0.9884599123569358,1,False,False
ema28_net_quote_norm_28,net_quote_norm_28,ema28,one_shot,fixed_natural,0.0,1.0874520457481773,0.3388853984225666,-0.3968248611284806,-0.04330775422402522,1,5.0,,0,False,False
ema28_imbalance_ratio_quote,imbalance_ratio_quote,ema28,one_shot,fixed_natural,0.0,1.082247823641895,0.33662531502642357,-0.3994085686938478,-0.04851197633030746,1,3.75,,0,False,False
ema28_imbalance_ratio_base,imbalance_ratio_base,ema28,one_shot,fixed_natural,0.0,1.082247823641895,0.33662531502642357,-0.3994085686938478,-0.04851197633030746,1,3.75,,0,False,False
osc_12_28_net_quote_norm_28,net_quote_norm_28,osc_12_28,one_shot,fixed_natural,0.0,1.0782923106377662,0.3287987832553727,-0.40717149969751987,-0.052467489334436346,1,2.75,,0,False,False
ema28_net_quote_norm_28,net_quote_norm_28,ema28,one_shot,train_threshold,0.0,1.0670021915533128,0.32520356488607427,-0.40260904724436486,-0.06375760841888978,1,2.0,0.0165505452029404,0,False,False
imbalance_ratio_base,imbalance_ratio_base,level,one_shot,train_threshold,0.0,1.0568484472931625,0.32157724908943663,-0.41850919365088035,-0.07391135267904003,1,3.25,-0.033450234787189725,0,False,False
imbalance_ratio_quote,imbalance_ratio_quote,level,one_shot,train_threshold,0.0,1.0568484472931625,0.32157724908943663,-0.41850919365088035,-0.07391135267904003,1,3.25,-0.03321071142165184,0,False,False
pos_count4_imbalance_ratio_base,imbalance_ratio_base,pos_count4,one_shot,train_threshold,,1.0560721996741045,0.3333043833879905,-0.4238310452860973,-0.07468760029809807,1,16.5,1.0,1,False,False
ema12_vol_surprise_quote_28,vol_surprise_quote_28,ema12,stateful,fixed_natural,1.0,1.0541249191305855,0.33277423824891006,-0.38427193711650276,-0.07663488084161707,2,18.25,,2,False,False
osc_12_28_vol_surprise_quote_28,vol_surprise_quote_28,osc_12_28,one_shot,train_threshold,1.0,1.053516975820789,0.32135931087612746,-0.4042483388388457,-0.07724282415141359,1,4.0,-0.04410604733892093,0,False,False
osc_12_28_imbalance_ratio_quote,imbalance_ratio_quote,osc_12_28,one_shot,fixed_natural,0.0,1.0504033582867782,0.31769233773481,-0.40774364831777565,-0.08035644168542433,1,5.25,,0,False,False
osc_12_28_imbalance_ratio_base,imbalance_ratio_base,osc_12_28,one_shot,fixed_natural,0.0,1.0504033582867782,0.31769233773481,-0.40774364831777565,-0.08035644168542433,1,5.25,,0,False,False
osc_12_28_net_quote_norm_28,net_quote_norm_28,osc_12_28,one_shot,train_threshold,0.0,1.0347052184340197,0.31647955251051374,-0.3709393067151706,-0.0960545815381828,0,2.0,-0.03465403574356904,1,False,False
ema12_vol_surprise_quote_28,vol_surprise_quote_28,ema12,stateful,train_threshold,1.0,1.0263298769910814,0.30859303352109735,-0.3713143830962635,-0.10442992298112119,0,4.25,0.8962825673765895,0,False,False
vol_surprise_quote_28,vol_surprise_quote_28,level,one_shot,train_threshold,1.0,1.0182264619294759,0.3084010690934127,-0.4407834621632012,-0.1125333380427267,1,6.75,1.0906796945231703,1,False,False
ema12_vol_surprise_quote_28,vol_surprise_quote_28,ema12,one_shot,fixed_natural,1.0,1.0145331517822997,0.32222887976495795,-0.43299740684181043,-0.1162266481899028,2,17.75,,2,False,False
pos_count4_vol_surprise_quote_28,vol_surprise_quote_28,pos_count4,stateful,train_threshold,,0.9952308680649397,0.29743541357597625,-0.37109091069930167,-0.1355289319072629,0,10.0,1.25,0,False,False
ema28_vol_surprise_quote_28,vol_surprise_quote_28,ema28,stateful,fixed_natural,1.0,0.9874627834883541,0.3068440844439604,-0.40236650913196004,-0.1432970164838484,1,16.25,,0,False,False
imbalance_ratio_quote,imbalance_ratio_quote,level,stateful,train_threshold,0.0,0.9807886233557433,0.28990313278344737,-0.4113970680627643,-0.1499711766164592,0,8.5,-0.09354824812653154,0,False,False
osc_12_28_imbalance_ratio_quote,imbalance_ratio_quote,osc_12_28,one_shot,train_threshold,0.0,0.9785323635600857,0.29226799763774647,-0.4467502230855235,-0.1522274364121169,1,2.75,-0.01624251879269369,0,False,False
osc_12_28_imbalance_ratio_base,imbalance_ratio_base,osc_12_28,one_shot,train_threshold,0.0,0.9785323635600857,0.29226799763774647,-0.4467502230855235,-0.1522274364121169,1,2.75,-0.01625774910877583,0,False,False
pos_count4_net_quote_norm_28,net_quote_norm_28,pos_count4,stateful,train_threshold,,0.9774232838518131,0.291656066133152,-0.4768984806276665,-0.15333651612038945,0,3.0,0.0,0,False,False
pos_count4_imbalance_ratio_base,imbalance_ratio_base,pos_count4,stateful,train_threshold,,0.9774232838518131,0.291656066133152,-0.4768984806276665,-0.15333651612038945,0,3.0,0.0,0,False,False
pos_count4_imbalance_ratio_quote,imbalance_ratio_quote,pos_count4,stateful,train_threshold,,0.9774232838518131,0.291656066133152,-0.4768984806276665,-0.15333651612038945,0,3.0,0.0,0,False,False
imbalance_ratio_base,imbalance_ratio_base,level,stateful,train_threshold,0.0,0.9715377785635623,0.2861811183265828,-0.41927811243852564,-0.15922202140864028,0,8.25,-0.09332866636044565,0,False,False
vol_surprise_quote_28,vol_surprise_quote_28,level,stateful,train_threshold,1.0,0.9462424073151792,0.27896835453174984,-0.4407051634433652,-0.18451739265702338,1,9.75,1.351479357251368,0,False,False
ema12_imbalance_ratio_quote,imbalance_ratio_quote,ema12,stateful,train_threshold,0.0,0.939717316939685,0.27459028861485213,-0.4850279698743012,-0.19104248303251758,1,5.0,-0.005120089404717423,0,False,False
ema12_imbalance_ratio_base,imbalance_ratio_base,ema12,stateful,train_threshold,0.0,0.939717316939685,0.27459028861485213,-0.4850279698743012,-0.19104248303251758,1,5.0,-0.005318332910752787,0,False,False
pos_count4_vol_surprise_quote_28,vol_surprise_quote_28,pos_count4,one_shot,train_threshold,,0.937161431172739,0.27650881411240236,-0.48996149868983385,-0.19359836879946357,0,4.0,2.0,0,False,False
ema28_vol_surprise_quote_28,vol_surprise_quote_28,ema28,one_shot,fixed_natural,1.0,0.927726505604706,0.28363707897154744,-0.5135061943205971,-0.2030332943674965,2,15.75,,2,False,False
vol_surprise_quote_28,vol_surprise_quote_28,level,stateful,fixed_natural,1.0,0.9259365128677493,0.27184652488854666,-0.46252041301476343,-0.2048232871044533,1,20.75,,1,False,False
vol_surprise_quote_28,vol_surprise_quote_28,level,one_shot,fixed_natural,1.0,0.9057368729919423,0.27697624985915636,-0.5348601804909814,-0.22502292698026027,2,18.5,,1,False,False
osc_12_28_net_quote_norm_28,net_quote_norm_28,osc_12_28,stateful,train_threshold,0.0,0.8678482362850083,0.24781767945568123,-0.5196352200475203,-0.26291156368719426,0,8.0,-0.022099596610736006,0,False,False
net_quote_norm_28,net_quote_norm_28,level,one_shot,train_threshold,0.0,0.8669194248462441,0.24958528018384718,-0.5508629182975606,-0.2638403751259585,1,6.0,-0.04785010287155773,0,False,False
ema12_imbalance_ratio_base,imbalance_ratio_base,ema12,one_shot,train_threshold,0.0,0.8655921351285359,0.2502776560301605,-0.5256946736229651,-0.2651676648436666,0,7.0,-0.048996737750169175,0,False,False
ema12_imbalance_ratio_quote,imbalance_ratio_quote,ema12,one_shot,train_threshold,0.0,0.8655921351285359,0.2502776560301605,-0.5256946736229651,-0.2651676648436666,0,7.0,-0.028672827838862856,0,False,False
ema12_net_quote_norm_28,net_quote_norm_28,ema12,one_shot,train_threshold,0.0,0.8581947107742063,0.24513406841401442,-0.5251179897492959,-0.27256508919799627,0,4.5,-0.014945916905292362,0,False,False
net_quote_norm_28,net_quote_norm_28,level,stateful,train_threshold,0.0,0.7167808874290672,0.19267941019405432,-0.5701790104379115,-0.41397891254313535,0,11.5,-0.10293916720874946,0,False,False
