trade_id,entry_ts_ms,exit_ts_ms,qty,entry_notional_usd,baseline_entry_mid,baseline_exit_mid,baseline_entry_fill,baseline_exit_fill,baseline_pnl_usd,baseline_net_return_pct,twap_entry_price,twap_exit_price,vwap_entry_price,vwap_exit_price,twap_entry_delta_bps,twap_exit_delta_bps,twap_combined_delta_bps,vwap_entry_delta_bps,vwap_exit_delta_bps,vwap_combined_delta_bps,twap_shadow_entry_fill,twap_shadow_exit_fill,twap_shadow_pnl_usd,twap_pnl_delta_usd,vwap_shadow_entry_fill,vwap_shadow_exit_fill,vwap_shadow_pnl_usd,vwap_pnl_delta_usd,entry_m15_count,exit_m15_count,entry_fallback,exit_fallback
54,1603958400000,1604779200000,2.371303458877151,31156.247876737238,13138.87,14643.52,13146.1,14635.47,3497.04,11.3294,13141.5425,14741.07,13143.518180580588,14658.508659008721,2.0340409791708147,66.61649658005642,64.58245560088561,3.537732377736358,10.23569401941593,6.697961641679573,13145.484962749999,14736.647679,3707.01265510574,209.97265510574016,13147.461236034762,14654.11110641102,3506.798084282167,9.758084282167147,4,4,False,False
55,1605081600000,1606363200000,2.247768005446543,34616.75116787948,15400.5,17927.98,15408.97,17918.12,5599.71,16.2837,15396.75,17815.1225,15396.86226598655,17827.38444011498,-2.434985877082241,-62.9504829880434,-60.51549711096116,-2.362088252620964,-56.11092821668717,-53.74883996406621,15401.369025,17809.777963250002,5338.8936018054665,-260.8163981945336,15401.481324666345,17822.036224782947,5366.167100132909,-233.54289986709136,4,4,False,False
56,1606507200000,1607428800000,2.39081562353871,40173.20963650824,16803.14,18762.95,16812.38,18752.63,4593.94,11.5406,17047.9875,18743.1625,17021.908203974162,18722.475454405572,145.71532463575343,-10.546049528460388,-156.26137416421383,130.19483499760344,-21.571525583359286,-151.76636058096273,17053.10189625,18737.53955125,3941.611037701754,-652.3289622982456,17027.014776435353,18716.85871176925,3954.648270757025,-639.2917292429747,4,4,False,False
57,1607817600000,1609761600000,2.3776194492510894,44719.90715893447,18808.69,30742.99,18819.04,30726.08,28237.37,63.2713,18776.31,31098.6725,18792.486544386513,31022.336151808977,-17.215446689800018,115.6954804981547,132.9109271879547,-8.614877279324862,90.86499127409996,99.47986855342482,18781.942893,31089.34289825,29143.73868313893,906.3686831389314,18798.124290349828,31013.029450963437,28923.964112707436,686.5941127074366,4,4,False,False
58,1609819200000,1610337600000,2.336287060067444,72868.88685498598,31190.04,35438.23,31207.2,35418.74,9756.63,13.4954,31048.399999999998,35309.2575,31054.464784724503,35233.49831168675,-45.41193278367217,-36.393606565565676,9.018326218106495,-43.46747079372104,-57.7714203878843,-14.303949594163257,31057.714519999998,35298.66472275,9753.049530897464,-3.580469102535062,31063.78112415992,35222.92826219324,9562.096858110002,-194.53314188999684,4,4,False,False
59,1610424000000,1610870400000,2.3592320273369216,82537.61451478083,34984.95,34760.91,35004.19,34741.79,-701.03,-0.7496,34983.134999999995,34638.515,34978.24611952621,34598.80439688078,-0.5187945102114178,-35.210528147854305,-34.69173363764288,-1.9162183949927858,-46.63445321748449,-44.71823482249171,34993.629940499995,34628.1234455,-1026.5684995912598,-325.5384995912598,34988.739593362065,34588.42475556172,-1108.584260860036,-407.55426086003604,4,4,False,False
60,1610913600000,1611230400000,2.294310128822294,81755.21769944075,35633.9,32206.89,35653.5,32189.18,-8022.08,-9.7166,35801.4075,32019.135,35820.46570043004,31924.20801104439,47.00790539345911,-58.29653220165043,-105.30443759510953,52.356239544377736,-87.77065682393115,-140.12689636830888,35812.14792225,32009.5292595,-8879.990474907812,-857.9104749078124,35831.21184014017,31914.630748641077,-9141.281641417285,-1119.201641417285,4,4,False,False
61,1612238400000,1614009600000,2.195377776405814,73663.8815397428,33554.08,53236.69,33572.54,53207.41,42989.16,58.4849,33800.6475,53458.5475,33780.36311393018,53402.73276036881,73.4836121270499,41.67379677436634,-31.809815352683557,67.43833057862858,31.18953495583776,-36.24879562279082,33810.78769425,53442.50993575,42907.492771025805,-81.66722897419822,33790.49722286436,53386.7119405407,42829.707385256756,-159.45261474324798,4,4,False,False
62,1614124800000,1614326400000,2.3831154125357146,116512.89563428362,48891.0,44986.99,48917.89,44962.25,-9533.9,-8.0863,47875.682499999995,45627.972499999996,47828.84463594616,45518.399617680705,-207.669611994028,142.48174861220875,350.1513606062367,-217.249670502514,118.12517745257267,335.3748479550867,47890.04520474999,45614.284108249994,-5646.2329526429385,3887.667047357061,47843.193289336945,45504.7440977954,-5795.2532181100105,3738.646781889989,4,4,False,False
63,1614672000000,1615809600000,2.2113349295271707,106877.35527993541,48331.6,56150.8,48358.19,56119.92,17039.7,16.0505,48833.8625,55886.42249999999,48812.14938096409,55762.22564139669,103.92010610035696,-47.08347877501517,-151.00358487537213,99.4275755332108,-69.20192741747488,-168.62950295068566,48848.51265875,55869.656573249995,15294.533837992116,-1745.1661620078849,48826.793025778374,55745.49697370427,15068.327349569576,-1971.372650430425,4,4,False,False
