ema_ratio,bars_held,atr_pctl,bar_range_atr,dd_from_peak,bars_since_peak,close_position,vdo_at_exit,d1_regime_str,trail_tightness,label
1.057264,51.000000,0.590000,0.707418,0.037153,32.000000,0.476736,-0.005067,0.072984,0.038031,1
1.036644,38.000000,0.130000,0.846052,0.028786,11.000000,0.619484,-0.013411,0.040646,0.029436,1
1.015401,26.000000,0.010000,0.468076,0.023810,23.000000,0.563394,-0.015399,0.012368,0.023351,1
1.018162,24.000000,0.950000,3.170684,0.047170,6.000000,0.156430,0.008653,0.043262,0.043216,1
1.011423,27.000000,0.610000,0.445632,0.031148,14.000000,0.567338,-0.006946,0.022901,0.031326,1
1.019259,27.000000,0.960000,1.102974,0.034152,8.000000,0.320006,-0.013041,0.026112,0.034331,1
1.013626,41.000000,0.330000,0.655355,0.024043,17.000000,0.457711,-0.006765,0.012633,0.024621,1
1.045276,175.000000,0.890000,3.141376,0.053822,23.000000,0.305454,-0.016719,0.045226,0.043760,1
1.038510,8.000000,1.000000,1.834635,0.051170,5.000000,0.368560,-0.004327,0.071494,0.052000,1
1.027504,29.000000,0.820000,2.531120,0.048646,7.000000,0.004634,-0.008994,0.043706,0.047587,1
1.024095,26.000000,0.080000,1.558812,0.031008,17.000000,0.240194,-0.006520,0.026297,0.029412,1
1.067591,81.000000,0.940000,1.086686,0.046349,12.000000,0.731081,-0.005631,0.075960,0.045934,1
1.022504,36.000000,0.450000,1.632044,0.043738,21.000000,0.130636,-0.006517,0.025134,0.041712,1
1.020032,48.000000,0.230000,1.184349,0.037152,36.000000,0.244945,0.017305,0.027381,0.034518,1
1.017749,48.000000,1.000000,1.721412,0.062894,9.000000,0.380549,-0.017538,0.047974,0.064148,1
1.030668,41.000000,0.970000,1.284724,0.076231,8.000000,0.177986,-0.009913,0.045332,0.078632,0
1.117304,212.000000,1.000000,4.169299,0.100149,5.000000,0.301073,-0.005955,0.175671,0.093634,1
1.067017,63.000000,0.780000,0.992063,0.087768,18.000000,0.138969,-0.005850,0.065143,0.078545,1
1.030877,12.000000,0.790000,1.221437,0.079598,10.000000,0.261297,-0.007428,0.030918,0.085880,1
1.028886,45.000000,0.120000,2.135119,0.042828,24.000000,0.039442,-0.001566,0.050195,0.039504,1
1.019587,4.000000,0.260000,1.411111,0.057819,3.000000,0.335990,-0.003267,0.025422,0.052810,1
1.016809,29.000000,0.280000,0.671980,0.046420,12.000000,0.584760,-0.014981,0.012177,0.045670,0
1.046094,44.000000,0.910000,2.422785,0.047177,16.000000,0.187130,-0.008680,0.052065,0.045203,1
1.022890,33.000000,0.500000,1.117501,0.042554,12.000000,0.114763,0.005543,0.021331,0.040546,1
