feature,h,folds,mean_test_ic,med_test_ic,mean_test_edge,mean_test_net_trade_edge,weighted_test_mean,weighted_test_base,weighted_test_edge,weighted_test_net_trade_edge,mean_freq,total_count,fold_positive_edge_frac,channel
h4_vol_6,24,4,-0.008249804269895552,0.0004985324445771688,0.006333610104108218,0.011681106476482002,0.011688722709885493,0.00686883656746495,0.004819886142420541,0.009688722709885491,0.1826892272807647,1601,1.0,vol_range
d1_vol_5,24,4,0.02564250401940571,0.009362782265815928,-0.0021761384616165195,0.0031713579107572644,0.010087185599107535,0.007078714211901015,0.0030084713872065203,0.008087185599107536,0.23415010245368784,2052,0.5,vol_range
h4_rng_6,24,4,0.004838391964050987,0.02634910649001849,0.009371339535612944,0.014718835907986727,0.009900400691992708,0.007471859548650231,0.002428541143342478,0.007900400691992708,0.19693523054680104,1726,0.75,vol_range
h4_rng_24,12,4,0.028616614802591273,0.026717953629591774,0.015674322280477184,0.017356210795712874,0.009396793212739226,0.00421861945322839,0.005178173759510837,0.007396793212739227,0.20217493057072425,1772,1.0,vol_range
h4_vol_24,12,4,-0.024517777945720985,-0.020193134873279873,0.004845769871235344,0.006527658386471033,0.007018537012904462,0.003640122294696067,0.0033784147182083957,0.005018537012904462,0.1945590330868204,1705,0.75,vol_range
x_breakout_flow,24,4,-0.03232903146679632,0.008364473729744207,-0.006379086661741129,-0.0010315902893673467,0.009565516639243358,0.009367580294328326,0.00019793634491502936,0.007565516639243356,0.09710061264184897,851,0.75,flow_volume
h4_tbuyz_6,24,4,0.0005517005865307172,-0.0012476596678313845,0.0005814395397421106,0.005928935912115895,0.00797490936211814,0.007343160033752226,0.0006317493283659141,0.005974909362118142,0.2017131088713452,1768,0.75,flow_volume
d1_volz_5,24,4,-0.0014781073224151612,-0.02119874820226179,0.0008656508326262292,0.006213147205000014,0.00784707291276439,0.007004691118510975,0.0008423817942534152,0.005847072912764389,0.20319998751833246,1781,0.5,flow_volume
d1_tbuyz_5,24,4,0.010938186328637488,0.012725390553104904,9.503732501758995e-05,0.005442533697391373,0.007383174819616071,0.007253448042265111,0.00012972677735096104,0.005383174819616071,0.2074219115673854,1818,0.5,flow_volume
h4_tbuyz_24,24,4,-0.004196149326207121,-0.00022182282218135684,-0.0014845640356644634,0.00386293233670932,0.0061539783864254525,0.007556173751428626,-0.001402195365003174,0.004153978386425452,0.1999986998262968,1753,0.25,flow_volume
x_breakout_flow,12,4,-0.0073144740755869435,0.010265830846827249,-0.001455480301708506,0.0002264082135271829,0.0057201022033574606,0.004732738075544868,0.0009873641278125929,0.00372010220335746,0.09710061264184897,851,0.5,flow_volume
d1_tbuyz_20,24,4,-0.03460613235471832,-0.02795585959093301,-0.0025117718002230934,0.00283572457215069,0.00472835761008793,0.007410903175104868,-0.002682545565016938,0.00272835761008793,0.20183012450463383,1769,0.25,flow_volume
h4_tbuyz_24,12,4,0.0037475205055127075,0.005157819613910916,-0.0003997385458717616,0.0012821499693639272,0.003458542020948673,0.00382200263636946,-0.00036346061542078694,0.0014585420209486727,0.19908545781716436,1745,0.5,flow_volume
x_trend_align_12_5,24,4,0.04014746847093414,0.035591945732988566,0.001398772937900717,0.006746269310274501,0.00895273051461973,0.007569716626941449,0.001383013887678282,0.006952730514619731,0.6627367616313539,5809,0.5,cross_tf
x_h4_pull_d1trend,24,4,-0.016319462418130135,0.0013989350587258354,-0.001747600440608982,0.003599895931764802,0.007955356793741444,0.008825156522049267,-0.0008697997283078223,0.005955356793741445,0.26410064384601784,2315,0.5,cross_tf
x_h4_pull_d1trend,12,4,0.01205390740422779,0.031563392100874145,0.0003268690152078784,0.0020087575304435674,0.005187685755527262,0.004420985680583654,0.0007667000749436074,0.003187685755527262,0.26410064384601784,2315,0.5,cross_tf
x_trend_align_12_5,12,4,0.022738634572760347,0.02532608276328696,0.0006371029924834992,0.0023189915077191886,0.004410333290585589,0.0037922358291570426,0.0006180974614285472,0.00241033329058559,0.6627367616313539,5809,0.75,cross_tf
x_trend_align_24_10,24,4,-0.04865377831158177,-0.05279742407070011,-0.004036805650040185,0.0013106907223335998,0.003986574938613808,0.007030722035244317,-0.003044147096630509,0.001986574938613809,0.5811126366482562,5094,0.25,cross_tf
x_trend_align_24_10,12,4,-0.006646488590101245,-0.009763893392005497,-0.0005009288284661322,0.0011809596867695571,0.003468600846806105,0.0038847216519296342,-0.00041612080512352874,0.0014686008468061046,0.6813409471505394,5972,0.5,cross_tf
x_h4_pull_d1trend,6,4,0.01632442675435732,0.03896850383802437,-2.6957588183291765e-05,-0.00019224510943984874,0.0024944356244579278,0.002199926094256214,0.0002945095302017134,0.0004944356244579277,0.26410064384601784,2315,0.75,cross_tf
x_trend_align_12_5,6,4,0.010135703429458423,0.032725635199148784,0.00042912304429478697,0.00026383552303822983,0.002306079024468594,0.0018894725162199634,0.0004166065082486306,0.00030607902446859377,0.6627367616313539,5809,0.75,cross_tf
