feature,h,folds,mean_test_ic,med_test_ic,mean_test_edge,mean_test_net_trade_edge,weighted_test_mean,weighted_test_base,weighted_test_edge,weighted_test_net_trade_edge,mean_freq,total_count,fold_positive_edge_frac,channel
h4_vol_6,3,4,0.024728825060902557,0.018494142786883126,0.001854865850449798,0.0007529301285644405,0.002244811637999826,0.0009701433943068634,0.0012746682436929624,0.0002448116379998259,0.18940904504841846,1660,0.75,volatility_range
d1_ret_10,3,4,-0.010212016788861487,-0.006522916566729252,9.894520596384951e-05,-0.0010029905159215078,0.002240574642551648,0.0014505307316504605,0.0007900439109011873,0.0002405746425516477,0.1833960017058279,1608,0.5,price_trend_pullback
close_loc,6,4,0.027908462811516335,0.025154007087317857,0.00039141746877709106,0.00022612994752053397,0.0021948958696362897,0.00176101179787672,0.0004338840717595697,0.00019489586963628954,0.2227140345950219,1952,0.5,bar_shape
d1_body_pct_1,3,4,0.03792601739807336,0.04301309318605248,0.0014844808274840438,0.00038254510559868635,0.002184219040934235,0.0007634838168359011,0.0014207352240983336,0.0001842190409342347,0.1972808167171134,1729,1.0,bar_shape
h4_rng_6,3,4,0.030364361035068684,0.02623097256208755,0.002632272047055834,0.001530336325170476,0.0021022965100492845,0.000994804035510295,0.0011074924745389898,0.00010229651004928464,0.1965935448975983,1723,0.75,volatility_range
h4_rng_24,3,4,0.02501063465159784,0.02638942350256591,0.0025652847474652313,0.0014633490255798734,0.0020312844822018205,0.0010766327307242464,0.0009546517514775743,3.1284482201820744e-05,0.20217493057072425,1772,0.75,volatility_range
h4_ret_6,3,4,0.05187515569833091,0.05413418830242121,0.0008916378290384422,-0.0002102978928469153,0.0019965248128824965,0.0007545886775104295,0.001241936135372067,-3.4751871175036597e-06,0.20435064124567043,1791,0.75,price_trend_pullback
h4_dist_low_48,6,4,0.011301650757435121,0.007802439968794155,0.00040473027628220546,0.00023944275502564837,0.0018704192776633204,0.0016530388798542967,0.00021738039780902317,-0.00012958072233667988,0.32371802872863814,2837,0.75,price_trend_pullback
d1_range_ratio_5_20,6,4,0.0026125227991916303,0.022064839969919692,-0.0004911640358727207,-0.0006564515571292778,0.00184879600733902,0.0019888670526320737,-0.00014007104529305375,-0.00015120399266098014,0.19291821387337346,1691,0.5,volatility_range
hour,6,4,-0.002377739487052218,-0.0036290833381544844,-3.010246498667639e-05,-0.00019538998624323337,0.0018064351738543694,0.0018365332780577402,-3.0098104203371282e-05,-0.00019356482614563077,0.3333712984054669,2922,0.25,seasonality
d1_trendvol_5,3,4,-0.020201880717615212,-0.01271085753245394,0.0003595105948098734,-0.0007424251270754839,0.0018018962091907638,0.0012343108008702334,0.0005675854083205301,-0.00019810379080923655,0.16894041043883465,1481,0.5,price_trend_pullback
d1_dist_high_60,3,4,-0.028382626818610212,-0.029653495385510428,0.00041591036125021005,-0.0006860253606351473,0.0017455462483773488,0.0015527355458070428,0.00019281070257030585,-0.00025445375162265135,0.2517440530054815,2207,0.5,price_trend_pullback
d1_pullback_10,3,4,-0.005553117183328073,-0.01109849645308522,0.0010368841066770375,-6.505161520832005e-05,0.0017048488598657885,0.0011425526830966776,0.000562296176769111,-0.0002951511401342116,0.16285273712567996,1428,0.75,price_trend_pullback
d1_draw_10,3,4,-0.005553117183328073,-0.01109849645308522,0.0010368841066770375,-6.505161520832005e-05,0.0017048488598657885,0.0011425526830966776,0.000562296176769111,-0.0002951511401342116,0.16285273712567996,1428,0.75,price_trend_pullback
x_exhaustion,6,4,-0.02503069092924797,-0.01988538381587534,-0.0012535648082483571,-0.0014188523295049142,0.001674367176665543,0.0026869343780285535,-0.00101256720136301,-0.00032563282333445667,0.1675536451669943,1469,0.0,volatility_range
h4_vol_24,3,4,0.014518720849068748,0.009441511665529473,0.0025702658565422616,0.001468330134656904,0.0016734341895800792,0.000978264705866159,0.00069516948371392,-0.00032656581041992124,0.20116495563807327,1763,1.0,volatility_range
d1_range_ratio_5_20,12,4,-0.033620259818449,-0.037921062734481474,-0.00268904159780804,-0.0010071530825723509,0.0016661419323799468,0.003918233663592958,-0.002252091731213011,-0.00033385806762005363,0.18389994903319082,1612,0.5,volatility_range
d1_ret_5,6,4,-0.018025049463787142,-0.018803247003555484,-0.0007057758345718199,-0.000871063355828377,0.0016335712936735743,0.002223104667545929,-0.0005895333738723551,-0.0003664287063264256,0.1534608023631957,1345,0.5,price_trend_pullback
h4_ret_3,12,4,-0.014052626825011294,-0.003564538087257308,-0.0017602013977110265,-7.831288247533747e-05,0.0016212077235013764,0.003664298403089437,-0.002043090679588061,-0.00037879227649862345,0.21356003162022447,1872,0.5,price_trend_pullback
h4_trendvol_48,6,4,0.0004793143332732741,-0.009269305807151733,0.0006489547753942134,0.00048366725413765636,0.001616552458493915,0.0015000236712898606,0.00011652878720405402,-0.0003834475415060855,0.239674020449132,2101,0.5,price_trend_pullback
x_trend_align_24_10,6,4,-0.0046798759562898425,-0.002510223534718357,-0.0003671068410790063,-0.0005323943623355634,0.0016048902225073223,0.0019367438841314047,-0.0003318536616240826,-0.0003951097774926778,0.6813409471505394,5972,0.5,cross_tf
