symbol,sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,timestamp
BTCUSDT,81119.326,5480346254.7415085,19987853.00000000,1770868800000
BTCUSDT,82011.67,5511200394.026923,19987853.00000000,1770883200000
BTCUSDT,81795.915,5571934758.474231,19987853.00000000,1770897600000
BTCUSDT,81006.746,5435852381.5602,19987853.00000000,1770912000000
BTCUSDT,80295.011,5279459132.643531,19987853.00000000,1770926400000
BTCUSDT,79782.231,5285030284.5792,19987853.00000000,1770940800000
BTCUSDT,79348.721,5278237246.5595,19988415.00000000,1770955200000
BTCUSDT,79733.69,5277139891.251644,19988415.00000000,1770969600000
BTCUSDT,80072.095,5375864299.691,19988415.00000000,1770984000000
BTCUSDT,78683.637,5401844125.8699,19988415.00000000,1770998400000
BTCUSDT,79497.648,5479653630.168,19988415.00000000,1771012800000
BTCUSDT,79203.463,5453426457.234442,19988415.00000000,1771027200000
BTCUSDT,79189.428,5459933152.368775,19988871.00000000,1771041600000
BTCUSDT,79487.577,5499144090.5179825,19988871.00000000,1771056000000
BTCUSDT,78617.088,5539800276.1728,19988871.00000000,1771070400000
BTCUSDT,80375.315,5606507760.0415,19988871.00000000,1771084800000
BTCUSDT,78909.646,5511341642.3302,19988871.00000000,1771099200000
BTCUSDT,77778.239,5428547746.6528,19988871.00000000,1771113600000
BTCUSDT,77405.349,5412358353.340548,19989409.00000000,1771128000000
BTCUSDT,79305.037,5613527739.008,19989409.00000000,1771142400000
BTCUSDT,78943.775,5547276442.3425,19989409.00000000,1771156800000
BTCUSDT,77090.067,5324464456.5627,19989409.00000000,1771171200000
BTCUSDT,77670.791,5302616495.008521,19989409.00000000,1771185600000
BTCUSDT,77130.018,5305413472.757684,19989409.00000000,1771200000000
BTCUSDT,77504.693,5300889560.09366,19990034.00000000,1771214400000
BTCUSDT,77663.953,5324203608.807063,19990034.00000000,1771228800000
BTCUSDT,77401.042,5326055199.18156,19990034.00000000,1771243200000
BTCUSDT,76595.74,5170356063.6821165,19990034.00000000,1771257600000
BTCUSDT,75701.181,5139119974.018955,19990034.00000000,1771272000000
BTCUSDT,75734.731,5215287408.1794405,19990034.00000000,1771286400000
BTCUSDT,75925.459,5196611745.6124,19990578.00000000,1771300800000
BTCUSDT,76612.811,5236746115.4074,19990578.00000000,1771315200000
BTCUSDT,77419.458,5251035516.606856,19990578.00000000,1771329600000
BTCUSDT,79601.32,5361817553.088,19990578.00000000,1771344000000
BTCUSDT,79042.882,5355937780.0318,19990578.00000000,1771358400000
BTCUSDT,79067.561,5335154839.2799,19990578.00000000,1771372800000
BTCUSDT,79400.351,5367435950.710807,19991081.00000000,1771387200000
BTCUSDT,79663.293,5423349526.1712,19991081.00000000,1771401600000
BTCUSDT,79169.824,5331715548.2272,19991081.00000000,1771416000000
BTCUSDT,80491.483,5447062695.269752,19991081.00000000,1771430400000
BTCUSDT,81276.572,5375808229.7223,19991081.00000000,1771444800000
BTCUSDT,80180.36,5327423387.564344,19991081.00000000,1771459200000
BTCUSDT,79653.553,5332909981.553468,19991562.00000000,1771473600000
BTCUSDT,79370.209,5332361094.0317335,19991562.00000000,1771488000000
BTCUSDT,80187.404,5329968537.7356,19991562.00000000,1771502400000
BTCUSDT,79292.066,5262939517.8906,19991562.00000000,1771516800000
BTCUSDT,80682.133,5407824851.0979,19991562.00000000,1771531200000
BTCUSDT,80783.175,5410372362.45,19991562.00000000,1771545600000
BTCUSDT,80485.615,5419496040.188065,19992075.00000000,1771560000000
BTCUSDT,81714.711,5539832489.3028,19992075.00000000,1771574400000
BTCUSDT,81224.019,5463858534.111,19992075.00000000,1771588800000
BTCUSDT,81286.823,5490567231.6288,19992075.00000000,1771603200000
BTCUSDT,80127.436,5417944789.0376,19992075.00000000,1771617600000
BTCUSDT,80199.657,5452680747.034957,19992075.00000000,1771632000000
