strategy,scenario,trade_id,entry_ts_ms,exit_ts_ms,entry_time,exit_time,entry_fill_price,exit_fill_price,entry_mid_price,exit_mid_price,qty,gross_return_pct,net_return_pct,pnl_usd,holding_bars,holding_days,entry_reason,exit_reason
E0_EMA21,smart,26,1579852800000,1581393600000,2020-01-24T08:00:00Z,2020-02-11T04:00:00Z,8341.03,9730.51,8338.53,9733.43,2.8053706279337622,16.7284,16.6584,3888.45,107,17.83,vtrend_ema21_d1_entry,vtrend_ema21_d1_trail_stop
E0_EMA21,smart,27,1581436800000,1581868800000,2020-02-11T16:00:00Z,2020-02-16T16:00:00Z,10168.05,9855.58,10165.0,9858.54,2.682774623846428,-3.0149,-3.073,-847.53,30,5.0,vtrend_ema21_d1_entry,vtrend_ema21_d1_trail_stop
E0_EMA21,smart,28,1582012800000,1582200000000,2020-02-18T08:00:00Z,2020-02-20T12:00:00Z,9793.84,9562.62,9790.9,9565.49,2.6977990343238267,-2.3022,-2.3608,-632.81,13,2.17,vtrend_ema21_d1_entry,vtrend_ema21_d1_trail_stop
E0_EMA21,smart,29,1582502400000,1582646400000,2020-02-24T00:00:00Z,2020-02-25T16:00:00Z,9939.38,9392.37,9936.4,9395.19,2.593720460108343,-5.4467,-5.5035,-1427.32,10,1.67,vtrend_ema21_d1_entry,vtrend_ema21_d1_trail_stop
E0_EMA21,smart,30,1585929600000,1586520000000,2020-04-03T16:00:00Z,2020-04-10T12:00:00Z,6715.35,6896.17,6713.34,6898.24,3.625146062283633,2.7542,2.6926,646.74,41,6.83,vtrend_ema21_d1_entry,vtrend_ema21_d1_trail_stop
E0_EMA21,smart,31,1586721600000,1586966400000,2020-04-12T20:00:00Z,2020-04-15T16:00:00Z,7114.26,6699.89,7112.13,6701.9,3.511555529480718,-5.768,-5.8246,-1463.33,17,2.83,vtrend_ema21_d1_entry,vtrend_ema21_d1_trail_stop
E0_EMA21,smart,32,1586980800000,1587412800000,2020-04-15T20:00:00Z,2020-04-20T20:00:00Z,6732.03,6766.91,6730.01,6768.94,3.4923454137126306,0.5785,0.5181,113.54,30,5.0,vtrend_ema21_d1_entry,vtrend_ema21_d1_trail_stop
E0_EMA21,smart,33,1587643200000,1589083200000,2020-04-23T12:00:00Z,2020-05-10T04:00:00Z,7136.03,8620.14,7133.89,8622.73,3.3093817273724886,20.87,20.7975,4901.51,100,16.67,vtrend_ema21_d1_entry,vtrend_ema21_d1_trail_stop
E0_EMA21,smart,34,1589169600000,1590076800000,2020-05-11T04:00:00Z,2020-05-21T16:00:00Z,8698.85,9079.78,8696.24,9082.5,3.277144205643515,4.4417,4.379,1237.94,63,10.5,vtrend_ema21_d1_entry,vtrend_ema21_d1_trail_stop
E0_EMA21,smart,35,1590192000000,1590364800000,2020-05-23T00:00:00Z,2020-05-25T00:00:00Z,9172.75,8715.52,9170.0,8718.14,3.24165685126456,-4.9276,-4.9846,-1492.06,12,2.0,vtrend_ema21_d1_entry,vtrend_ema21_d1_trail_stop
