trade_id,entry_ts_ms,entry_time,exit_ts_ms,exit_time,entry_price,exit_price,net_return_pct,pnl_usd,holding_bars,exit_reason,decision_bar_idx,decision_close_time,decision_close,ema_fast_h4,ema_slow_h4,atr_14_h4,ratr_h4,vdo,d1_regime,bars_since_last_exit,prior_exit_reason,breadth_ema21_share,funding_raw,funding_pct_rank,oi_level,oi_change_1d,basis_raw,reentry_within_1_bars,reentry_within_2_bars,reentry_within_3_bars,reentry_within_4_bars,reentry_within_6_bars
20,1572595200000,2019-11-01T08:00:00Z,1573214400000,2019-11-08T12:00:00Z,9104.44,9021.31,-0.9131,-223.04,43,vtrend_ema21_d1_trail_stop,4015,2019-11-01T07:59:59Z,9099.0,9110.35,8663.62,206.5,186.92,0.001446,1,9,x0_trail_stop,1.0,,,,,,0,0,0,0,0
21,1573430400000,2019-11-11T00:00:00Z,1573531200000,2019-11-12T04:00:00Z,9045.13,8735.84,-3.4194,-766.18,7,vtrend_ema21_d1_trend_exit,4073,2019-11-10T23:59:59Z,9039.47,8995.27,8938.11,125.14,126.31,0.0,1,13,x0_trail_stop,0.9,,,,,,0,0,0,0,0
22,1577592000000,2019-12-29T04:00:00Z,1577808000000,2019-12-31T16:00:00Z,7311.08,7191.04,-1.6418,-365.51,15,vtrend_ema21_d1_trail_stop,4362,2019-12-29T03:59:59Z,7307.27,7262.49,7258.02,91.93,91.53,0.007218,1,281,x0_trend_exit,0.1818,,,,,,0,0,0,0,0
23,1578182400000,2020-01-05T00:00:00Z,1578614400000,2020-01-10T00:00:00Z,7358.24,7813.44,6.1863,1253.61,30,vtrend_ema21_d1_trail_stop,4403,2020-01-04T23:59:59Z,7354.11,7255.7,7253.16,93.96,87.67,0.030599,1,25,x0_trail_stop,0.4545,,,,,,0,0,0,0,0
24,1578686400000,2020-01-10T20:00:00Z,1579449600000,2020-01-19T16:00:00Z,8062.48,8626.23,6.9923,1504.42,53,vtrend_ema21_d1_trail_stop,4438,2020-01-10T19:59:59Z,8059.49,7850.11,7519.14,171.4,140.26,0.0001,1,8,x0_trail_stop,0.9091,,,,,,0,0,0,0,0
25,1579608000000,2020-01-21T12:00:00Z,1579838400000,2020-01-24T04:00:00Z,8661.52,8316.01,-3.989,-953.07,16,vtrend_ema21_d1_trail_stop,4502,2020-01-21T11:59:59Z,8656.76,8703.23,8245.92,134.41,127.55,0.002066,1,11,x0_trail_stop,0.9091,,,,,,0,0,0,0,0
26,1579852800000,2020-01-24T08:00:00Z,1581393600000,2020-02-11T04:00:00Z,8343.12,9728.08,16.6,3684.96,107,vtrend_ema21_d1_trail_stop,4519,2020-01-24T07:59:59Z,8340.0,8574.81,8319.7,120.13,120.25,0.003832,1,3,x0_trail_stop,0.6364,,,,,,0,0,1,1,1
27,1581436800000,2020-02-11T16:00:00Z,1581868800000,2020-02-16T16:00:00Z,10170.59,9853.12,-3.1215,-837.24,30,vtrend_ema21_d1_trail_stop,4629,2020-02-11T15:59:59Z,10164.99,9842.57,9351.71,146.32,125.56,0.00441,1,2,x0_trail_stop,1.0,,,,,,0,1,1,1,1
28,1582012800000,2020-02-18T08:00:00Z,1582200000000,2020-02-20T12:00:00Z,9796.29,9560.23,-2.4096,-630.62,13,vtrend_ema21_d1_trail_stop,4669,2020-02-18T07:59:59Z,9790.58,9912.2,9685.41,167.71,150.89,0.006618,1,14,x0_trail_stop,0.9091,,,,,,0,0,0,0,0
29,1582502400000,2020-02-24T00:00:00Z,1582646400000,2020-02-25T16:00:00Z,9941.87,9390.02,-5.5507,-1382.89,10,vtrend_ema21_d1_trail_stop,4703,2020-02-23T23:59:59Z,9936.4,9779.46,9723.56,127.45,124.7,0.008677,1,23,x0_trail_stop,0.8182,,,,,,0,0,0,0,0
30,1585929600000,2020-04-03T16:00:00Z,1586520000000,2020-04-10T12:00:00Z,6717.03,6894.45,2.6413,586.19,41,vtrend_ema21_d1_trail_stop,4941,2020-04-03T15:59:59Z,6711.9,6561.77,6557.23,199.36,190.36,0.009299,1,229,x0_trail_stop,0.3636,,,,,,0,0,0,0,0
31,1586721600000,2020-04-12T20:00:00Z,1586966400000,2020-04-15T16:00:00Z,7116.04,6698.21,-5.8716,-1411.11,17,vtrend_ema21_d1_trail_stop,4996,2020-04-12T19:59:59Z,7112.13,6984.12,6838.48,129.65,134.65,0.003969,1,13,x0_trail_stop,0.9091,,,,,,0,0,0,0,0
32,1586980800000,2020-04-15T20:00:00Z,1587412800000,2020-04-20T20:00:00Z,6733.71,6765.22,0.4679,81.64,30,vtrend_ema21_d1_trail_stop,5014,2020-04-15T19:59:59Z,6730.01,6865.39,6832.07,126.18,129.12,0.006276,1,0,x0_trail_stop,0.4545,,,,,,1,1,1,1,1
33,1587643200000,2020-04-23T12:00:00Z,1589083200000,2020-05-10T04:00:00Z,7137.81,8617.99,20.7371,4593.22,100,vtrend_ema21_d1_trail_stop,5060,2020-04-23T11:59:59Z,7133.39,7009.94,6933.76,113.37,114.75,0.005775,1,15,x0_trail_stop,0.8182,,,,,,0,0,0,0,0
34,1589169600000,2020-05-11T04:00:00Z,1590076800000,2020-05-21T16:00:00Z,8701.02,9077.51,4.3269,1133.58,63,vtrend_ema21_d1_trail_stop,5166,2020-05-11T03:59:59Z,8696.64,9176.57,8555.55,298.32,226.72,0.001164,1,5,x0_trail_stop,0.2727,,,,,,0,0,0,0,1
35,1590192000000,2020-05-23T00:00:00Z,1590364800000,2020-05-25T00:00:00Z,9175.04,8713.35,-5.0321,-1433.1,12,vtrend_ema21_d1_trail_stop,5237,2020-05-22T23:59:59Z,9170.0,9361.92,9134.79,194.18,194.25,0.009405,1,7,x0_trail_stop,0.6364,,,,,,0,0,0,0,0
36,1590696000000,2020-05-28T20:00:00Z,1591113600000,2020-06-02T16:00:00Z,9457.44,9462.87,0.0575,-11.29,29,vtrend_ema21_d1_trail_stop,5272,2020-05-28T19:59:59Z,9452.25,9114.28,9097.72,153.92,157.48,0.015029,1,22,x0_trail_stop,0.9091,,,,,,0,0,0,0,0
37,1591228800000,2020-06-04T00:00:00Z,1591905600000,2020-06-11T20:00:00Z,9671.64,9275.83,-4.0925,-1108.01,47,vtrend_ema21_d1_trail_stop,5309,2020-06-03T23:59:59Z,9666.24,9583.18,9330.51,177.33,138.1,0.002262,1,7,x0_trail_stop,1.0,,,,,,0,0,0,0,0
38,1592942400000,2020-06-23T20:00:00Z,1593014400000,2020-06-24T16:00:00Z,9645.32,9244.88,-4.1516,-1075.5,5,vtrend_ema21_d1_trail_stop,5428,2020-06-23T19:59:59Z,9640.48,9481.83,9459.18,96.54,99.79,0.001437,1,72,x0_trail_stop,0.4545,,,,,,0,0,0,0,0
39,1594252800000,2020-07-09T00:00:00Z,1594368000000,2020-07-10T08:00:00Z,9441.25,9149.96,-3.0853,-770.78,8,vtrend_ema21_d1_trail_stop,5519,2020-07-08T23:59:59Z,9436.06,9248.17,9248.08,84.47,82.63,0.004109,1,86,x0_trail_stop,1.0,,,,,,0,0,0,0,0
40,1594425600000,2020-07-11T00:00:00Z,1594468800000,2020-07-11T12:00:00Z,9293.45,9195.31,-1.056,-270.57,3,vtrend_ema21_d1_trend_exit,5531,2020-07-10T23:59:59Z,9288.34,9250.9,9250.3,83.69,79.81,0.004788,1,3,x0_trail_stop,1.0,,,,,,0,0,1,1,1
41,1595707200000,2020-07-25T20:00:00Z,1596412800000,2020-08-03T00:00:00Z,9679.46,11065.27,14.317,3285.55,49,vtrend_ema21_d1_trail_stop,5620,2020-07-25T19:59:59Z,9674.14,9472.8,9314.59,81.03,72.11,0.006206,1,85,x0_trend_exit,1.0,,,,,,0,0,0,0,0
42,1596427200000,2020-08-03T04:00:00Z,1597176000000,2020-08-11T20:00:00Z,11142.4,11380.79,2.1395,537.71,52,vtrend_ema21_d1_trail_stop,5670,2020-08-03T03:59:59Z,11136.47,11176.14,10285.61,304.16,197.89,0.007386,1,4,x0_trail_stop,1.0,,,,,,0,0,0,1,1
43,1597233600000,2020-08-12T12:00:00Z,1597809600000,2020-08-19T04:00:00Z,11466.74,11830.6,3.1731,825.92,40,vtrend_ema21_d1_trail_stop,5726,2020-08-12T11:59:59Z,11460.44,11619.72,11089.06,210.12,195.59,0.00042,1,3,x0_trail_stop,0.75,,,,,,0,0,1,1,1
44,1597838400000,2020-08-19T12:00:00Z,1598371200000,2020-08-25T16:00:00Z,11848.66,11413.14,-3.6757,-1044.91,37,vtrend_ema21_d1_trail_stop,5768,2020-08-19T11:59:59Z,11842.48,11927.36,11486.81,192.41,172.98,0.001677,1,1,x0_trail_stop,0.75,,,,,,1,1,1,1,1
45,1598832000000,2020-08-31T00:00:00Z,1599048000000,2020-09-02T12:00:00Z,11717.61,11399.74,-2.7128,-748.32,15,vtrend_ema21_d1_trail_stop,5837,2020-08-30T23:59:59Z,11711.16,11535.09,11531.62,116.45,119.48,0.017808,1,31,x0_trail_stop,0.5833,,,,,,0,0,0,0,0
46,1600416000000,2020-09-18T08:00:00Z,1600689600000,2020-09-21T12:00:00Z,10960.17,10630.61,-3.0068,-802.52,19,vtrend_ema21_d1_trail_stop,5947,2020-09-18T07:59:59Z,10954.14,10764.87,10762.75,130.61,135.22,0.007221,1,94,x0_trail_stop,0.25,,,,,,0,0,0,0,0
47,1601308800000,2020-09-28T16:00:00Z,1601625600000,2020-10-02T08:00:00Z,10907.89,10485.11,-3.8759,-994.12,22,vtrend_ema21_d1_trail_stop,6009,2020-09-28T15:59:59Z,10901.9,10717.04,10716.11,111.92,115.96,0.009284,1,42,x0_trail_stop,0.3846,,,,,,0,0,0,0,0
48,1602201600000,2020-10-09T00:00:00Z,1603972800000,2020-10-29T12:00:00Z,10931.45,13044.5,19.33,4612.5,123,vtrend_ema21_d1_trail_stop,6071,2020-10-08T23:59:59Z,10925.57,10689.63,10687.31,99.98,89.2,0.010262,1,39,x0_trail_stop,0.3846,,,,,,0,0,0,0,0
49,1603987200000,2020-10-29T16:00:00Z,1606377600000,2020-11-26T08:00:00Z,13444.33,17601.24,30.9194,8803.63,166,vtrend_ema21_d1_trail_stop,6195,2020-10-29T15:59:59Z,13436.95,13181.8,12318.43,255.48,205.83,0.003435,1,4,x0_trail_stop,0.4615,,,,,,0,0,0,1,1
50,1606507200000,2020-11-27T20:00:00Z,1607428800000,2020-12-08T12:00:00Z,16812.38,18752.63,11.5406,4269.92,64,vtrend_ema21_d1_trail_stop,6370,2020-11-27T19:59:59Z,16803.14,17772.31,17007.41,574.15,448.93,0.002965,1,9,x0_trail_stop,0.5385,,,,,,0,0,0,0,0
51,1607817600000,2020-12-13T00:00:00Z,1610352000000,2021-01-11T08:00:00Z,18819.04,34353.35,82.5457,34253.65,176,vtrend_ema21_d1_trail_stop,6461,2020-12-12T23:59:59Z,18808.69,18437.84,18280.84,325.16,330.32,0.028377,1,26,x0_trail_stop,0.1538,,,,,,0,0,0,0,0
52,1610424000000,2021-01-12T04:00:00Z,1610870400000,2021-01-17T08:00:00Z,35004.19,34741.79,-0.7496,-643.16,31,vtrend_ema21_d1_trail_stop,6642,2021-01-12T03:59:59Z,34984.96,36622.61,31973.68,2468.33,1753.12,0.002251,1,5,x0_trail_stop,0.9231,,,,,,0,0,0,0,1
53,1610913600000,2021-01-17T20:00:00Z,1611230400000,2021-01-21T12:00:00Z,35653.5,32189.18,-9.7166,-7359.92,22,vtrend_ema21_d1_trail_stop,6676,2021-01-17T19:59:59Z,35633.91,36463.85,33920.71,1593.55,1584.58,0.001991,1,2,x0_trail_stop,0.8462,,,,,,0,1,1,1,1
54,1612238400000,2021-02-02T04:00:00Z,1614067200000,2021-02-23T08:00:00Z,33572.54,49615.62,47.7863,32213.5,127,vtrend_ema21_d1_trail_stop,6768,2021-02-02T03:59:59Z,33550.32,33436.63,33406.28,1199.24,1152.62,0.000361,1,69,x0_trail_stop,0.8462,,,,,,0,0,0,0,0
55,1614124800000,2021-02-24T00:00:00Z,1614484800000,2021-02-28T04:00:00Z,48917.89,44608.16,-8.8101,-8877.7,25,vtrend_ema21_d1_trail_stop,6899,2021-02-23T23:59:59Z,48891.0,52337.37,47809.22,2670.7,1815.24,0.001995,1,7,x0_trail_stop,0.2308,,,,,,0,0,0,0,0
56,1614672000000,2021-03-02T08:00:00Z,1615852800000,2021-03-16T00:00:00Z,48358.19,55574.62,14.9229,13440.59,82,vtrend_ema21_d1_trail_stop,6937,2021-03-02T07:59:59Z,48331.61,47674.89,47665.76,1782.0,1762.5,0.011296,1,23,x0_trail_stop,0.3077,,,,,,0,0,0,0,0
57,1616025600000,2021-03-18T00:00:00Z,1616443200000,2021-03-22T20:00:00Z,58945.38,55494.46,-5.8544,-6192.62,29,vtrend_ema21_d1_trail_stop,7031,2021-03-17T23:59:59Z,58912.97,56691.92,53515.33,1718.83,1528.49,0.002013,1,14,x0_trail_stop,0.9231,,,,,,0,0,0,0,0
58,1616947200000,2021-03-28T16:00:00Z,1617796800000,2021-04-07T12:00:00Z,56387.98,56289.5,-0.1747,-268.47,59,vtrend_ema21_d1_trail_stop,7095,2021-03-28T15:59:59Z,56354.35,54900.56,54801.61,1165.32,1205.45,0.0006,1,34,x0_trail_stop,0.5385,,,,,,0,0,0,0,0
59,1617926400000,2021-04-09T00:00:00Z,1618660800000,2021-04-17T12:00:00Z,58109.47,60853.45,4.7221,4499.44,51,vtrend_ema21_d1_trail_stop,7163,2021-04-08T23:59:59Z,58077.52,57602.59,56954.43,1022.33,1009.0,0.00496,1,8,x0_trail_stop,1.0,,,,,,0,0,0,0,0
60,1619971200000,2021-05-02T16:00:00Z,1620144000000,2021-05-04T16:00:00Z,56626.33,53772.95,-5.039,-5228.58,12,vtrend_ema21_d1_trail_stop,7305,2021-05-02T15:59:59Z,56595.2,55782.96,55586.56,1168.64,1184.26,0.000595,1,96,x0_trail_stop,1.0,,,,,,0,0,0,0,0
61,1620259200000,2021-05-06T00:00:00Z,1620849600000,2021-05-12T20:00:00Z,57467.7,54407.06,-5.3258,-5231.81,41,vtrend_ema21_d1_trail_stop,7325,2021-05-05T23:59:59Z,57436.11,56067.59,55788.59,1461.62,1395.12,0.006038,1,7,x0_trail_stop,1.0,,,,,,0,0,0,0,0
62,1627214400000,2021-07-25T12:00:00Z,1627934400000,2021-08-02T20:00:00Z,34417.96,39156.31,13.7671,12451.21,50,vtrend_ema21_d1_trail_stop,7808,2021-07-25T11:59:59Z,34399.04,32884.82,32754.97,599.23,577.83,0.005856,1,441,x0_trail_stop,0.1538,,,,,,0,0,0,0,0
63,1628064000000,2021-08-04T08:00:00Z,1629244800000,2021-08-18T00:00:00Z,37849.65,44671.37,18.0232,18539.62,82,vtrend_ema21_d1_trail_stop,7867,2021-08-04T07:59:59Z,37828.84,39243.74,36963.46,897.45,857.64,0.004351,1,10,x0_trail_stop,0.9231,,,,,,0,0,0,0,0
64,1629302400000,2021-08-18T16:00:00Z,1629849600000,2021-08-25T00:00:00Z,45845.2,47647.79,3.9319,4668.63,38,vtrend_ema21_d1_trail_stop,7953,2021-08-18T15:59:59Z,45820.0,45875.87,43282.47,990.98,963.09,0.008228,1,3,x0_trail_stop,1.0,,,,,,0,0,1,1,1
65,1630036800000,2021-08-27T04:00:00Z,1631030400000,2021-09-07T16:00:00Z,46848.0,46630.41,-0.4644,-713.45,69,vtrend_ema21_d1_trail_stop,8004,2021-08-27T03:59:59Z,46822.23,47929.1,46028.25,927.17,898.93,0.001387,1,12,x0_trail_stop,0.3846,,,,,,0,0,0,0,0
66,1631952000000,2021-09-18T08:00:00Z,1632110400000,2021-09-20T04:00:00Z,48648.76,45517.7,-6.436,-8205.35,11,vtrend_ema21_d1_trail_stop,8137,2021-09-18T07:59:59Z,48622.01,47298.2,47255.17,836.32,815.08,0.006477,1,63,x0_trail_stop,0.4615,,,,,,0,0,0,0,0
67,1633176000000,2021-10-02T12:00:00Z,1634860800000,2021-10-22T00:00:00Z,47709.69,62158.95,30.2858,35384.85,117,vtrend_ema21_d1_trail_stop,8222,2021-10-02T11:59:59Z,47683.45,44726.04,44707.5,1003.03,927.93,0.005264,1,73,x0_trail_stop,0.6154,,,,,,0,0,0,0,0
68,1635120000000,2021-10-25T00:00:00Z,1635321600000,2021-10-27T08:00:00Z,60885.69,59917.02,-1.591,-2577.54,14,vtrend_ema21_d1_trail_stop,8357,2021-10-24T23:59:59Z,60852.22,61628.05,58263.28,1206.0,1145.24,0.006694,1,19,x0_trail_stop,0.7692,,,,,,0,0,0,0,0
69,1635465600000,2021-10-29T00:00:00Z,1636185600000,2021-11-06T08:00:00Z,60609.22,60757.44,0.2445,216.23,50,vtrend_ema21_d1_trail_stop,8381,2021-10-28T23:59:59Z,60575.89,60859.75,59163.8,1434.91,1255.64,0.002603,1,9,x0_trail_stop,0.5385,,,,,,0,0,0,0,0
70,1636228800000,2021-11-06T20:00:00Z,1636704000000,2021-11-12T08:00:00Z,61209.06,64452.65,5.2992,7786.29,33,vtrend_ema21_d1_trail_stop,8434,2021-11-06T19:59:59Z,61175.4,61478.78,60634.74,999.44,1015.11,0.000261,1,2,x0_trail_stop,0.6923,,,,,,0,1,1,1,1
71,1636948800000,2021-11-15T04:00:00Z,1637035200000,2021-11-16T04:00:00Z,65748.81,60873.91,-7.4144,-11826.65,6,vtrend_ema21_d1_trail_stop,8484,2021-11-15T03:59:59Z,65712.65,64632.52,63059.1,1059.39,1042.28,0.004944,1,24,x0_trail_stop,0.8462,,,,,,0,0,0,0,0
72,1640476800000,2021-12-26T00:00:00Z,1640707200000,2021-12-28T16:00:00Z,50427.39,48910.56,-3.008,-4519.85,16,vtrend_ema21_d1_trail_stop,8729,2021-12-25T23:59:59Z,50399.66,49769.51,49761.07,764.06,778.62,0.010221,1,238,x0_trail_stop,0.6923,,,,,,0,0,0,0,0
73,1644091200000,2022-02-05T20:00:00Z,1644681600000,2022-02-12T16:00:00Z,41567.75,42100.76,1.2822,1664.08,41,vtrend_ema21_d1_trail_stop,8980,2022-02-05T19:59:59Z,41544.9,39087.07,39083.47,843.1,798.67,0.008008,1,234,x0_trail_stop,0.6923,,,,,,0,0,0,0,0
74,1644883200000,2022-02-15T00:00:00Z,1645113600000,2022-02-17T16:00:00Z,42559.34,41902.38,-1.5436,-2338.81,16,vtrend_ema21_d1_trail_stop,9035,2022-02-14T23:59:59Z,42535.94,42552.88,41391.4,785.18,787.69,0.006634,1,15,x0_trail_stop,0.3077,,,,,,0,0,0,0,0
75,1646150400000,2022-03-01T16:00:00Z,1646409600000,2022-03-04T16:00:00Z,43667.7,40671.94,-6.8603,-9731.48,18,vtrend_ema21_d1_trail_stop,9123,2022-03-01T15:59:59Z,43643.69,40116.61,40002.22,1212.06,985.8,0.00201,1,71,x0_trail_stop,0.5385,,,,,,0,0,0,0,0
76,1647532800000,2022-03-17T16:00:00Z,1648756800000,2022-03-31T20:00:00Z,40821.0,45556.91,11.6017,14947.36,85,vtrend_ema21_d1_trail_stop,9219,2022-03-17T15:59:59Z,40798.56,39820.75,39817.92,879.69,826.46,0.006671,1,80,x0_trail_stop,0.6923,,,,,,0,0,0,0,0
77,1648843200000,2022-04-01T20:00:00Z,1649260800000,2022-04-06T16:00:00Z,46387.18,44144.07,-4.8356,-7144.32,29,vtrend_ema21_d1_trail_stop,9310,2022-04-01T19:59:59Z,46361.68,46142.84,43784.17,781.85,669.93,0.001884,1,5,x0_trail_stop,1.0,,,,,,0,0,0,0,1
78,1658188800000,2022-07-19T00:00:00Z,1658577600000,2022-07-23T12:00:00Z,22444.92,22218.06,-1.0108,-1527.13,27,vtrend_ema21_d1_trail_stop,9959,2022-07-18T23:59:59Z,22432.58,21214.45,20950.57,631.52,499.28,0.006161,1,619,x0_trail_stop,1.0,,,,,,0,0,0,0,0
79,1658620800000,2022-07-24T00:00:00Z,1658793600000,2022-07-26T00:00:00Z,22460.93,21299.18,-5.1723,-7160.51,12,vtrend_ema21_d1_trail_stop,9989,2022-07-23T23:59:59Z,22451.07,22600.19,21716.49,530.25,522.57,0.002431,1,2,x0_trail_stop,0.9231,,,,,,0,1,1,1,1
80,1658966400000,2022-07-28T00:00:00Z,1659384000000,2022-08-01T20:00:00Z,22966.94,22942.75,-0.1053,-264.03,29,vtrend_ema21_d1_trail_stop,10013,2022-07-27T23:59:59Z,22952.45,21905.71,21741.01,513.54,460.5,0.002872,1,11,x0_trail_stop,1.0,,,,,,0,0,0,0,0
81,1659542400000,2022-08-03T16:00:00Z,1660060800000,2022-08-09T16:00:00Z,23365.61,23062.31,-1.298,-1791.54,36,vtrend_ema21_d1_trail_stop,10053,2022-08-03T15:59:59Z,23352.76,23195.88,22565.77,441.85,444.97,0.000719,1,10,x0_trail_stop,1.0,,,,,,0,0,0,0,0
82,1660132800000,2022-08-10T12:00:00Z,1660752000000,2022-08-17T16:00:00Z,23135.08,23379.04,1.0545,1204.64,43,vtrend_ema21_d1_trail_stop,10094,2022-08-10T11:59:59Z,23123.95,23280.05,22899.11,320.09,330.72,0.000653,1,4,x0_trail_stop,0.8462,,,,,,0,0,0,1,1
