strategy,scenario,trade_id,entry_ts_ms,exit_ts_ms,entry_time,exit_time,entry_fill_price,exit_fill_price,entry_mid_price,exit_mid_price,qty,gross_return_pct,net_return_pct,pnl_usd,holding_bars,holding_days,entry_reason,exit_reason
X0,smart,46,1595707200000,1596355200000,2020-07-25T20:00:00Z,2020-08-02T08:00:00Z,9677.04,11322.55,9674.14,11325.95,2.756843509022529,17.0745,17.0043,4525.49,45,7.5,x0_entry,x0_trail_stop
X0,smart,47,1596398400000,1597176000000,2020-08-02T20:00:00Z,2020-08-11T20:00:00Z,11206.16,11383.63,11202.8,11387.05,2.783527964389344,1.6447,1.5837,482.91,54,9.0,x0_entry,x0_trail_stop
X0,smart,48,1597233600000,1597809600000,2020-08-12T12:00:00Z,2020-08-19T04:00:00Z,11463.88,11833.56,11460.44,11837.11,2.7621098189752367,3.2867,3.2247,1009.66,40,6.67,x0_entry,x0_trail_stop
X0,smart,49,1597838400000,1598371200000,2020-08-19T12:00:00Z,2020-08-25T16:00:00Z,11845.7,11415.99,11842.15,11419.42,2.7573473868145264,-3.5697,-3.6275,-1195.87,37,6.17,x0_entry,x0_trail_stop
X0,smart,50,1598832000000,1599048000000,2020-08-31T00:00:00Z,2020-09-02T12:00:00Z,11714.68,11402.59,11711.17,11406.01,2.6851630528701893,-2.6057,-2.6641,-848.74,15,2.5,x0_entry,x0_trail_stop
X0,smart,51,1600416000000,1600689600000,2020-09-18T08:00:00Z,2020-09-21T12:00:00Z,10957.43,10633.27,10954.14,10636.46,2.7922965567935707,-2.9001,-2.9583,-915.53,19,3.17,x0_entry,x0_trail_stop
X0,smart,52,1601308800000,1601625600000,2020-09-28T16:00:00Z,2020-10-02T08:00:00Z,10905.16,10487.73,10901.89,10490.88,2.7207727764105156,-3.7701,-3.8278,-1145.71,22,3.67,x0_entry,x0_trail_stop
X0,smart,53,1602201600000,1603915200000,2020-10-09T00:00:00Z,2020-10-28T20:00:00Z,10928.72,13161.37,10925.44,13165.32,2.609159770349879,20.5015,20.4292,5813.33,119,19.83,x0_entry,x0_trail_stop
X0,smart,54,1603958400000,1604779200000,2020-10-29T08:00:00Z,2020-11-07T20:00:00Z,13142.81,14639.13,13138.87,14643.52,2.6110157699925027,11.4519,11.385,3893.52,57,9.5,x0_entry,x0_trail_stop
X0,smart,55,1605081600000,1606363200000,2020-11-11T08:00:00Z,2020-11-26T04:00:00Z,15405.12,17922.6,15400.5,17927.98,2.479451260733036,16.4117,16.3418,6226.42,89,14.83,x0_entry,x0_trail_stop
X0,smart,56,1606507200000,1607428800000,2020-11-27T20:00:00Z,2020-12-08T12:00:00Z,16808.18,18757.32,16803.14,18762.95,2.6419944807233118,11.6634,11.5964,5132.27,64,10.67,x0_entry,x0_trail_stop
X0,smart,57,1607817600000,1609761600000,2020-12-13T00:00:00Z,2021-01-04T12:00:00Z,18814.33,30733.77,18808.69,30742.99,2.6321455198033488,63.451,63.3529,31345.37,135,22.5,x0_entry,x0_trail_stop
X0,smart,58,1609819200000,1610337600000,2021-01-05T04:00:00Z,2021-01-11T04:00:00Z,31199.4,35427.6,31190.04,35438.23,2.59104815859719,13.6203,13.5522,10923.35,36,6.0,x0_entry,x0_trail_stop
X0,smart,59,1610424000000,1610870400000,2021-01-12T04:00:00Z,2021-01-17T08:00:00Z,34995.45,34750.48,34984.95,34760.91,2.6212091007637053,-0.6404,-0.7,-673.98,31,5.17,x0_entry,x0_trail_stop
X0,smart,60,1610913600000,1611230400000,2021-01-17T20:00:00Z,2021-01-21T12:00:00Z,35644.59,32197.23,35633.9,32206.89,2.5536705300689166,-9.6173,-9.6715,-8832.2,22,3.67,x0_entry,x0_trail_stop
X0,smart,61,1612238400000,1614009600000,2021-02-02T04:00:00Z,2021-02-22T16:00:00Z,33564.15,53220.72,33554.08,53236.69,2.4479567254241923,58.6594,58.5642,48072.84,123,20.5,x0_entry,x0_trail_stop
