rank,bar_index,close_time_ms,datetime_utc,simple_differential,log_differential,candidate_return,baseline_return,candidate_exposure,baseline_exposure,candidate_exposure_prev,baseline_exposure_prev,candidate_nav,baseline_nav,event_type,event_description,economic_class,fwd_1_cand,fwd_1_base,fwd_1_diff,fwd_6_cand,fwd_6_base,fwd_6_diff,fwd_24_cand,fwd_24_base,fwd_24_diff,fwd_42_cand,fwd_42_base,fwd_42_diff
17,14188,1750636799999,2025-06-22 23:59,-0.021045410913,-0.020827015091,0.000000000000,0.021045410913,0.000000,1.000000,0.000000,1.000000,106606.6246,88545.7826,other,"c_prev=0.00→0.00, b_prev=1.00→1.00",harmful,0.00000000,0.00188454,-0.00188454,0.00000000,0.04328340,-0.04328340,0.00541554,0.05926070,-0.05384516,0.01821316,0.07322481,-0.05501165
18,13312,1738022399999,2025-01-27 23:59,-0.019814967494,-0.019621206423,0.000000000000,0.019814967494,0.000000,0.832406,0.000000,0.829085,113839.0497,95807.7253,other,"c_prev=0.00→0.00, b_prev=0.83→0.83",harmful,0.00000000,0.00451328,-0.00451328,0.00000000,-0.00609373,0.00609373,-0.01360569,0.00118423,-0.01478992,-0.04523502,-0.04013658,-0.00509844
19,1884,1573459199999,2019-11-11 07:59,0.019781138891,0.019979404589,0.000000000000,-0.019781138891,0.000000,0.867149,0.000000,0.869777,17825.4880,16607.7612,other,"c_prev=0.00→0.00, b_prev=0.87→0.87",beneficial,0.00000000,-0.00862777,0.00862777,0.00000000,-0.00413877,0.00413877,0.00000000,-0.02357831,0.02357831,-0.00211270,-0.03503975,0.03292705
20,13310,1737993599999,2025-01-27 15:59,-0.019703447397,-0.019511847178,0.000000000000,0.019703447397,0.000000,0.831069,0.000000,0.827740,113839.0497,95049.2999,other,"c_prev=0.00→0.00, b_prev=0.83→0.83",harmful,0.00000000,-0.01160572,0.01160572,0.00000000,0.01369300,-0.01369300,0.01185420,0.03788475,-0.02603055,-0.04523502,-0.03247756,-0.01275746
21,9710,1686153599999,2023-06-07 15:59,0.019690213333,0.019886648425,0.000000000000,-0.019690213333,0.000000,0.968220,0.000000,0.968846,44805.8616,47694.6224,other,"c_prev=0.00→0.00, b_prev=0.97→0.97",beneficial,0.00000000,0.00488345,-0.00488345,0.00000000,0.01367512,-0.01367512,0.00000000,-0.02197956,0.02197956,-0.00013374,-0.01333009,0.01319635
22,854,1558627199999,2019-05-23 15:59,0.019560427579,0.019371581055,0.019560427579,0.000000000000,0.901651,0.000000,0.899728,0.000000,12778.3071,12562.3415,other,"c_prev=0.90→0.90, b_prev=0.00→0.00",beneficial,0.00059187,0.00000000,0.00059187,0.03424000,0.00000000,0.03424000,0.12638657,0.04456820,0.08181837,0.14379546,0.05659153,0.08720394
23,1951,1574423999999,2019-11-22 11:59,-0.019310793682,-0.019499682744,-0.019310793682,0.000000000000,0.311182,0.000000,0.324484,0.000000,16798.2813,16025.8293,other,"c_prev=0.32→0.31, b_prev=0.00→0.00",harmful,-0.00094470,0.00000000,-0.00094470,-0.00094470,0.00000000,-0.00094470,-0.00094470,0.00000000,-0.00094470,-0.00094470,0.00000000,-0.00094470
24,12092,1720454399999,2024-07-08 15:59,-0.018882029045,-0.019062570831,-0.018882029045,0.000000000000,0.770673,0.000000,0.775003,0.000000,70704.2723,61852.1605,other,"c_prev=0.78→0.77, b_prev=0.00→0.00",harmful,0.00989284,0.00000000,0.00989284,0.02370956,0.00000000,0.02370956,0.03389540,0.00000000,0.03389540,0.10040143,0.00000000,0.10040143
25,5999,1632715199999,2021-09-27 03:59,-0.018819833705,-0.018644931646,0.000000000000,0.018819833705,0.000000,0.926687,0.000000,0.925307,43711.5005,50924.2915,other,"c_prev=0.00→0.00, b_prev=0.93→0.93",harmful,-0.00306898,-0.00760503,0.00453605,-0.01059109,-0.03192678,0.02133569,-0.00344270,-0.06714848,0.06370577,0.05050599,-0.05337636,0.10388235
26,12110,1720713599999,2024-07-11 15:59,-0.018256136469,-0.018424836085,-0.018256136469,0.000000000000,0.775757,0.000000,0.779851,0.000000,72307.3501,61852.1605,other,"c_prev=0.78→0.78, b_prev=0.00→0.00",harmful,-0.00032435,0.00000000,-0.00032435,0.01097360,0.00000000,0.01097360,0.07600516,0.00000000,0.07600516,0.07927146,-0.01629805,0.09556951
27,12091,1720439999999,2024-07-08 11:59,0.017972294177,0.017812701821,0.017972294177,0.000000000000,0.775003,0.000000,0.770959,0.000000,72065.0058,61852.1605,other,"c_prev=0.77→0.78, b_prev=0.00→0.00",beneficial,-0.01888203,0.00000000,-0.01888203,0.00371541,0.00000000,0.00371541,0.00067162,0.00000000,0.00067162,0.07186735,0.00000000,0.07186735
28,12136,1721087999999,2024-07-15 23:59,0.017290835259,0.017143049890,0.017290835259,0.000000000000,0.795949,0.000000,0.792421,0.000000,79462.4950,61852.1605,other,"c_prev=0.79→0.80, b_prev=0.00→0.00",beneficial,0.00034433,0.00000000,0.00034433,0.00393652,0.00001540,0.00392112,0.02595155,0.01051308,0.01543847,0.03817912,0.01788367,0.02029546
29,14193,1750708799999,2025-06-23 19:59,-0.017162078353,-0.017016473447,0.000000000000,0.017162078353,0.000000,1.000000,0.000000,1.000000,106606.6246,90472.9302,other,"c_prev=0.00→0.00, b_prev=1.00→1.00",harmful,0.00000000,0.02106061,-0.02106061,0.00044953,0.02405844,-0.02360891,0.00408991,0.03528194,-0.03119202,0.01266738,0.04444186,-0.03177449
30,3202,1592438399999,2020-06-17 23:59,-0.016731823293,-0.016593388383,0.000000000000,0.016731823293,0.000000,0.947982,0.000000,0.947111,13759.7402,14833.5435,other,"c_prev=0.00→0.00, b_prev=0.95→0.95",harmful,0.00000000,-0.00339125,0.00339125,0.00000000,-0.00789422,0.00789422,-0.00562864,-0.01731085,0.01168221,-0.01300390,-0.01712566,0.00412176
31,3188,1592236799999,2020-06-15 15:59,-0.016717023511,-0.016578832047,0.000000000000,0.016717023511,0.000000,0.847869,0.000000,0.845325,13759.7402,14611.6835,other,"c_prev=0.00→0.00, b_prev=0.85→0.85",harmful,0.00000000,0.01099457,-0.01099457,0.00000000,0.01391076,-0.01391076,0.00000000,0.00686463,-0.00686463,0.00708271,0.01824585,-0.01116315
32,9765,1686945599999,2023-06-16 19:59,0.016537132217,0.016401882899,0.016537132217,0.000000000000,0.791254,0.000000,0.787802,0.000000,45396.5820,45334.3034,other,"c_prev=0.79→0.79, b_prev=0.00→0.00",beneficial,-0.00112259,0.00000000,-0.00112259,0.00278533,0.00000000,0.00278533,0.05176778,0.01806431,0.03370348,0.15305418,0.08788475,0.06516943
33,13542,1741334399999,2025-03-07 07:59,0.016293507867,0.016197947083,0.014068308732,-0.002225199135,0.892260,0.000000,0.890744,0.890744,99473.9005,78566.3548,base_exit_cand_hold,baseline exited while candidate held,beneficial_stayed_in,0.00607642,0.00000000,0.00607642,-0.02686626,0.00000000,-0.02686626,-0.02686626,0.00000000,-0.02686626,-0.02686626,0.00000000,-0.02686626
34,11107,1706270399999,2024-01-26 11:59,0.015947915847,0.015558663254,0.033013018017,0.017065102170,1.000000,0.525026,1.000000,0.516920,62517.0575,57590.6696,same_state_diff_exp,both same direction but different exposure,beneficial,0.00323254,0.00180107,0.00143147,0.01142445,0.00726673,0.00415772,0.05445014,0.03567756,0.01877257,0.04502087,0.02755804,0.01746283
35,2525,1582689599999,2020-02-26 03:59,0.015641101608,0.015764714291,0.000000000000,-0.015641101608,0.000000,1.000000,0.000000,1.000000,16854.1336,15748.1239,other,"c_prev=0.00→0.00, b_prev=1.00→1.00",beneficial,0.00000000,-0.00240455,0.00240455,0.00000000,-0.00489679,0.00489679,-0.00654400,-0.01140874,0.00486474,0.00891277,0.00397233,0.00494043
36,6405,1638561599999,2021-12-03 19:59,0.015285795243,0.015728107000,-0.020459444903,-0.035745240146,0.526294,0.934078,0.535985,0.936434,55159.5516,55792.2841,same_state_diff_exp,both same direction but different exposure,beneficial,-0.00232263,-0.00412226,0.00179963,-0.01924333,-0.00644552,-0.01279781,-0.01924333,-0.00644552,-0.01279781,-0.01924333,-0.00644552,-0.01279781
37,6359,1637899199999,2021-11-26 03:59,0.015255751971,0.015373318195,0.000000000000,-0.015255751971,0.000000,0.846672,0.000000,0.849011,57014.7518,59667.8143,other,"c_prev=0.00→0.00, b_prev=0.85→0.85",beneficial,0.00000000,-0.01379000,0.01379000,0.00000000,-0.05196699,0.05196699,-0.00176232,-0.01215874,0.01039642,-0.00904360,-0.02464876,0.01560516
38,12231,1722455999999,2024-07-31 19:59,-0.015189694560,-0.015306239666,-0.015189694560,0.000000000000,0.896150,0.000000,0.897728,0.000000,75721.9752,61349.3870,other,"c_prev=0.90→0.90, b_prev=0.00→0.00",harmful,-0.00863551,0.00000000,-0.00863551,-0.01085261,0.00000000,-0.01085261,-0.01085261,0.00000000,-0.01085261,-0.03384634,-0.02324601,-0.01060033
39,1910,1573833599999,2019-11-15 15:59,0.015094756632,0.015209842063,0.000000000000,-0.015094756632,0.000000,0.862628,0.000000,0.864701,17825.4880,16061.1429,other,"c_prev=0.00→0.00, b_prev=0.86→0.86",beneficial,0.00000000,-0.00219869,0.00219869,0.00000000,-0.00219869,0.00219869,-0.01657979,-0.00219869,-0.01438110,-0.05851598,-0.00219869,-0.05631729
40,12007,1719230399999,2024-06-24 11:59,0.014824053533,0.014935027907,0.000000000000,-0.014824053533,0.000000,0.792291,0.000000,0.795371,76548.6437,66520.2400,other,"c_prev=0.00→0.00, b_prev=0.80→0.79",beneficial,0.00000000,-0.00197934,0.00197934,0.00000000,-0.00197934,0.00197934,0.00273989,0.00353246,-0.00079257,0.01771425,0.01813441,-0.00042017
41,859,1558699199999,2019-05-24 11:59,0.014449203686,0.014345808735,0.014449203686,0.000000000000,0.904146,0.000000,0.902761,0.000000,13110.9342,12562.3415,other,"c_prev=0.90→0.90, b_prev=0.00→0.00",beneficial,0.00800112,0.00000000,0.00800112,0.00775780,0.00261110,0.00514670,0.09009982,0.03892178,0.05117804,0.03643688,0.00049739,0.03593948
42,9704,1686067199999,2023-06-06 15:59,-0.014291848255,-0.014190682549,0.000000000000,0.014291848255,0.000000,0.967886,0.000000,0.967427,44805.8616,47197.9316,other,"c_prev=0.00→0.00, b_prev=0.97→0.97",harmful,0.00000000,0.03765256,-0.03765256,0.00000000,0.01052357,-0.01052357,0.00000000,-0.01623818,0.01623818,-0.00332076,-0.01138355,0.00806278
43,12140,1721145599999,2024-07-16 15:59,0.014091920820,0.013993552756,0.014091920820,0.000000000000,0.796335,0.000000,0.793465,0.000000,79613.0807,61852.1605,other,"c_prev=0.79→0.80, b_prev=0.00→0.00",beneficial,0.00363888,0.00055889,0.00307999,-0.00313817,-0.00611346,0.00297530,0.02632486,0.01193012,0.01439474,0.02253193,0.00783053,0.01470141
44,6017,1632974399999,2021-09-30 03:59,0.014008462446,0.013911250741,0.014008462446,0.000000000000,0.291352,0.000000,0.281425,0.000000,43549.1749,47504.8030,other,"c_prev=0.28→0.29, b_prev=0.00→0.00",beneficial,-0.00203419,0.00000000,-0.00203419,0.00027187,0.00000000,0.00027187,0.05442165,0.01476346,0.03965819,0.20333776,0.13900159,0.06433618
45,6356,1637855999999,2021-11-25 15:59,-0.013992003968,-0.013895019505,0.000000000000,0.013992003968,0.000000,0.784591,0.000000,0.781577,57014.7518,60665.9466,other,"c_prev=0.00→0.00, b_prev=0.78→0.78",harmful,0.00000000,-0.00258663,0.00258663,0.00000000,-0.06764430,0.06764430,-0.00145014,-0.02788492,0.02643479,-0.00717294,-0.03754008,0.03036714
46,6360,1637913599999,2021-11-26 07:59,0.013790004906,0.013885970287,0.000000000000,-0.013790004906,0.000000,0.844528,0.000000,0.846672,57014.7518,58844.9948,other,"c_prev=0.00→0.00, b_prev=0.85→0.84",beneficial,0.00000000,-0.04801890,0.04801890,0.00000000,-0.03800666,0.03800666,-0.00727442,-0.00793337,0.00065896,-0.00515967,-0.00425509,-0.00090458
47,12116,1720799999999,2024-07-12 15:59,0.013692543167,0.013599647324,0.013692543167,0.000000000000,0.778191,0.000000,0.775154,0.000000,73100.8222,61852.1605,other,"c_prev=0.78→0.78, b_prev=0.00→0.00",beneficial,-0.00852850,0.00000000,-0.00852850,0.00824296,0.00000000,0.00824296,0.08908598,0.00000000,0.08908598,0.10266309,0.00344307,0.09922002
48,11984,1718899199999,2024-06-20 15:59,-0.013534744980,-0.013627174596,-0.013534744980,0.000000000000,0.664500,0.000000,0.669041,0.000000,78521.6966,69309.9737,other,"c_prev=0.67→0.66, b_prev=0.00→0.00",harmful,0.00224233,0.00000000,0.00224233,-0.01126657,0.00000000,-0.01126657,-0.02512749,-0.04214978,0.01702229,-0.02393561,-0.03782789,0.01389229
49,9759,1686859199999,2023-06-15 19:59,0.013446257417,0.013356658782,0.013446257417,0.000000000000,0.681559,0.000000,0.677277,0.000000,44171.5624,45334.3034,other,"c_prev=0.68→0.68, b_prev=0.00→0.00",beneficial,0.00382876,0.00000000,0.00382876,0.02773322,0.00000000,0.02773322,0.03697564,0.00000000,0.03697564,0.16047758,0.06806849,0.09240909
50,9789,1687291199999,2023-06-20 19:59,0.013401679887,0.013094229000,0.030195340674,0.016793660787,0.903549,0.522653,0.859262,0.312533,47746.6623,46153.2361,same_state_diff_exp,both same direction but different exposure,beneficial,0.01050118,0.00607436,0.00442682,0.07014660,0.04666827,0.02347833,0.08769349,0.06120595,0.02648754,0.08838032,0.06179447,0.02658585
51,6407,1638590399999,2021-12-04 03:59,-0.013354440717,-0.013476063489,-0.015687319692,-0.002332878975,0.517624,0.000000,0.525191,0.933805,54168.1406,55432.6737,base_exit_cand_hold,baseline exited while candidate held,harmful_stayed_in,-0.00129305,0.00000000,-0.00129305,-0.00129305,0.00000000,-0.00129305,-0.00129305,0.00000000,-0.00129305,-0.00129305,0.00000000,-0.00129305
52,6004,1632787199999,2021-09-27 23:59,0.013234203381,0.013400805242,-0.005800346908,-0.019034550289,0.284447,0.946039,0.288597,0.947067,43128.9034,48847.7524,same_state_diff_exp,both same direction but different exposure,beneficial,0.00277412,0.00922643,-0.00645231,-0.00756419,-0.02515770,0.01759351,0.07809235,-0.00291565,0.08100800,0.10039890,0.01517832,0.08522058
53,14577,1756238399999,2025-08-26 19:59,0.013219189518,0.013132578482,0.013219189518,0.000000000000,1.000000,0.000000,1.000000,0.000000,108484.0846,94619.7987,other,"c_prev=1.00→1.00, b_prev=0.00→0.00",beneficial,0.00582445,0.00000000,0.00582445,0.00868156,0.00000000,0.00868156,-0.02700399,-0.01819004,-0.00881395,-0.02216789,-0.00425006,-0.01791784
54,6024,1633075199999,2021-10-01 07:59,0.013202608335,0.013116213495,0.013202608335,0.000000000000,0.506337,0.000000,0.499819,0.000000,44136.1337,47504.8030,other,"c_prev=0.50→0.51, b_prev=0.00→0.00",beneficial,0.04297849,0.02022093,0.02275756,0.04560004,0.01927055,0.02632949,0.08028439,0.04804773,0.03223666,0.18771147,0.13933121,0.04838025
55,3191,1592279999999,2020-06-16 03:59,-0.013178087079,-0.013092011473,0.000000000000,0.013178087079,0.000000,0.923913,0.000000,0.849624,13759.7402,14977.0611,other,"c_prev=0.00→0.00, b_prev=0.85→0.92",harmful,0.00000000,-0.00564444,0.00564444,0.00000000,-0.01005566,0.01005566,0.00000000,-0.02292327,0.02292327,0.01960959,0.01031624,0.00929335
56,12197,1721966399999,2024-07-26 03:59,-0.013177904090,-0.013091830864,0.000000000000,0.013177904090,0.000000,0.702045,0.000000,0.698119,78361.0578,62636.9050,other,"c_prev=0.00→0.00, b_prev=0.70→0.70",harmful,0.00000000,-0.00158594,0.00158594,0.00199942,0.00873855,-0.00673914,-0.01572170,-0.00845612,-0.00726558,-0.04416561,-0.02055526,-0.02361034
57,6611,1641527999999,2022-01-07 03:59,0.013131530296,0.013218511141,0.000000000000,-0.013131530296,0.000000,0.434837,0.000000,0.442258,49098.8478,49311.0412,other,"c_prev=0.00→0.00, b_prev=0.44→0.43",beneficial,0.00000000,-0.00108633,0.00108633,0.00000000,-0.00108633,0.00108633,0.00000000,-0.00108633,0.00108633,0.00000000,-0.00108633,0.00108633
58,11092,1706054399999,2024-01-23 23:59,0.012991823100,0.012908153270,0.012991823100,0.000000000000,0.682687,0.000000,0.678565,0.000000,60497.4236,56612.1868,other,"c_prev=0.68→0.68, b_prev=0.00→0.00",beneficial,-0.00485268,0.00000000,-0.00485268,0.00323437,0.00160269,0.00163168,0.05418461,0.03058425,0.02360036,0.07471913,0.04087158,0.03384755
59,922,1559606399999,2019-06-03 23:59,-0.012780396292,-0.013373134942,-0.050699044286,-0.037918647993,0.952488,0.702918,0.954897,0.714183,13324.9298,12387.6551,same_state_diff_exp,both same direction but different exposure,harmful,-0.00239828,-0.00176989,-0.00062840,-0.00239828,-0.00176989,-0.00062840,0.00667980,0.00731392,-0.00063411,0.00798515,0.00862009,-0.00063494
60,15054,1763107199999,2025-11-14 07:59,-0.012711863396,-0.012793350436,-0.012711863396,0.000000000000,0.629407,0.000000,0.634118,0.000000,107702.9886,96908.6656,other,"c_prev=0.63→0.63, b_prev=0.00→0.00",harmful,-0.00157248,0.00000000,-0.00157248,-0.00157248,0.00000000,-0.00157248,-0.00157248,0.00000000,-0.00157248,-0.00157248,0.00000000,-0.00157248
61,6006,1632815999999,2021-09-28 07:59,0.012147132818,0.012286669475,-0.005270748220,-0.017417881038,0.282645,0.945585,0.286426,0.946533,43020.5959,48439.7683,same_state_diff_exp,both same direction but different exposure,beneficial,0.00220729,0.00738446,-0.00517717,0.00456695,-0.01930161,0.02386855,0.07271279,-0.00040301,0.07311579,0.10829651,0.02781873,0.08047778
62,12066,1720079999999,2024-07-04 07:59,-0.011898903219,-0.011997774858,-0.014178386233,-0.002279483014,0.949352,0.000000,0.950070,0.912432,72642.8251,64051.7772,base_exit_cand_hold,baseline exited while candidate held,harmful_stayed_in,-0.00237172,0.00000000,-0.00237172,-0.00237172,0.00000000,-0.00237172,-0.02546881,-0.03434123,0.00887242,0.00600211,-0.03434123,0.04034334
63,12196,1721951999999,2024-07-25 23:59,-0.011894750907,-0.011824564376,0.000000000000,0.011894750907,0.000000,0.698119,0.000000,0.694528,78361.0578,61822.2177,other,"c_prev=0.00→0.00, b_prev=0.69→0.70",harmful,0.00000000,0.01317790,-0.01317790,0.00314390,0.02357369,-0.02042979,-0.01340354,0.00714857,-0.02055211,-0.04416561,-0.00764823,-0.03651737
64,9699,1685995199999,2023-06-05 19:59,0.011891836687,0.011989132422,-0.002157528063,-0.014049364749,0.000000,0.967357,0.863616,0.967816,44805.8616,46433.6085,cand_exit_base_hold,candidate exited while baseline held,beneficial_exit_at_top,0.00000000,0.00370676,-0.00370676,0.00000000,0.05473290,-0.05473290,0.00000000,0.02933249,-0.02933249,-0.00259082,0.00733124,-0.00992206
65,13499,1740715199999,2025-02-28 03:59,-0.011799475260,-0.012073051120,-0.028547909581,-0.016748434322,0.555490,0.321983,0.568180,0.333339,101403.6216,82609.7729,same_state_diff_exp,both same direction but different exposure,harmful,-0.00861588,-0.00499409,-0.00362179,0.03579968,0.02275227,0.01304741,0.01516908,0.00008015,0.01508893,-0.03263923,-0.04682500,0.01418577
66,13311,1738007999999,2025-01-27 19:59,0.011605716236,0.011673588207,0.000000000000,-0.011605716236,0.000000,0.829085,0.000000,0.831069,113839.0497,93946.1847,other,"c_prev=0.00→0.00, b_prev=0.83→0.83",beneficial,0.00000000,0.01981497,-0.01981497,0.00000000,0.02265406,-0.02265406,-0.01457848,0.01990032,-0.03447880,-0.04523502,-0.02111692,-0.02411810
67,12090,1720425599999,2024-07-08 07:59,0.011564886843,0.011520525089,0.009644217388,-0.001920669455,0.770959,0.000000,0.768750,0.768750,70792.6986,61852.1605,base_exit_cand_hold,baseline exited while candidate held,beneficial_stayed_in,0.01797229,0.00000000,0.01797229,0.01745921,0.00000000,0.01745921,0.01732256,0.00000000,0.01732256,0.09646111,0.00000000,0.09646111
68,12130,1721001599999,2024-07-14 23:59,0.011527036813,0.011461106693,0.011527036813,0.000000000000,0.785597,0.000000,0.783125,0.000000,75625.8048,61852.1605,other,"c_prev=0.78→0.79, b_prev=0.00→0.00",beneficial,0.02390415,0.00000000,0.02390415,0.05073255,0.00000000,0.05073255,0.03855340,-0.01243511,0.05098851,0.10047211,0.02459987,0.07587225
69,9707,1686110399999,2023-06-07 03:59,0.011428036762,0.011493838578,0.000000000000,-0.011428036762,0.000000,0.968861,0.000000,0.969217,44805.8616,48675.1579,other,"c_prev=0.00→0.00, b_prev=0.97→0.97",beneficial,0.00000000,-0.00407361,0.00407361,0.00000000,-0.02033710,0.02033710,0.00000000,-0.04253999,0.04253999,0.00034988,-0.03326652,0.03361640
70,6604,1641427199999,2022-01-05 23:59,0.011343021036,0.011420793715,-0.001127437751,-0.012470458787,0.000000,0.444362,0.451291,0.451291,49098.8478,50156.3672,cand_exit_base_hold,candidate exited while baseline held,beneficial_crash_avoidance,0.00000000,-0.00630098,0.00630098,0.00000000,-0.00377181,0.00377181,0.00000000,-0.01792184,0.01792184,0.00000000,-0.01792184,0.01792184
