signal,rule_type,fold,direction,threshold,sharpe,cagr,mdd,trades,oos_sharpe,oos_cagr,oos_mdd,oos_trades
ema28_imbalance_ratio_base,fixed_natural,1,ge,0.0,-0.4761754924426008,-0.15213685544371525,-0.41669857387987663,22,,,,
ema28_imbalance_ratio_base,fixed_natural,2,ge,0.0,0.35740326504818964,0.059779192561692396,-0.30129393537346827,22,,,,
ema28_imbalance_ratio_base,fixed_natural,3,ge,0.0,0.5571729589505694,0.11056788076765756,-0.22820903038470586,18,,,,
ema28_imbalance_ratio_base,fixed_natural,4,ge,0.0,-1.4364842898870858,-0.16317365410789686,-0.15820129861254406,8,,,,
ema28_imbalance_ratio_base,train_threshold,1,le,0.07070905346,1.66632095709221,1.048918379775877,-0.3870240771524406,94,-0.0347205074474851,-0.0722457539443161,-0.49915883973438047,42.0
ema28_imbalance_ratio_base,train_threshold,2,le,-0.049170873451,1.3989165430625627,0.2686202825881483,-0.2138912759895487,17,0.18935404571001135,0.015130213732940767,-0.10949922585582506,9.0
ema28_imbalance_ratio_base,train_threshold,3,le,-0.052336257581,1.325128505066555,0.22432183321774035,-0.2097621020990379,21,0.2520676839764779,0.025284174301190898,-0.1377973216808116,11.0
ema28_imbalance_ratio_base,train_threshold,4,le,-0.05422752195,1.2481449396966764,0.2054879685190527,-0.1821949962771764,31,0.27829046730579865,0.026124988920471326,-0.12766782547146227,7.0
osc_12_28_imbalance_ratio_base,fixed_natural,1,ge,0.0,0.606679459597133,0.1565414550920552,-0.3648484810818692,31,,,,
osc_12_28_imbalance_ratio_base,fixed_natural,2,ge,0.0,1.5375055975163145,0.5856032823972903,-0.30918733110768204,47,,,,
osc_12_28_imbalance_ratio_base,fixed_natural,3,ge,0.0,1.818573333257709,0.6554226646434065,-0.13236946834247343,28,,,,
osc_12_28_imbalance_ratio_base,fixed_natural,4,ge,0.0,-0.022157305304334646,-0.01664756943298129,-0.12477834959494816,12,,,,
osc_12_28_imbalance_ratio_base,train_threshold,1,ge,-0.000649018469,1.9584958921113707,1.2057339005805106,-0.38861559449066785,75,0.6857024856819702,0.18738930081255267,-0.3392225305551142,31.0
osc_12_28_imbalance_ratio_base,train_threshold,2,ge,0.000621295806,1.5899838954708667,0.7753069190807886,-0.37047495985587087,104,1.5487440009129958,0.5838704704718456,-0.273148715227552,44.0
osc_12_28_imbalance_ratio_base,train_threshold,3,ge,-0.003391021938,1.5996014899254334,0.7693527234111592,-0.37383379849290943,162,1.5096489168219203,0.5207780873817736,-0.1769552305540294,30.0
osc_12_28_imbalance_ratio_base,train_threshold,4,ge,0.000715310549,1.589883263418556,0.7085230786451386,-0.3648903991620457,175,-0.015358273935411407,-0.015559249854089297,-0.12413447267125055,12.0
pos_count4_imbalance_ratio_base,train_threshold,1,ge,4.0,1.8063169924692066,0.7968946946128956,-0.3878034574717957,45,-0.28568622267988203,-0.1026047320809077,-0.3765349723051905,19.0
pos_count4_imbalance_ratio_base,train_threshold,2,ge,2.0,1.3082743405740287,0.6023368638178797,-0.4618430051680942,117,1.5089289390673828,0.5903000743628308,-0.2800176014460827,47.0
pos_count4_imbalance_ratio_base,train_threshold,3,ge,2.0,1.3462376310804998,0.599200581333984,-0.4618430051680942,164,1.1349477926999425,0.3440908182407514,-0.17765579652385788,30.0
pos_count4_imbalance_ratio_base,train_threshold,4,ge,3.0,1.3624069658427984,0.5421579158756065,-0.3526010157403583,156,-0.3454326386172038,-0.06554653491880014,-0.15387075655337334,12.0
imbalance_ratio_quote,fixed_natural,1,ge,0.0,0.4109347624925218,0.08538686522755268,-0.362627462787805,34,,,,
imbalance_ratio_quote,fixed_natural,2,ge,0.0,1.4772486784277015,0.5839292724972229,-0.27455828452140785,52,,,,
imbalance_ratio_quote,fixed_natural,3,ge,0.0,1.0460123647752775,0.32060611379615556,-0.21299724185200375,32,,,,
imbalance_ratio_quote,fixed_natural,4,ge,0.0,-0.42052776853090873,-0.08062690263351813,-0.16185480366355887,14,,,,
imbalance_ratio_quote,train_threshold,1,ge,0.081334056191,1.792482985894306,0.9644145893519176,-0.3288322849389228,63,0.8965656781056585,0.2071583357789517,-0.16566305494323186,12.0
imbalance_ratio_quote,train_threshold,2,ge,0.070720127546,1.481013892171031,0.6440432728837477,-0.3245089600511276,81,1.2017461556347928,0.33191109235420924,-0.3246890993174919,31.0
imbalance_ratio_quote,train_threshold,3,ge,0.081648317679,1.4849823706942917,0.5742678872650759,-0.3288322849389229,100,0.7859369230249145,0.1918156273183913,-0.2803734884959578,25.0
imbalance_ratio_quote,train_threshold,4,ge,0.083687184963,1.4225496079264783,0.5183877367990939,-0.32966528488576496,122,0.13397919579401382,0.00870677051733515,-0.14220956840197574,11.0
ema12_imbalance_ratio_quote,fixed_natural,1,ge,0.0,0.42694600296843366,0.08855463818908316,-0.3937379241750877,28,,,,
ema12_imbalance_ratio_quote,fixed_natural,2,ge,0.0,0.5957879235600337,0.1417900691910876,-0.2809088628658317,34,,,,
ema12_imbalance_ratio_quote,fixed_natural,3,ge,0.0,1.066528172535102,0.2854859669668095,-0.23516533447681276,23,,,,
ema12_imbalance_ratio_quote,fixed_natural,4,ge,0.0,-0.9799943012895765,-0.15043775997840947,-0.2320643381806924,12,,,,
ema12_imbalance_ratio_quote,train_threshold,1,ge,0.033482362578,1.6672564489723394,0.6061546122630057,-0.3933529445480124,42,0.11484016970978468,0.0063474713193909515,-0.11518611586874505,4.0
ema12_imbalance_ratio_quote,train_threshold,2,ge,0.031925313228,1.2986476371463926,0.3654743041602295,-0.39303290954139924,47,1.5950284937961283,0.2734628106609569,-0.1089270889395072,6.0
ema12_imbalance_ratio_quote,train_threshold,3,ge,0.032007479862,1.3237057242791865,0.3413682319613165,-0.39303290954139924,53,0.32650790987791717,0.042228611723545084,-0.10401439370976939,9.0
ema12_imbalance_ratio_quote,train_threshold,4,ge,-0.009855758092,1.278641512122017,0.512429339587209,-0.41456981258792647,172,-0.2632662265470643,-0.05361284797856192,-0.17493460867117705,12.0
ema28_imbalance_ratio_quote,fixed_natural,1,ge,0.0,-0.4761754924426008,-0.15213685544371525,-0.41669857387987663,22,,,,
ema28_imbalance_ratio_quote,fixed_natural,2,ge,0.0,0.36770120159954683,0.06252618089108775,-0.30129393537346805,22,,,,
ema28_imbalance_ratio_quote,fixed_natural,3,ge,0.0,0.5571729589505694,0.11056788076765756,-0.22820903038470586,18,,,,
ema28_imbalance_ratio_quote,fixed_natural,4,ge,0.0,-1.4364842898870858,-0.16317365410789686,-0.15820129861254406,8,,,,
ema28_imbalance_ratio_quote,train_threshold,1,le,0.070812756797,1.66632095709221,1.048918379775877,-0.3870240771524406,94,-0.0347205074474851,-0.0722457539443161,-0.49915883973438047,42.0
ema28_imbalance_ratio_quote,train_threshold,2,le,-0.04900440247,1.3989165430625627,0.2686202825881483,-0.2138912759895487,17,0.18935404571001135,0.015130213732940767,-0.10949922585582506,9.0
ema28_imbalance_ratio_quote,train_threshold,3,le,-0.010354810116,1.3266115649887433,0.4976085641443204,-0.3371285719844649,118,0.6492339567846732,0.16744379743585713,-0.24760365080116797,35.0
ema28_imbalance_ratio_quote,train_threshold,4,le,-0.054054795889,1.2481449396966764,0.2054879685190527,-0.1821949962771764,31,0.27829046730579865,0.026124988920471326,-0.12766782547146227,7.0
osc_12_28_imbalance_ratio_quote,fixed_natural,1,ge,0.0,0.606679459597133,0.1565414550920552,-0.3648484810818692,31,,,,
osc_12_28_imbalance_ratio_quote,fixed_natural,2,ge,0.0,1.5375055975163145,0.5856032823972903,-0.30918733110768204,47,,,,
osc_12_28_imbalance_ratio_quote,fixed_natural,3,ge,0.0,1.818573333257709,0.6554226646434065,-0.13236946834247343,28,,,,
osc_12_28_imbalance_ratio_quote,fixed_natural,4,ge,0.0,-0.022157305304334646,-0.01664756943298129,-0.12477834959494816,12,,,,
osc_12_28_imbalance_ratio_quote,train_threshold,1,ge,0.0,1.9805463197735382,1.223904464106567,-0.36608288022520274,74,0.606679459597133,0.1565414550920552,-0.3648484810818692,31.0
