trade_id,signal_bar_index,signal_timestamp,entry_bar_index,entry_timestamp,entry_price,exit_bar_index,exit_timestamp,exit_price,exit_reason,ret_net,hold_bars,vdo,imbalance_ratio_base,imbalance_ratio_quote,net_base_norm_28,net_quote_norm_28,vol_surprise_base_28,vol_surprise_quote_28,ema_gap_pct,regime_strength,atr_pct,ema12_imbalance_ratio_base,ema28_imbalance_ratio_base,osc_12_28_imbalance_ratio_base,pos_count4_imbalance_ratio_base,ema12_imbalance_ratio_quote,ema28_imbalance_ratio_quote,osc_12_28_imbalance_ratio_quote,pos_count4_imbalance_ratio_quote,ema12_net_base_norm_28,ema28_net_base_norm_28,osc_12_28_net_base_norm_28,pos_count4_net_base_norm_28,ema12_net_quote_norm_28,ema28_net_quote_norm_28,osc_12_28_net_quote_norm_28,pos_count4_net_quote_norm_28,ema12_vol_surprise_base_28,ema28_vol_surprise_base_28,osc_12_28_vol_surprise_base_28,pos_count4_vol_surprise_base_28,ema12_vol_surprise_quote_28,ema28_vol_surprise_quote_28,osc_12_28_vol_surprise_quote_28,pos_count4_vol_surprise_quote_28,win
64,6237,2020-06-24 15:59:59.999000+00:00,6238,2020-06-24 16:00:00+00:00,9249.97,6240,2020-06-25 00:00:00+00:00,9298.33,trend_exit,0.002718192167649791,2,-0.03418231498093183,-0.15305503175568366,-0.1526951614715629,-0.323655885716984,-0.31749652611619117,2.1146373432114567,2.0792834760210783,0.0016352420010832148,0.015029616014653453,0.011942856598459723,-0.08922490676820002,-0.0550425917872682,-0.03418231498093183,0.0,-0.08905570704752694,-0.05490777337705891,-0.03414793367046803,0.0,-0.1292375036144753,-0.06660253858063106,-0.06263496503384425,0.0,-0.12822253061381056,-0.06597091269233878,-0.06225161792147178,0.0,1.3232118036381346,1.139634999692455,0.18357680394567955,3.0,1.3251633539140584,1.1438112405061984,0.18135211340785995,3.0,1
65,6323,2020-07-08 23:59:59.999000+00:00,6324,2020-07-09 00:00:00+00:00,9436.06,6332,2020-07-10 08:00:00+00:00,9154.99,trail_stop,-0.032209301485289665,8,0.004109479568428984,0.03485332644657484,0.034999878536158664,0.03974804752644857,0.0406292360706413,1.1404377021911132,1.1608393448756371,9.755536167569465e-06,0.017644192142407398,0.008756617028856006,-0.016373513116085543,-0.020482992684514534,0.004109479568428991,2.0,-0.016300636769532875,-0.020417749297106838,0.004117112527573963,2.0,-0.006247455101850967,-0.011457314980785581,0.005209859878934614,2.0,-0.006034272767849144,-0.011256103603372349,0.005221830835523205,2.0,1.2073663099877465,1.12184061784134,0.08552569214640648,4.0,1.2219653731818316,1.1307804643401367,0.09118490884169494,4.0,0
66,6335,2020-07-10 23:59:59.999000+00:00,6336,2020-07-11 00:00:00+00:00,9288.34,6339,2020-07-11 12:00:00+00:00,9200.37,trend_exit,-0.011944245122145203,3,0.004788234799645179,0.05502870460163923,0.05507412388268287,0.039252361584546334,0.03927106747147145,0.7133070252825296,0.7130584147852341,6.48288914069713e-05,0.002167709860359273,0.00859221653660124,-0.02667668630252589,-0.03146492110217107,0.004788234799645179,2.0,-0.026646104738584912,-0.03142642868636378,0.004780323947778865,2.0,-0.02668210582337166,-0.02808725660607575,0.0014051507827040899,2.0,-0.026476287308618347,-0.02790595580006523,0.0014296684914468817,2.0,0.928344939266498,1.0063677798091488,-0.07802284054265085,0.0,0.9273869596391613,1.008783929404051,-0.08139696976488975,0.0,0
67,6349,2020-07-13 07:59:59.999000+00:00,6350,2020-07-13 08:00:00+00:00,9270.01,6356,2020-07-14 08:00:00+00:00,9181.2,trend_exit,-0.012053314351256006,6,-0.013210543114146767,-0.10575542426021314,-0.10569320800001687,-0.10709581274597445,-0.10723586853739737,1.0126744183112844,1.014595644947973,4.6540759398151626e-05,0.003679390654222625,0.007857418233922353,-0.06105731644107043,-0.04784677332692368,-0.013210543114146753,0.0,-0.061029230297819564,-0.047815372684701235,-0.01321385761311833,0.0,-0.05037619349135962,-0.03819182284601989,-0.012184370645339726,0.0,-0.05037810575762619,-0.03811806848786709,-0.012260037269759098,0.0,0.8858779635852921,0.8891028625428974,-0.003224898957605249,2.0,0.8861390002885627,0.8899886186160519,-0.0038496183274892015,2.0,0
68,6401,2020-07-21 23:59:59.999000+00:00,6402,2020-07-22 00:00:00+00:00,9390.0,6470,2020-08-02 08:00:00+00:00,11325.95,trail_stop,0.20315979493152203,68,-0.015369753587091237,-0.19583053998893674,-0.19580653455832023,-0.1297597195503962,-0.13142550016170196,0.6626122746621994,0.6712007873391854,7.262293009836043e-05,0.016033137960848848,0.006063291497759221,-0.06720255924753227,-0.051832805660441045,-0.015369753587091223,1.0,-0.06716055571496972,-0.05179724372276965,-0.01536331199220007,1.0,-0.05033591242734929,-0.04081014773900328,-0.009525764688346011,1.0,-0.05066057006881158,-0.04088649093169626,-0.009774079137115324,1.0,1.330945172575862,1.1632906369830682,0.16765453559279386,3.0,1.3421881181307813,1.1686147869323127,0.17357333119846863,3.0,1
69,6470,2020-08-02 11:59:59.999000+00:00,6471,2020-08-02 12:00:00+00:00,11105.54,6527,2020-08-11 20:00:00+00:00,11387.05,trail_stop,0.02278843848260559,56,-0.003646825347843906,-0.08235716220915572,-0.08224937013992055,-0.09013223964608659,-0.08954916005168424,1.0944068157324938,1.0887519247788218,0.09428404717554592,0.13479237894374824,0.017081937344271016,-0.059181873741201735,-0.055535048393357815,-0.0036468253478439197,0.0,-0.05861612524710282,-0.055164273284761506,-0.0034518519623413166,0.0,-0.06824737962472649,-0.050750656447531094,-0.017496723177195396,0.0,-0.06832086973643256,-0.05126970081240795,-0.017051168924024612,0.0,1.2423894019168877,1.1389556317446636,0.1034337701722241,3.0,1.278072484653484,1.1777293879360116,0.10034309671747255,3.0,1
70,6527,2020-08-11 23:59:59.999000+00:00,6528,2020-08-12 00:00:00+00:00,11392.09,6571,2020-08-19 04:00:00+00:00,11837.11,trail_stop,0.036469530155376795,43,-0.01108907548651926,-0.09348197952673613,-0.09315224601322376,-0.139283077103799,-0.1345032014623584,1.4899457393706947,1.4439072294968016,0.053280103568093595,0.030251835312389272,0.016915777532512468,-0.07545131939449173,-0.06436224390797249,-0.011089075486519245,0.0,-0.07528040664590094,-0.06424114249439059,-0.011039264151510353,0.0,-0.09878126351646001,-0.06996459822626201,-0.028816665290197996,0.0,-0.09725252741660143,-0.0692785796879397,-0.027973947728661727,0.0,1.2843855632219392,1.129005863011644,0.15537970021029524,4.0,1.2770359980779546,1.132389874675378,0.14464612340257665,4.0,1
71,6571,2020-08-19 07:59:59.999000+00:00,6572,2020-08-19 08:00:00+00:00,11823.34,6610,2020-08-25 16:00:00+00:00,11419.42,trail_stop,-0.03657451353542396,38,-0.009024191379212052,-0.12165247908166366,-0.12159092923607553,-0.19426787209300506,-0.19055313293195242,1.5969084523349144,1.567165693437402,0.0394035166852138,0.04035127657060642,0.014812869486950717,-0.05853948469353402,-0.049515293314321966,-0.009024191379212052,0.0,-0.05847272075548339,-0.049443132405315685,-0.009029588350167705,0.0,-0.06851231176786084,-0.0496398098252304,-0.01887250194263044,0.0,-0.06813866278104405,-0.04954272878614714,-0.01859593399489691,0.0,1.1599295631159148,1.0863320680991906,0.07359749501672419,1.0,1.1665563786581874,1.0969002387062183,0.06965613995196906,1.0,0
72,6610,2020-08-25 19:59:59.999000+00:00,6611,2020-08-25 20:00:00+00:00,11294.0,6620,2020-08-27 08:00:00+00:00,11406.17,trend_exit,0.007410144747788561,9,-0.0017901653910924742,-0.09634590629344625,-0.0961242734604734,-0.19152805561200048,-0.18560487856115299,1.9879210542547858,1.9308845921990168,0.0075411960278481995,0.0156249016299377,0.012246641913381037,-0.030274388661132377,-0.028484223270039903,-0.0017901653910924742,1.0,-0.030249989384636123,-0.02846688634051575,-0.0017831030441203717,1.0,-0.05448302580983251,-0.038496851799756676,-0.015986174010075835,1.0,-0.053221142324326454,-0.03780126147970761,-0.015419880844618844,1.0,1.2356299862761162,1.0432001498461612,0.19242983642995504,4.0,1.2187751860164888,1.0328502764359668,0.185924909580522,4.0,1
73,6641,2020-08-30 23:59:59.999000+00:00,6642,2020-08-31 00:00:00+00:00,11711.17,6657,2020-09-02 12:00:00+00:00,11406.01,trail_stop,-0.02848899176750508,15,0.017808215483955593,0.06555970020250239,0.06569579409636926,0.06159091092906126,0.062459525545798596,0.9394629740346243,0.9507385732209374,0.0003012342972972935,0.015413486119741445,0.010202535937636505,-0.001182038787659519,-0.018990254271615114,0.017808215483955593,3.0,-0.0011547254137335115,-0.01896870858760579,0.01781398317387228,3.0,0.0039766872002030456,-0.014706647603000349,0.018683334803203396,3.0,0.00418128810878788,-0.014462987703778268,0.018644275812566148,3.0,0.8762479870759868,0.8896567230464177,-0.013408735970430907,1.0,0.882460742204478,0.8900980695622599,-0.007637327357781887,1.0,0
