trade_before,trade_after,gap_bars,gap_hours,gap_days
165,166,16,64,2.6666666666666665
166,167,9,36,1.5
167,168,10,40,1.6666666666666667
168,169,1,4,0.16666666666666666
169,170,2,8,0.3333333333333333
170,171,4,16,0.6666666666666666
171,172,1,4,0.16666666666666666
172,173,219,876,36.5
173,174,3,12,0.5
174,175,5,20,0.8333333333333334
175,176,1,4,0.16666666666666666
176,177,3,12,0.5
177,178,200,800,33.333333333333336
178,179,7,28,1.1666666666666667
179,180,147,588,24.5
180,181,114,456,19.0
181,182,1,4,0.16666666666666666
182,183,2,8,0.3333333333333333
183,184,32,128,5.333333333333333
184,185,21,84,3.5
185,186,9,36,1.5
186,187,12,48,2.0
187,188,1,4,0.16666666666666666
188,189,5,20,0.8333333333333334
189,190,1,4,0.16666666666666666
190,191,1,4,0.16666666666666666
191,192,109,436,18.166666666666668
192,193,51,204,8.5
193,194,1,4,0.16666666666666666
194,195,1,4,0.16666666666666666
195,196,11,44,1.8333333333333333
196,197,320,1280,53.333333333333336
197,198,103,412,17.166666666666668
198,199,6,24,1.0
199,200,1,4,0.16666666666666666
200,201,5,20,0.8333333333333334
201,202,6,24,1.0
202,203,20,80,3.3333333333333335
203,204,27,108,4.5
204,205,47,188,7.833333333333333
205,206,8,32,1.3333333333333333
206,207,1,4,0.16666666666666666
207,208,12,48,2.0
208,209,52,208,8.666666666666666
209,210,1,4,0.16666666666666666
210,211,165,660,27.5
211,212,60,240,10.0
212,213,5,20,0.8333333333333334
213,214,103,412,17.166666666666668
214,215,392,1568,65.33333333333333
215,216,8,32,1.3333333333333333
216,217,3,12,0.5
