fold,direction,threshold,sharpe,cagr,mdd,end_equity,bar_count,oos_trades,oos_cont_decisions,signal,measurement,operator,role,rule_type
3,ge,0.0,1.7755238390355366,0.6325859102388198,-0.12889252299349852,16316.732783456719,2190,27,5,osc_12_28_imbalance_ratio_base,imbalance_ratio_base,osc_12_28,stateful,fixed_natural
4,ge,0.0,0.2567070614163697,0.028573348198682735,-0.11336992209496244,10189.069214144287,1458,11,3,osc_12_28_imbalance_ratio_base,imbalance_ratio_base,osc_12_28,stateful,fixed_natural
1,never,,0.606679459597133,0.1565414550920552,-0.3648484810818692,12442.496494843084,3294,31,0,osc_12_28_imbalance_ratio_base,imbalance_ratio_base,osc_12_28,stateful,train_threshold
2,never,,1.5375055975163145,0.5856032823972903,-0.30918733110768204,19939.803028168015,3282,47,0,osc_12_28_imbalance_ratio_base,imbalance_ratio_base,osc_12_28,stateful,train_threshold
3,never,,1.818573333257709,0.6554226646434065,-0.13236946834247343,16544.710487751716,2190,28,0,osc_12_28_imbalance_ratio_base,imbalance_ratio_base,osc_12_28,stateful,train_threshold
4,never,,-0.022157305304334646,-0.01664756943298129,-0.12477834959494816,9889.008977112977,1458,12,0,osc_12_28_imbalance_ratio_base,imbalance_ratio_base,osc_12_28,stateful,train_threshold
1,ge,1.0,0.3429268007572595,0.060652312841170675,-0.4238310452860973,10925.131243566431,3294,27,15,pos_count4_imbalance_ratio_base,imbalance_ratio_base,pos_count4,one_shot,train_threshold
2,ge,1.0,2.0415414427263525,0.9337870307477387,-0.20378237102622254,26840.842771639345,3282,37,27,pos_count4_imbalance_ratio_base,imbalance_ratio_base,pos_count4,one_shot,train_threshold
3,ge,1.0,1.1935423154658278,0.3970698321641095,-0.21693052056412598,13965.370246956236,2190,27,16,pos_count4_imbalance_ratio_base,imbalance_ratio_base,pos_count4,one_shot,train_threshold
4,ge,1.0,-0.4786160968331451,-0.09712270647511423,-0.1907819332451426,9343.296737457646,1458,10,8,pos_count4_imbalance_ratio_base,imbalance_ratio_base,pos_count4,one_shot,train_threshold
1,le,0.0,0.19213871744027913,0.0076137963412015175,-0.4718335955108188,10114.625348454061,3294,31,12,pos_count4_imbalance_ratio_base,imbalance_ratio_base,pos_count4,stateful,train_threshold
2,never,,1.5375055975163145,0.5856032823972903,-0.30918733110768204,19939.803028168015,3282,47,0,pos_count4_imbalance_ratio_base,imbalance_ratio_base,pos_count4,stateful,train_threshold
3,never,,1.818573333257709,0.6554226646434065,-0.13236946834247343,16544.710487751716,2190,28,0,pos_count4_imbalance_ratio_base,imbalance_ratio_base,pos_count4,stateful,train_threshold
4,never,,-0.022157305304334646,-0.01664756943298129,-0.12477834959494816,9889.008977112977,1458,12,0,pos_count4_imbalance_ratio_base,imbalance_ratio_base,pos_count4,stateful,train_threshold
1,ge,0.0,0.6812633702931004,0.18743386800076722,-0.3391852629330816,12945.23401864934,3294,30,2,imbalance_ratio_quote,imbalance_ratio_quote,level,one_shot,fixed_natural
2,ge,0.0,1.5751232348583857,0.6072198900959918,-0.30985404587453336,20348.16430020136,3282,47,6,imbalance_ratio_quote,imbalance_ratio_quote,level,one_shot,fixed_natural
3,ge,0.0,1.8137455264945235,0.654684836904589,-0.13236946834247343,16537.34486196396,2190,28,2,imbalance_ratio_quote,imbalance_ratio_quote,level,one_shot,fixed_natural
4,ge,0.0,0.06036072333350236,-0.0036698487524410295,-0.1158206572979793,9975.586295456083,1458,11,3,imbalance_ratio_quote,imbalance_ratio_quote,level,one_shot,fixed_natural
1,le,-0.12776851276968373,0.44852089249669547,0.09828125093418483,-0.4123117716657848,11512.699731182647,3294,31,1,imbalance_ratio_quote,imbalance_ratio_quote,level,one_shot,train_threshold
2,ge,-0.007358783581287895,1.4956853022525238,0.5662924802259832,-0.30985404587453336,19577.333133874978,3282,45,8,imbalance_ratio_quote,imbalance_ratio_quote,level,one_shot,train_threshold
3,ge,0.0034685756998479307,1.7728409913251022,0.6339986535843165,-0.13236946834247343,16330.836205416032,2190,28,1,imbalance_ratio_quote,imbalance_ratio_quote,level,one_shot,train_threshold
4,ge,-0.001184125035483692,0.06036072333350236,-0.0036698487524410295,-0.1158206572979793,9975.586295456083,1458,11,3,imbalance_ratio_quote,imbalance_ratio_quote,level,one_shot,train_threshold
1,ge,0.0,0.6998322696492941,0.19172928319137839,-0.3355900874677066,13015.662816808353,3294,30,2,imbalance_ratio_quote,imbalance_ratio_quote,level,stateful,fixed_natural
2,ge,0.0,1.4913294210397627,0.5609871763579086,-0.30985404587453336,19478.138160515307,3282,47,6,imbalance_ratio_quote,imbalance_ratio_quote,level,stateful,fixed_natural
3,ge,0.0,1.785853331028879,0.6373022557756072,-0.13236946834247365,16363.816023838588,2190,28,2,imbalance_ratio_quote,imbalance_ratio_quote,level,stateful,fixed_natural
4,ge,0.0,0.011867532116071786,-0.01129896952812226,-0.12003764101544434,9924.736810933086,1458,12,3,imbalance_ratio_quote,imbalance_ratio_quote,level,stateful,fixed_natural
1,le,-0.047005436660397214,0.42768886435399256,0.09087199436515747,-0.40569797119667417,11396.193074539742,3294,31,15,imbalance_ratio_quote,imbalance_ratio_quote,level,stateful,train_threshold
