close_time,nav_mid,nav_liq,cash,btc_qty,exposure
1759521599999,126123.58,125934.02,3780.59,0.99740750,0.970025
1759535999999,125695.70,125506.81,3780.59,0.99740750,0.969923
1759550399999,125707.66,125518.75,3780.59,0.99740750,0.969926
1759564799999,125787.54,125598.51,3780.59,0.99740750,0.969945
1759579199999,125437.63,125249.14,3780.59,0.99740750,0.969861
1759593599999,125256.15,125067.94,3780.59,0.99740750,0.969817
1759607999999,125423.66,125235.19,3780.59,0.99740750,0.969857
1759622399999,125854.29,125665.15,3780.59,0.99740750,0.969961
1759636799999,127235.92,127044.64,3780.59,0.99740750,0.970287
1759651199999,128170.90,127978.17,3780.59,0.99740750,0.970504
1759665599999,126925.15,126734.35,3780.59,0.99740750,0.970214
1759679999999,126265.39,126075.62,3780.59,0.99740750,0.970058
1759694399999,126054.56,125865.11,3780.59,0.99740750,0.970008
1759708799999,126942.77,126751.95,3780.59,0.99740750,0.970218
1759723199999,127298.63,127107.25,3780.59,0.99740750,0.970301
1759737599999,126851.17,126660.49,3780.59,0.99740750,0.970197
1759751999999,127673.56,127481.60,3780.59,0.99740750,0.970389
1759766399999,128456.53,128263.36,3780.59,0.99740750,0.970569
1759780799999,128866.27,128672.47,3780.59,0.99740750,0.970663
1759795199999,128115.95,127923.31,3780.59,0.99740750,0.970491
1759809599999,127788.00,127595.87,3780.59,0.99740750,0.970415
1759823999999,127127.97,126936.86,3780.59,0.99740750,0.970262
1759838399999,127911.32,127719.00,3780.59,0.99740750,0.970444
1759852799999,125310.71,125122.42,3780.59,0.99740750,0.969830
1759867199999,125102.41,124914.44,3780.59,0.99740750,0.969780
1759881599999,124798.98,124611.48,3780.59,0.99740750,0.969707
1759895999999,124840.67,124653.11,3780.59,0.99740750,0.969717
1759910399999,125062.41,124874.50,3780.59,0.99740750,0.969770
1759924799999,126346.15,126156.25,3780.59,0.99740750,0.970078
1759939199999,125653.53,125464.70,3780.59,0.99740750,0.969913
1759953599999,126910.54,126719.77,3780.59,0.99740750,0.970211
1759967999999,126766.92,126576.37,3780.59,0.99740750,0.970177
1759982399999,125502.21,125313.62,3780.59,0.99740750,0.969876
1759996799999,125370.65,125182.26,3780.59,0.99740750,0.969845
1760011199999,126199.96,126010.29,3780.59,0.99740750,0.970043
1760025599999,124613.65,124426.44,3780.59,0.99740750,0.969662
1760039999999,124418.74,124231.83,3780.59,0.99740750,0.969614
1760054399999,125127.58,124939.57,3780.59,0.99740750,0.969786
1760068799999,124492.84,124305.81,3780.59,0.99740750,0.969632
1760083199999,124399.12,124212.24,3780.59,0.99740750,0.969609
1760097599999,125020.01,124832.16,3780.59,0.99740750,0.969760
1760111999999,122491.01,122307.08,3780.59,0.99740750,0.969136
1760126399999,122307.09,122307.09,122307.09,0.00000000,0.000000
1760140799999,122307.09,122307.09,122307.09,0.00000000,0.000000
1760155199999,122307.09,122307.09,122307.09,0.00000000,0.000000
1760169599999,122307.09,122307.09,122307.09,0.00000000,0.000000
1760183999999,122307.09,122307.09,122307.09,0.00000000,0.000000
1760198399999,122307.09,122307.09,122307.09,0.00000000,0.000000
1760212799999,122307.09,122307.09,122307.09,0.00000000,0.000000
1760227199999,122307.09,122307.09,122307.09,0.00000000,0.000000
1760241599999,122307.09,122307.09,122307.09,0.00000000,0.000000
1760255999999,122307.09,122307.09,122307.09,0.00000000,0.000000
1760270399999,122307.09,122307.09,122307.09,0.00000000,0.000000
1760284799999,122307.09,122307.09,122307.09,0.00000000,0.000000
1760299199999,122673.37,122606.37,79433.23,0.37816399,0.352482
1760313599999,122906.51,122839.15,79433.23,0.37816399,0.353710
1760327999999,122854.45,122787.17,79433.23,0.37816399,0.353436
1760342399999,123223.21,123088.64,36367.50,0.75265129,0.704865
1760356799999,122305.23,122172.08,36367.50,0.75265129,0.702650
1760371199999,122404.65,122271.35,36367.50,0.75265129,0.702891
1760385599999,123519.13,123384.10,36367.50,0.75265129,0.705572
1760399999999,122965.73,122813.37,24629.91,0.85386153,0.799701
1760414399999,121543.19,121393.04,24629.91,0.85386153,0.797357
1760428799999,120027.08,119879.28,24629.91,0.85386153,0.794797
1760443199999,119676.63,119529.37,24629.91,0.85386153,0.794196
1760457599999,121031.24,120881.88,24629.91,0.85386153,0.796500
1760471999999,120786.42,120637.43,24629.91,0.85386153,0.796087
1760486399999,121140.29,120990.76,24629.91,0.85386153,0.796683
1760500799999,120283.14,120134.94,24629.91,0.85386153,0.795234
1760515199999,120761.48,120612.54,24629.91,0.85386153,0.796045
1760529599999,120181.91,120033.86,24629.91,0.85386153,0.795061
1760543999999,119236.07,119089.49,24629.91,0.85386153,0.793436
1760558399999,119640.56,119493.35,24629.91,0.85386153,0.794134
1760572799999,119206.41,119059.88,24629.91,0.85386153,0.793384
1760587199999,119689.87,119542.59,24629.91,0.85386153,0.794219
1760601599999,119053.50,118907.21,24629.91,0.85386153,0.793119
1760615999999,119754.11,119606.73,24629.91,0.85386153,0.794329
1760630399999,117315.90,117172.30,24629.91,0.85386153,0.790055
1760644799999,117172.30,117172.30,117172.30,0.00000000,0.000000
1760659199999,117172.30,117172.30,117172.30,0.00000000,0.000000
1760673599999,117172.30,117172.30,117172.30,0.00000000,0.000000
1760687999999,117172.30,117172.30,117172.30,0.00000000,0.000000
1760702399999,117172.30,117172.30,117172.30,0.00000000,0.000000
1760716799999,117172.30,117172.30,117172.30,0.00000000,0.000000
1760731199999,117172.30,117172.30,117172.30,0.00000000,0.000000
1760745599999,117172.30,117172.30,117172.30,0.00000000,0.000000
1760759999999,117172.30,117172.30,117172.30,0.00000000,0.000000
1760774399999,117172.30,117172.30,117172.30,0.00000000,0.000000
1760788799999,117172.30,117172.30,117172.30,0.00000000,0.000000
1760803199999,117172.30,117172.30,117172.30,0.00000000,0.000000
1760817599999,117172.30,117172.30,117172.30,0.00000000,0.000000
1760831999999,117172.30,117172.30,117172.30,0.00000000,0.000000
1760846399999,117172.30,117172.30,117172.30,0.00000000,0.000000
1760860799999,116930.28,116869.26,77542.60,0.36884688,0.336848
1760875199999,117298.20,117236.60,77542.60,0.36884688,0.338928
1760889599999,117557.58,117495.58,77542.60,0.36884688,0.340386
1760903999999,117713.14,117650.90,77542.60,0.36884688,0.341258
1760918399999,117615.15,117553.07,77542.60,0.36884688,0.340709
1760932799999,118169.40,118106.46,77542.60,0.36884688,0.343801
1760947199999,118547.28,118483.75,77542.60,0.36884688,0.345893
1760961599999,118457.49,118376.45,66154.40,0.47112793,0.441535
1760975999999,118517.70,118436.57,66154.40,0.47112793,0.441818
1760990399999,118356.89,118276.01,66154.40,0.47112793,0.441060
1761004799999,118160.57,118053.38,48973.24,0.62594797,0.585537
1761019199999,117238.63,117132.86,48973.24,0.62594797,0.582277
1761033599999,116629.68,116524.85,48973.24,0.62594797,0.580096
1761047999999,116938.67,116833.37,48973.24,0.62594797,0.581206
1761062399999,120507.49,120377.28,36465.69,0.74096158,0.697399
1761076799999,119290.67,119162.34,36465.69,0.74096158,0.694312
1761091199999,116710.11,116585.78,36465.69,0.74096158,0.687553
1761105599999,116649.61,116525.37,36465.69,0.74096158,0.687391
1761119999999,116727.86,116603.50,36465.69,0.74096158,0.687601
1761134399999,116159.85,116036.38,36465.69,0.74096158,0.686073
1761148799999,116798.16,116673.69,36465.69,0.74096158,0.687789
1761163199999,116393.48,116269.64,36465.69,0.74096158,0.686703
1761177599999,116169.03,116045.54,36465.69,0.74096158,0.686098
1761191999999,116769.60,116645.18,36465.69,0.74096158,0.687712
1761206399999,117430.49,117305.05,36465.69,0.74096158,0.689470
1761220799999,117418.63,117293.20,36465.69,0.74096158,0.689439
1761235199999,117903.51,117777.33,36465.69,0.74096158,0.690716
1761249599999,118132.07,117988.09,25200.61,0.84329816,0.786674
1761263999999,118029.34,117885.51,25200.61,0.84329816,0.786489
1761278399999,118335.69,118191.39,25200.61,0.84329816,0.787041
1761292799999,118882.33,118725.72,17799.07,0.91021217,0.850280
1761307199999,118892.96,118736.33,17799.07,0.91021217,0.850293
1761321599999,117965.11,117809.92,17799.07,0.91021217,0.849116
1761335999999,118502.53,118337.79,12177.90,0.96121287,0.897235
1761350399999,118877.23,118711.91,12177.90,0.96121287,0.897559
1761364799999,118901.36,118736.00,12177.90,0.96121287,0.897580
1761379199999,119351.31,119180.36,9015.86,0.98964792,0.924459
1761393599999,119424.76,119253.69,9015.86,0.98964792,0.924506
1761407999999,119247.97,119077.18,9015.86,0.98964792,0.924394
1761422399999,119485.73,119309.43,5698.27,1.01938664,0.952310
1761436799999,119508.99,119332.65,5698.27,1.01938664,0.952319
1761451199999,119115.70,118939.97,5698.27,1.01938664,0.952162
1761465599999,119588.21,119411.75,5698.27,1.01938664,0.952351
1761479999999,121180.60,121001.67,5698.27,1.01938664,0.952977
1761494399999,121597.41,121417.84,5698.27,1.01938664,0.953138
1761508799999,121486.31,121306.92,5698.27,1.01938664,0.953095
1761523199999,122478.60,122297.66,5698.27,1.01938664,0.953475
1761537599999,122885.44,122703.88,5698.27,1.01938664,0.953629
1761551999999,123493.09,123310.58,5698.27,1.01938664,0.953858
1761566399999,123296.78,123114.57,5698.27,1.01938664,0.953784
1761580799999,122896.83,122715.24,5698.27,1.01938664,0.953634
1761595199999,122869.27,122687.72,5698.27,1.01938664,0.953623
1761609599999,122018.09,121837.86,5698.27,1.01938664,0.953300
1761623999999,121814.81,121634.90,5698.27,1.01938664,0.953222
1761638399999,122100.37,121920.02,5698.27,1.01938664,0.953331
1761652799999,122273.02,122092.40,5698.27,1.01938664,0.953397
1761667199999,122562.16,122381.10,5698.27,1.01938664,0.953507
1761681599999,121592.33,121412.77,5698.27,1.01938664,0.953136
1761695999999,120785.45,120607.13,5698.27,1.01938664,0.952823
1761710399999,120403.22,120225.50,5698.27,1.01938664,0.952673
1761724799999,121478.07,121298.68,5698.27,1.01938664,0.953092
1761739199999,121023.89,120845.21,5698.27,1.01938664,0.952916
1761753599999,119369.81,119193.69,5698.27,1.01938664,0.952264
1761767999999,118483.21,118308.47,5698.27,1.01938664,0.951906
1761782399999,117852.51,117678.74,5698.27,1.01938664,0.951649
1761796799999,117678.75,117678.75,117678.75,0.00000000,0.000000
1761811199999,117678.75,117678.75,117678.75,0.00000000,0.000000
1761825599999,117678.75,117678.75,117678.75,0.00000000,0.000000
1761839999999,117678.75,117678.75,117678.75,0.00000000,0.000000
1761854399999,117678.75,117678.75,117678.75,0.00000000,0.000000
1761868799999,117678.75,117678.75,117678.75,0.00000000,0.000000
1761883199999,117678.75,117678.75,117678.75,0.00000000,0.000000
1761897599999,117678.75,117678.75,117678.75,0.00000000,0.000000
1761911999999,117678.75,117678.75,117678.75,0.00000000,0.000000
1761926399999,117678.75,117678.75,117678.75,0.00000000,0.000000
1761940799999,117678.75,117678.75,117678.75,0.00000000,0.000000
1761955199999,117678.75,117678.75,117678.75,0.00000000,0.000000
1761969599999,117678.75,117678.75,117678.75,0.00000000,0.000000
1761983999999,117678.75,117678.75,117678.75,0.00000000,0.000000
1761998399999,117678.75,117678.75,117678.75,0.00000000,0.000000
1762012799999,117678.75,117678.75,117678.75,0.00000000,0.000000
1762027199999,117678.75,117678.75,117678.75,0.00000000,0.000000
1762041599999,117678.75,117678.75,117678.75,0.00000000,0.000000
1762055999999,117678.75,117678.75,117678.75,0.00000000,0.000000
1762070399999,117678.75,117678.75,117678.75,0.00000000,0.000000
1762084799999,117678.75,117678.75,117678.75,0.00000000,0.000000
1762099199999,117678.75,117678.75,117678.75,0.00000000,0.000000
1762113599999,117678.75,117678.75,117678.75,0.00000000,0.000000
1762127999999,117678.75,117678.75,117678.75,0.00000000,0.000000
1762142399999,117678.75,117678.75,117678.75,0.00000000,0.000000
1762156799999,117678.75,117678.75,117678.75,0.00000000,0.000000
1762171199999,117678.75,117678.75,117678.75,0.00000000,0.000000
1762185599999,117678.75,117678.75,117678.75,0.00000000,0.000000
1762199999999,117678.75,117678.75,117678.75,0.00000000,0.000000
1762214399999,117678.75,117678.75,117678.75,0.00000000,0.000000
1762228799999,117678.75,117678.75,117678.75,0.00000000,0.000000
1762243199999,117678.75,117678.75,117678.75,0.00000000,0.000000
1762257599999,117678.75,117678.75,117678.75,0.00000000,0.000000
1762271999999,117678.75,117678.75,117678.75,0.00000000,0.000000
1762286399999,117678.75,117678.75,117678.75,0.00000000,0.000000
1762300799999,117678.75,117678.75,117678.75,0.00000000,0.000000
1762315199999,117678.75,117678.75,117678.75,0.00000000,0.000000
1762329599999,117678.75,117678.75,117678.75,0.00000000,0.000000
1762343999999,117646.21,117582.35,76427.32,0.40382722,0.350363
1762358399999,118315.63,118250.73,76427.32,0.40382722,0.354039
1762372799999,118428.62,118363.54,76427.32,0.40382722,0.354655
1762387199999,118265.71,118136.57,34913.03,0.80235407,0.704792
1762401599999,118065.82,117936.99,34913.03,0.80235407,0.704292
1762415999999,117704.32,117576.04,34913.03,0.80235407,0.703384
1762430399999,117720.19,117567.41,19113.47,0.95523610,0.837636
1762444799999,116561.39,116410.41,19113.47,0.95523610,0.836022
1762459199999,115963.73,115813.67,19113.47,0.95523610,0.835177
1762473599999,115922.87,115772.88,19113.47,0.95523610,0.835119
1762487999999,116467.59,116316.76,19113.47,0.95523610,0.835890
1762502399999,116557.11,116406.13,19113.47,0.95523610,0.836016
1762516799999,115030.54,114881.93,19113.47,0.95523610,0.833840
1762531199999,115399.32,115250.13,19113.47,0.95523610,0.834371
1762545599999,117880.35,117727.32,19113.47,0.95523610,0.837857
1762559999999,117826.69,117673.75,19113.47,0.95523610,0.837783
1762574399999,117113.78,116961.94,19113.47,0.95523610,0.836796
1762588799999,116884.72,116733.23,19113.47,0.95523610,0.836476
1762603199999,116411.05,116260.30,19113.47,0.95523610,0.835810
1762617599999,116271.92,116121.39,19113.47,0.95523610,0.835614
1762631999999,116537.67,116386.72,19113.47,0.95523610,0.835989
1762646399999,116846.49,116695.06,19113.47,0.95523610,0.836422
1762660799999,116224.73,116074.27,19113.47,0.95523610,0.835547
1762675199999,116494.63,116343.75,19113.47,0.95523610,0.835928
1762689599999,116776.25,116624.93,19113.47,0.95523610,0.836324
1762703999999,118230.85,118077.28,19113.47,0.95523610,0.838338
1762718399999,119227.54,119072.42,19113.47,0.95523610,0.839689
1762732799999,119148.63,118993.63,19113.47,0.95523610,0.839583
1762747199999,120395.22,120238.30,19113.47,0.95523610,0.841244
1762761599999,120809.29,120651.73,19113.47,0.95523610,0.841788
1762775999999,120537.10,120379.96,19113.47,0.95523610,0.841431
1762790399999,119489.67,119334.15,19113.47,0.95523610,0.840041
1762804799999,120194.64,120038.03,19113.47,0.95523610,0.840979
1762819199999,120379.13,120222.23,19113.47,0.95523610,0.841223
1762833599999,120804.09,120646.53,19113.47,0.95523610,0.841781
1762847999999,119206.91,119051.83,19113.47,0.95523610,0.839661
1762862399999,119711.20,119555.34,19113.47,0.95523610,0.840337
1762876799999,117938.37,117785.25,19113.47,0.95523610,0.837937
1762891199999,117623.53,117470.90,19113.47,0.95523610,0.837503
