scenario,window_id,period_start,period_end,days,v10_trades,v11_trades,matched_trades,v10_turnover,v11_turnover,sum_delta_pnl,mean_delta_pnl,std_delta_pnl,se_mean,snr,ci95_lo,ci95_hi,n_tail_trades,tail_trades
base,0,2021-01-01,2021-07-01,181,7,7,7,283106.36,295017.64,1937.54,276.79,623.21,1273.36,0.217,-2218.99,2772.57,1,"[{""trade_id"": ""V10_base_34"", ""entry_ts"": ""2021-03-02T00:00:00Z"", ""delta_pnl"": 1609.75, ""pct_of_window"": 83.1, ""exit_reason_v10"": ""trailing_stop"", ""exit_reason_v11"": ""trailing_stop"", ""entry_regime"": ""SHOCK"", ""size_ratio"": 1.031}]"
base,1,2021-07-01,2022-01-01,184,10,11,10,512953.06,581158.54,-28182.6,-2818.26,8980.92,1065.37,2.645,-4906.38,-730.14,1,"[{""trade_id"": ""V10_base_43"", ""entry_ts"": ""2021-09-22T16:00:00Z"", ""delta_pnl"": -28358.73, ""pct_of_window"": 100.6, ""exit_reason_v10"": ""trailing_stop"", ""exit_reason_v11"": ""emergency_dd"", ""entry_regime"": ""NEUTRAL"", ""size_ratio"": 0.981}]"
base,2,2022-01-01,2022-07-01,181,0,0,0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0,
base,3,2022-07-01,2023-01-01,184,0,0,0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0,
base,4,2023-01-01,2023-07-01,181,4,4,4,235694.07,236439.25,-65.79,-16.45,42.49,1684.49,0.01,-3318.06,3285.16,1,"[{""trade_id"": ""V10_base_52"", ""entry_ts"": ""2023-05-04T08:00:00Z"", ""delta_pnl"": -77.22, ""pct_of_window"": 117.4, ""exit_reason_v10"": ""trailing_stop"", ""exit_reason_v11"": ""trailing_stop"", ""entry_regime"": ""BULL"", ""size_ratio"": 0.997}]"
base,5,2023-07-01,2024-01-01,184,7,7,7,540881.07,557572.24,4773.78,681.97,1013.3,1273.36,0.536,-1813.81,3177.75,1,"[{""trade_id"": ""V10_base_58"", ""entry_ts"": ""2023-11-15T20:00:00Z"", ""delta_pnl"": 2572.84, ""pct_of_window"": 53.9, ""exit_reason_v10"": ""trailing_stop"", ""exit_reason_v11"": ""trailing_stop"", ""entry_regime"": ""BULL"", ""size_ratio"": 1.03}]"
base,6,2024-01-01,2024-07-01,182,11,11,11,1182968.06,1241224.99,8680.02,789.09,2210.15,1015.79,0.777,-1201.85,2780.04,1,"[{""trade_id"": ""V10_base_70"", ""entry_ts"": ""2024-06-26T04:00:00Z"", ""delta_pnl"": 7220.67, ""pct_of_window"": 83.2, ""exit_reason_v10"": ""emergency_dd"", ""exit_reason_v11"": ""emergency_dd"", ""entry_regime"": ""BULL"", ""size_ratio"": 1.056}]"
base,7,2024-07-01,2025-01-01,184,12,11,10,1277798.26,1323581.9,4775.83,477.58,2758.51,1065.37,0.448,-1610.54,2565.7,3,"[{""trade_id"": ""V10_base_79"", ""entry_ts"": ""2024-11-04T04:00:00Z"", ""delta_pnl"": 5317.66, ""pct_of_window"": 111.3, ""exit_reason_v10"": ""trailing_stop"", ""exit_reason_v11"": ""trailing_stop"", ""entry_regime"": ""BULL"", ""size_ratio"": 1.103}, {""trade_id"": ""V10_base_77"", ""entry_ts"": ""2024-10-11T20:00:00Z"", ""delta_pnl"": 5299.22, ""pct_of_window"": 111.0, ""exit_reason_v10"": ""trailing_stop"", ""exit_reason_v11"": ""trailing_stop"", ""entry_regime"": ""BULL"", ""size_ratio"": 1.275}, {""trade_id"": ""V10_base_74"", ""entry_ts"": ""2024-08-20T04:00:00Z"", ""delta_pnl"": -3243.33, ""pct_of_window"": -67.9, ""exit_reason_v10"": ""trailing_stop"", ""exit_reason_v11"": ""trailing_stop"", ""entry_regime"": ""BULL"", ""size_ratio"": 1.153}]"
base,8,2025-01-01,2025-07-01,181,10,10,9,1253496.7,1374359.35,-697.94,-77.55,855.58,1123.0,0.069,-2278.62,2123.52,7,"[{""trade_id"": ""V10_base_85"", ""entry_ts"": ""2025-02-04T20:00:00Z"", ""delta_pnl"": -1394.02, ""pct_of_window"": 199.7, ""exit_reason_v10"": ""emergency_dd"", ""exit_reason_v11"": ""emergency_dd"", ""entry_regime"": ""CHOP"", ""size_ratio"": 1.109}, {""trade_id"": ""V10_base_84"", ""entry_ts"": ""2025-01-24T16:00:00Z"", ""delta_pnl"": -1114.93, ""pct_of_window"": 159.7, ""exit_reason_v10"": ""emergency_dd"", ""exit_reason_v11"": ""emergency_dd"", ""entry_regime"": ""CHOP"", ""size_ratio"": 1.109}, {""trade_id"": ""V10_base_83"", ""entry_ts"": ""2025-01-10T20:00:00Z"", ""delta_pnl"": 942.87, ""pct_of_window"": -135.1, ""exit_reason_v10"": ""trailing_stop"", ""exit_reason_v11"": ""trailing_stop"", ""entry_regime"": ""CHOP"", ""size_ratio"": 1.109}, {""trade_id"": ""V10_base_86"", ""entry_ts"": ""2025-02-26T12:00:00Z"", ""delta_pnl"": -931.87, ""pct_of_window"": 133.5, ""exit_reason_v10"": ""emergency_dd"", ""exit_reason_v11"": ""emergency_dd"", ""entry_regime"": ""BULL"", ""size_ratio"": 1.137}, {""trade_id"": ""V10_base_91"", ""entry_ts"": ""2025-05-06T20:00:00Z"", ""delta_pnl"": 673.31, ""pct_of_window"": -96.5, ""exit_reason_v10"": ""trailing_stop"", ""exit_reason_v11"": ""trailing_stop"", ""entry_regime"": ""BULL"", ""size_ratio"": 1.017}, {""trade_id"": ""V10_base_87"", ""entry_ts"": ""2025-02-28T20:00:00Z"", ""delta_pnl"": 586.94, ""pct_of_window"": -84.1, ""exit_reason_v10"": ""trailing_stop"", ""exit_reason_v11"": ""emergency_dd"", ""entry_regime"": ""NEUTRAL"", ""size_ratio"": 1.177}, {""trade_id"": ""V10_base_92"", ""entry_ts"": ""2025-06-02T16:00:00Z"", ""delta_pnl"": 389.85, ""pct_of_window"": -55.9, ""exit_reason_v10"": ""trailing_stop"", ""exit_reason_v11"": ""trailing_stop"", ""entry_regime"": ""BULL"", ""size_ratio"": 1.026}]"
base,9,2025-07-01,2026-01-01,184,8,9,8,1112252.22,1257422.72,-16746.92,-2093.36,3525.99,1191.12,1.757,-4427.95,241.22,1,"[{""trade_id"": ""V10_base_96"", ""entry_ts"": ""2025-08-26T16:00:00Z"", ""delta_pnl"": -10156.81, ""pct_of_window"": 60.6, ""exit_reason_v10"": ""trailing_stop"", ""exit_reason_v11"": ""emergency_dd"", ""entry_regime"": ""BULL"", ""size_ratio"": 1.04}]"
