sample_id,cluster_mean_delta_pnl,block8_mean_delta_pnl,iid_mean_delta_pnl
46,-14.945957446808421,179.3481052631579,-497.18684210526317
47,-252.18875000000008,-256.5764210526317,-892.1623157894735
48,-137.80525641025633,-80.1978947368421,-122.89400000000008
49,-144.45084210526306,196.30505263157906,-475.3803157894737
50,-196.15619999999993,-89.87631578947378,-240.95515789473697
51,-499.78615384615375,-52.30073684210527,33.78494736842095
52,-135.08367346938772,-116.98336842105256,-183.12936842105276
53,-295.6213095238096,246.47378947368432,-535.726947368421
54,226.27044943820223,177.33431578947375,-368.8221052631579
55,-690.0234951456312,-662.8865263157895,-541.0465263157895
56,-519.7761061946903,-510.8407368421053,107.31852631578951
57,-320.4108080808082,109.26999999999994,145.31147368421045
58,-268.1840776699028,-213.78884210526306,223.32694736842114
59,-573.651855670103,-32.19905263157889,-697.6014736842105
60,121.76833333333323,314.18642105263166,-267.04936842105263
61,-134.32031578947385,185.0231578947368,-734.7376842105264
62,-389.90754716981144,207.5012631578947,-23.43400000000003
63,-518.2285999999999,294.5352631578948,122.04684210526315
64,-736.1881176470588,-536.8335789473683,-522.7956842105262
65,45.24625000000007,1.915894736842099,-158.54431578947367
66,-75.9203571428572,-103.23021052631586,-468.2636842105263
67,-330.4321428571428,30.246315789473698,-225.74305263157888
68,-202.37526315789472,-101.38705263157912,-581.2293684210525
69,440.88454545454545,-32.231684210526346,-206.54326315789478
70,46.540947368421165,375.4357894736843,141.89378947368425
71,-75.10089743589754,-204.2219999999999,-771.2364210526315
72,-586.1137623762378,-133.05021052631585,-117.17042105263162
73,-59.25610526315792,-412.31284210526314,-534.4576842105264
74,-168.00117021276597,212.7983157894736,-282.92652631578954
75,-195.21685393258423,-200.17768421052637,-299.07473684210527
76,70.88033333333323,269.8488421052632,102.47894736842105
77,-465.0567961165048,-514.830842105263,-136.7078947368421
78,-476.3078350515464,-414.7726315789473,-226.6542105263157
79,-834.026976744186,-231.60000000000005,-11.676210526315815
80,86.08074468085101,-37.0491578947368,-41.764631578947316
81,-263.36989690721657,64.984947368421,-113.88831578947362
82,169.02343434343433,-256.65294736842105,-330.4003157894737
83,-72.73557894736841,-292.6389473684211,318.69052631578944
84,305.8058333333333,-661.4721052631579,-208.66031578947357
85,154.53509090909094,-15.447157894737124,-143.2818947368421
86,-73.08740740740737,-132.58094736842122,-483.0332631578947
87,156.28538461538457,-41.11021052631584,210.5131578947368
88,-47.31738317757017,-266.7213684210526,-515.8758947368422
89,55.12028846153855,-638.5484210526314,-553.9916842105265
90,-1098.950909090909,-602.79,-47.03157894736843
91,-508.85234234234224,13.332947368421145,-912.1082105263156
92,-360.7241176470587,-531.860842105263,-355.26473684210526
93,-421.64603603603604,-469.6151578947368,-639.9753684210526
94,-10.698977272727275,-829.8170526315789,84.41326315789466
95,-148.97670329670336,204.77536842105275,244.97705263157897
96,-269.6498876404495,124.94273684210532,-717.674
97,95.20617977528089,-866.1822105263158,-435.7192631578949
98,-381.38444444444445,249.82684210526307,-476.7601052631578
99,-30.84079545454539,-487.46305263157893,304.46968421052634
100,-910.0550000000002,-633.1755789473683,-276.47684210526313
101,-636.8384112149535,-437.9837894736843,-175.802947368421
102,-694.0722999999999,-218.6989473684211,-447.328210526316
103,-813.829619047619,0.4227368421053478,-358.4166315789474
104,-1069.0789583333333,-620.4338947368421,-64.04884210526316
105,197.45732558139528,-106.05421052631583,-857.2696842105263
106,-529.7586407766992,-195.94610526315793,-126.08042105263158
107,-60.58715686274515,-85.61652631578957,-794.6217894736841
108,-226.0025714285714,-85.94621052631584,-114.3827368421053
109,261.6237113402062,-230.8795789473683,-37.43452631578949
110,240.46615384615382,-599.8976842105263,-182.02926315789477
111,-664.2127272727275,-306.1561052631579,-204.1112631578948
112,-426.89515789473694,-657.6816842105263,-311.825052631579
113,-129.05905263157896,-123.29799999999997,-723.0909473684209
114,330.93068181818177,245.92115789473675,-295.44515789473695
115,-311.97955056179774,-454.29747368421044,-188.39968421052632
116,-107.22819148936176,-160.48315789473673,-291.7478947368422
117,-827.7236082474227,-194.10178947368422,-245.47200000000007
118,-284.59067307692305,-152.8847368421052,136.43842105263158
119,-855.7770967741936,-451.4113684210526,349.10336842105255
120,-304.2186021505378,231.35315789473677,-147.5844210526315
121,-103.78925925925931,-780.9474736842103,-51.66231578947363
122,-8.451700000000002,332.4743157894737,-562.7907368421053
123,-325.97047169811316,-724.1941052631578,51.81757894736845
124,157.6679797979798,109.67894736842099,-333.1978947368421
125,-59.639780219780214,-545.1638947368423,-521.7415789473685
126,-578.4093258426966,-572.730105263158,-521.5633684210527
127,-132.37157303370788,257.2969473684209,-235.8923157894737
128,-130.55182795698943,197.42484210526325,-281.93810526315787
129,-407.8066666666666,-509.11978947368425,-498.75400000000013
130,-365.9481372549019,209.07621052631572,-803.4050526315789
131,-374.53000000000003,180.96442105263165,-44.71421052631578
132,-46.617032967032884,-233.3532631578948,-293.5751578947369
133,-113.32631067961162,-315.5443157894735,-433.7105263157894
134,7.764899999999907,-393.8807368421055,-750.9683157894734
135,-347.35092592592594,22.591368421052696,-891.9088421052631
136,-8.834725274725267,-417.7251578947368,-890.5612631578948
137,109.47556818181812,-396.6367368421052,106.35031578947375
138,-934.570606060606,-376.97515789473704,-177.98663157894734
139,-72.8990099009901,-521.7384210526316,156.02526315789478
140,-463.668,47.43989473684205,-932.0628421052635
141,2.113888888888928,-91.16926315789482,-27.769789473684153
142,-382.1139361702128,-693.8918947368423,-169.75610526315793
143,305.63587500000006,-491.2156842105263,247.28968421052636
144,-132.69444444444446,-196.62189473684197,-130.3711578947369
145,449.2107291666668,94.13484210526302,-111.02021052631581
146,14.585800000000104,283.6249473684209,-68.5168421052632
147,-461.9989215686274,-340.8706315789474,-530.5995789473685
148,-742.2467045454545,-648.4759999999999,-315.5103157894737
149,-13.322954545454525,-426.082947368421,-321.3583157894737
150,-795.9483157894734,-578.1910526315789,155.98810526315785
151,-264.1220212765958,-412.6776842105263,-9.590315789473637
152,-475.53556701030925,-60.84505263157903,-439.252947368421
153,-786.452,83.88242105263156,-157.70157894736843
154,57.84091836734697,-6.722315789473827,138.72263157894727
155,29.5105263157894,89.3111578947369,198.63189473684199
156,-886.5720183486238,-227.3913684210527,36.04926315789476
157,58.413431372548956,-917.5247368421049,-128.1468421052632
158,176.95351851851845,347.9958947368421,-373.44884210526317
159,-144.7287356321839,-813.4692631578946,32.741684210526344
160,-802.7577570093455,-280.98726315789463,-345.68778947368423
161,-552.8074285714285,-0.0008421052631954234,-12.906736842105186
162,-267.4547368421051,-190.3964210526315,-57.35800000000001
163,-862.5933653846155,-188.7798947368421,-486.5180000000001
164,-292.6771568627452,85.14136842105275,-572.4721052631579
165,244.58100000000013,-87.86336842105267,-187.52105263157895
166,-931.6032954545454,-2.7822105263158408,-263.86631578947373
167,-478.4949425287355,363.8947368421052,-167.43210526315798
168,-154.1227358490567,95.43021052631565,-935.9238947368418
169,59.067938144329936,-607.3844210526315,-154.43115789473688
170,68.94610526315792,-20.846947368421,-771.3872631578948
171,-333.4725000000002,-181.27494736842104,-835.4366315789473
172,-514.9998113207548,-3.810421052631642,-258.88063157894743
173,-528.8997647058825,-339.20968421052623,-251.90831578947362
174,-343.3904166666666,229.53757894736844,-191.79157894736844
175,-278.77886597938146,-31.516631578947553,-901.9703157894741
176,-602.1002040816327,-652.4421052631579,-5.2517894736842115
177,1.3372527472528029,-304.2404210526317,180.88894736842107
178,-1072.0433720930232,124.53431578947355,160.93336842105262
179,32.73673684210517,-498.7330526315789,-108.07726315789479
180,-27.44656249999997,439.07652631578947,-719.3813684210526
181,-407.1160550458715,206.811052631579,-114.49757894736847
182,-576.0313461538462,-196.53789473684205,-79.96326315789476
183,153.7148453608247,-179.45010526315772,-54.75473684210528
184,81.02070588235284,-576.4671578947366,158.20484210526317
185,-330.7534313725491,-504.21989473684215,89.69652631578953
186,-148.83483516483517,-198.9210526315789,-422.0627368421053
187,162.42010000000008,-33.312842105263236,-323.00473684210556
188,-438.71717391304344,-275.6879999999999,111.72684210526326
189,-193.63239130434775,108.32294736842094,-489.3861052631579
190,66.01520833333319,107.85315789473681,-547.9513684210527
191,-620.9286999999999,-418.1692631578947,-150.27715789473686
192,-53.294711538461605,56.93484210526306,65.6107368421053
193,-78.06785714285708,333.05842105263156,-183.76105263157913
194,-99.91242105263156,177.22599999999997,-11.16778947368415
195,-1257.5896907216495,-321.3697894736842,77.35894736842113
196,-406.8019191919191,-25.16105263157891,-525.8483157894738
197,-208.28519999999992,-219.56631578947375,-24.84126315789476
198,-252.02861111111113,11.068210526315884,-254.20357894736847
199,-250.6904444444444,-294.42884210526336,-786.4290526315788
200,-366.9135227272728,30.09305263157896,-207.17178947368427
201,254.54340425531905,-439.0402105263158,-1115.3588421052632
202,-252.40848101265829,-452.27136842105256,-247.20368421052638
203,-222.6135185185184,-126.34210526315778,-306.5773684210526
204,34.269354838709646,-125.78126315789488,-683.8403157894738
205,65.94390804597711,295.186947368421,-697.0261052631577
206,-164.48440860215058,-69.52989473684202,322.49031578947364
207,-671.4069892473118,-33.945052631578946,119.82021052631573
208,-1102.5693814432989,-300.8450526315789,-325.6428421052631
209,-460.85835051546394,-363.5125263157893,17.482421052631576
210,-731.7320930232559,-541.3985263157895,-219.65168421052635
211,-537.3335,-703.9285263157894,-700.2129473684208
212,-284.83125000000007,201.59684210526314,19.49063157894725
213,-228.2227956989246,-359.4152631578948,-337.89852631578935
214,-374.5398058252427,43.78610526315791,-503.997052631579
215,-310.8395833333332,-701.3385263157894,5.283789473684249
216,193.88086956521744,-118.60126315789472,-462.3137894736841
217,-661.2736734693879,-322.424,-64.75452631578953
218,53.420531914893644,58.49010526315785,-198.7233684210526
219,-41.54457446808507,-75.50894736842106,-285.67515789473686
220,-29.60593750000002,-645.0690526315789,-300.1248421052631
221,-801.5130434782608,116.3069473684211,135.6993684210527
222,-794.7587804878049,221.4508421052631,67.44884210526317
223,-888.5103157894738,-230.2825263157894,-384.54147368421064
224,153.5268999999999,-415.9395789473686,-56.12063157894741
225,-1086.0073529411766,-706.4715789473682,83.48652631578942
226,300.38369047619045,-72.0742105263159,249.59747368421048
227,237.9353608247424,-282.4822105263158,-481.5341052631578
228,142.32701298701298,-422.08726315789477,-285.71442105263174
229,-239.39539325842702,41.45905263157891,-791.5055789473685
230,-963.3467924528303,129.7001052631579,-783.9184210526316
231,131.5012871287129,-248.86610526315795,-164.24231578947374
232,-726.5974489795917,-152.8070526315789,-92.83789473684207
233,69.58548076923073,-159.2722105263159,119.93284210526322
234,-705.343076923077,-564.1672631578949,-706.024
235,-581.813125,-421.49336842105265,-846.7049473684212
236,-270.6526666666665,-164.3084210526315,-1305.1437894736844
237,-244.39912087912074,240.7864210526316,-128.6492631578947
238,362.8890721649485,46.41357894736844,-33.85242105263162
239,-121.60609756097561,-102.80073684210517,-77.85105263157891
240,-798.2797979797978,-270.1109473684211,4.502421052631575
241,280.60864583333336,75.26926315789468,-24.073578947368375
242,-0.29171428571431707,168.5286315789473,-317.61578947368423
243,-627.5807608695653,358.9601052631579,102.2613684210527
244,-116.5524096385542,75.71957894736843,-402.848842105263
245,-829.3164948453608,167.4067368421053,-383.7348421052632
246,-54.396914893616966,278.7172631578946,-367.27273684210513
247,-25.567252747252727,-648.0155789473686,-135.80031578947367
248,-132.4104494382022,10.017789473684193,-819.9445263157896
249,-547.0462068965517,-222.0171578947368,203.69210526315797
250,-181.54445652173908,-357.9288421052633,105.11863157894742
251,-285.83142857142855,-88.70705263157903,-31.04199999999997
252,180.0166666666665,-509.9504210526315,-298.02673684210527
253,36.74184210526318,-105.88631578947376,-334.39715789473684
254,-526.1342696629213,210.78515789473698,138.60347368421048
255,-144.29595959595957,-345.5657894736841,-600.6947368421054
256,90.91533333333336,179.2396842105263,-39.5505263157894
257,-104.05865384615389,-181.15757894736836,-316.55515789473674
258,-139.66031914893605,217.24452631578947,-439.3534736842105
259,-350.4998901098902,-336.2585263157894,-69.91452631578954
260,77.93860465116278,-230.54294736842104,72.5288421052631
261,-554.4681111111112,18.99894736842108,-265.8336842105262
262,86.77650485436895,-281.70242105263156,43.21631578947372
263,438.3313483146069,-1.0982105263158346,-36.290105263157805
264,560.1862000000002,2.63263157894737,175.72494736842106
265,-322.3161224489795,-240.1015789473684,-180.53915789473686
266,201.83233333333325,-154.34600000000003,-115.77621052631571
267,-373.8983962264152,-33.105263157894726,-564.3063157894736
268,-689.3937864077669,-206.67494736842102,-106.62484210526328
269,-510.18605769230777,-323.1127368421053,10.115052631578966
270,-393.78125000000006,207.10652631578927,-219.0930526315789
271,-182.33776699029127,-471.9010526315789,-138.48073684210524
272,68.37294736842108,197.48621052631574,-348.5383157894737
273,-251.9745833333333,-225.2198947368421,-302.37452631578947
274,-173.29936170212773,-687.2235789473684,-788.7959999999999
275,291.32252631578956,245.81736842105263,310.8451578947369
276,73.30708333333334,-619.8057894736841,226.25157894736836
277,34.71228260869578,-267.98063157894745,122.02757894736851
278,57.11276595744684,-730.1649473684212,-431.974
279,-264.6898095238094,-18.995157894736778,-494.0134736842105
280,-259.0581395348838,69.20484210526313,45.616315789473695
281,-44.08431578947365,150.65705263157895,-242.77989473684207
282,-717.4042056074765,-560.1911578947368,-1262.1927368421054
283,-940.5269318181818,533.5047368421051,-589.0912631578948
284,-741.7872826086959,247.36757894736837,-294.1403157894737
285,-213.890786516854,-548.8732631578948,-99.74442105263151
286,-59.63511111111106,159.70663157894745,-199.84852631578968
287,-864.6994791666666,-490.35610526315776,-372.74052631578945
288,-697.7966666666666,-503.4708421052632,-499.04557894736854
289,-103.74593749999998,-274.22168421052623,178.44684210526316
290,-808.7544943820226,-1189.748842105263,-7.453052631579061
291,-219.9321052631579,136.0717894736842,-673.4231578947367
292,-340.4076842105262,-1076.5986315789476,-578.0261052631578
293,373.2369696969696,-615.8256842105261,-618.256736842105
294,47.990250000000024,-373.1843157894735,-32.45557894736848
295,-845.2659782608692,-185.33473684210517,-83.92936842105267
296,-472.05105263157907,-127.37810526315788,-603.491052631579
297,194.38337209302318,-788.2231578947368,-158.31747368421057
298,-467.9216346153847,-707.6218947368421,-869.4397894736841
299,-13.204356435643579,-312.033052631579,-90.43147368421053
300,-652.1105102040817,101.53715789473685,50.24231578947374
301,-530.9192553191489,168.33252631578935,-341.67073684210516
302,109.52376344086025,240.14831578947366,-213.98252631578947
303,254.60567010309285,-399.9295789473683,139.0326315789473
304,-76.57804123711347,315.12515789473673,150.96147368421043
305,98.4917582417582,-264.9184210526315,120.43031578947362
306,373.5768604651163,414.7122105263157,-33.32821052631582
307,-147.1754166666666,-190.31210526315803,-219.92052631578952
308,-337.6492553191489,12.805157894736933,-746.5584210526316
309,350.18708333333325,-424.9835789473685,279.45915789473673
310,4.472906976744157,-172.50589473684215,-208.04705263157885
311,175.89093749999998,-130.06989473684223,-519.1771578947369
312,-369.05967741935495,131.84378947368413,139.02484210526316
313,343.28847826086957,-131.5172631578947,101.18663157894738
314,-62.017653061224635,-51.298105263157815,-1062.5566315789474
315,-396.8591089108911,-413.38115789473693,-391.82021052631575
316,-224.1969444444443,-138.58810526315787,-52.209894736842124
317,-566.0495959595961,-709.3841052631578,-522.3887368421052
318,222.52788235294125,-508.8557894736843,-430.7557894736842
319,-627.4127956989247,-112.44568421052644,-106.64242105263165
320,-636.5812222222223,213.86357894736832,-876.9145263157895
321,239.6840384615384,-90.98126315789483,286.3635789473683
322,-18.692828282828284,-514.0845263157894,-315.7922105263158
323,-179.99277777777777,-641.6257894736842,-1151.4697894736837
324,-675.8988172043012,-753.2702105263157,-397.81726315789473
325,-41.42142857142849,-27.83063157894733,257.84999999999997
326,-385.63356321839086,198.31315789473683,2.206526315789448
327,178.55593023255815,-142.33863157894731,-573.3685263157896
328,-163.06410958904104,-746.660105263158,-101.31905263157896
329,-42.23678160919546,125.08778947368425,-33.67800000000002
330,-287.8626315789473,-690.9354736842105,-260.9171578947368
331,-273.2449090909092,-815.7142105263156,-321.1942105263158
332,-182.4436842105263,122.59073684210523,-540.873789473684
333,-396.67704081632667,397.272947368421,-792.8683157894737
334,359.1290909090909,-439.7207368421053,105.78884210526314
335,-662.8104545454545,-107.5036842105263,-77.07526315789461
336,-635.7721428571427,-885.8874736842105,146.06873684210524
337,235.99869565217395,378.08673684210515,128.07136842105263
338,3.838823529411715,-185.56052631578945,175.44736842105254
339,136.915,192.93431578947371,66.69115789473672
340,-851.8695744680853,-214.76957894736842,131.05294736842103
341,-275.4591743119265,-83.15242105263158,162.04905263157897
342,-895.647075471698,128.11431578947366,-352.19800000000004
343,-165.23519230769233,36.22652631578944,153.1434736842106
344,-683.3758241758242,-781.1891578947367,-761.6575789473682
345,57.44117021276599,-227.19147368421056,-9.260631578947367
346,-571.9982291666665,-420.60526315789457,-101.80610526315787
347,-172.85135416666665,-570.7478947368422,-823.5050526315789
348,-422.50212121212115,-316.405894736842,59.44757894736829
349,-74.94287356321846,-350.7197894736843,52.51168421052623
350,-344.8243877551021,-786.8407368421053,72.89947368421053
351,-494.66376344086024,-261.6528421052632,-525.7432631578947
352,-757.2797777777777,-177.8136842105264,-368.8948421052632
353,-144.55648936170218,-254.85452631578949,264.0531578947369
354,-231.8395180722892,16.74936842105267,255.011052631579
355,-20.5910869565217,-232.1513684210526,24.431263157894684
356,-96.76989361702125,118.46926315789477,-65.17715789473684
357,-259.8193258426967,349.34684210526314,-166.85063157894731
358,-829.8923863636363,-243.28263157894725,-553.1563157894736
359,-350.82044444444443,-55.984105263157865,-37.7394736842106
360,-134.81589473684215,-639.4881052631579,188.86789473684203
361,-266.99156250000004,-636.841894736842,-164.0122105263159
362,-755.2724509803921,-961.4616842105262,-583.1427368421051
363,-235.8190322580645,-652.5341052631579,-233.52915789473693
364,-1186.6816494845361,255.6003157894737,-409.9634736842105
365,-468.8498850574712,-560.3664210526316,-581.2618947368421
366,204.84670103092782,-529.8198947368422,-807.2983157894737
367,303.61381578947373,-82.64273684210526,-829.4211578947368
368,67.56796116504852,-83.5234736842104,-62.80600000000003
369,-1149.0727722772278,-418.146,-144.72810526315794
370,184.8658653846154,-321.1682105263158,-226.084947368421
371,-105.15358695652179,-543.3104210526317,-443.1936842105263
372,-663.8553333333333,-693.4377894736841,-33.82252631578949
373,-1568.5332380952382,316.0582105263158,-233.80294736842112
374,-311.6752083333333,-813.5088421052633,-747.2542105263159
375,-151.30096774193547,-104.5412631578946,-746.5485263157892
376,-618.9415789473684,-147.47800000000004,-2.7243157894736374
377,-216.71933962264154,-199.84768421052635,-897.4622105263159
378,-223.21485148514844,-3.7209473684209833,77.80589473684208
379,-53.69826923076933,67.14957894736828,-58.35621052631577
380,-412.9438636363635,180.41189473684187,-13.216631578947307
381,-610.0006,122.26968421052628,-126.3526315789473
382,-587.3056074766356,-470.3053684210525,-185.92168421052625
383,-199.587375,48.44642105263164,-1080.2653684210525
384,-488.58333333333326,-320.06431578947377,-536.3852631578949
385,-274.215376344086,-205.08526315789487,-627.4324210526318
386,-367.1769696969696,293.6662105263158,-378.56957894736837
387,263.57638297872353,-378.2190526315789,-87.9454736842105
388,-282.16311926605493,-1048.5150526315788,173.1728421052632
389,263.5165060240964,278.017789473684,-350.64357894736844
390,-241.96777777777774,-100.8468421052631,164.83442105263154
391,-633.9585000000003,-434.4673684210526,-49.20252631578951
392,-247.0344578313254,250.4626315789473,-201.7162105263158
393,-546.9951612903225,-995.4719999999999,10.631473684210524
394,-563.4331999999999,-1178.8125263157895,128.69600000000003
395,150.3764285714285,213.5821052631579,54.55957894736848
396,-159.7889285714286,-437.86757894736843,-861.0782105263158
397,31.439358974358928,-67.38505263157894,-508.11715789473686
398,-678.2628125,-745.8936842105264,-918.5811578947369
399,36.69499999999985,-327.33357894736827,23.864210526315837
400,-60.88750000000012,-101.64800000000017,-276.3827368421053
401,-666.6287628865979,-568.3755789473681,270.5851578947367
402,-268.73130000000003,96.57536842105257,83.61168421052619
403,-72.34939759036152,-155.07705263157902,-332.2540000000001
404,-61.424660194174805,-309.74336842105276,-700.202
405,19.811000000000003,-396.28315789473686,-154.75957894736842
406,-88.40134831460668,250.92263157894737,-879.1054736842106
407,-351.6796296296295,-185.65989473684212,-215.856
408,-773.8354545454545,-1106.1977894736842,-157.01547368421055
409,-419.75030612244905,-449.3919999999999,-51.00168421052645
410,-367.91820224719095,-280.27221052631586,-394.6249473684211
411,-56.735463917525934,-325.9409473684212,28.139157894736883
412,-482.5934408602151,92.64684210526313,-123.76947368421058
413,-335.8817721518986,285.00326315789476,-290.81021052631576
414,-1108.3264423076923,-78.22442105263166,-683.4085263157893
415,-288.26526315789476,237.42842105263182,80.49610526315783
416,317.019898989899,-916.1633684210524,-150.1995789473684
417,-348.22706521739127,-265.5036842105263,-40.99631578947366
418,-381.1146666666667,-127.85136842105263,-395.9796842105262
419,-186.95222222222216,-727.5046315789473,142.72599999999997
420,-239.7864130434782,-557.374105263158,-162.74189473684206
421,-206.4045744680851,-596.64,-1065.4585263157892
422,83.65988636363645,174.75526315789477,-586.2582105263157
423,-619.9940000000001,-697.091052631579,-218.83600000000007
424,-999.2674489795918,-76.17757894736846,-663.3124210526316
425,121.97053191489366,-182.7588421052632,-55.40694736842103
426,-264.9464705882353,259.4371578947368,-262.2296842105263
427,209.49030303030312,40.81031578947368,-402.16378947368435
428,-312.3882568807338,92.93294736842097,255.5571578947368
429,-101.85880952380964,-290.4238947368422,-142.168105263158
430,-90.20913043478262,-125.11505263157909,-201.3218947368422
431,-503.5440404040402,-570.3767368421056,-144.59831578947362
432,-512.2553921568629,-499.356842105263,-134.804105263158
433,-610.4328571428571,-98.10105263157908,-635.0608421052631
434,-68.58375000000005,-380.8206315789474,-507.6955789473685
435,-377.4018947368423,448.46536842105246,46.21305263157892
436,-378.42179999999985,75.617894736842,-358.3352631578948
437,-652.4224137931034,-8.779473684210533,-148.16905263157892
438,-140.59470588235297,-33.17400000000003,-113.88105263157891
439,-208.3043835616439,-402.28263157894753,-352.20126315789463
440,-113.68398148148155,-74.81242105263165,-652.1254736842105
441,-163.34898876404492,279.35157894736824,281.03115789473696
442,-478.32425742574253,-1061.6542105263159,-831.363894736842
443,-477.4841584158415,-922.8043157894738,-195.72157894736844
444,127.11057471264363,-615.5285263157895,-8.478631578947297
445,-325.70820754716976,-495.824105263158,-372.15252631578943
446,-771.2287628865981,-56.639052631578906,-613.4914736842105
447,-219.5369158878504,442.7822105263157,-165.6910526315789
448,-600.7166990291263,2.386421052631525,194.57957894736825
449,59.87606382978728,178.8544210526316,131.77326315789466
450,-67.26419753086415,-638.8381052631579,-1351.738
451,-70.66318181818184,-10.8215789473684,-127.37736842105274
452,-618.0174683544307,-12.109578947368368,-180.69863157894733
453,-271.98483870967743,154.6901052631579,-558.6014736842104
454,-913.2991999999998,-638.8852631578945,-357.3807368421053
455,-453.66951219512197,-735.733894736842,-13.612526315789518
456,59.86838709677421,-253.30863157894746,133.37999999999994
457,217.1237931034483,139.51863157894738,-116.26357894736847
458,-79.06032608695668,-283.0072631578948,-348.5015789473686
459,-211.76427083333337,-483.41610526315804,-82.2894736842105
460,376.2756989247313,-413.1466315789473,-200.2173684210527
461,-400.2806315789476,322.373052631579,-757.1992631578946
462,-397.86456521739126,163.1251578947368,-1664.3975789473684
463,-396.7557142857142,62.279684210526376,33.10115789473688
464,-40.506237623762345,-661.4649473684211,-912.5134736842107
465,48.464489795918276,51.32505263157876,-303.6062105263158
466,-388.4936274509802,128.11810526315796,88.39989473684204
467,-1036.0417582417585,-568.2648421052631,123.99452631578951
468,-885.8982978723404,-498.6404210526314,-1014.1523157894734
469,-131.00529411764705,256.2699999999999,-733.9453684210526
470,-302.41836734693885,322.1158947368421,-505.9815789473686
471,149.99468750000008,-471.4825263157895,136.44294736842104
472,-335.06058823529406,277.67263157894735,-382.68757894736837
473,261.7490109890109,-644.2464210526315,40.56715789473683
474,-522.045054945055,311.137894736842,286.03294736842105
475,214.82076923076914,178.78168421052635,206.49284210526304
476,-739.9328571428572,198.27926315789477,-348.42063157894734
477,-167.63151898734168,-43.528526315789634,-241.8689473684211
478,-336.56,-429.0361052631578,-595.5653684210525
479,-656.5765624999999,-693.3702105263159,3.0475789473684305
480,148.69519607843142,71.82684210526304,-57.88726315789484
481,-248.58660194174746,-108.9265263157895,153.40852631578952
482,-467.3143902439025,-633.3596842105263,97.32221052631569
483,-568.8381372549019,-189.97042105263165,-378.2394736842106
484,-166.15760416666672,-245.5288421052633,-406.66905263157895
485,14.996739130434717,-366.27294736842106,-166.83652631578946
486,147.61076923076928,-261.0481052631578,-338.3330526315789
487,-382.9383838383838,291.5763157894736,-808.2013684210528
488,59.381847826087025,195.82115789473693,-397.6505263157894
489,-294.5894505494504,-257.20263157894743,-268.37178947368426
490,-260.675294117647,-123.85399999999998,-120.70094736842107
491,42.8111926605505,-130.17884210526316,-902.4862105263159
492,350.1567777777778,159.80210526315776,-498.3517894736843
493,-40.496213592233026,-1072.1650526315789,-143.35642105263165
494,-559.2020212765957,143.89042105263167,-264.06757894736836
495,156.86097826086956,207.99515789473685,-13.21747368421064
