symbol,interval,open_time,close_time,open,high,low,close,volume,quote_volume,num_trades,taker_buy_base_vol,taker_buy_quote_vol
BTCUSDT,15m,1773756000000,1773756899999,73615.49,73804.0,73424.79,73721.2,308.09709,22697745.2904081,74980,118.43054,8723747.2046251
BTCUSDT,15m,1773756900000,1773757799999,73721.2,73934.38,73534.0,73892.18,184.01093,13572313.9143044,76088,111.47426,8223463.5269125
BTCUSDT,15m,1773757800000,1773758699999,73892.17,74283.01,73892.17,74249.35,452.03931,33519806.9488914,94699,311.77316,23119114.5402824
BTCUSDT,15m,1773758700000,1773759599999,74249.34,74425.31,74109.43,74381.7,418.56775,31101079.8215584,77509,295.00905,21922122.7063354
BTCUSDT,15m,1773759600000,1773760499999,74381.69,74893.94,74100.0,74121.45,591.57475,44084881.408905,131773,329.24675,24547338.3822385
BTCUSDT,15m,1773760500000,1773761399999,74121.45,74292.12,73984.68,74054.35,224.33558,16629739.5634507,76161,100.58632,7457824.4534809
BTCUSDT,15m,1773761400000,1773762299999,74054.34,74154.34,73669.91,73902.0,372.60579,27518691.1117831,93776,179.58413,13265761.9241185
BTCUSDT,15m,1773762300000,1773763199999,73900.01,74059.08,73722.89,73914.39,182.20719,13469177.3581449,58502,88.07783,6511159.6741515
BTCUSDT,15m,1773763200000,1773764099999,73914.4,74153.56,73855.24,73972.33,194.23385,14372045.9194861,69641,93.84176,6944317.7468072
BTCUSDT,15m,1773764100000,1773764999999,73972.33,74350.0,73952.55,74205.21,189.99301,14100799.9738384,60635,107.96087,8013091.5582727
BTCUSDT,15m,1773765000000,1773765899999,74205.2,74237.24,73992.78,74136.66,222.52599,16485648.5758746,60962,105.65539,7827212.6888623
BTCUSDT,15m,1773765900000,1773766799999,74136.66,74250.99,74010.87,74155.69,141.11994,10464723.7900155,42291,74.49572,5524171.6951353
BTCUSDT,15m,1773766800000,1773767699999,74155.68,74300.0,74006.58,74218.9,276.02742,20479513.1682652,51883,188.48226,13985016.9829454
BTCUSDT,15m,1773767700000,1773768599999,74218.91,74444.07,74164.72,74287.75,202.36622,15037732.291664,49179,131.0672,9739916.3164817
BTCUSDT,15m,1773768600000,1773769499999,74287.74,74482.85,74211.27,74421.53,179.77973,13368298.5158389,48465,117.1901,8715121.0904895
BTCUSDT,15m,1773769500000,1773770399999,74421.53,74594.0,74364.87,74523.75,167.93507,12509625.4965396,44606,94.62767,7049213.1244803
BTCUSDT,15m,1773770400000,1773771299999,74523.76,74672.3,74446.41,74597.69,177.6832,13252437.7206666,45051,107.36284,8007830.3169116
BTCUSDT,15m,1773771300000,1773772199999,74597.69,74654.74,74386.11,74423.18,209.75349,15630163.412572,48914,74.99542,5588306.183699
BTCUSDT,15m,1773772200000,1773773099999,74423.19,74723.82,74417.97,74612.85,175.07337,13063726.7896437,47489,81.79636,6103231.1481519
BTCUSDT,15m,1773773100000,1773773999999,74612.85,74769.17,74575.8,74683.04,144.95032,10825817.4076389,38676,70.36019,5254994.8457517
BTCUSDT,15m,1773774000000,1773774899999,74683.04,74800.0,74633.09,74745.5,159.46096,11916889.8249289,41083,77.27226,5774716.2131304
BTCUSDT,15m,1773774900000,1773775799999,74745.49,74800.0,74533.95,74631.29,213.92615,15980456.0491996,46833,95.34937,7122306.2850009
BTCUSDT,15m,1773775800000,1773776699999,74631.28,74774.16,74528.01,74673.85,168.22356,12556876.5504602,43187,79.86331,5961876.6043679
BTCUSDT,15m,1773776700000,1773777599999,74673.85,74689.53,74427.25,74512.17,226.99455,16919229.7235552,53560,114.36887,8524731.5788236
BTCUSDT,15m,1773777600000,1773778499999,74511.21,74515.41,74359.87,74360.0,203.11341,15119910.5162129,32294,57.3313,4268191.1621946
BTCUSDT,15m,1773778500000,1773779399999,74360.0,74685.5,74359.99,74652.26,79.14891,5898158.3259209,18549,45.77913,3411865.0147878
BTCUSDT,15m,1773779400000,1773780299999,74652.27,74652.27,74506.03,74552.58,93.16606,6946293.1608119,18896,45.39877,3384408.2585312
BTCUSDT,15m,1773780300000,1773781199999,74553.16,74584.0,74486.69,74506.75,91.33534,6807967.9001201,18478,21.58393,1608722.8577526
BTCUSDT,15m,1773781200000,1773782099999,74506.75,74779.9,74450.01,74705.09,281.09745,20965522.8746598,29903,98.9453,7381197.8209529
BTCUSDT,15m,1773782100000,1773782999999,74705.08,74727.0,74554.86,74554.87,167.8702,12531425.0378442,20770,41.05736,3065014.3094525
BTCUSDT,15m,1773783000000,1773783899999,74554.87,74799.0,74496.79,74736.93,122.21194,9124237.4405258,28382,59.48878,4442229.7922085
BTCUSDT,15m,1773783900000,1773784799999,74736.92,74788.0,74655.19,74685.42,47.02142,3512935.192559,20924,21.42742,1600776.8631279
BTCUSDT,15m,1773784800000,1773785699999,74685.42,74772.14,74564.89,74580.57,89.97664,6717559.7618725,24305,26.86347,2005927.1713412
BTCUSDT,15m,1773785700000,1773786599999,74580.56,74595.13,74369.99,74370.0,88.61079,6599028.8288991,18741,27.70505,2062988.9092982
BTCUSDT,15m,1773786600000,1773787499999,74370.0,74386.26,73934.0,74160.0,226.91566,16818396.3660816,49773,72.12447,5345781.0810231
BTCUSDT,15m,1773787500000,1773788399999,74159.99,74353.58,74137.01,74307.08,82.80538,6148534.4884011,24610,48.84099,3626555.6732878
BTCUSDT,15m,1773788400000,1773789299999,74307.08,74398.74,74222.69,74317.74,76.72347,5701950.559298,30281,38.41963,2854965.4526772
BTCUSDT,15m,1773789300000,1773790199999,74317.75,74331.61,74100.0,74196.95,149.45587,11091690.7996306,33576,60.11291,4460826.6898933
BTCUSDT,15m,1773790200000,1773791099999,74196.94,74196.94,73930.53,73945.1,149.05467,11037729.6827923,30007,44.61104,3303150.54888
BTCUSDT,15m,1773791100000,1773791999999,73945.41,74059.58,73871.74,73909.36,148.17656,10957772.2486996,31380,46.56611,3444330.0412714
BTCUSDT,15m,1773792000000,1773792899999,73909.37,74063.22,73828.0,73989.17,131.08789,9696133.2641957,40892,59.965,4434946.0992775
BTCUSDT,15m,1773792900000,1773793799999,73989.16,74012.91,73668.63,73782.2,162.18396,11968818.8486467,48179,66.19569,4885004.6346186
BTCUSDT,15m,1773793800000,1773794699999,73782.19,73803.17,73535.36,73721.1,172.42786,12697266.6763479,47430,81.62333,6010213.6950123
BTCUSDT,15m,1773794700000,1773795599999,73721.11,73883.29,73721.11,73867.88,207.6109,15320365.3245735,30840,90.54336,6680735.8179839
BTCUSDT,15m,1773795600000,1773796499999,73867.88,73989.29,73820.69,73907.5,132.206,9773440.8920152,37627,94.7501,7004950.9174743
BTCUSDT,15m,1773796500000,1773797399999,73907.51,74048.53,73856.29,74019.66,63.05582,4664252.6489477,28577,36.54239,2703103.1361296
BTCUSDT,15m,1773797400000,1773798299999,74019.65,74209.5,74019.65,74141.73,245.73949,18222642.238103,33956,153.96961,11417094.0862892
BTCUSDT,15m,1773798300000,1773799199999,74141.73,74211.43,74010.85,74072.3,96.72755,7168067.1864329,24859,48.67041,3606825.4932566
BTCUSDT,15m,1773799200000,1773800099999,74072.3,74287.93,74051.78,74284.55,155.26998,11515565.2116316,27252,77.77007,5770408.2636556
BTCUSDT,15m,1773800100000,1773800999999,74284.55,74299.01,74181.59,74233.45,164.46354,12211432.9977503,24771,128.85121,9567373.5446858
BTCUSDT,15m,1773801000000,1773801899999,74233.45,74416.58,74200.0,74416.58,162.83574,12102680.1069723,32294,106.62943,7925327.740902
BTCUSDT,15m,1773801900000,1773802799999,74416.58,74476.0,74326.71,74338.93,66.9688,4981749.3853756,24945,35.73534,2658386.8396006
BTCUSDT,15m,1773802800000,1773803699999,74338.93,74399.7,74250.27,74267.56,98.56256,7323784.9204438,20718,33.82923,2514210.6365543
BTCUSDT,15m,1773803700000,1773804599999,74267.56,74625.0,74266.46,74525.84,124.8695,9298041.7217484,31939,86.72038,6458002.9924762
BTCUSDT,15m,1773804600000,1773805499999,74525.83,74672.34,74446.4,74490.49,135.89317,10129027.2053892,28597,89.14751,6644711.1192124
BTCUSDT,15m,1773805500000,1773806399999,74490.49,74519.55,74417.58,74446.14,100.48405,7481934.9978774,18291,27.77286,2068190.2788789
BTCUSDT,15m,1773806400000,1773807299999,74446.14,74486.3,74399.73,74432.99,104.25074,7760679.4903699,17151,69.34083,5161969.8159575
BTCUSDT,15m,1773807300000,1773808199999,74432.98,74432.98,74253.78,74253.78,70.49237,5240756.7262451,21152,25.04831,1862342.9120542
BTCUSDT,15m,1773808200000,1773809099999,74253.79,74253.79,74178.53,74236.31,111.01263,8238634.7525193,17321,66.46085,4932076.0039401
BTCUSDT,15m,1773809100000,1773809999999,74236.31,74262.2,74137.02,74175.49,186.59632,13840490.3929459,16236,91.23899,6767158.2771747
BTCUSDT,15m,1773810000000,1773810899999,74175.48,74312.11,74161.77,74285.28,200.87449,14910595.477662,24374,140.44829,10425629.6869623
