path,btc_sharpe,port_sharpe,d_sharpe,d_mdd
86,0.6681,1.8108,1.1427,28.49
87,0.0074,0.1359,0.1285,-24.57
88,0.3311,1.5158,1.1847,-33.77
89,1.0867,1.1335,0.0468,-21.66
90,0.0584,0.8293,0.7709,-29.35
91,0.9826,1.9975,1.0149,11.03
92,1.4454,1.4144,-0.031,-23.1
93,0.5142,0.553,0.0388,-13.93
94,1.0921,1.4818,0.3897,-19.14
95,0.1398,1.3965,1.2567,-6.31
96,0.4061,0.9228,0.5167,-27.07
97,0.3029,1.0136,0.7107,23.23
98,0.9808,1.0224,0.0416,39.74
99,-0.5652,1.0692,1.6344,-7.52
100,0.271,1.0032,0.7322,25.45
101,0.3666,0.2328,-0.1338,40.09
102,-0.1144,0.6186,0.733,3.58
103,0.1653,0.9145,0.7492,-28.65
104,0.1656,1.2611,1.0955,-36.87
105,0.4613,0.8531,0.3918,-22.38
106,1.102,1.3759,0.2739,-22.56
107,0.8654,0.994,0.1286,-20.36
108,0.9277,0.8682,-0.0595,-21.97
109,0.9707,1.4001,0.4294,-30.45
110,0.7328,1.5793,0.8465,10.5
111,1.5232,1.6052,0.082,21.52
112,0.6447,0.6893,0.0446,6.88
113,0.9986,1.009,0.0104,-0.75
114,-0.3651,0.7673,1.1324,-34.57
115,0.813,1.3497,0.5367,26.78
116,0.37,0.7998,0.4298,-25.21
117,0.5457,1.1952,0.6495,-16.64
118,0.8256,1.4595,0.6339,16.17
119,-0.3724,1.1348,1.5072,-20.39
120,0.4485,1.7857,1.3372,1.17
121,-0.017,0.8332,0.8502,-1.81
122,1.0834,1.124,0.0406,-17.89
123,1.1278,1.1162,-0.0116,-10.43
124,0.682,1.0245,0.3425,-18.05
125,1.0351,1.3127,0.2776,10.9
126,-0.0585,0.8848,0.9433,0.59
127,0.8754,1.142,0.2666,-9.31
128,0.5692,0.6694,0.1002,5.72
129,0.8093,1.0797,0.2704,11.27
130,0.3636,1.0333,0.6697,8.03
131,0.4697,1.7589,1.2892,-23.08
132,0.584,0.8547,0.2707,-7.03
133,1.0477,0.9853,-0.0624,-14.89
134,0.6203,1.5415,0.9212,-6.83
135,0.7122,1.1157,0.4035,-4.38
136,0.7225,1.4924,0.7699,31.24
137,1.431,1.5986,0.1676,8.05
138,1.2477,1.4607,0.213,-21.33
139,0.0084,0.2133,0.2049,-7.1
140,0.2136,1.0747,0.8611,-2.13
141,-0.2136,1.8134,2.027,22.44
142,1.2518,1.7483,0.4965,46.3
143,1.5596,1.6596,0.1,-0.79
144,0.4849,1.4506,0.9657,0.29
145,0.6514,1.4669,0.8155,4.69
146,0.6982,1.5376,0.8394,-19.61
147,1.3493,1.7269,0.3776,-17.59
148,0.8657,0.8195,-0.0462,0.07
149,0.6303,1.0113,0.381,-13.88
150,0.4571,0.5875,0.1304,3.96
151,0.5185,0.7956,0.2771,19.03
152,0.0515,1.4178,1.3663,-10.23
153,1.5825,1.3898,-0.1927,-18.23
154,1.3284,1.7038,0.3754,-3.31
155,0.5279,1.033,0.5051,15.93
156,0.4255,0.805,0.3795,3.6
157,0.8907,1.6371,0.7464,14.16
158,0.0339,1.3487,1.3148,-36.24
159,0.8087,1.3234,0.5147,-34.18
160,0.8136,1.0213,0.2077,28.22
161,0.0568,1.12,1.0632,-42.71
162,1.3864,1.3254,-0.061,47.29
163,0.5905,0.6622,0.0717,6.57
164,1.4917,1.6217,0.13,35.35
165,0.2908,0.9142,0.6234,-15.41
166,1.3414,1.9049,0.5635,-3.1
167,1.1438,1.0834,-0.0604,-14.83
168,-0.4763,-0.0903,0.386,-23.92
169,0.0289,1.0708,1.0419,3.17
170,1.1832,1.7716,0.5884,-11.28
171,0.7379,1.4702,0.7323,3.34
172,-0.1135,1.436,1.5495,23.5
173,1.0515,1.2011,0.1496,-12.52
174,1.0703,1.3885,0.3182,-31.61
175,0.887,1.2399,0.3529,20.14
176,-0.0354,1.6052,1.6406,-25.61
177,0.1808,1.1199,0.9391,-33.74
178,1.022,1.4343,0.4123,-16.62
179,0.5345,1.1593,0.6248,-24.99
180,1.1714,1.0468,-0.1246,41.26
181,0.8838,0.9999,0.1161,7.91
182,0.993,1.2845,0.2915,24.66
183,0.3874,0.4973,0.1099,-19.89
184,-0.4513,0.9865,1.4378,-41.11
185,0.5388,1.0504,0.5116,18.3
186,2.078,2.2375,0.1595,1.28
187,0.4894,1.1575,0.6681,21.87
188,0.4353,1.0141,0.5788,14.9
189,1.166,1.1605,-0.0055,-0.97
190,1.6762,1.6696,-0.0066,-14.17
191,1.7715,1.8439,0.0724,2.94
192,0.9837,1.2679,0.2842,2.75
193,1.0248,1.2812,0.2564,-11.4
194,0.1765,1.8711,1.6946,8.63
195,0.0346,1.5311,1.4965,10.09
196,0.4836,0.61,0.1264,10.65
197,1.4149,1.1797,-0.2352,9.64
198,0.3031,1.4015,1.0984,28.26
199,0.8898,2.4627,1.5729,38.34
200,0.6168,2.0625,1.4457,16.47
201,0.5075,0.838,0.3305,4.28
202,0.5913,0.5987,0.0074,0.47
203,0.858,1.2939,0.4359,7.76
204,0.2825,1.5517,1.2692,-32.35
205,0.547,1.3446,0.7976,-4.73
206,0.9149,1.4004,0.4855,-27.68
207,0.2609,1.4252,1.1643,-30.83
208,1.5448,1.6792,0.1344,-9.81
209,0.1554,0.3647,0.2093,0.38
210,0.6715,0.6265,-0.045,-1.13
211,-0.0843,1.4717,1.556,-9.18
212,0.1948,1.4992,1.3044,-44.02
213,-0.0856,0.6415,0.7271,3.11
214,0.8926,1.143,0.2504,10.5
215,0.2061,0.5972,0.3911,-14.81
216,0.8962,1.8631,0.9669,25.24
217,0.6949,0.8613,0.1664,0.09
218,1.0279,1.1704,0.1425,-29.03
219,1.6217,1.7113,0.0896,16.03
220,0.2947,1.1805,0.8858,-0.63
221,-0.023,1.0967,1.1197,6.77
222,0.2526,1.3242,1.0716,-26.45
223,0.5583,1.3264,0.7681,-5.18
224,-0.0905,0.8617,0.9522,-21.22
225,0.6518,1.274,0.6222,16.91
226,1.1215,1.4082,0.2867,5.48
227,0.4683,1.3895,0.9212,-20.12
228,0.8914,1.0217,0.1303,-33.71
229,0.4205,0.9361,0.5156,-3.35
230,0.2696,0.9905,0.7209,-3.74
231,0.7062,1.9224,1.2162,24.88
232,0.7707,1.1453,0.3746,-22.53
233,0.1025,1.664,1.5615,-13.64
234,0.4738,1.3197,0.8459,-13.46
235,0.8005,1.4389,0.6384,-11.85
236,0.4519,1.4256,0.9737,7.74
237,0.9731,1.0184,0.0453,17.83
238,1.9137,1.8563,-0.0574,-5.99
239,-0.1719,0.7147,0.8866,18.14
240,-0.0656,0.559,0.6246,5.83
241,0.8019,0.0101,-0.7918,10.15
242,0.3864,0.8173,0.4309,-7.55
243,0.9716,1.0597,0.0881,-4.36
244,1.1928,1.6297,0.4369,28.23
245,0.099,0.9769,0.8779,-18.81
246,-0.0371,0.6581,0.6952,-33.88
247,1.882,0.8942,-0.9878,19.31
248,-0.2728,1.42,1.6928,-20.02
249,0.4291,1.0496,0.6205,-1.51
250,-0.0247,0.7731,0.7978,-30.67
251,0.4721,0.9924,0.5203,-14.41
252,1.4002,1.3111,-0.0891,17.63
253,0.7383,0.9537,0.2154,22.97
254,0.8721,1.1444,0.2723,2.68
255,0.7337,1.4498,0.7161,-20.58
256,1.3627,1.4197,0.057,19.59
257,0.9226,1.1195,0.1969,-4.83
258,0.4777,1.2605,0.7828,-30.52
259,0.1285,0.8434,0.7149,-12.46
260,0.2356,0.8918,0.6562,-35.39
261,0.9204,1.1282,0.2078,7.51
262,0.4968,1.4349,0.9381,-18.5
263,0.6677,1.1325,0.4648,-5.42
264,0.6031,1.6326,1.0295,-10.18
265,0.4277,0.8035,0.3758,-13.63
266,0.4616,1.4544,0.9928,1.53
267,0.6485,1.4702,0.8217,7.75
268,1.1589,0.9833,-0.1756,36.42
269,0.6649,1.1592,0.4943,16.33
270,0.152,1.5485,1.3965,-15.0
271,1.6244,2.0806,0.4562,18.61
272,1.1194,1.2969,0.1775,-3.06
273,0.4614,1.2801,0.8187,-20.21
274,1.0241,1.3205,0.2964,33.42
275,0.9441,0.6909,-0.2532,26.02
276,1.1774,1.5308,0.3534,0.25
277,1.0907,1.5381,0.4474,1.58
278,0.3482,1.3532,1.005,-14.08
279,1.5848,1.9839,0.3991,-17.98
280,0.1134,1.6961,1.5827,-12.64
281,0.7148,1.3343,0.6195,-6.18
282,0.0066,1.1732,1.1666,-33.55
283,1.8763,1.8226,-0.0537,-8.69
284,-0.0632,0.6853,0.7485,4.7
285,1.1738,1.3582,0.1844,-7.67
286,1.1192,1.4036,0.2844,-19.6
287,0.4984,1.2395,0.7411,-26.34
288,-0.8631,1.5962,2.4593,-6.0
289,-0.3989,1.7899,2.1888,-2.02
290,0.613,0.9916,0.3786,22.9
291,0.0466,1.4245,1.3779,-7.59
292,0.2408,1.2598,1.019,-2.94
293,0.2317,1.2463,1.0146,31.61
294,-0.3707,0.5332,0.9039,-17.26
295,0.8496,1.7345,0.8849,-2.92
296,1.2081,1.6744,0.4663,18.14
297,0.5461,1.4892,0.9431,-16.54
298,0.6303,1.0164,0.3861,-2.32
299,0.3938,1.2298,0.836,-12.56
300,0.6176,0.8565,0.2389,23.57
301,0.8661,1.4488,0.5827,-15.44
302,1.6881,1.5335,-0.1546,1.42
303,0.789,1.6641,0.8751,-0.31
304,-0.1681,0.8288,0.9969,-47.79
305,0.4324,0.6869,0.2545,-5.28
306,0.4466,0.7269,0.2803,-25.1
307,0.9353,1.9528,1.0175,1.59
308,0.3911,0.8824,0.4913,3.68
309,0.7161,0.819,0.1029,2.12
310,0.604,1.1936,0.5896,16.37
311,0.7756,1.0809,0.3053,-12.59
312,1.3625,1.3578,-0.0047,-2.51
313,-0.1836,1.873,2.0566,-4.89
314,0.5185,2.2197,1.7012,25.34
315,1.0957,1.1933,0.0976,-17.82
316,0.2713,0.826,0.5547,-3.08
317,0.9522,1.3485,0.3963,-16.33
318,0.648,0.9477,0.2997,15.44
319,0.4197,1.5786,1.1589,3.56
320,0.6371,1.1673,0.5302,-15.89
321,-0.2017,0.5223,0.724,-25.76
322,1.3373,1.4397,0.1024,-17.09
323,0.4604,1.1451,0.6847,-26.0
324,0.7075,1.859,1.1515,37.46
325,0.932,1.1107,0.1787,5.48
326,1.102,1.0978,-0.0042,-2.92
327,1.1804,1.0647,-0.1157,-7.06
328,1.0232,1.5653,0.5421,4.27
329,0.796,1.1259,0.3299,9.35
330,1.3683,1.6157,0.2474,-11.1
331,0.3627,1.3191,0.9564,-22.17
332,0.7904,1.2661,0.4757,8.75
333,1.2143,1.0449,-0.1694,-16.82
334,0.8453,1.3837,0.5384,26.21
335,0.3131,1.2624,0.9493,20.45
336,1.2222,1.0411,-0.1811,14.92
337,0.8652,1.1935,0.3283,23.63
338,0.7808,0.9241,0.1433,11.8
339,-0.2945,0.608,0.9025,-14.45
340,0.9248,1.7542,0.8294,7.18
341,0.4256,1.2543,0.8287,-12.07
342,0.914,1.1856,0.2716,-22.53
343,0.307,1.1839,0.8769,-29.55
344,1.2593,1.0646,-0.1947,25.88
345,0.559,1.3795,0.8205,-14.03
346,1.3177,1.5502,0.2325,7.05
347,1.2078,1.4845,0.2767,5.97
348,0.0578,1.3999,1.3421,5.95
349,0.8513,1.2557,0.4044,-13.09
350,-0.5813,0.5181,1.0994,6.52
351,0.0707,0.9934,0.9227,-0.94
352,1.8201,1.8066,-0.0135,17.93
353,0.5577,0.7525,0.1948,-25.66
354,0.0711,1.251,1.1799,7.66
355,0.549,0.8229,0.2739,-22.16
356,0.7138,1.2713,0.5575,10.0
357,0.1953,1.0819,0.8866,-16.79
358,1.278,1.5229,0.2449,-20.88
359,1.0109,1.7233,0.7124,-4.87
360,0.2542,1.2717,1.0175,35.53
361,0.2342,1.3233,1.0891,-0.68
362,1.4253,1.4892,0.0639,-24.09
363,0.4334,1.1661,0.7327,15.33
364,-0.137,1.3903,1.5273,25.87
365,1.1884,1.2258,0.0374,8.47
366,-0.2585,1.4638,1.7223,33.06
367,0.5644,0.9729,0.4085,23.72
368,0.9537,1.1668,0.2131,-15.0
369,0.7031,1.368,0.6649,-20.92
370,0.7026,0.7809,0.0783,4.98
371,1.0192,0.94,-0.0792,-8.27
372,1.6768,1.8758,0.199,-10.42
373,1.1782,0.954,-0.2242,32.63
374,0.9092,0.9166,0.0074,9.89
375,0.4039,1.159,0.7551,22.64
376,1.2727,1.6076,0.3349,-6.89
377,0.282,1.0389,0.7569,34.25
378,1.6361,1.5887,-0.0474,23.84
379,0.1024,1.1239,1.0215,-7.63
380,1.4995,1.7264,0.2269,-9.46
381,1.6679,1.198,-0.4699,3.07
382,0.2467,1.138,0.8913,-28.93
383,1.6217,1.5991,-0.0226,-15.79
384,0.4434,0.3053,-0.1381,-2.98
385,0.2809,0.7278,0.4469,-14.7
386,0.3695,1.3646,0.9951,1.76
387,0.5337,1.1321,0.5984,-20.14
388,1.0049,0.9989,-0.006,19.84
389,0.5036,0.6983,0.1947,9.02
390,1.6418,1.4738,-0.168,-6.01
391,0.2693,1.0484,0.7791,-11.35
392,0.599,0.828,0.229,-1.45
393,0.2051,1.692,1.4869,34.32
394,0.05,1.3591,1.3091,-2.64
395,0.7938,0.9916,0.1978,-5.77
396,-0.0921,0.0066,0.0987,-4.25
397,0.5659,0.9398,0.3739,11.64
398,0.6978,1.181,0.4832,-5.64
399,1.9022,1.795,-0.1072,-4.5
400,1.0432,1.3994,0.3562,41.07
401,0.3527,0.719,0.3663,-27.55
402,-0.2261,0.91,1.1361,-24.99
403,0.6923,1.0039,0.3116,22.98
404,0.0395,1.0402,1.0007,21.85
405,1.0237,1.566,0.5423,8.15
406,1.0963,1.0021,-0.0942,36.52
407,-0.0173,1.2716,1.2889,-27.2
408,0.3981,2.0718,1.6737,14.54
409,0.6647,1.0246,0.3599,8.66
410,0.9293,1.4645,0.5352,-34.84
411,0.1775,0.9701,0.7926,-2.73
412,0.7829,1.6644,0.8815,17.12
413,0.5892,0.678,0.0888,13.12
414,0.2676,0.8058,0.5382,-12.26
415,-0.2973,1.1742,1.4715,10.07
416,0.7785,0.8951,0.1166,3.73
417,-0.1257,1.0266,1.1523,-4.69
418,0.1219,1.0086,0.8867,-10.06
419,-0.181,0.9871,1.1681,-39.47
420,1.7414,1.6835,-0.0579,2.02
421,0.0634,1.0086,0.9452,13.63
422,1.2018,1.1649,-0.0369,5.7
423,1.441,1.7726,0.3316,-1.93
424,-0.3125,1.3322,1.6447,11.13
425,-0.2178,0.9719,1.1897,-37.03
426,0.2962,1.4087,1.1125,-3.32
427,1.087,1.0935,0.0065,-3.52
428,0.4579,1.5785,1.1206,-39.88
429,0.1955,1.2748,1.0793,-6.44
430,0.7564,1.3751,0.6187,15.61
431,0.1654,1.3705,1.2051,-8.94
432,0.8874,1.2581,0.3707,37.4
433,1.0908,0.5471,-0.5437,13.6
434,0.997,0.911,-0.086,-10.63
435,0.5486,1.0819,0.5333,-12.72
436,1.2548,0.9811,-0.2737,20.26
437,0.5449,1.4693,0.9244,-0.83
438,1.3405,1.744,0.4035,-18.12
439,0.1136,1.0156,0.902,-33.43
440,0.9966,1.3408,0.3442,-12.81
441,1.5405,1.7539,0.2134,-3.17
442,1.2796,1.5879,0.3083,-13.8
443,0.3418,1.449,1.1072,-21.0
444,0.7307,0.7993,0.0686,-15.48
445,0.7142,1.5083,0.7941,-25.12
446,0.9026,1.7515,0.8489,18.17
447,0.6395,0.3427,-0.2968,-14.9
448,0.9571,1.4653,0.5082,6.37
449,0.0053,1.3097,1.3044,-17.33
450,0.5383,1.1575,0.6192,-2.28
451,0.3346,0.4666,0.132,-12.42
452,1.4663,1.8764,0.4101,-15.22
453,1.2205,1.4634,0.2429,12.01
454,0.6389,0.8529,0.214,3.97
455,0.7427,0.7785,0.0358,-9.35
456,0.7385,1.0887,0.3502,-4.42
457,0.4977,1.8213,1.3236,-2.14
458,0.4001,1.2027,0.8026,24.55
459,0.4753,1.4239,0.9486,-0.99
460,0.3969,1.0593,0.6624,4.81
461,1.5054,0.493,-1.0124,16.79
462,0.3459,1.1004,0.7545,2.64
463,-0.0436,1.2682,1.3118,-23.86
464,0.7423,1.0391,0.2968,-21.62
465,0.6597,1.7454,1.0857,30.65
466,1.7682,1.8064,0.0382,-8.05
467,1.23,1.6057,0.3757,-15.8
468,1.2885,1.1045,-0.184,11.16
469,0.4571,1.3996,0.9425,0.51
470,-0.0854,1.7637,1.8491,31.99
471,0.5183,0.6056,0.0873,-9.05
472,0.6568,1.1049,0.4481,21.49
473,1.1478,1.243,0.0952,30.29
474,0.1219,0.7532,0.6313,34.07
475,0.5104,0.8937,0.3833,16.45
476,-0.2831,1.8267,2.1098,-33.45
477,0.839,0.998,0.159,-9.51
478,0.6352,1.507,0.8718,-21.04
479,0.7534,0.9237,0.1703,0.01
480,1.0142,1.3744,0.3602,-14.8
481,0.2745,1.4661,1.1916,-4.4
482,-0.2088,1.008,1.2168,-14.06
483,0.4982,0.9497,0.4515,-16.1
484,0.879,0.98,0.101,-20.73
485,0.3022,1.114,0.8118,25.42
486,0.4967,0.9158,0.4191,16.26
487,0.4833,1.2084,0.7251,0.72
488,0.2337,1.0939,0.8602,-37.94
489,0.7649,1.4919,0.727,-7.07
490,-0.2336,1.3332,1.5668,-59.04
491,0.8969,1.3627,0.4658,5.34
492,0.7227,1.4068,0.6841,33.49
493,1.1501,1.5781,0.428,-9.84
494,0.5877,1.8334,1.2457,-25.65
495,0.7017,0.9049,0.2032,-7.33
496,1.1048,0.9045,-0.2003,29.11
497,0.1315,0.6471,0.5156,-36.48
498,0.7208,1.3371,0.6163,-5.78
499,0.8625,1.8338,0.9713,-5.16
