trade_id,entry_ts,exit_ts,entry_price,exit_price,qty,pnl,return_pct,days_held,entry_reason,exit_reason
27,1680724800000,1680768000000,28251.94,27899.81,2.49309284,-961.89,-1.3648,0.5,v4_entry,v4_exit
28,1681142400000,1682020800000,28450.77,28093.14,2.44188111,-956.13,-1.3754,10.17,v4_entry,v4_exit
29,1687305600000,1688616000000,28319.32,30478.65,2.41947282,5139.09,7.4959,15.17,v4_entry,v4_exit
30,1689278400000,1689364800000,31618.64,30103.14,2.32944336,-3616.56,-4.9073,1.0,v4_entry,v4_exit
31,1691524800000,1691611200000,29896.18,29404.44,2.34275546,-1235.38,-1.7628,1.0,v4_entry,v4_exit
32,1697500800000,1699358400000,28512.17,34613.98,2.4131732,14633.32,21.2551,21.5,v4_entry,v4_exit
33,1699473600000,1700611200000,35636.25,35727.35,2.34113729,113.05,0.1354,13.17,v4_entry,v4_exit
34,1701504000000,1702872000000,38717.96,41074.49,2.15771507,4981.4,5.9592,15.83,v4_entry,v4_exit
35,1703649600000,1703750400000,42251.55,43031.95,2.09508898,1527.82,1.7249,1.17,v4_entry,v4_exit
36,1704081600000,1704297600000,42347.43,42982.81,2.12640149,1242.2,1.3787,2.5,v4_entry,v4_exit
37,1704715200000,1705176000000,44653.86,42769.14,2.0443722,-3960.3,-4.3356,5.33,v4_entry,v4_exit
38,1706817600000,1710777600000,43236.23,67440.21,2.01986103,48754.54,55.7937,45.83,v4_entry,v4_exit
39,1712131200000,1712174400000,66162.44,65757.7,2.05640064,-995.07,-0.7309,0.5,v4_entry,v4_exit
40,1712260800000,1712304000000,68527.4,66903.98,1.97091962,-3359.79,-2.4861,0.5,v4_entry,v4_exit
41,1712332800000,1712606400000,68217.9,71737.3,1.93064034,6632.57,5.0329,3.17,v4_entry,v4_exit
42,1716076800000,1717171200000,66941.97,67188.7,2.06645878,343.55,0.2482,12.67,v4_entry,v4_exit
43,1728950400000,1730606400000,66110.44,68352.55,2.09764401,4533.92,3.2675,19.17,v4_entry,v4_exit
44,1730822400000,1733328000000,69667.86,95704.51,2.05557296,53316.27,37.2078,29.0,v4_entry,v4_exit
45,1733356800000,1733428800000,98626.76,98988.4,1.99227539,484.27,0.2463,0.83,v4_entry,v4_exit
46,1734033600000,1734580800000,99521.13,101152.68,1.97923449,2990.91,1.5175,6.33,v4_entry,v4_exit
47,1736985600000,1737403200000,100537.55,103650.17,1.98895596,5947.18,2.9723,4.83,v4_entry,v4_exit
48,1737763200000,1738339200000,104912.46,105421.82,1.96266845,752.01,0.365,6.67,v4_entry,v4_exit
49,1745841600000,1748635200000,95358.12,104598.64,2.16719806,19766.02,9.5588,32.33,v4_entry,v4_exit
50,1751529600000,1753416000000,109323.71,115373.49,2.07104308,12250.14,5.4073,21.83,v4_entry,v4_exit
51,1755086400000,1755187200000,120618.64,118209.96,1.97860708,-5049.36,-2.1145,1.17,v4_entry,v4_exit
