strategy,period,return_pct,max_dd_pct,sharpe,start_nav,end_nav
v4,2023-05,0.0,0.0,0.0,68558.95,68558.95
v4,2023-06,7.54,2.0,3.8,68558.95,73726.18
v4,2023-07,-5.3,7.03,-3.83,74001.75,70081.47
v4,2023-08,-1.76,1.76,-4.61,70081.47,68846.09
v4,2023-09,0.0,0.0,0.0,68846.09,68846.09
v4,2023-10,21.42,1.75,6.47,68846.09,83591.76
v4,2023-11,-2.21,5.69,-0.74,85478.05,83592.46
v4,2023-12,7.79,7.07,2.34,83592.46,90101.67
v4,2024-01,-6.98,8.96,-2.35,93943.46,87383.57
v4,2024-02,41.89,2.9,9.96,87021.55,123476.08
v4,2024-03,8.03,10.64,1.78,126014.89,136138.11
v4,2024-04,1.67,3.82,1.21,136138.11,138415.82
v4,2024-05,0.25,6.02,0.1,138415.82,138759.37
v4,2024-06,0.0,0.0,0.0,138759.37,138759.37
v4,2024-07,0.0,0.0,0.0,138759.37,138759.37
v4,2024-08,0.0,0.0,0.0,138759.37,138759.37
v4,2024-09,0.0,0.0,0.0,138759.37,138759.37
v4,2024-10,6.26,3.42,2.84,138759.37,147447.61
v4,2024-11,35.94,7.0,6.53,145777.89,198173.66
v4,2024-12,0.16,5.59,0.08,199771.23,200084.74
v4,2025-01,3.35,4.36,1.76,200084.74,206783.93
v4,2025-02,0.0,0.0,0.0,206783.93,206783.93
v4,2025-03,0.0,0.0,0.0,206783.93,206783.93
v4,2025-04,-1.3,1.3,-5.32,206783.93,204089.38
v4,2025-05,8.34,6.41,2.8,209112.75,226549.95
v4,2025-06,0.0,0.0,0.0,226549.95,226549.95
v4,2025-07,5.41,3.88,2.67,226549.95,238800.09
v4,2025-08,-2.11,4.19,-1.56,238800.09,233750.73
v4,2025-09,0.0,0.0,0.0,233750.73,233750.73
v4,2025-10,0.0,0.0,0.0,233750.73,233750.73
v4,2025-11,0.0,0.0,0.0,233750.73,233750.73
v4,2025-12,0.0,0.0,0.0,233750.73,233750.73
v4,2026-01,0.0,0.0,0.0,233750.73,233750.73
v4,2026-02,0.0,0.0,0.0,233750.73,233750.73
e5,2020-01,25.5,6.28,5.49,10000.0,12550.05
e5,2020-02,-3.24,10.55,-1.07,12592.61,12185.0
e5,2020-03,0.0,0.0,0.0,12185.0,12185.0
e5,2020-04,17.43,13.47,2.83,12185.0,14309.04
e5,2020-05,-4.83,16.07,-0.89,14652.59,13945.17
e5,2020-06,-11.94,11.94,-4.95,15055.82,13257.85
e5,2020-07,12.29,4.07,3.59,13257.85,14886.96
e5,2020-08,-3.86,7.66,-1.22,15498.58,14900.77
e5,2020-09,-8.54,9.22,-5.33,15249.27,13947.49
e5,2020-10,24.89,3.55,7.68,13743.7,17164.97
e5,2020-11,44.62,6.52,7.24,17128.26,24770.62
e5,2020-12,58.11,4.74,9.5,23599.86,37313.82
e5,2021-01,6.2,21.97,0.8,37840.25,40185.96
e5,2021-02,45.41,14.93,5.39,40185.96,58433.36
e5,2021-03,9.6,17.71,2.14,58433.36,64044.65
e5,2021-04,0.36,4.85,0.13,64022.72,64250.25
e5,2021-05,-9.25,10.07,-3.68,64250.25,58308.11
e5,2021-06,0.0,0.0,0.0,58308.11,58308.11
e5,2021-07,21.53,1.76,6.82,58308.11,70863.85
e5,2021-08,21.99,8.95,4.19,68101.22,83077.33
e5,2021-09,-10.74,17.27,-2.97,86092.81,76850.19
e5,2021-10,28.73,6.9,5.69,76850.19,98931.8
e5,2021-11,-2.38,11.21,-0.81,98304.49,95965.43
e5,2021-12,-3.1,3.72,-3.0,95965.43,92995.09
e5,2022-01,0.0,0.0,0.0,92995.09,92995.09
e5,2022-02,-0.51,6.76,-0.22,92995.09,92522.95
e5,2022-03,3.94,6.78,1.45,94077.14,97782.92
e5,2022-04,-4.67,5.27,-4.11,97520.46,92970.79
e5,2022-05,0.0,0.0,0.0,92970.79,92970.79
e5,2022-06,0.0,0.0,0.0,92970.79,92970.79
e5,2022-07,-3.47,10.07,-1.26,92970.79,89744.83
e5,2022-08,-5.53,9.28,-2.12,88354.36,83468.12
e5,2022-09,-6.73,9.77,-2.83,83468.12,77854.83
e5,2022-10,-5.38,5.38,-4.13,77854.83,73668.34
e5,2022-11,0.14,3.22,0.09,73642.74,73746.78
e5,2022-12,-0.7,2.56,-0.55,73746.78,73233.17
e5,2023-01,32.65,4.21,7.74,73233.17,97143.02
e5,2023-02,-21.37,21.37,-10.37,99695.1,78386.14
e5,2023-03,-1.05,11.37,-0.23,80037.08,79196.62
e5,2023-04,2.4,4.09,1.14,79161.48,81060.01
e5,2023-05,-4.92,6.15,-4.17,78035.55,74192.79
e5,2023-06,12.01,2.03,4.89,74192.79,83104.64
e5,2023-07,-3.8,5.88,-1.96,83415.27,80242.88
e5,2023-08,0.0,0.0,0.0,80242.88,80242.88
e5,2023-09,-0.96,3.41,-1.14,80242.88,79472.08
e5,2023-10,19.91,2.75,5.66,82508.03,98937.07
e5,2023-11,-1.19,7.46,-0.44,101169.62,99962.23
e5,2023-12,12.48,4.31,3.58,102502.26,115294.51
e5,2024-01,-2.95,7.57,-1.16,120464.24,116911.12
e5,2024-02,41.89,2.9,9.96,118292.03,167846.2
e5,2024-03,-1.71,16.03,-0.33,171297.3,168364.44
e5,2024-04,-4.35,5.89,-2.18,160859.26,153869.77
e5,2024-05,0.2,7.15,0.07,153869.77,154175.12
e5,2024-06,-0.75,5.62,-0.53,154692.94,153538.31
e5,2024-07,-0.09,5.0,-0.05,153538.31,153403.88
e5,2024-08,0.09,4.01,0.06,153403.88,153535.5
e5,2024-09,4.87,3.91,2.26,153535.5,161009.84
e5,2024-10,4.23,5.63,1.55,156857.09,163499.27
e5,2024-11,39.34,5.33,7.38,163499.27,227821.5
e5,2024-12,0.98,6.22,0.33,229658.07,231898.03
e5,2025-01,-0.1,4.64,-0.04,231898.03,231672.13
e5,2025-02,0.0,0.0,0.0,229723.38,229723.38
e5,2025-03,-4.32,4.32,-4.08,229723.38,219800.37
e5,2025-04,10.78,1.6,4.93,219800.37,243495.16
e5,2025-05,4.65,7.72,1.52,249488.45,261087.74
e5,2025-06,-3.61,6.59,-2.23,263711.43,254181.78
e5,2025-07,3.89,5.94,1.82,251104.37,260862.02
e5,2025-08,-0.42,4.19,-0.26,260601.2,259502.51
e5,2025-09,0.79,1.42,1.28,259502.51,261545.81
e5,2025-10,-4.69,9.33,-3.38,263890.68,251506.3
e5,2025-11,0.0,0.0,0.0,251506.3,251506.3
e5,2025-12,0.0,0.0,0.0,251506.3,251506.3
e5,2026-01,-0.47,7.25,-0.23,251506.3,250320.85
e5,2026-02,0.0,0.0,0.0,250320.85,250320.85
