entry_bar,e0_exit_bar,e5_exit_bar,e0_pnl,e5_pnl,d_pnl,e0_bars,e5_bars,d_bars,e5_exits_first,e0_exit_reason,e5_exit_reason,e0_trail_dist,e5_trail_dist,duration_bucket,winner_loser
5621,5670,5666,2511.07,3331.33,820.26,49,45,-4,True,trail_stop,trail_stop,919.94,551.51,medium,winner
6073,6195,6191,3585.33,4292.31,706.99,122,118,-4,True,trail_stop,trail_stop,695.98,613.00,long,winner
6450,6638,6597,28086.82,24509.02,-3577.80,188,147,-41,True,trail_stop,trail_stop,6546.47,2733.42,long,winner
6769,6896,6892,25289.36,35355.07,10065.71,127,123,-4,True,trail_stop,trail_stop,6578.50,4392.04,long,winner
6900,6925,6914,-7231.97,-8168.93,-936.96,25,14,-11,True,trail_stop,trail_stop,6232.72,5855.38,medium,loser
6938,7020,7017,10366.50,13768.00,3401.50,82,79,-3,True,trail_stop,trail_stop,5130.27,4465.65,long,winner
7062,7077,7074,-3099.24,-3610.00,-510.76,15,12,-3,True,trail_stop,trail_stop,4328.26,4160.93,short,loser
7165,7215,7209,3286.64,4049.51,762.87,50,44,-6,True,trail_stop,trail_stop,3582.19,3334.89,medium,winner
7809,7859,7818,9212.41,6650.44,-2561.97,50,9,-41,True,trail_stop,trail_stop,2977.45,2119.30,medium,winner
8223,8340,8338,26241.44,35051.18,8809.74,117,115,-2,True,trail_stop,trail_stop,4543.54,3754.10,long,winner
8435,8468,8460,5378.50,7802.77,2424.27,33,25,-8,True,trail_stop,trail_stop,3759.16,3537.14,medium,winner
8981,9022,9020,912.99,1114.56,201.57,41,39,-2,True,trail_stop,trail_stop,2757.37,2704.01,medium,winner
9124,9142,9139,-7347.40,-7216.06,131.33,18,15,-3,True,trail_stop,trail_stop,3154.25,2945.78,short,loser
10095,10138,10137,602.30,2637.40,2035.09,43,42,-1,True,trail_stop,trail_stop,1189.46,1107.73,medium,winner
10555,10602,10568,-813.09,-1371.76,-558.67,47,13,-34,True,trail_stop,trail_stop,736.94,704.63,medium,loser
10820,10838,10858,-1748.24,740.54,2488.78,18,38,20,False,trail_stop,trail_stop,315.80,482.77,short,loser
11140,11170,11171,-650.61,-1943.56,-1292.94,30,31,1,False,trail_stop,trail_stop,731.12,799.62,medium,loser
11275,11287,11285,-5640.70,-6357.24,-716.53,12,10,-2,True,trail_stop,trail_stop,1211.20,1186.43,short,loser
11392,11470,11441,2764.85,2460.55,-304.30,78,49,-29,True,trail_stop,trail_stop,1456.08,1673.10,medium,winner
11472,11543,11546,2058.54,2329.25,270.70,71,74,3,False,trail_stop,trail_stop,745.32,788.61,medium,winner
11600,11609,11607,-2140.78,-2208.28,-67.50,9,7,-2,True,trail_stop,trail_stop,1123.00,979.48,short,loser
11850,11860,11859,-2887.01,-2739.48,147.53,10,9,-1,True,trail_stop,trail_stop,950.31,862.60,short,loser
11979,12030,12029,9044.83,10782.89,1738.06,51,50,-1,True,trail_stop,trail_stop,1143.86,1134.75,medium,winner
12072,12098,12125,-1588.36,-1870.42,-282.06,26,53,27,False,trail_stop,trail_stop,703.16,976.07,medium,loser
12513,12540,12538,-412.69,-442.15,-29.46,27,25,-2,True,trail_stop,trail_stop,832.28,824.64,medium,loser
12583,12610,12606,765.60,1487.92,722.33,27,23,-4,True,trail_stop,trail_stop,938.78,803.55,medium,winner
12867,12875,12874,-1411.02,-57.26,1353.76,8,7,-1,True,trail_stop,trail_stop,1867.91,1431.04,short,loser
12941,13022,13021,13314.36,17124.91,3810.55,81,80,-1,True,trail_stop,trail_stop,1935.32,1361.85,long,winner
13115,13163,13161,737.26,4601.43,3864.18,48,46,-2,True,trail_stop,trail_stop,2732.50,1722.33,medium,winner
13176,13217,13216,-2288.36,313.46,2601.82,41,40,-1,True,trail_stop,trail_stop,3418.35,2459.51,medium,loser
13538,13601,13589,-231.14,7339.81,7570.95,63,51,-12,True,trail_stop,trail_stop,5255.53,3886.67,medium,loser
13697,13701,13700,-8887.38,-9775.47,-888.10,4,3,-1,True,trail_stop,trail_stop,3465.53,3064.15,short,loser
13720,13749,13745,981.14,1238.22,257.08,29,25,-4,True,trail_stop,trail_stop,3153.17,3256.60,medium,winner
14011,14044,14036,-1698.63,-1473.45,225.18,33,25,-8,True,trail_stop,trail_stop,2731.97,2505.47,medium,loser
14123,14132,14129,-39.50,-562.85,-523.36,9,6,-3,True,trend_exit,trail_stop,2887.23,2192.57,short,loser
14389,14415,14413,-1597.06,-2053.56,-456.49,26,24,-2,True,trail_stop,trail_stop,2999.84,2904.14,medium,loser
14789,14796,14795,-6530.51,-6009.97,520.53,7,6,-1,True,trail_stop,trail_stop,2599.99,2114.10,short,loser
14987,15125,15060,48555.01,46757.63,-1797.38,138,73,-65,True,trail_stop,trail_stop,4330.94,5189.99,long,winner
15130,15207,15186,9554.00,9813.64,259.63,77,56,-21,True,trail_stop,trail_stop,4774.75,4711.90,medium,winner
15433,15477,15456,3842.49,3474.28,-368.21,44,23,-21,True,trail_stop,trail_stop,6111.28,4688.38,medium,winner
16092,16209,16173,25461.98,21819.11,-3642.87,117,81,-36,True,trail_stop,trail_stop,4150.12,3251.81,long,winner
16666,16696,16683,1409.61,2471.79,1062.18,30,17,-13,True,trail_stop,trail_stop,4417.12,3051.91,medium,winner
16861,16923,16924,1172.79,1336.81,164.02,62,63,1,False,trail_stop,trail_stop,1895.65,1998.54,medium,winner
16984,17022,17020,6055.34,8988.67,2933.33,38,36,-2,True,trail_stop,trail_stop,4025.03,3238.87,medium,winner
17025,17039,17038,-12251.71,-10365.95,1885.76,14,13,-1,True,trail_stop,trail_stop,5086.40,3750.07,short,loser
17141,17154,17153,-9946.49,-11627.82,-1681.33,13,12,-1,True,trail_stop,trail_stop,4174.92,3801.95,short,loser
17545,17575,17572,86.49,1673.25,1586.76,30,27,-3,True,trail_stop,trail_stop,3144.79,2835.47,medium,winner
17580,17636,17640,7551.17,6134.45,-1416.73,56,60,4,False,trail_stop,trail_stop,2213.38,2294.93,medium,winner
