sharpe,cagr,mdd,trades,positive_folds_vs_A,guard,H,mode,trend_mode,cooldown_bars,trail_mult,fold1,fold2,fold3,fold4
1.3305516894761484,0.4174753404355571,-0.26503351164580435,91,2,ema12_net_quote_norm_28_ge0,8,oneshot,none,0,3.3,0.9858863709626997,1.837077135712374,1.4534444114719822,0.37586896916463053
1.4897222299276274,0.46876823357883457,-0.2130923925352256,104,2,ema12_net_quote_norm_28_ge0,8,oneshot,none,3,2.7,1.1479994454363303,2.221556116473792,1.549025090255451,-0.2279961071585719
1.5461950996170801,0.4934904375768896,-0.24242980596413055,94,3,ema12_net_quote_norm_28_ge0,8,oneshot,none,3,3.0,1.1790693350730403,2.139915229819193,1.4998748600365384,0.847953917008188
1.2770446098873476,0.3898698587234257,-0.26503351164580446,89,2,ema12_net_quote_norm_28_ge0,8,oneshot,none,3,3.3,0.8506557559575314,1.930139406071081,1.2529164874774485,0.40536361540799043
1.4787457566803912,0.45246241963490674,-0.21320570659369298,98,3,ema12_net_quote_norm_28_ge0,8,oneshot,none,6,2.7,1.191651312582819,1.8934256741773636,1.6430571470661424,0.6623613895591832
1.3960574619766244,0.4252149961458995,-0.2458601347704541,93,2,ema12_net_quote_norm_28_ge0,8,oneshot,none,6,3.0,1.0605573725287603,1.7635590385594342,1.6694512831921149,0.6643622037030786
1.0790022897937046,0.309807739315215,-0.2627192536099662,88,0,ema12_net_quote_norm_28_ge0,8,oneshot,none,6,3.3,0.8178796117391057,1.4140338894667712,1.3131670159552016,0.2141299103333293
1.438887030457403,0.4489820624665264,-0.24143665242519174,110,3,ema12_net_quote_norm_28_ge0,16,stateful,ema30_120,0,2.7,1.183252632767692,1.7623748626027806,1.8791378497656024,0.1355518853585504
1.3864655025249746,0.42959440121602643,-0.26971733789411667,102,2,ema12_net_quote_norm_28_ge0,16,stateful,ema30_120,0,3.0,1.0971054083218914,1.600135832677639,1.914037438389407,0.45533810988519263
1.1923322203699915,0.35775252079050945,-0.2785586090901009,95,1,ema12_net_quote_norm_28_ge0,16,stateful,ema30_120,0,3.3,0.8648752859188008,1.4674482657020425,1.6167966218983945,0.37586896916463053
1.379342247064109,0.41840967099180015,-0.24143665242519186,107,1,ema12_net_quote_norm_28_ge0,16,stateful,ema30_120,3,2.7,1.0685243447577315,1.850738667666571,1.6136592708800361,0.25426153683893987
1.3623788603696183,0.41373438340866264,-0.26971733789411645,98,2,ema12_net_quote_norm_28_ge0,16,stateful,ema30_120,3,3.0,1.104296808905461,1.697641528627953,1.6383042408982715,0.48503393421747204
1.1145835177754695,0.3241843567887437,-0.31376698420872373,93,1,ema12_net_quote_norm_28_ge0,16,stateful,ema30_120,3,3.3,0.7962711736004083,1.431776098888103,1.41613709994549,0.40536361540799043
1.370960320281159,0.40693371389441646,-0.24154588493317886,102,2,ema12_net_quote_norm_28_ge0,16,stateful,ema30_120,6,2.7,1.1098748683808148,1.6743452334938187,1.709298742200272,0.4677561637979283
1.2041837765873662,0.3470429458496955,-0.27302410692001366,97,0,ema12_net_quote_norm_28_ge0,16,stateful,ema30_120,6,3.0,0.984653104250144,1.387567079247166,1.659870513609958,0.30203944213895717
0.942394976766362,0.25803020996134474,-0.2879694605998695,92,0,ema12_net_quote_norm_28_ge0,16,stateful,ema30_120,6,3.3,0.7636457686841506,1.071456297300678,1.331733286037666,0.2141299103333293
1.5278771796252573,0.48902831541601777,-0.24143665242519208,106,2,ema12_net_quote_norm_28_ge0,16,stateful,none,0,2.7,1.2471699159676417,2.008954777511412,1.787602769050835,0.1355518853585504
1.4646500323784173,0.46477161959270097,-0.2697173378941171,98,3,ema12_net_quote_norm_28_ge0,16,stateful,none,0,3.0,1.1610589966101126,1.8394723957462966,1.7839198206992972,0.45533810988519263
1.2448477201437746,0.3811112343515486,-0.2730297495742692,91,2,ema12_net_quote_norm_28_ge0,16,stateful,none,0,3.3,0.9284521952637603,1.6315045096411132,1.4903152989723782,0.37586896916463053
1.4732843886609996,0.45881752896073413,-0.24143665242519152,103,2,ema12_net_quote_norm_28_ge0,16,stateful,none,3,2.7,1.1324494843423631,2.110441981809898,1.5192489873311208,0.25426153683893987
1.4474354648935779,0.4505351645966664,-0.2697173378941172,94,3,ema12_net_quote_norm_28_ge0,16,stateful,none,3,3.0,1.1682653198829431,1.9565441671270856,1.5049434325533038,0.48503393421747204
1.1991920964633027,0.3586540700097436,-0.2730297495742686,89,2,ema12_net_quote_norm_28_ge0,16,stateful,none,3,3.3,0.8603958868462658,1.6866771006500367,1.289014054640119,0.40536361540799043
1.4411421036771885,0.43703467912286165,-0.24154588493317808,99,3,ema12_net_quote_norm_28_ge0,16,stateful,none,6,2.7,1.175358558248775,1.8681494900421685,1.6143417071012671,0.4677561637979283
1.2987526927429323,0.3855634469671636,-0.27302410692001344,93,0,ema12_net_quote_norm_28_ge0,16,stateful,none,6,3.0,1.049954640876392,1.5821200241123081,1.6754756738931393,0.30203944213895717
1.0327325896714967,0.29238919004496244,-0.2762490741571668,88,0,ema12_net_quote_norm_28_ge0,16,stateful,none,6,3.3,0.8279357608598268,1.25485218424799,1.3494494314920007,0.2141299103333293
1.4830306211796354,0.47015729719650445,-0.2226142180221654,109,3,ema12_net_quote_norm_28_ge0,16,oneshot,ema30_120,0,2.7,1.1954044794739487,1.8181345933236446,1.903614440202171,0.30947964606117734
1.3318017614976247,0.4114183297593348,-0.2538807384071262,102,2,ema12_net_quote_norm_28_ge0,16,oneshot,ema30_120,0,3.0,0.910452926062088,1.6612597233591289,1.827596109807083,0.5108338181907907
1.2184485934797704,0.3695932591849569,-0.27833740637621185,95,1,ema12_net_quote_norm_28_ge0,16,oneshot,ema30_120,0,3.3,0.8831922943838488,1.5740223383108214,1.534306873648917,0.37586896916463053
1.4215010366303353,0.4377686562283869,-0.20087840471725749,105,1,ema12_net_quote_norm_28_ge0,16,oneshot,ema30_120,3,2.7,1.0809117523238887,1.8704679903205708,1.7300484446696338,0.31557776743720084
1.3182065368927463,0.40002782409337323,-0.25161649715761003,97,2,ema12_net_quote_norm_28_ge0,16,oneshot,ema30_120,3,3.0,0.917481577838489,1.723071344948962,1.6616766623736061,0.5405977082761415
1.1645424702216127,0.34469623985834574,-0.31355657681130544,92,1,ema12_net_quote_norm_28_ge0,16,oneshot,ema30_120,3,3.3,0.8149205293988481,1.5396524155262281,1.4402935280717613,0.40536361540799043
1.4274624681464176,0.43205897954798567,-0.20026735960898867,100,3,ema12_net_quote_norm_28_ge0,16,oneshot,ema30_120,6,2.7,1.1224208697727194,1.70928746775651,1.8485401451401016,0.5821276261552735
1.2129187039637983,0.3539273778791612,-0.2826659053163695,96,2,ema12_net_quote_norm_28_ge0,16,oneshot,ema30_120,6,3.0,0.7956435871592356,1.4296767441287044,1.899509851724135,0.35835273366362924
1.023761413675087,0.2889750826582276,-0.30266403425688115,91,0,ema12_net_quote_norm_28_ge0,16,oneshot,ema30_120,6,3.3,0.7824305264295971,1.1363363133333162,1.5650490824735652,0.2141299103333293
1.5879467521706658,0.5183434728836196,-0.2001521821707053,105,2,ema12_net_quote_norm_28_ge0,16,oneshot,none,0,2.7,1.2591607159265807,2.108073138028119,1.8124367328065827,0.30947964606117734
1.4137015833518383,0.44859159494244794,-0.25293734451989447,98,2,ema12_net_quote_norm_28_ge0,16,oneshot,none,0,3.0,0.9377750947160822,1.9437403064928251,1.6989779726785705,0.5108338181907907
1.2706334992618638,0.3931556802790501,-0.26503351164580424,91,2,ema12_net_quote_norm_28_ge0,16,oneshot,none,0,3.3,0.9465419505468712,1.7364792299016616,1.40918892315412,0.37586896916463053
1.5316490565896503,0.48612238806546704,-0.20015218217070507,101,2,ema12_net_quote_norm_28_ge0,16,oneshot,none,3,2.7,1.1446757689909537,2.1743411572774733,1.6353952708622457,0.31557776743720084
1.4068781830264756,0.43889875765215836,-0.24842361002061497,93,2,ema12_net_quote_norm_28_ge0,16,oneshot,none,3,3.0,0.9447816487657004,2.0259606605983853,1.5292037937662848,0.5405977082761415
1.248642902833249,0.37969989589735786,-0.26503351164580424,88,2,ema12_net_quote_norm_28_ge0,16,oneshot,none,3,3.3,0.8788120569743176,1.793100760161396,1.3139146267181487,0.40536361540799043
1.5140757920485386,0.4700117047916117,-0.20026735960898834,97,3,ema12_net_quote_norm_28_ge0,16,oneshot,none,6,2.7,1.187731326127722,1.9487277118807853,1.753406521966682,0.5821276261552735
1.3108832552831162,0.39499764838759965,-0.27960548670058716,92,3,ema12_net_quote_norm_28_ge0,16,oneshot,none,6,3.0,0.8239217778034398,1.669663686268923,1.9133444696880915,0.35835273366362924
1.1133559187078645,0.32417922071679994,-0.26271925360996673,87,0,ema12_net_quote_norm_28_ge0,16,oneshot,none,6,3.3,0.8464855250023456,1.3186273226504754,1.5811272383000559,0.2141299103333293
1.3890534062647877,0.42792219621725147,-0.24143665242519174,110,3,ema12_net_quote_norm_28_ge0,24,stateful,ema30_120,0,2.7,1.183252632767692,1.6213498839622449,1.8791378497656024,0.1355518853585504
1.3492185532085994,0.41395848738022556,-0.26971733789411667,102,2,ema12_net_quote_norm_28_ge0,24,stateful,ema30_120,0,3.0,1.0971054083218914,1.4950696571848905,1.914037438389407,0.45533810988519263
1.1554928815675833,0.34290236370584326,-0.27855860909010033,95,1,ema12_net_quote_norm_28_ge0,24,stateful,ema30_120,0,3.3,0.8648752859188008,1.364185307017278,1.6167966218983945,0.37586896916463053
1.3361999635903994,0.40136857774766144,-0.24143665242519186,107,1,ema12_net_quote_norm_28_ge0,24,stateful,ema30_120,3,2.7,1.0685243447577315,1.728051910475564,1.6136592708800361,0.25426153683893987
1.3246109853781682,0.3982719354675668,-0.26971733789411645,98,1,ema12_net_quote_norm_28_ge0,24,stateful,ema30_120,3,3.0,1.104296808905461,1.5911450254430481,1.6383042408982715,0.48503393421747204
1.0773258051932384,0.3097013450423012,-0.3137669842087234,93,1,ema12_net_quote_norm_28_ge0,24,stateful,ema30_120,3,3.3,0.7962711736004083,1.3272423776154634,1.41613709994549,0.40536361540799043
1.3656350197583726,0.40593210291681925,-0.24154588493317886,102,2,ema12_net_quote_norm_28_ge0,24,stateful,ema30_120,6,2.7,1.1098748683808148,1.6581531034246642,1.709298742200272,0.4677561637979283
1.2044403982819802,0.34755122103677305,-0.27302410692001366,97,0,ema12_net_quote_norm_28_ge0,24,stateful,ema30_120,6,3.0,0.984653104250144,1.3880955508654091,1.659870513609958,0.30203944213895717
0.9429732524997984,0.2585048982719793,-0.2879694605998696,92,0,ema12_net_quote_norm_28_ge0,24,stateful,ema30_120,6,3.3,0.7636457686841506,1.0729888927603553,1.331733286037666,0.2141299103333293
1.4783910743342645,0.46738640695052114,-0.24143665242519208,106,2,ema12_net_quote_norm_28_ge0,24,stateful,none,0,2.7,1.2471699159676417,1.8699328022381037,1.787602769050835,0.1355518853585504
1.4276682386601267,0.4487509616958929,-0.2697173378941171,98,3,ema12_net_quote_norm_28_ge0,24,stateful,none,0,3.0,1.1610589966101126,1.7359537779906111,1.7839198206992972,0.45533810988519263
1.2082741240259878,0.36600559582945746,-0.2730297495742692,91,1,ema12_net_quote_norm_28_ge0,24,stateful,none,0,3.3,0.9284521952637603,1.529777462373778,1.4903152989723782,0.37586896916463053
1.4303157447545158,0.44129096661022205,-0.24143665242519152,103,2,ema12_net_quote_norm_28_ge0,24,stateful,none,3,2.7,1.1324494843423631,1.988556732342376,1.5192489873311208,0.25426153683893987
1.4099214442260803,0.434670215188542,-0.2697173378941172,94,3,ema12_net_quote_norm_28_ge0,24,stateful,none,3,3.0,1.1682653198829431,1.8515003457691028,1.5049434325533038,0.48503393421747204
1.1621777119895973,0.3437940524038703,-0.2730297495742686,89,1,ema12_net_quote_norm_28_ge0,24,stateful,none,3,3.3,0.8603958868462658,1.5835155376511278,1.289014054640119,0.40536361540799043
1.4356883494325792,0.43601163895004924,-0.24154588493317808,99,3,ema12_net_quote_norm_28_ge0,24,stateful,none,6,2.7,1.175358558248775,1.8509866538212576,1.6143417071012671,0.4677561637979283
1.2989063073190126,0.38608625696545307,-0.27302410692001344,93,0,ema12_net_quote_norm_28_ge0,24,stateful,none,6,3.0,1.049954640876392,1.5821044627328795,1.6754756738931393,0.30203944213895717
1.0332130234673325,0.29287684291406446,-0.2762490741571668,88,0,ema12_net_quote_norm_28_ge0,24,stateful,none,6,3.3,0.8279357608598268,1.255871928567139,1.3494494314920007,0.2141299103333293
