sharpe,cagr,mdd,trades,positive_folds_vs_A,fold1,fold2,fold3,fold4,trail_mult,peak_anchor,atr_mode,trend_exit,cooldown_bars,trail_confirm_bars,time_stop_bars
1.2816571510392047,0.36832731153093623,-0.2355345554746583,108,1,1.0099920171198193,1.5191571826232302,1.6237567298927509,0.7152029065805388,2.7,close,lagged,ema30_120_confirm2,6,1,96
0.848771360119449,0.20282272258462974,-0.28135779557686735,147,1,0.4094344752592354,1.6902479577392862,0.746305345075613,-0.6202715182125498,2.7,close,lagged,ema30_120_confirm2,6,2,24
1.444032409806994,0.4123075319415235,-0.31247063357878513,134,2,1.076986957601782,1.343743894389426,2.507713588440352,0.7576793290692422,2.7,close,lagged,ema30_120_confirm2,6,2,30
1.1910402103142628,0.3276008598182665,-0.2807560627551142,126,1,0.8028035332545357,1.61170971580412,1.6225508949476313,0.014540172926239218,2.7,close,lagged,ema30_120_confirm2,6,2,36
0.8968105568349918,0.23013819832220594,-0.2943424563964566,114,0,0.25778573640954217,1.3004330162938633,1.4938550329479126,0.2892171276036524,2.7,close,lagged,ema30_120_confirm2,6,2,48
1.0949117898134182,0.2996457243708939,-0.28831028222884414,109,0,0.923084469414279,1.2191097065028593,1.61042370036761,0.016106040562845838,2.7,close,lagged,ema30_120_confirm2,6,2,60
1.1235022515630149,0.31466286843947344,-0.2827638169890996,104,0,0.7557889935736821,1.4981788900671158,1.4454723059806625,0.2987367891278866,2.7,close,lagged,ema30_120_confirm2,6,2,72
0.9197236582363594,0.2438013965253294,-0.2854455157379866,102,0,0.6781725440329883,1.185830323162435,1.1372517397305095,0.2987367891278866,2.7,close,lagged,ema30_120_confirm2,6,2,96
1.403602216208747,0.4120063712992448,-0.33113616362372134,178,3,1.200501473613728,1.4269423235951024,2.099153448774031,0.4833398955537897,2.7,close,lagged,d1_close_below_ema21,0,1,24
1.6005779944295406,0.4945334767812879,-0.23553455547465796,159,2,1.6443921204013774,1.9339086940820835,1.8368019459677576,-0.3460376751065297,2.7,close,lagged,d1_close_below_ema21,0,1,30
1.5320903246480297,0.47272750601912494,-0.2473355899506744,151,3,1.294582846723858,1.8166038427420272,2.0755459943515002,0.12550647862668346,2.7,close,lagged,d1_close_below_ema21,0,1,36
1.4647102025137733,0.44657260147129896,-0.24501254163751418,135,3,1.2170461530051235,1.7039899674615424,2.0954601499966037,0.07185470784901685,2.7,close,lagged,d1_close_below_ema21,0,1,48
1.5041727738917945,0.46469042802221616,-0.23960461289203727,127,3,1.4190362274943449,1.681760554015755,2.1080750121004534,-0.2739185933993317,2.7,close,lagged,d1_close_below_ema21,0,1,60
1.583131380963568,0.502746572318931,-0.23605819074815548,122,3,1.4630968564776405,1.8065058934621252,2.099989743275612,0.016053340514480152,2.7,close,lagged,d1_close_below_ema21,0,1,72
