entry,trail_mult,cooldown,time_stop,atr_mode,full_sharpe,full_cagr,full_mdd,trades,pre,mid,late,min_epoch,plat_mean,plat_min
weak_af_0065,2.7,0,60,lagged,1.613585657454371,0.6377235219101851,-0.33583326873298924,206,2.107423828293255,1.1575818066936652,1.5294346321023935,1.1575818066936652,1.5454383776223193,1.4588942189718968
weak_a_0065,3.1,3,60,current,1.610185058394197,0.6669061457696568,-0.3466320218094303,189,2.188595280123872,1.1525129863908363,1.300912916279755,1.1525129863908363,1.5030434974154925,1.3521510756089932
weak_af_0065,3.0,0,60,current,1.6094961601120854,0.6528254849360493,-0.3848829859359938,193,2.1303202822334613,1.1532964671147166,1.3684631004870107,1.1532964671147166,1.5112148380279478,1.3937405313710023
weak_f_0065,3.0,5,60,current,1.6091815795798188,0.6465086909077036,-0.34022153744933514,188,2.0278151554470063,1.3512304728583626,1.181088719939191,1.181088719939191,1.4662243034267606,1.2705221765625163
weak_f_0065,2.7,0,66,current,1.6081101485606408,0.6623218424803115,-0.33225684930911803,207,2.0319040477470938,1.4170576895345497,1.3337240212263797,1.3337240212263797,1.5148182451860086,1.4192116532174814
weak_f_0065,3.0,4,60,current,1.6079281343579945,0.650015579788344,-0.34022153744933525,190,2.068433483145857,1.3146560942528078,1.1853361125169273,1.1853361125169273,1.5081183650302552,1.3139699672246008
weak_f_0065,2.7,3,60,current,1.6060703428285263,0.6494836915215905,-0.33467745351754463,204,2.1491814996563554,1.294318375117839,1.161097538566315,1.161097538566315,1.517207154343272,1.4350973498395836
weak_f_0065,3.0,3,-1,current,1.605595437050838,0.6659197568435087,-0.34022153744933503,165,2.123527258613766,1.3124707633651387,1.295722010562575,1.295722010562575,1.4013421982998333,1.1287637105432766
weak_f_0065,2.8,3,54,lagged,1.6040277417206914,0.6511019315629794,-0.33980506302942326,209,2.183621262879985,1.2757467306301888,1.2864281745823614,1.2757467306301888,1.5479246261081903,1.4076470640077259
weak_af_0065,2.7,0,60,current,1.6032878241461388,0.6426245018625634,-0.33225684930911803,204,2.13981561192952,1.1832934412288059,1.3474202544198963,1.1832934412288059,1.5213774558435973,1.4246326040421
weak_af_0065,3.0,2,60,current,1.6032783942561797,0.6432458114445041,-0.38479394295405345,190,2.126744719086969,1.1664383716364903,1.3196958217025196,1.1664383716364903,1.509860613610518,1.3937405313710023
weak_af_0065,2.7,5,60,current,1.602074068534623,0.6283469856159429,-0.3362771570857995,193,2.073777347284005,1.147017501039866,1.4970052384458536,1.147017501039866,1.4865306589787763,1.3002289118651782
weak_f_0065,3.0,4,60,lagged,1.6020116080468063,0.6466955902202636,-0.3568539974432261,192,2.0434681549019396,1.293162740246344,1.2369445408153996,1.2369445408153996,1.5356810181526959,1.3841958772393834
weak_f_0065,2.8,4,54,lagged,1.6014756041532767,0.6452592011944038,-0.3398606270214788,207,2.193026442130941,1.2908224232173982,1.236224049029423,1.236224049029423,1.5286327461206133,1.3774681637184008
weak_af_0065,2.8,2,54,lagged,1.600138009837009,0.6337086704362549,-0.3374031143035584,200,2.243407843430155,1.1853752450591395,1.421637419506779,1.1853752450591395,1.550875473028165,1.374180780483147
weak_a_0065,2.7,3,42,lagged,1.599885360895721,0.6265084422699256,-0.292379842016261,231,2.088851711980928,1.1770107305929842,1.6650361908069573,1.1770107305929842,1.448493071910224,1.2488250133576642
orig_vdo,2.7,2,48,lagged,1.5989576013253182,0.6558772311678174,-0.33478806946710915,235,2.0399996589658866,1.3634098203435645,1.4058299113750863,1.3634098203435645,1.5173404397426609,1.4108447872192384
weak_f_0065,2.8,0,60,lagged,1.597580603982106,0.6586675319432405,-0.33740311430355785,210,2.1901928693446076,1.3214191123432593,1.1729991725235707,1.1729991725235707,1.5512514129491635,1.4472575648429944
orig_vdo,3.0,1,42,current,1.5963529065695705,0.6672979331505589,-0.31417785077681837,241,2.403215249787858,1.1627489547132526,1.1737115056094434,1.1627489547132526,1.397609043410654,1.1854211323845403
weak_f_0065,3.0,3,-1,lagged,1.5962580860343578,0.6602187775738189,-0.3567998637847305,168,2.094434524929726,1.2900522308745597,1.3409821002190665,1.2900522308745597,1.4287336827957604,1.1766805833769451
weak_a_0065,2.7,1,60,current,1.5955891688549546,0.6556796433834327,-0.33757144342173806,208,2.233008905965935,1.1597257267632426,1.2346770796685935,1.1597257267632426,1.5104274038804044,1.4352609974536716
weak_af_0065,3.0,4,60,current,1.595264917995869,0.6289949485354169,-0.34022153744933525,184,2.063957372175833,1.1557482486199422,1.3975330461753073,1.1557482486199422,1.479356452054689,1.2573921312836513
orig_vdo,2.8,3,60,lagged,1.5942319416853254,0.6704244422155214,-0.3643373460496273,212,2.1542255474572922,1.206860809402928,1.2091816682531253,1.206860809402928,1.5322409017906884,1.4427585844680106
weak_a_0065,3.0,3,-1,current,1.5936476615138777,0.6663259058149957,-0.3456533495602384,166,2.160471951492776,1.1715957251516504,1.4481828302180821,1.1715957251516504,1.3568252360323656,1.1119387909621137
weak_f_0065,2.7,1,66,current,1.5928162446490446,0.6501313704286424,-0.33225684930911803,205,2.0354082822031674,1.4091963424736416,1.274440514141961,1.274440514141961,1.509446038146618,1.3956863125808314
weak_af_0065,2.8,0,54,lagged,1.592105593152581,0.6355335735989238,-0.33740311430355774,209,2.251400079810162,1.1718050439943029,1.390456805244033,1.1718050439943029,1.5502608586269624,1.3751279313861777
weak_af_0065,3.1,0,54,lagged,1.5920379098758746,0.637113249446094,-0.39332435206145433,197,2.18797637717782,1.1822033626414314,1.4574625889293273,1.1822033626414314,1.5309136376052288,1.3793988436245126
weak_af_0065,3.0,3,-1,current,1.5914197285942686,0.6465813503140871,-0.34022153744933503,160,2.099935617858825,1.1917931709384086,1.4721089621947823,1.1917931709384086,1.3546046040317168,1.0671289870918186
weak_f_0065,3.1,4,60,lagged,1.5911849170339576,0.6405469765862379,-0.3492758010069087,189,2.0538491917417194,1.2966792463973258,1.1667796745733516,1.1667796745733516,1.5278699141607623,1.3986946035599743
orig_vdo,2.7,3,48,lagged,1.5909494461381848,0.6468183136140555,-0.32895460517206543,231,2.167146985872088,1.2672217030606234,1.3780326097537177,1.2672217030606234,1.5142695639254673,1.3654720709649133
orig_vdo,3.0,3,48,current,1.5897827076433635,0.6557851796315892,-0.3577555513762276,220,2.1205719216895313,1.197984528630463,1.5152177443682835,1.197984528630463,1.4510341351436211,1.2607575073837032
weak_a_0065,3.0,3,-1,lagged,1.5896467860733943,0.6639580256563857,-0.36165396024285124,169,2.1482803871540406,1.1475643814656753,1.4935156177863806,1.1475643814656753,1.4000709678618042,1.162180429044994
weak_a_0065,2.8,3,-1,lagged,1.5883878928370943,0.6605017824515864,-0.34505958061088415,180,2.10226264325191,1.1552494898084091,1.5545069276879244,1.1552494898084091,1.4123086947604628,1.2306206633911054
weak_af_0065,2.8,0,48,lagged,1.587594082788662,0.6237669206576337,-0.32250641190920004,217,2.1147568048401384,1.1740141362457142,1.4865824672925643,1.1740141362457142,1.5288058543476264,1.3751279313861777
weak_f_0065,2.8,3,-1,lagged,1.5866333629700409,0.6517602526937027,-0.3398050630294228,180,2.047699670017,1.304083247115074,1.3516381136781257,1.304083247115074,1.4353256094887987,1.2177841678904386
weak_af_0065,3.0,0,54,lagged,1.5864582431198442,0.6333912606314196,-0.39815738784639565,203,2.1851108416311935,1.1777736721496967,1.4455662404427343,1.1777736721496967,1.5516458420317834,1.3989213149212163
weak_a_0065,2.8,4,-1,lagged,1.5863767390859127,0.6573250668701507,-0.34573168279020405,179,2.092365703847228,1.1487162822138268,1.574042596883173,1.1487162822138268,1.391283629585246,1.1393804450621576
weak_af_0065,2.8,2,66,lagged,1.5860696224073525,0.6336275294562681,-0.33740311430355785,193,2.0437589588344536,1.2604298318433709,1.4129548623158916,1.2604298318433709,1.5484281529421093,1.434428829555199
weak_af_0065,3.0,1,60,current,1.5857765934961454,0.6355063717293421,-0.3873604144355133,191,2.122802092122016,1.1745001005735038,1.235828287359975,1.1745001005735038,1.5125163955761778,1.3937405313710023
weak_f_0065,3.0,3,54,current,1.5848658112985712,0.6414900574812437,-0.34022153744933537,200,2.2291839448413793,1.2180828945593194,1.2285272977400201,1.2180828945593194,1.4901285364158112,1.3106259741938848
weak_f_0065,2.8,4,-1,lagged,1.583982529997801,0.6483531509562341,-0.3398606270214788,179,2.049262449407536,1.281347814560178,1.3783981083839283,1.281347814560178,1.4173471987926822,1.2095052748069133
weak_af_0065,3.0,3,-1,lagged,1.5837441926383897,0.6421295913796294,-0.3567998637847305,163,2.0776475492100355,1.1667438700374213,1.5175425568754295,1.1667438700374213,1.3839555642585726,1.0753011356222222
weak_f_0065,3.0,0,-1,lagged,1.583375193023739,0.6589022326245111,-0.39815738784639565,176,2.0215516855248,1.373294097493864,1.2485029850247198,1.2485029850247198,1.438740048165437,1.2666103774203403
weak_f_0065,2.7,2,42,lagged,1.5830752656286513,0.6178046840944809,-0.2866852287245111,233,2.1259703900075064,1.2417584653267952,1.4084920657773121,1.2417584653267952,1.4454422809699414,1.3368866996735458
orig_vdo,2.7,3,66,lagged,1.582829183587941,0.660100726462655,-0.3575039410373737,216,2.0426930147286138,1.2738063589478759,1.4442468810422249,1.2738063589478759,1.4922833940720948,1.3809462568061495
orig_vdo,2.8,2,60,lagged,1.5827574424669493,0.6672115122140063,-0.37082726021868406,215,2.1652515628700075,1.1803321695511235,1.1924100806179978,1.1803321695511235,1.529940897122893,1.438081191373865
weak_af_0065,3.0,1,60,lagged,1.5822501645073017,0.6332933395090168,-0.40058135272703466,193,2.097296541075488,1.1504260118051335,1.3009407621671165,1.1504260118051335,1.5391230340450464,1.4184797025380849
weak_af_0065,2.7,1,60,current,1.5820581169916499,0.6278512171227519,-0.33225684930911803,201,2.1387099671579914,1.1905645603944823,1.2429449545442224,1.1905645603944823,1.5232547447930043,1.4246326040421
weak_af_0065,2.8,3,66,lagged,1.581556397440057,0.6290157454190979,-0.3398050630294229,191,2.0279475334189687,1.248175768764144,1.4394068187125355,1.248175768764144,1.5522352157303763,1.4021260780013955
weak_f_0065,2.8,3,48,lagged,1.5809946339615564,0.6200573363457658,-0.32496236196846806,217,2.1336276461235175,1.2142277397132486,1.4080685804247621,1.2142277397132486,1.512423022479376,1.3820705732053835
weak_f_0065,2.7,0,60,lagged,1.5809506816626595,0.6422146825854964,-0.3273642075946571,216,2.121889310312652,1.3000182492618246,1.286562278302025,1.286562278302025,1.530692906449957,1.446007214448663
weak_af_0065,2.8,4,-1,lagged,1.5804219210698796,0.6361930426836846,-0.3398606270214788,173,2.029716434114467,1.1681707459047408,1.5837500698027893,1.1681707459047408,1.3695665797488241,1.0601459103592705
weak_af_0065,2.8,3,-1,lagged,1.5802991817401189,0.6374988339577083,-0.3398050630294228,174,2.030455081519343,1.1689775758398566,1.5786566341600516,1.1689775758398566,1.403796117320317,1.2082226232728193
weak_f_0065,2.8,2,-1,lagged,1.5800671322800162,0.6499462225021266,-0.3374031143035576,182,2.060491341703487,1.29482125977514,1.3185568987711962,1.29482125977514,1.4350701063491496,1.2666103774203403
weak_af_0065,2.7,5,42,lagged,1.579824874851669,0.5852713378359364,-0.29891661357193866,216,2.104804740409351,1.1470028949633526,1.609519981604881,1.1470028949633526,1.396237935033619,1.1344474135683384
weak_a_0065,2.7,4,42,lagged,1.5797242329417551,0.6126260007397719,-0.2949450024834418,228,2.1601846109186167,1.1916943216536682,1.442049252406893,1.1916943216536682,1.4423014468596256,1.1577462416409452
orig_vdo,2.6,4,54,current,1.5796213506696428,0.6510151146603853,-0.34943971085762937,225,2.20697242152209,1.1955003645362916,1.3795825947370013,1.1955003645362916,1.460228811677277,1.3028180859491985
orig_vdo,2.8,3,54,lagged,1.5795379475677194,0.6603088795134731,-0.36433734604962753,220,2.264635398457157,1.169594815589365,1.2621557924119684,1.169594815589365,1.544400156705448,1.4395783280536796
weak_af_0065,3.1,0,60,current,1.5790761545804302,0.6385245341032946,-0.3427087840801789,189,2.110694208629762,1.1574148418186208,1.2519311408910163,1.1574148418186208,1.5063502144222278,1.3854698182544751
weak_a_0065,3.0,3,66,current,1.5789555938962572,0.6488994508055419,-0.3456533495602384,189,2.078516200909636,1.1688491778218906,1.5036707043255544,1.1688491778218906,1.508528588382359,1.3625727814161184
orig_vdo,2.8,1,66,lagged,1.5788138859986078,0.6697934559765522,-0.37082726021868395,214,2.118777883267195,1.2852794142762667,1.246879682349998,1.246879682349998,1.519245904994045,1.4619360292128496
orig_vdo,2.6,4,54,lagged,1.5784265349799904,0.6490537526945299,-0.34699371280786284,230,2.114198556236013,1.2687655922460692,1.3832208105429968,1.2687655922460692,1.451666705719652,1.3351793592631005
weak_af_0065,2.8,0,72,lagged,1.5770829080174709,0.638064031753764,-0.33740311430355796,196,2.024769493274179,1.2470609687472527,1.433785416661136,1.2470609687472527,1.518888624575256,1.434428829555199
orig_vdo,2.8,2,66,lagged,1.576322949845782,0.6669046353967794,-0.3708272602186842,212,2.104938078266501,1.3051611976057118,1.2187220186485577,1.2187220186485577,1.5276892508229105,1.4523800581591537
weak_f_0065,2.8,3,60,current,1.575992594246636,0.6325633132958612,-0.35066822672867426,200,2.0265915606338103,1.3282628912075736,1.1624221571643012,1.1624221571643012,1.518019366825792,1.3868683540022102
weak_f_0065,2.7,2,66,current,1.5754075941403622,0.6383985785793347,-0.33225684930911825,203,2.0807315874762677,1.3411683430636283,1.251175793891995,1.251175793891995,1.4970391103876801,1.3931272564925368
weak_f_0065,2.9,0,60,lagged,1.5753321112364946,0.6477106644696264,-0.3539568690827266,208,2.159343814460028,1.2976495249908997,1.1667273991618026,1.1667273991618026,1.561108340045913,1.4527535956981381
