entry_idx,exit_idx,entry_time,exit_time,entry_open,exit_open,trade_return,holding_bars,holding_days
6043,6061.0,2022-10-04T08:00:00,2022-10-07T08:00:00,19967.69,19928.0,-0.003982737712774909,18,3.0
6102,6103.0,2022-10-14T04:00:00,2022-10-14T08:00:00,19816.85,19642.2,-0.010794589341898364,1,0.16666666666666666
6120,6140.0,2022-10-17T04:00:00,2022-10-20T12:00:00,19186.38,19208.09,-0.0008697300850916134,20,3.3333333333333335
6141,6142.0,2022-10-20T16:00:00,2022-10-20T20:00:00,19253.88,19063.04,-0.011890954808069898,1,0.16666666666666666
6146,6149.0,2022-10-21T12:00:00,2022-10-22T00:00:00,18944.99,19164.37,0.00955769437566345,3,0.5
6150,6168.0,2022-10-22T04:00:00,2022-10-25T04:00:00,19150.36,19342.41,0.008009485065032962,18,3.0
6172,6221.0,2022-10-25T20:00:00,2022-11-03T00:00:00,20276.26,20151.84,-0.008122973771297004,49,8.166666666666666
6223,6224.0,2022-11-03T08:00:00,2022-11-03T12:00:00,20302.35,20129.8,-0.01048102659051775,1,0.16666666666666666
6225,6256.0,2022-11-03T16:00:00,2022-11-08T20:00:00,20249.18,18255.24,-0.10027231842277062,31,5.166666666666667
6430,6435.0,2022-12-07T20:00:00,2022-12-08T16:00:00,16815.13,16917.39,0.004070271082649901,5,0.8333333333333334
6438,6439.0,2022-12-09T04:00:00,2022-12-09T08:00:00,17202.01,17211.65,-0.0014397206111376182,1,0.16666666666666666
6441,6485.0,2022-12-09T16:00:00,2022-12-17T00:00:00,17181.5,16631.5,-0.03394618447167008,44,7.333333333333333
6486,6552.0,2022-12-17T04:00:00,2022-12-28T04:00:00,16676.85,16650.65,-0.003566899585353167,66,11.0
6595,6600.0,2023-01-04T08:00:00,2023-01-05T04:00:00,16869.49,16827.71,-0.004470709682984131,5,0.8333333333333334
6623,6629.0,2023-01-09T00:00:00,2023-01-10T00:00:00,17127.83,17179.04,0.0009848941191032967,6,1.0
6630,6632.0,2023-01-10T04:00:00,2023-01-10T12:00:00,17205.31,17252.89,0.0007608972398636116,2,0.3333333333333333
6641,6904.0,2023-01-12T00:00:00,2023-02-24T20:00:00,17943.26,23182.27,0.28939382488299237,263,43.833333333333336
6905,6906.0,2023-02-25T00:00:00,2023-02-25T04:00:00,23184.04,23077.12,-0.006601574310603375,1,0.16666666666666666
6907,6909.0,2023-02-25T08:00:00,2023-02-25T16:00:00,23117.1,23006.18,-0.006787588141246026,2,0.3333333333333333
6911,6913.0,2023-02-26T00:00:00,2023-02-26T08:00:00,23157.07,23154.57,-0.002106742581423293,2,0.3333333333333333
6920,6934.0,2023-02-27T12:00:00,2023-03-01T20:00:00,23428.87,23354.03,-0.00518696403070229,14,2.3333333333333335
7001,7019.0,2023-03-13T00:00:00,2023-03-16T00:00:00,21998.05,24285.66,0.10178461116598969,18,3.0
7021,7023.0,2023-03-16T08:00:00,2023-03-16T16:00:00,24615.79,24889.94,0.00911589715138117,2,0.3333333333333333
7024,7233.0,2023-03-16T20:00:00,2023-04-20T16:00:00,24953.21,28506.7,0.14012245745938112,209,34.833333333333336
7236,7237.0,2023-04-21T04:00:00,2023-04-21T08:00:00,28321.42,28155.02,-0.007862666666431206,1,0.16666666666666666
7239,7240.0,2023-04-21T16:00:00,2023-04-21T20:00:00,28040.7,27279.9,-0.02907675343696836,1,0.16666666666666666
7246,7250.0,2023-04-22T20:00:00,2023-04-23T12:00:00,27622.61,27642.89,-0.0012662864627925874,4,0.6666666666666666
7257,7270.0,2023-04-24T16:00:00,2023-04-26T20:00:00,27267.06,27884.25,0.020590756181634307,13,2.1666666666666665
7271,7300.0,2023-04-27T00:00:00,2023-05-01T20:00:00,28415.29,27843.35,-0.022086660268116343,29,4.833333333333333
7301,7304.0,2023-05-02T00:00:00,2023-05-02T12:00:00,28068.26,28084.83,-0.0014098335689491925,3,0.5
7305,7308.0,2023-05-02T16:00:00,2023-05-03T04:00:00,28540.69,28520.89,-0.0026913595680412294,3,0.5
7309,7310.0,2023-05-03T08:00:00,2023-05-03T12:00:00,28653.81,28543.73,-0.005833043363866919,1,0.16666666666666666
7311,7338.0,2023-05-03T16:00:00,2023-05-08T04:00:00,28311.52,28199.72,-0.0059400286625374,27,4.5
7428,7430.0,2023-05-23T04:00:00,2023-05-23T12:00:00,27366.67,27337.36,-0.003067869881136276,2,0.3333333333333333
7531,7534.0,2023-06-09T08:00:00,2023-06-09T20:00:00,26493.44,26407.15,-0.005249521875981267,3,0.5
7600,7774.0,2023-06-20T20:00:00,2023-07-19T20:00:00,27982.77,30044.31,0.07152549316275691,174,29.0
7777,7779.0,2023-07-20T08:00:00,2023-07-20T16:00:00,30202.78,29810.17,-0.014972149246857303,2,0.3333333333333333
8118,8120.0,2023-09-15T04:00:00,2023-09-15T12:00:00,26615.4,26425.17,-0.009132078226515628,2,0.3333333333333333
8121,8187.0,2023-09-15T16:00:00,2023-09-26T16:00:00,26321.2,26126.66,-0.009375225800495435,66,11.0
8199,8283.0,2023-09-28T16:00:00,2023-10-12T16:00:00,27019.99,26674.99,-0.014741800607994349,84,14.0
8284,8780.0,2023-10-12T20:00:00,2024-01-03T12:00:00,26712.91,43702.89,0.632750902948799,496,82.66666666666667
8787,8793.0,2024-01-04T16:00:00,2024-01-05T16:00:00,44051.1,43500.01,-0.014484235807732282,6,1.0
8801,8855.0,2024-01-07T00:00:00,2024-01-16T00:00:00,43968.32,42511.1,-0.03507524710746279,54,9.0
8859,8863.0,2024-01-16T16:00:00,2024-01-17T08:00:00,43252.45,42655.95,-0.015762557821580092,4,0.6666666666666666
8928,8929.0,2024-01-28T04:00:00,2024-01-28T08:00:00,42231.84,42388.82,0.0017106701678166747,1,0.16666666666666666
8934,8935.0,2024-01-29T04:00:00,2024-01-29T08:00:00,42331.19,42053.45,-0.008547003912481754,1,0.16666666666666666
8949,8951.0,2024-01-31T16:00:00,2024-02-01T00:00:00,43361.11,42580.0,-0.0199770582441271,2,0.3333333333333333
9000,9318.0,2024-02-09T04:00:00,2024-04-02T04:00:00,46060.74,66703.97,0.44527918491908736,318,53.0
9319,9320.0,2024-04-02T08:00:00,2024-04-02T12:00:00,66455.5,65622.69,-0.014505793460436012,1,0.16666666666666666
9322,9325.0,2024-04-02T20:00:00,2024-04-03T08:00:00,65914.91,66135.98,0.0013481650203268636,3,0.5
9333,9337.0,2024-04-04T16:00:00,2024-04-05T08:00:00,67648.0,66930.75,-0.012580483816964305,4,0.6666666666666666
9339,9340.0,2024-04-05T16:00:00,2024-04-05T20:00:00,68190.62,67412.41,-0.01338846028368701,1,0.16666666666666666
9346,9350.0,2024-04-06T20:00:00,2024-04-07T12:00:00,68259.99,69357.0,0.014039928177545846,4,0.6666666666666666
9351,9352.0,2024-04-07T16:00:00,2024-04-07T20:00:00,69543.73,69068.01,-0.008825913594079693,1,0.16666666666666666
9353,9355.0,2024-04-08T00:00:00,2024-04-08T08:00:00,69360.38,70698.64,0.01725673098446112,2,0.3333333333333333
9356,9357.0,2024-04-08T12:00:00,2024-04-08T16:00:00,72404.0,71773.98,-0.01068305875393638,1,0.16666666666666666
