candidate,days,sharpe_daily,cagr,max_drawdown,trade_count,exposure,gross_return,net_return,daily_mean,daily_std,win_rate,mean_trade_return,median_trade_return,mean_holding_days,median_holding_days,top_winner_concentration,bottom_tail_damage,open_trade_count,fold_idx,fold_start,fold_end
S2_D1_VCL5_20_LT1.0,181,-0.7352441498887303,-0.4453427123279302,-0.3191036669036271,18,0.6132596685082873,-0.22734471228862307,-0.25329132348045824,-0.0011594606854990158,0.030128040184676123,0.4117647058823529,-0.009010112041656993,-0.003512371836322137,6.117647058823529,5.0,0.9008787430310283,-0.18313975435443303,1,4,2022-01-01T00:00:00+0000,2022-06-30T00:00:00+0000
S2_D1_VCL5_20_LT1.0,184,0.4514781599066685,0.10462165771369092,-0.26295523555920963,13,0.6413043478260869,0.07684091043016172,0.05140359183495824,0.0004661184241877854,0.0197244978408451,0.6666666666666666,0.006795899419497126,0.020730973682034137,9.0,9.0,0.8074560077410418,-0.0794092572012085,1,5,2022-07-01T00:00:00+0000,2022-12-31T00:00:00+0000
S3_H4_RET168_Z0,182,1.8066552864660916,1.2262974180263075,-0.18457800475534558,14,0.6654445462878094,0.5323290395005627,0.4900362082665226,0.002549007571337412,0.026955181565026104,0.35714285714285715,0.03237875089170058,-0.004752906318624461,8.654761904761907,0.41666666666666663,1.0,-0.027091665781117436,0,0,2020-01-01T00:00:00+0000,2020-06-30T00:00:00+0000
S3_H4_RET168_Z0,184,4.944357572174106,9.299493138351954,-0.10545250521920668,6,0.720108695652174,2.2734365054955807,2.2375815537947292,0.006735914034487235,0.02602753847317688,0.2,0.038669857673896565,-0.011171359914820878,8.5,0.8333333333333334,1.0,-0.018087848078565227,1,1,2020-07-01T00:00:00+0000,2020-12-31T00:00:00+0000
S3_H4_RET168_Z0,181,1.4649527680845,1.201734800625485,-0.29777965721228417,19,0.5911602209944752,0.5344173986331588,0.4786232791806291,0.002825194089447113,0.03684436690907063,0.42105263157894735,0.026942858895836072,-0.0112846600216997,5.6315789473684195,0.6666666666666666,0.9670972886800984,-0.09552992761674678,0,2,2021-01-01T00:00:00+0000,2021-06-30T00:00:00+0000
S3_H4_RET168_Z0,184,2.5948675912432497,1.9635867291416114,-0.17085307338517952,7,0.5135869565217391,0.752844118512064,0.7285621509472893,0.0032651927054090147,0.024040309130634274,0.5714285714285714,0.09019849496025686,0.014503063934690363,13.5,1.6666666666666667,1.0,-0.015597669038016737,0,3,2021-07-01T00:00:00+0000,2021-12-31T00:00:00+0000
S3_H4_RET168_Z0,181,-1.780238757495127,-0.5022866959172478,-0.31776665436572005,18,0.281767955801105,-0.26637894448194055,-0.292318623958299,-0.0017383347150652833,0.018655271917811644,0.2222222222222222,-0.01826977948433601,-0.012281242095927236,2.8333333333333335,0.5833333333333333,1.0,-0.10281188057944124,0,4,2022-01-01T00:00:00+0000,2022-06-30T00:00:00+0000
S3_H4_RET168_Z0,184,-0.5039817110454435,-0.19640717038716782,-0.2537118657343248,19,0.4311594202898551,-0.06956212571306308,-0.10430421515340793,-0.00045156336684134076,0.017117894997051086,0.3157894736842105,-0.005022644786779835,-0.003982737712774909,4.175438596491228,1.1666666666666667,0.9753194285124914,-0.07146398218634781,0,5,2022-07-01T00:00:00+0000,2022-12-31T00:00:00+0000
S4_H4_UPFR48_LT0.4,182,2.013860374005001,0.4249482495607986,-0.0009999999999998899,8,0.013748854262144821,0.212088516123484,0.19298881451159855,0.001012666000830987,0.009606900771463067,0.75,0.02302773312087912,0.011665174799195155,0.3125,0.25,0.9980206048688848,-0.00813643065570413,0,0,2020-01-01T00:00:00+0000,2020-06-30T00:00:00+0000
S4_H4_UPFR48_LT0.4,184,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,1,2020-07-01T00:00:00+0000,2020-12-31T00:00:00+0000
S4_H4_UPFR48_LT0.4,181,1.3546574030114693,0.09660179548822612,-0.023745264531196075,10,0.016574585635359115,0.06794617386960033,0.04675802286656405,0.0002590791812955786,0.003653839559530782,0.6,0.004680637630343265,0.0014420886190733562,0.29999999999999993,0.3333333333333333,0.9958699553280739,-0.019063618088197898,0,2,2021-01-01T00:00:00+0000,2021-06-30T00:00:00+0000
S4_H4_UPFR48_LT0.4,184,3.4468693127466885,0.7083015935356578,-0.021781230685389952,11,0.03804347826086957,0.33871150620101975,0.30965761552934534,0.001500707748262708,0.008317977466497177,0.9090909090909091,0.025233903130980073,0.016912199875446454,0.6363636363636365,0.5,0.8935756799143019,-0.0027040377870590215,0,3,2021-07-01T00:00:00+0000,2021-12-31T00:00:00+0000
S4_H4_UPFR48_LT0.4,181,1.1167851442672485,0.26731023813108856,-0.12924950525632584,13,0.0865561694290976,0.15426061133471314,0.12456288168853114,0.0007252919969890425,0.012407654433188186,0.5384615384615384,0.009399829867183863,0.008033075157471758,1.2051282051282048,0.3333333333333333,0.8736670219257767,-0.022698660107189073,0,4,2022-01-01T00:00:00+0000,2022-06-30T00:00:00+0000
S4_H4_UPFR48_LT0.4,184,1.3589660704177648,0.2824118658912824,-0.04220999369257272,20,0.07880434782608696,0.17961565763614917,0.1334971653295296,0.0007307989759731898,0.010273909802368399,0.6,0.0064598586320722354,0.0029538020670161202,0.7249999999999999,0.3333333333333333,0.830836380793121,-0.01551346644216478,0,5,2022-07-01T00:00:00+0000,2022-12-31T00:00:00+0000
L1_VCL5_20_LT1.0_AND_H4RET168_Z0,182,2.9069099586948006,2.0203067694501007,-0.1321768553851702,23,0.383134738771769,0.8163655884274332,0.7346189454080199,0.003250971382904044,0.02136623491753259,0.5217391304347826,0.02556798940295028,0.01976103366953419,3.028985507246377,2.0,0.7061365714792117,-0.04147043868271616,0,0,2020-01-01T00:00:00+0000,2020-06-30T00:00:00+0000
L1_VCL5_20_LT1.0_AND_H4RET168_Z0,184,2.6059829934661525,1.6410286712640048,-0.15855784545794294,20,0.43478260869565216,0.6960233231614255,0.6310765420408937,0.0028794994693248904,0.02111017618130776,0.5263157894736842,0.024150924547476957,0.01531084808276506,4.052631578947368,2.0,0.7877113829480102,-0.05049335486101697,1,1,2020-07-01T00:00:00+0000,2020-12-31T00:00:00+0000
L1_VCL5_20_LT1.0_AND_H4RET168_Z0,181,1.823230329478408,1.4881313689785634,-0.22806407791238226,21,0.3149171270718232,0.6367125140331718,0.570997196346537,0.0029662252016513257,0.03108200428160577,0.6190476190476191,0.024571208367824653,0.006816735513474281,2.7142857142857144,1.5,0.7839275908181671,-0.0846214215116321,0,2,2021-01-01T00:00:00+0000,2021-06-30T00:00:00+0000
L1_VCL5_20_LT1.0_AND_H4RET168_Z0,184,3.2665750563924214,2.539317842288053,-0.11097247513585562,17,0.32065217391304346,0.9554570857756468,0.8902803295190183,0.003698054029897999,0.021628531969884627,0.7058823529411765,0.04035994274909489,0.026624409443153807,3.4705882352941178,2.0,0.7789448365680124,-0.04477688074003866,0,3,2021-07-01T00:00:00+0000,2021-12-31T00:00:00+0000
L1_VCL5_20_LT1.0_AND_H4RET168_Z0,181,-0.7270298391198163,-0.23598718049399692,-0.21437769102692816,15,0.1694290976058932,-0.09821205671749789,-0.12487435857404483,-0.0006119350646139887,0.016080499540660067,0.26666666666666666,-0.00701107470160216,-0.016322877890085352,2.0444444444444443,0.8333333333333334,1.0,-0.08040894972411305,0,4,2022-01-01T00:00:00+0000,2022-06-30T00:00:00+0000
L1_VCL5_20_LT1.0_AND_H4RET168_Z0,184,0.42905034230148614,0.07835460346570233,-0.13678091942089754,18,0.25905797101449274,0.07688103381728295,0.03873348238134411,0.0002853763268956207,0.012707383102748559,0.5,0.002432395524360895,0.0012464846838896038,2.6481481481481484,1.25,0.8753110434991463,-0.03459120364858753,0,5,2022-07-01T00:00:00+0000,2022-12-31T00:00:00+0000
L2_D1RET40_Z0_AND_H4RET168_Z0,182,2.4503494328214437,1.9111419456424006,-0.14262139130608886,10,0.5774518790100825,0.7374630510084872,0.70309002688552,0.003241725841803138,0.025275205412461744,0.5,0.06015447578401736,3.038586194187287e-05,10.51666666666667,2.3333333333333335,1.0,-0.01700073534398483,0,0,2020-01-01T00:00:00+0000,2020-06-30T00:00:00+0000
L2_D1RET40_Z0_AND_H4RET168_Z0,184,4.714245628507645,8.077300230048726,-0.10545250521920668,3,0.657608695652174,2.053231671636782,2.0379779745744715,0.006383764599058964,0.025870873312179535,0.5,0.10816087345961783,0.10816087345961783,20.5,20.5,1.0,-0.018087848078565227,1,1,2020-07-01T00:00:00+0000,2020-12-31T00:00:00+0000
L2_D1RET40_Z0_AND_H4RET168_Z0,181,1.7845319720368975,1.7200436067686673,-0.2519225386675916,14,0.5681399631675875,0.6869370560982231,0.641929485684194,0.003382314090934306,0.0362106260844521,0.42857142857142855,0.04367342907044138,-0.007433714777694667,7.345238095238096,0.75,0.9951776477601326,-0.07911389345753944,0,2,2021-01-01T00:00:00+0000,2021-06-30T00:00:00+0000
L2_D1RET40_Z0_AND_H4RET168_Z0,184,1.636923688511256,0.8662374741168051,-0.17085307338517974,6,0.48278985507246375,0.3858292184365546,0.3693154867197086,0.0019726538431873533,0.023023369397891142,0.5,0.0574750051036669,0.0041373987171826054,14.805555555555555,2.3333333333333335,1.0,-0.015597669038016737,0,3,2021-07-01T00:00:00+0000,2021-12-31T00:00:00+0000
L2_D1RET40_Z0_AND_H4RET168_Z0,181,-2.0026712593515876,-0.3377362276906485,-0.18471071668123185,5,0.1289134438305709,-0.17648542455077565,-0.1847107166812315,-0.0010745319164703147,0.010250760499754786,0.0,-0.03962744630617861,-0.030710236517984657,4.666666666666667,1.6666666666666667,0.0,-0.08010645222126977,0,4,2022-01-01T00:00:00+0000,2022-06-30T00:00:00+0000
L2_D1RET40_Z0_AND_H4RET168_Z0,184,-0.6084140057916855,-0.18325470499245178,-0.1705802488855409,12,0.2545289855072464,-0.07498843247750298,-0.0969488149271368,-0.0004519195481555927,0.014190848274982447,0.3333333333333333,-0.007440948952352033,-0.005538154109560323,3.9027777777777772,1.25,1.0,-0.07912191801022289,0,5,2022-07-01T00:00:00+0000,2022-12-31T00:00:00+0000
