config,rp_threshold,tq_threshold,sharpe,cagr_pct,mdd_pct,trades,and_gate_exits,d_sharpe,d_mdd
AND_rp=0.25_tq=-0.1,0.25,-0.1,1.3276,59.44,45.89,231,23,0.031099999999999905,-5.43
AND_rp=0.25_tq=-0.03,0.25,-0.03,1.3581,61.33,45.82,232,25,0.0616000000000001,-5.5
AND_rp=0.25_tq=0.05,0.25,0.05,1.3242,59.03,45.82,237,30,0.027700000000000058,-5.5
AND_rp=0.25_tq=0.12,0.25,0.12,1.3399,60.04,44.35,237,30,0.043400000000000105,-6.969999999999999
AND_rp=0.25_tq=0.2,0.25,0.2,1.3356,59.75,44.95,240,34,0.03909999999999991,-6.369999999999997
AND_rp=0.28_tq=-0.25,0.28,-0.25,1.2609,54.83,53.11,227,17,-0.035600000000000076,1.7899999999999991
AND_rp=0.28_tq=-0.18,0.28,-0.18,1.3117,58.33,46.74,232,25,0.015200000000000102,-4.579999999999998
AND_rp=0.28_tq=-0.1,0.28,-0.1,1.2882,56.78,49.38,239,34,-0.008299999999999974,-1.9399999999999977
AND_rp=0.28_tq=-0.03,0.28,-0.03,1.3154,58.41,49.86,245,42,0.018899999999999917,-1.4600000000000009
AND_rp=0.28_tq=0.05,0.28,0.05,1.2738,55.65,49.7,251,48,-0.022699999999999942,-1.6199999999999974
AND_rp=0.28_tq=0.12,0.28,0.12,1.2727,55.59,49.88,253,50,-0.023800000000000043,-1.4399999999999977
AND_rp=0.28_tq=0.2,0.28,0.2,1.2682,55.29,50.11,257,55,-0.028299999999999992,-1.2100000000000009
