candidate_a,candidate_b,point_mean_diff_daily,pooled_p_mean_gt0,meaningful_advantage_a_over_b,pooled_q05,pooled_q95,common_days
S_D1_TREND,S_H4_TREND_Q,6.913220191507917e-05,0.583,False,-0.0004024423378303825,0.000516124951981803,1735
S_D1_TREND,S_XR_D1EMA,0.00011172616968977052,0.6714444444444444,False,-0.0003138629991593321,0.0005452075359011374,1735
S_D1_TREND,S_XR_D1ROLL,0.00026096561951692695,0.8041111111111111,False,-0.0002442025253246467,0.000776208647838166,1735
S_D1_TREND,L2_D1_TREND_AND_H4_VOLQUIET,0.0011396443203367324,0.9848888888888889,True,0.00028601123135767165,0.0019900286612499368,1735
S_D1_TREND,L2_D1_VOLHIGH_AND_H4_PULLBACK,0.001493401656979994,0.9901111111111112,True,0.0004398523201427471,0.0025260652489733117,1735
S_XR_D1EMA,S_H4_TREND,-8.597723449772313e-05,0.3392222222222222,False,-0.0005344817770716262,0.00032077734437616507,1735
S_XR_D1EMA,S_H4_TREND_Q,-4.259396777469134e-05,0.41933333333333334,False,-0.0005331780273799872,0.00042934864005416464,1735
S_XR_D1EMA,S_D1_TREND,-0.00011172616968977052,0.32855555555555555,False,-0.0005452075359011375,0.000313862999159332,1735
S_XR_D1EMA,S_XR_D1ROLL,0.00014923944982715647,0.6825555555555556,False,-0.000362335094033977,0.0006564206468261158,1735
S_XR_D1EMA,L2_D1_TREND_AND_H4_VOLQUIET,0.0010279181506469618,0.9702222222222222,True,0.0001139577378472022,0.0019006051945842967,1735
S_XR_D1EMA,L2_D1_VOLHIGH_AND_H4_PULLBACK,0.001381675487290223,0.9853333333333333,True,0.00033155170144501494,0.0023999857390188096,1735
S_XR_D1ROLL,S_H4_TREND,-0.0002352166843248796,0.23177777777777778,False,-0.0008403271299719479,0.0003212577836413169,1735
S_XR_D1ROLL,S_H4_TREND_Q,-0.0001918334176018478,0.2212222222222222,False,-0.0006527337599134574,0.0002331578863211884,1735
S_XR_D1ROLL,S_D1_TREND,-0.00026096561951692695,0.1958888888888889,False,-0.0007762086478381671,0.00024420252532464663,1735
S_XR_D1ROLL,S_XR_D1EMA,-0.00014923944982715647,0.3174444444444444,False,-0.0006564206468261158,0.00036233509403397693,1735
S_XR_D1ROLL,L2_D1_TREND_AND_H4_VOLQUIET,0.0008786787008198053,0.9694444444444444,True,0.0001059284005234003,0.0016600272183480524,1735
S_XR_D1ROLL,L2_D1_VOLHIGH_AND_H4_PULLBACK,0.0012324360374630669,0.9921111111111112,True,0.00036032152527749027,0.0020977988929936106,1735
L2_D1_TREND_AND_H4_VOLQUIET,S_H4_TREND,-0.001113895385144685,0.021,False,-0.002041871466538413,-0.0002239392283795929,1735
L2_D1_TREND_AND_H4_VOLQUIET,S_H4_TREND_Q,-0.001070512118421653,0.011333333333333334,False,-0.0018562121759322838,-0.00029749206555755597,1735
L2_D1_TREND_AND_H4_VOLQUIET,S_D1_TREND,-0.0011396443203367324,0.015111111111111112,False,-0.001990028661249937,-0.0002860112313576718,1735
L2_D1_TREND_AND_H4_VOLQUIET,S_XR_D1EMA,-0.0010279181506469618,0.029777777777777778,False,-0.0019006051945842967,-0.00011395773784720257,1735
L2_D1_TREND_AND_H4_VOLQUIET,S_XR_D1ROLL,-0.0008786787008198053,0.030555555555555555,False,-0.0016600272183480526,-0.00010592840052340044,1735
L2_D1_TREND_AND_H4_VOLQUIET,L2_D1_VOLHIGH_AND_H4_PULLBACK,0.00035375733664326156,0.8468888888888889,False,-0.00020170125539187406,0.0009407104099550269,1735
L2_D1_VOLHIGH_AND_H4_PULLBACK,S_H4_TREND,-0.0014676527217879463,0.011222222222222222,False,-0.002550594987983429,-0.00041789671589377174,1735
L2_D1_VOLHIGH_AND_H4_PULLBACK,S_H4_TREND_Q,-0.0014242694550649145,0.0026666666666666666,False,-0.0022974901619927973,-0.0005514169888786237,1735
L2_D1_VOLHIGH_AND_H4_PULLBACK,S_D1_TREND,-0.001493401656979994,0.009888888888888888,False,-0.0025260652489733125,-0.00043985232014274805,1735
L2_D1_VOLHIGH_AND_H4_PULLBACK,S_XR_D1EMA,-0.001381675487290223,0.014666666666666666,False,-0.0023999857390188104,-0.00033155170144501554,1735
L2_D1_VOLHIGH_AND_H4_PULLBACK,S_XR_D1ROLL,-0.0012324360374630669,0.00788888888888889,False,-0.0020977988929936106,-0.00036032152527749065,1735
L2_D1_VOLHIGH_AND_H4_PULLBACK,L2_D1_TREND_AND_H4_VOLQUIET,-0.00035375733664326156,0.15311111111111111,False,-0.0009407104099550274,0.00020170125539187373,1735
