features,quantiles,sharpe,cagr,mdd,trade_entries,exposure,wf_pos_windows,wf_windows,wf_min_window_return
"('trendvol_5', 'dist_high_60')","(0.7, 0.7)",1.293401172826847,0.36399953506963767,-0.18524831760822247,75,0.1868583162217659,4,4,0.021084752591001843
"('trendvol_5', 'dist_high_60')","(0.8, 0.5)",1.3700691913656688,0.3999592143999464,-0.20984811747884713,70,0.15331964407939766,3,4,-0.1030029455064293
"('trendvol_5', 'dist_high_60')","(0.8, 0.6)",1.309179667166276,0.35305074382105595,-0.13463409440990481,64,0.14099931553730322,3,4,-0.010587351834466907
"('trendvol_5', 'dist_high_60')","(0.8, 0.7)",1.1869354053066608,0.28041818620826287,-0.14650729094015913,57,0.1273100616016427,4,4,0.013979144122127973
"('trendvol_5', 'dist_high_90')","(0.6, 0.5)",1.2414811650244477,0.42151401021465595,-0.31671044287998984,98,0.270362765229295,3,4,-0.1100017994182132
"('trendvol_5', 'dist_high_90')","(0.6, 0.6)",1.2667768934377976,0.41821292219643946,-0.3257642354144019,91,0.24845995893223818,3,4,-0.030069793984813464
"('trendvol_5', 'dist_high_90')","(0.6, 0.7)",1.0461832975011496,0.28706678936242036,-0.27545616218209623,78,0.2080766598220397,3,4,-0.036130215263435295
"('trendvol_5', 'dist_high_90')","(0.7, 0.5)",1.2992134254592889,0.4188513570960639,-0.3078660476946593,88,0.216290212183436,3,4,-0.1100017994182132
"('trendvol_5', 'dist_high_90')","(0.7, 0.6)",1.4354260391336173,0.46213081070084816,-0.23262751587685848,80,0.19917864476386038,3,4,-0.030069793984813464
"('trendvol_5', 'dist_high_90')","(0.7, 0.7)",1.133117396886642,0.2954426315317704,-0.23941936988059098,70,0.16700889801505817,3,4,-0.036130215263435295
"('trendvol_5', 'dist_high_90')","(0.8, 0.5)",1.1959293210019475,0.3145872362109092,-0.19491257301829623,65,0.13826146475017112,3,4,-0.10530528525412242
"('trendvol_5', 'dist_high_90')","(0.8, 0.6)",1.2765127088068342,0.3311722508479946,-0.15178514124357478,60,0.1300479123887748,3,4,-0.030069793984813464
"('trendvol_5', 'dist_high_90')","(0.8, 0.7)",0.9631683201931711,0.20281373163757754,-0.22769729320735765,52,0.1136208076659822,3,4,-0.036130215263435295
"('trendvol_10', 'dist_high_20')","(0.6, 0.5)",0.8103118635638284,0.2536625769165197,-0.5156616947723592,101,0.34291581108829566,3,4,-0.4240273222097459
"('trendvol_10', 'dist_high_20')","(0.6, 0.6)",0.6391031942384424,0.1708894602570794,-0.45875510749496407,106,0.32375085557837097,3,4,-0.3299423666750728
"('trendvol_10', 'dist_high_20')","(0.6, 0.7)",0.6652783444356152,0.17127367297934004,-0.3896441584824274,107,0.28268309377138945,3,4,-0.2679269169132189
"('trendvol_10', 'dist_high_20')","(0.7, 0.5)",1.1991270273868357,0.40975167410648416,-0.4222875890638379,80,0.26967830253251196,3,4,-0.31256194388010206
"('trendvol_10', 'dist_high_20')","(0.7, 0.6)",1.1433570668073048,0.3580278638048786,-0.326322495972155,80,0.25667351129363447,3,4,-0.20026915389738809
"('trendvol_10', 'dist_high_20')","(0.7, 0.7)",1.0357986849169853,0.2959136426963629,-0.2871063745572552,81,0.2292950034223135,3,4,-0.14496845883999387
"('trendvol_10', 'dist_high_20')","(0.8, 0.5)",1.3256987675620955,0.38454520089068756,-0.16881256908557962,66,0.1861738535249829,3,4,-0.045799013829012414
"('trendvol_10', 'dist_high_20')","(0.8, 0.6)",1.1835728985614884,0.3069014138739796,-0.22860440606578603,67,0.1806981519507187,3,4,-0.035756954020200626
"('trendvol_10', 'dist_high_20')","(0.8, 0.7)",1.0954771233250935,0.2668064835580708,-0.18109838811685985,70,0.1676933607118412,3,4,-0.020371203991875864
"('trendvol_10', 'dist_high_40')","(0.6, 0.5)",1.0566361903677666,0.37335019038866735,-0.3405723969168306,88,0.33401779603011633,3,4,-0.218941697768809
"('trendvol_10', 'dist_high_40')","(0.6, 0.6)",0.9905207245899497,0.31798406634678655,-0.36034950298850854,81,0.3052703627652293,3,4,-0.20334057554585394
"('trendvol_10', 'dist_high_40')","(0.6, 0.7)",1.162880559708649,0.37438697595617176,-0.2647476798901157,76,0.2731006160164271,3,4,-0.07912765044417214
"('trendvol_10', 'dist_high_40')","(0.7, 0.5)",1.3801866814875894,0.5015310079276682,-0.2710626103049538,64,0.26283367556468173,3,4,-0.16607197308912647
"('trendvol_10', 'dist_high_40')","(0.7, 0.6)",1.2545013087726822,0.41026781984243654,-0.2710626103049538,66,0.24914442162902123,3,4,-0.15429417010189628
"('trendvol_10', 'dist_high_40')","(0.7, 0.7)",1.4396316371386793,0.4698716954457489,-0.2703712866661663,60,0.23066392881587952,3,4,-0.022434065667475522
"('trendvol_10', 'dist_high_40')","(0.8, 0.5)",1.6006083470576082,0.5035603365588173,-0.1590087291804244,57,0.18822724161533197,4,4,0.00202760813219216
"('trendvol_10', 'dist_high_40')","(0.8, 0.6)",1.5342474460456832,0.428080316207226,-0.1726660098856535,57,0.17864476386036962,3,4,-0.0005978940639187469
"('trendvol_10', 'dist_high_40')","(0.8, 0.7)",1.4500111960987077,0.3897721022875382,-0.2316529096449188,56,0.16906228610540724,4,4,0.021622094900709987
"('trendvol_10', 'dist_high_60')","(0.6, 0.5)",1.1337714619687425,0.4145259753047419,-0.28570747569254673,82,0.3319644079397673,3,4,-0.1733755773735267
"('trendvol_10', 'dist_high_60')","(0.6, 0.6)",1.1629341754991582,0.4003218724311999,-0.2906302972861824,71,0.29568788501026694,3,4,-0.09553608192341578
"('trendvol_10', 'dist_high_60')","(0.6, 0.7)",1.1927565791487083,0.37173391282764734,-0.25992702504856124,68,0.25804243668720056,3,4,-0.014592995308073675
"('trendvol_10', 'dist_high_60')","(0.7, 0.5)",1.4157244928828348,0.5253124545782435,-0.2710626103049535,61,0.2587268993839836,3,4,-0.15077517840570676
"('trendvol_10', 'dist_high_60')","(0.7, 0.6)",1.451386317611274,0.508771288829434,-0.2710626103049536,56,0.24093086926762491,4,4,0.03984288808119718
"('trendvol_10', 'dist_high_60')","(0.7, 0.7)",1.4093440188965856,0.4372875437679311,-0.2703712866661663,54,0.21765913757700206,4,4,0.03742294726014728
"('trendvol_10', 'dist_high_60')","(0.8, 0.5)",1.6033810732510592,0.5039801723031898,-0.1590087291804243,54,0.1861738535249829,4,4,0.021622094900709987
"('trendvol_10', 'dist_high_60')","(0.8, 0.6)",1.6959603078524563,0.5336078150154784,-0.15900872918042408,50,0.1806981519507187,4,4,0.06617594654248404
"('trendvol_10', 'dist_high_60')","(0.8, 0.7)",1.5368124538533399,0.41866696698158323,-0.2054899293293403,49,0.16563997262149213,4,4,0.03928685413496846
"('trendvol_10', 'dist_high_90')","(0.6, 0.5)",0.9381645493197717,0.30279212318033055,-0.4286673509050082,74,0.2997946611909651,3,4,-0.10555711894241282
"('trendvol_10', 'dist_high_90')","(0.6, 0.6)",0.865099737163358,0.25850134328413055,-0.4168530252298305,72,0.2758384668035592,3,4,-0.03034280454041327
"('trendvol_10', 'dist_high_90')","(0.6, 0.7)",0.7688400944939956,0.1959572157255598,-0.3516366440827873,66,0.23203285420944558,3,4,-0.036401519965386986
"('trendvol_10', 'dist_high_90')","(0.7, 0.5)",1.2333241787473213,0.41377629248697323,-0.2710626103049536,55,0.23477070499657768,3,4,-0.11095344427646936
"('trendvol_10', 'dist_high_90')","(0.7, 0.6)",1.2114239996886573,0.38288294194678696,-0.2767597682547368,53,0.2190280629705681,3,4,-0.010952448279986093
"('trendvol_10', 'dist_high_90')","(0.7, 0.7)",1.044545989316843,0.2773523653234877,-0.30346953511704744,50,0.19164955509924708,3,4,-0.01713232059537506
"('trendvol_10', 'dist_high_90')","(0.8, 0.5)",1.5496779302363568,0.4700158790884834,-0.15900872918042408,50,0.1731690622861054,3,4,-0.02366246428648311
"('trendvol_10', 'dist_high_90')","(0.8, 0.6)",1.4351797129679353,0.4104681822542886,-0.1590087291804243,49,0.16563997262149213,3,4,-0.02366246428648311
"('trendvol_10', 'dist_high_90')","(0.8, 0.7)",1.1533500886986863,0.26589151329402605,-0.23408286413830537,45,0.14442162902121836,3,4,-0.029762920525354786
"('trendvol_20', 'dist_high_20')","(0.6, 0.5)",0.9849624962733528,0.31636238819809037,-0.469249798162126,68,0.33127994524298426,3,4,-0.36305046186132184
"('trendvol_20', 'dist_high_20')","(0.6, 0.6)",0.8524206430101262,0.2521222569111101,-0.4410829651524236,71,0.31211498973305957,3,4,-0.34100595732170436
"('trendvol_20', 'dist_high_20')","(0.6, 0.7)",0.5956322681347499,0.1401744097515305,-0.379349493246939,87,0.26351813826146475,3,4,-0.10185192249128905
"('trendvol_20', 'dist_high_20')","(0.7, 0.5)",1.0828076003665144,0.3248811679540675,-0.30889523639209904,62,0.26351813826146475,3,4,-0.21035070684460522
"('trendvol_20', 'dist_high_20')","(0.7, 0.6)",0.9150626138431048,0.254614525410076,-0.3129632344817187,64,0.25051334702258726,3,4,-0.22875985819238698
"('trendvol_20', 'dist_high_20')","(0.7, 0.7)",0.6045958139441329,0.13593695703536612,-0.30846670399717313,78,0.21423682409308692,3,4,-0.07896996742234785
"('trendvol_20', 'dist_high_20')","(0.8, 0.5)",1.3168531216470623,0.36040209421188174,-0.1816398560710486,48,0.1806981519507187,3,4,-0.06265207586582
"('trendvol_20', 'dist_high_20')","(0.8, 0.6)",1.2647695181029845,0.3373308599050384,-0.1958176496587738,48,0.17522245037645448,3,4,-0.06265207586582
"('trendvol_20', 'dist_high_20')","(0.8, 0.7)",0.9122991997530825,0.20838741969034347,-0.2393537450780009,56,0.15742642026009582,3,4,-0.06180901510240899
"('trendvol_20', 'dist_high_40')","(0.6, 0.5)",1.0964436486381977,0.3752135326709707,-0.415374350615776,57,0.33401779603011633,3,4,-0.2739371602177152
"('trendvol_20', 'dist_high_40')","(0.6, 0.6)",1.0182817364980046,0.33225982148556454,-0.43505305537302286,58,0.3210130047912389,3,4,-0.2768036603981813
"('trendvol_20', 'dist_high_40')","(0.6, 0.7)",1.1828549052321131,0.388296032861682,-0.3778641388694113,58,0.29568788501026694,3,4,-0.26646747073401067
"('trendvol_20', 'dist_high_40')","(0.7, 0.5)",1.1554617022080074,0.3654158209749785,-0.31180440207814364,52,0.2648870636550308,3,4,-0.15317708690933152
"('trendvol_20', 'dist_high_40')","(0.7, 0.6)",1.1467436928236392,0.3541988710493009,-0.29537249899052087,52,0.2587268993839836,3,4,-0.1289959671800992
"('trendvol_20', 'dist_high_40')","(0.7, 0.7)",1.1374386288580802,0.33621072323022494,-0.2618757317821033,53,0.24229979466119098,3,4,-0.1714110599851686
"('trendvol_20', 'dist_high_40')","(0.8, 0.5)",1.1475148306476803,0.3143366237155716,-0.22968475420393952,44,0.18548939082819987,3,4,-0.041404577436431445
"('trendvol_20', 'dist_high_40')","(0.8, 0.6)",1.1668946460189376,0.31528229824458154,-0.22968475420393963,45,0.18206707734428473,3,4,-0.041404577436431445
"('trendvol_20', 'dist_high_40')","(0.8, 0.7)",1.3343070184104329,0.3587235446147452,-0.18163985607104882,42,0.17385352498288842,3,4,-0.041404577436431445
"('trendvol_20', 'dist_high_60')","(0.6, 0.5)",1.374389766033322,0.5064819898959092,-0.23505539213669469,49,0.324435318275154,3,4,-0.14512770803158814
"('trendvol_20', 'dist_high_60')","(0.6, 0.6)",1.321681560960578,0.4650115609255503,-0.27362762019293085,49,0.3080082135523614,3,4,-0.07148468288165744
"('trendvol_20', 'dist_high_60')","(0.6, 0.7)",1.299672788044903,0.43007768057070583,-0.2546639844261105,50,0.2813141683778234,3,4,-0.044425572304901406
"('trendvol_20', 'dist_high_60')","(0.7, 0.5)",1.3244033768277672,0.43510294482756073,-0.25348542522122497,45,0.2614647501711157,3,4,-0.07299000392305954
"('trendvol_20', 'dist_high_60')","(0.7, 0.6)",1.2721402915483637,0.40565177588417933,-0.26141775394666666,46,0.25530458590006844,3,4,-0.06456636828194207
"('trendvol_20', 'dist_high_60')","(0.7, 0.7)",1.334362473392266,0.411960272051759,-0.19253452839554241,45,0.23956194387405885,3,4,-0.05180713282316396
"('trendvol_20', 'dist_high_60')","(0.8, 0.5)",1.2588170462297095,0.355682274054717,-0.2296847542039393,41,0.1861738535249829,3,4,-0.024773146395417056
"('trendvol_20', 'dist_high_60')","(0.8, 0.6)",1.2361261170316573,0.341755225517292,-0.2296847542039393,42,0.18206707734428473,3,4,-0.024773146395417056
"('trendvol_20', 'dist_high_60')","(0.8, 0.7)",1.329014060428719,0.3588163983311692,-0.18163985607104882,42,0.17659137577002054,3,4,-0.024773146395417056
"('trendvol_20', 'dist_high_90')","(0.6, 0.5)",1.2849968344573832,0.4442585357950817,-0.2942474631093779,46,0.3025325119780972,3,4,-0.07993801715714244
"('trendvol_20', 'dist_high_90')","(0.6, 0.6)",1.0950561674256258,0.34593109102180786,-0.355398235184352,44,0.2840520191649555,2,4,-0.07993801715714244
"('trendvol_20', 'dist_high_90')","(0.6, 0.7)",0.909986090612042,0.2511469094840535,-0.344803597397246,45,0.24709103353867215,2,4,-0.08568684648928582
"('trendvol_20', 'dist_high_90')","(0.7, 0.5)",1.181515401511554,0.3640685024084429,-0.3268890048813837,41,0.24777549623545517,3,4,-0.07993801715714244
"('trendvol_20', 'dist_high_90')","(0.7, 0.6)",1.1077363044923916,0.32396252993212826,-0.35808903844333206,38,0.2375085557837098,3,4,-0.07993801715714244
"('trendvol_20', 'dist_high_90')","(0.7, 0.7)",0.9738343382895217,0.25443989374224163,-0.3125783602701283,39,0.21013004791238876,3,4,-0.08568684648928582
"('trendvol_20', 'dist_high_90')","(0.8, 0.5)",1.1239094011522852,0.3031319059420601,-0.3139361822773643,40,0.18206707734428473,3,4,-0.024773146395417056
"('trendvol_20', 'dist_high_90')","(0.8, 0.6)",1.019903029771252,0.2617320305755071,-0.3457366049324905,39,0.17659137577002054,3,4,-0.024773146395417056
"('trendvol_20', 'dist_high_90')","(0.8, 0.7)",0.961967979580492,0.22442077307009667,-0.2761943383139822,39,0.1567419575633128,3,4,-0.030866662751970253
