path,e0_sharpe,e0_cagr,e5_sharpe,e5_cagr,x14d_sharpe,x14d_cagr,x18_sharpe,x18_cagr
39,0.3260,5.35,-0.0136,-4.17,-0.2263,-11.02,0.0251,-3.41
40,1.2457,50.83,1.0654,33.98,0.9890,34.56,0.7720,22.60
41,1.4095,57.94,1.0426,32.14,1.0656,37.04,1.0029,31.95
42,0.8690,28.78,0.8543,24.67,0.7344,21.62,0.8640,25.65
43,0.9466,34.27,0.9903,29.88,0.9287,30.10,0.8214,24.26
44,1.2593,54.37,1.0274,32.35,0.9732,33.60,1.1297,37.62
45,0.5477,15.67,0.3266,5.48,0.5115,13.18,0.3896,7.81
46,0.9559,32.38,0.4878,10.24,0.3687,6.92,0.3655,6.64
47,0.8450,29.59,0.6945,18.57,0.5744,15.27,0.6819,18.71
48,0.4810,11.96,0.1318,-1.08,0.2476,2.15,0.0446,-4.40
49,1.3736,60.40,1.3757,50.40,0.9903,35.93,1.3111,49.03
50,0.8653,27.99,0.9802,27.41,0.7113,19.11,0.7954,21.19
51,0.6096,17.95,0.2746,3.70,0.3177,5.04,0.1934,0.75
52,0.9188,30.69,0.6816,16.81,0.9439,29.58,0.8806,25.19
53,1.5569,80.43,1.4701,60.99,1.3116,57.45,1.1879,46.57
54,0.9567,36.75,0.4070,8.40,0.5879,16.26,0.5152,12.62
55,1.1988,51.65,0.9026,28.65,0.8788,29.60,1.0580,37.87
56,0.6890,21.33,0.6896,17.84,0.3753,7.22,0.5017,11.75
57,1.7174,87.16,1.2118,38.75,0.9333,30.86,1.0541,33.67
58,0.7835,26.42,0.5459,13.52,0.6607,19.38,0.5854,15.53
59,0.7996,28.96,0.9944,32.80,1.0000,38.06,0.9626,32.59
60,1.3322,57.54,0.7646,21.87,0.5909,16.28,0.5959,15.68
61,0.9575,34.75,0.9721,29.59,0.7965,24.82,0.8584,26.37
62,0.1356,-2.74,0.5495,13.33,0.5273,13.15,0.4875,11.24
63,0.8941,32.20,0.5619,13.28,0.6140,16.84,0.5518,13.28
64,0.6403,19.83,0.4769,11.09,0.2940,4.04,0.4062,8.47
65,1.1573,42.97,1.1939,38.06,0.8718,27.72,0.9740,29.16
66,1.4385,68.92,1.3681,52.18,0.9886,35.73,1.1449,41.37
67,0.6925,22.13,0.5952,14.81,0.7515,22.62,0.5684,14.26
68,1.1034,45.74,1.0122,31.20,0.4886,11.74,0.8882,27.58
69,1.4660,71.30,1.0073,33.03,1.4596,64.29,1.2625,47.38
70,0.2105,0.17,0.3521,6.40,0.1670,-1.23,0.3102,4.85
71,1.1680,52.75,1.0873,40.45,1.0611,42.41,1.1361,44.39
72,1.4224,64.47,1.2994,45.86,1.1042,42.47,1.1485,41.07
73,1.6482,87.20,1.3596,52.77,1.1638,47.34,1.3759,55.72
74,1.1565,46.68,0.8337,23.39,0.5939,16.05,0.9207,27.44
75,0.0985,-3.01,0.3747,6.93,0.1838,0.53,0.4217,8.46
76,0.7798,23.83,0.3934,7.44,0.2506,2.83,0.3555,6.32
77,1.2183,48.26,1.5925,58.61,1.3380,51.89,1.3602,49.21
78,1.2719,54.79,0.9874,31.73,1.1353,42.41,0.9842,32.98
79,1.0013,35.85,0.6486,16.05,0.6072,15.85,0.6105,14.96
80,1.3369,54.67,1.2857,42.33,1.3084,49.84,1.3481,46.76
81,0.3689,7.03,0.3462,6.02,-0.1794,-11.25,0.1956,1.31
82,0.8167,29.91,0.4042,8.39,0.1613,-1.57,0.2733,3.32
83,0.6191,17.77,0.7472,20.47,0.3792,7.41,0.5410,13.24
84,0.9956,38.15,0.6724,18.53,0.7019,21.63,0.7401,22.36
85,0.6702,18.66,0.5784,13.32,0.5276,12.61,0.6477,16.10
86,0.6540,19.66,0.8702,26.63,0.5751,15.72,0.7828,23.85
87,1.0986,44.65,0.7516,22.43,0.5772,16.28,0.7171,21.72
88,0.7080,22.02,0.7609,20.53,0.5116,12.49,0.7868,22.55
89,0.5601,15.10,0.6304,16.05,0.5760,15.46,0.5928,15.14
90,1.1645,48.36,1.3614,47.74,0.9879,33.37,1.1355,37.65
91,0.7000,21.32,0.5850,14.40,0.5902,15.68,0.7655,21.51
92,1.1081,47.39,0.9859,33.07,0.8632,29.92,0.9143,30.49
93,1.4447,69.21,1.0149,32.43,1.0785,41.78,0.9324,30.01
94,1.1592,51.26,0.7705,23.55,0.8490,29.88,0.7276,22.21
95,0.6220,17.77,0.5383,12.10,0.1305,-1.24,0.4049,7.95
96,1.1309,43.98,1.2343,39.47,0.8514,27.35,1.0818,34.38
97,1.2609,47.21,0.8843,24.17,0.7409,21.49,0.9113,26.10
98,0.5222,13.54,0.2342,2.60,-0.0404,-7.53,0.2510,3.06
99,0.5455,14.28,0.6947,17.94,0.6435,17.51,0.5089,11.68
100,0.8873,31.47,0.9781,32.30,1.0254,38.08,0.9885,34.44
101,1.4094,60.71,1.1411,36.68,1.1462,40.57,1.3223,46.70
102,0.3773,7.26,0.2832,3.86,0.2419,2.00,0.3442,6.11
103,0.7628,23.17,0.1668,0.66,-0.1435,-9.80,-0.0167,-4.98
104,0.7775,26.17,0.5313,13.02,0.4698,11.30,0.4227,9.07
105,0.7637,23.79,0.8808,24.71,0.5837,15.21,0.7765,21.47
106,0.8269,26.20,0.4024,7.28,0.3455,6.05,0.2931,4.34
107,1.2689,52.75,1.1176,36.21,0.7047,21.26,1.0167,33.84
108,0.8240,28.79,0.6737,19.26,0.5345,14.32,0.6615,19.24
109,0.6574,19.89,1.1829,36.31,0.7592,22.48,0.9602,29.19
110,0.5379,13.88,0.1096,-0.91,0.1407,-0.61,0.0300,-3.45
111,0.8955,31.28,0.8617,25.62,0.9292,31.59,0.9612,30.60
112,1.2909,62.25,0.9400,31.86,0.9962,39.50,1.0602,40.00
113,1.0289,42.74,1.0172,34.73,0.7298,23.52,0.9673,33.03
114,0.4845,11.77,0.3340,5.65,-0.0473,-7.40,0.1670,0.29
115,0.8083,24.86,0.5142,10.88,0.4188,8.53,0.3961,7.51
116,1.9310,113.81,1.4466,57.22,1.3343,55.60,1.3753,54.91
117,1.0754,40.86,0.4285,8.92,0.5448,13.88,0.5640,14.07
118,1.2134,52.95,1.0081,33.38,0.9538,34.19,0.9034,29.80
119,1.2563,54.17,0.6387,16.85,0.8426,27.05,0.6449,17.38
120,0.2621,3.13,0.7284,18.04,0.3366,5.83,0.5665,13.17
121,1.0404,38.73,1.0822,34.54,0.9512,31.85,0.9437,30.11
122,1.1312,48.52,0.7726,23.19,0.7316,23.96,0.5558,14.64
123,1.1773,46.63,1.2228,41.98,0.9044,30.63,0.9772,31.74
124,1.0727,44.61,1.1977,41.29,0.9230,32.29,1.2009,42.52
125,1.2972,62.90,0.9366,32.61,0.9626,38.13,0.8011,27.00
126,0.9281,31.40,0.2872,4.20,0.3847,7.53,0.4242,8.64
127,1.1380,48.14,1.2651,45.89,1.3277,55.45,1.3362,52.18
128,0.8810,31.46,0.7921,22.71,0.8574,28.20,0.8663,26.75
129,1.1011,41.60,0.6482,16.26,0.5519,14.01,0.7720,21.17
130,0.9284,35.88,0.6619,18.59,0.7671,25.17,0.7112,21.09
131,0.9314,35.59,0.9882,32.51,1.0939,41.71,1.1362,41.19
132,1.5788,73.46,1.3581,49.58,1.0800,41.53,1.3212,49.67
133,1.7282,101.09,1.4813,68.19,1.2138,55.41,1.4152,66.02
134,0.9278,32.43,0.9762,28.32,0.9910,33.22,0.9944,29.61
135,1.5394,66.14,0.6913,17.20,0.9142,28.04,0.8690,23.71
136,1.0119,38.28,0.9061,27.10,0.6602,19.31,0.8912,27.37
137,0.9111,32.02,0.5081,11.82,0.3819,7.53,0.5782,14.65
138,1.5014,69.17,1.1399,38.90,1.1256,44.20,0.9082,29.42
139,1.0660,38.40,1.6899,56.77,1.3240,44.59,1.6098,55.39
140,1.0025,37.73,0.9039,28.13,1.0514,38.42,0.9229,29.82
141,0.1904,0.30,0.3453,5.85,0.0218,-4.08,0.2323,2.60
142,1.4512,71.02,1.5282,64.75,1.5958,76.83,1.5706,70.44
143,0.9905,40.16,0.7394,22.26,0.6923,21.77,0.6908,20.66
144,0.5541,15.62,0.3728,7.09,0.3288,5.45,0.3156,5.06
145,0.8198,29.03,0.7277,20.53,0.6297,18.55,0.6588,18.58
146,1.2404,51.48,1.0484,34.51,0.9836,34.29,1.0041,33.33
147,0.6196,19.02,0.3827,7.53,0.2655,2.79,0.2541,2.66
148,1.0159,35.63,0.8779,24.75,0.7171,20.66,0.7692,21.25
149,0.9615,35.98,0.5127,11.59,0.6386,17.46,0.5024,11.37
150,1.0016,37.82,0.9501,30.40,0.7047,21.64,0.9315,30.52
151,1.3241,57.37,1.5216,55.98,1.1387,42.08,1.5131,57.78
152,1.6061,79.93,1.4156,53.84,1.2870,52.25,1.3145,50.75
153,0.5871,17.26,0.6796,19.18,0.8222,27.18,0.7979,24.51
154,0.5749,15.59,0.1512,0.09,0.2039,1.17,0.2828,4.05
155,1.2350,51.77,0.7811,22.48,0.8198,26.17,0.8403,25.47
156,1.1623,49.59,1.3186,48.66,1.2726,51.78,1.4155,55.82
157,0.8367,26.45,0.8253,21.56,0.6655,18.19,0.6509,15.97
158,0.4129,8.84,0.5141,11.43,0.1992,0.79,0.4064,8.05
159,0.7419,27.02,0.8158,27.40,0.8236,30.45,0.8994,32.28
160,1.1200,41.68,0.6986,17.49,0.3410,5.93,0.4037,7.97
161,1.0442,41.30,1.1168,37.94,0.8137,26.86,1.0085,34.18
162,0.7290,24.73,0.5891,15.09,0.1050,-3.50,0.4671,10.71
163,1.1320,39.31,1.0132,28.69,0.7134,19.44,0.9219,26.34
164,0.9400,34.57,0.5351,12.92,0.3015,4.35,0.4817,11.17
165,0.5683,15.83,0.3953,7.69,0.1563,-0.39,0.4653,10.10
166,1.1497,44.47,0.9002,27.30,0.4508,10.39,0.8141,24.75
167,0.6177,18.35,0.3113,4.93,0.3026,4.58,0.4886,10.75
168,1.3804,66.26,1.2276,45.36,0.9954,37.87,1.2697,50.01
169,0.0802,-4.88,0.3789,7.32,0.1779,-0.48,0.4177,8.86
170,1.5075,66.00,1.0186,29.00,0.7204,20.52,0.6449,16.22
171,0.7368,23.19,0.4503,9.36,0.7133,19.94,0.4644,9.88
172,1.3270,57.47,0.9741,29.98,0.8203,26.51,0.9107,28.43
173,0.5135,13.34,0.1441,-0.43,-0.0809,-8.68,0.0800,-2.55
174,0.7062,20.91,0.9184,25.42,0.6810,18.63,0.7590,20.39
175,1.3804,59.53,1.2954,44.17,1.0459,37.81,1.3379,48.09
176,0.6080,18.23,0.5964,15.69,0.4997,12.61,0.5572,14.49
177,0.9269,34.05,1.0424,33.04,0.9844,34.00,0.9846,32.20
178,-0.2129,-14.90,-0.1398,-9.19,-0.1922,-13.30,-0.1245,-9.49
179,1.8798,105.82,1.8591,87.76,1.7678,91.08,1.7410,82.85
180,1.0492,38.61,0.7761,20.12,0.8585,26.13,0.7245,18.76
181,1.4563,64.14,1.1555,38.77,1.1876,45.04,1.4064,52.63
182,0.6815,19.18,0.5914,13.32,0.4168,8.56,0.2154,2.03
183,0.4802,11.49,-0.0090,-4.18,-0.2162,-12.02,-0.0156,-4.62
184,1.4963,67.20,1.4547,50.61,1.1844,43.56,1.3336,46.72
185,1.1441,43.09,1.3657,49.62,1.1584,44.81,1.4200,53.42
186,1.4496,69.80,1.4387,58.35,1.2513,54.11,1.2654,50.88
187,0.7993,25.33,0.4926,10.77,0.5709,14.60,0.4559,9.77
188,0.4117,8.71,0.2602,3.40,-0.0073,-5.86,0.1130,-1.17
189,1.1099,46.96,1.0675,37.40,0.8050,26.94,1.0916,39.62
190,0.3007,3.24,0.3380,5.64,0.4076,8.53,0.3263,5.06
191,1.3570,65.89,1.1506,41.69,1.1567,46.89,1.1956,45.84
192,0.7179,23.05,0.5809,14.70,0.3154,4.86,0.3725,7.12
193,0.4077,8.53,0.6845,20.00,0.5764,16.64,0.6413,18.67
194,1.1312,46.91,1.3014,46.95,1.1966,47.68,1.3213,50.02
195,0.7544,24.15,0.2396,2.73,0.1887,0.67,0.1991,1.34
196,0.8156,29.80,0.3193,5.21,0.3680,6.84,0.3527,6.40
197,1.2556,54.93,1.0345,33.87,1.3823,58.94,1.4663,58.23
198,1.2078,45.72,1.0219,30.50,1.1139,39.16,1.0900,34.37
199,1.0773,40.47,0.7305,18.86,0.5073,11.84,0.5956,14.47
200,0.5515,15.60,0.6233,17.35,0.3593,6.55,0.4498,10.32
201,1.0908,42.70,0.9496,29.85,1.1007,41.31,0.8533,26.18
202,0.4965,12.74,0.5174,12.48,0.7078,21.16,0.5829,15.18
203,0.7519,25.83,0.8303,25.65,0.7533,24.06,0.7004,20.57
204,1.0365,41.85,0.8239,25.79,0.8338,29.57,0.9088,31.07
205,1.0590,41.75,1.0426,33.87,0.6587,19.00,0.9237,29.52
206,1.1750,50.50,0.7186,20.54,0.8617,29.18,0.8353,26.22
207,0.8223,26.58,0.5432,12.37,0.7422,21.80,0.7146,18.78
208,1.5707,86.70,1.4721,62.57,1.6200,82.87,1.5388,71.96
209,1.4156,65.27,0.6980,19.20,0.7383,23.32,0.7773,22.99
210,0.4982,12.42,-0.3231,-13.02,-0.2803,-15.06,-0.5456,-19.96
211,1.2586,56.51,1.4972,62.57,1.2611,53.98,1.2998,51.93
212,0.5422,14.46,0.6066,15.20,0.5464,13.93,0.7168,19.51
213,0.2677,3.21,0.3391,5.70,0.1486,-0.35,0.2845,4.13
214,-0.2658,-15.50,-0.2497,-11.39,-0.2249,-12.88,-0.2904,-12.83
215,0.8321,31.64,0.4029,8.39,0.5918,17.24,0.4294,9.54
216,0.9369,32.99,0.6635,17.76,0.6519,18.54,0.7005,19.46
217,0.8217,25.08,0.6809,16.82,0.5312,12.82,0.6338,15.66
218,0.9419,36.93,0.9055,28.40,0.7018,21.77,0.8693,27.40
219,1.3930,66.70,1.2552,46.41,1.4165,62.95,1.3033,51.45
220,0.8327,30.69,0.5907,15.22,0.5590,14.98,0.5550,14.22
221,1.5137,81.18,1.2777,48.15,1.4147,61.03,1.2443,47.39
222,0.9048,30.80,0.8963,25.50,0.7678,22.64,0.7926,22.38
223,0.5401,13.91,0.5404,12.56,0.6740,18.42,0.6017,14.79
224,1.2364,51.15,1.1947,39.83,1.2848,50.86,1.1834,40.94
225,1.3471,61.53,1.1693,42.02,1.1653,47.37,1.1626,43.06
226,0.9909,42.32,0.8041,25.91,0.8692,32.35,0.9762,35.41
227,1.0830,43.37,1.4173,52.01,0.9182,33.29,1.1945,43.41
228,0.9431,36.69,0.6761,18.42,0.7566,23.90,0.7133,20.70
229,1.3811,64.30,1.0941,37.91,1.2393,50.69,1.1268,40.56
230,0.6342,17.75,0.4379,8.92,0.2745,3.58,0.5556,12.91
231,1.4008,64.02,1.5053,56.73,1.3265,53.15,1.5011,58.16
232,0.9101,33.65,0.8876,26.58,0.7607,24.70,0.9042,28.38
233,0.8017,25.26,0.3320,5.54,0.3613,6.66,0.5360,12.20
234,0.6599,19.69,0.6777,17.80,0.5603,14.89,0.6068,15.55
235,1.7312,85.30,1.6362,61.39,1.7674,82.21,1.5253,58.15
236,0.5800,16.81,0.6274,16.63,0.5347,14.09,0.6426,17.73
237,1.2571,54.11,0.3598,6.58,0.5429,13.89,0.4475,9.73
238,1.0665,39.55,0.6902,16.96,0.4709,10.64,0.7082,18.03
239,1.2549,55.30,1.5066,59.38,1.4853,66.86,1.6164,67.92
240,0.6267,18.46,0.5201,11.71,0.1253,-1.84,0.3675,6.82
241,1.3612,65.15,0.7591,22.35,0.2221,0.69,0.9060,30.00
242,0.3707,7.09,0.1308,-0.73,0.1867,0.47,0.1606,0.04
243,0.5865,15.99,0.6833,16.95,0.4560,10.23,0.5536,12.99
244,1.1551,47.97,0.6623,18.39,0.5121,13.19,0.6900,20.25
245,0.7859,22.71,0.5509,11.62,0.5500,12.72,0.5765,12.59
246,0.8000,25.94,0.8166,22.66,0.9365,30.25,0.7704,21.57
247,-0.1033,-10.18,0.2415,2.80,-0.2617,-14.93,0.0010,-5.02
248,1.5447,74.07,1.4078,53.95,1.3305,56.95,1.2717,49.73
249,0.9269,33.38,1.0181,31.75,0.8983,29.99,0.9848,31.69
250,0.8531,31.44,0.6335,17.69,0.8111,27.18,0.5878,16.06
251,0.9986,39.03,1.1315,38.89,1.1447,44.52,0.8986,28.92
252,0.2411,1.96,0.0713,-2.87,-0.0561,-8.71,-0.1095,-9.15
253,1.1736,55.77,1.3384,58.53,1.3924,68.83,1.3357,60.53
254,1.0075,37.65,0.6483,16.55,0.5927,15.96,0.6082,15.25
255,1.9704,119.64,1.6066,69.09,1.5173,71.13,1.7513,81.01
256,1.1833,44.47,0.8832,24.14,0.6601,17.64,0.9344,26.71
257,1.0463,40.93,1.2211,40.62,0.9641,33.92,1.2498,44.79
258,0.7788,26.13,0.9694,29.43,0.5148,12.85,0.8057,23.32
259,0.7328,22.47,0.5410,12.22,0.4758,10.59,0.4905,10.73
260,1.5248,66.43,0.7544,19.39,0.7347,20.57,0.5951,14.27
261,0.7931,25.15,0.3823,7.13,0.4169,8.78,0.3816,7.22
262,0.2332,1.66,0.1475,-0.46,0.4292,9.33,0.5568,13.80
263,0.6057,17.58,0.2805,3.92,0.1370,-1.80,0.2636,3.27
264,0.5717,16.24,0.0694,-2.96,0.3689,7.03,0.1709,0.10
265,0.3490,5.58,0.4399,9.99,0.8620,32.75,0.6257,18.74
266,1.4044,66.43,1.0204,34.46,1.0901,42.91,0.9825,34.36
267,0.7260,23.90,0.6613,17.86,0.1157,-2.63,0.5603,14.17
268,0.6361,19.80,0.4795,11.29,0.4642,11.10,0.4369,9.76
269,0.9359,33.50,0.4102,8.07,0.3797,7.35,0.3292,5.52
270,0.3660,6.82,0.3921,7.93,0.4563,10.82,0.4459,10.11
271,0.5835,16.58,0.1980,1.03,0.3965,8.08,0.3150,5.05
272,0.9693,38.23,0.5841,15.66,0.7142,23.23,0.5527,14.64
273,0.8576,31.99,0.3929,7.84,0.1567,-1.91,0.1038,-3.01
274,1.1585,48.57,0.8577,25.43,0.9433,32.03,0.7494,21.71
275,0.6752,19.81,0.7251,19.58,0.6838,19.87,0.6650,17.91
276,1.1569,46.60,0.9837,29.23,0.6524,18.88,0.9006,27.32
277,0.9071,33.41,0.4432,9.78,0.7082,22.29,0.6677,19.02
278,1.4223,70.65,1.3526,54.83,1.2821,57.15,1.3050,53.76
279,1.0867,43.66,0.5799,14.88,0.4749,11.35,0.3927,7.92
280,1.1777,48.42,1.0005,32.56,0.5027,12.75,0.7316,21.59
281,0.8558,29.02,1.0959,34.09,1.0012,34.02,0.9577,29.07
282,0.7248,24.29,0.4641,10.49,0.4479,10.31,0.5035,12.17
283,1.1695,52.04,1.1082,39.52,0.9141,33.41,0.9850,35.02
284,0.6101,18.38,0.2430,2.69,0.2512,2.40,0.3096,4.88
285,0.1795,-0.71,0.3587,6.61,0.2512,2.41,0.3843,7.56
286,0.4696,11.07,0.4001,7.82,0.3393,5.93,0.3303,5.58
287,0.8325,29.48,0.6956,19.14,0.5855,16.24,0.3862,7.60
288,1.1011,42.35,1.0029,31.15,1.0114,34.89,0.8973,27.31
289,1.1448,51.31,0.5605,14.86,0.5308,14.53,0.5867,16.25
290,0.8011,28.49,0.4291,9.02,0.7312,22.30,0.4576,10.19
291,0.7697,23.92,-0.0265,-5.13,-0.2406,-13.03,0.0405,-3.48
292,1.2706,53.59,0.9137,28.37,0.9196,32.29,0.7536,22.65
293,0.8748,29.36,1.0689,32.26,1.0125,33.01,1.2753,41.87
294,0.5197,13.13,0.4875,10.46,0.4016,8.16,0.3396,5.83
295,0.6859,20.49,0.5384,12.42,0.4883,11.31,0.4713,10.27
296,0.5683,16.37,0.5283,13.19,0.7892,26.94,0.6505,18.59
297,0.4292,9.47,0.4527,9.70,0.1431,-1.02,0.3200,5.22
298,1.3356,56.05,1.0316,32.07,1.2688,48.39,1.0849,35.29
299,1.6262,75.57,1.6646,65.48,1.4245,59.15,1.6030,66.56
300,0.6999,24.17,0.9257,31.49,0.8514,31.37,0.8078,26.86
301,1.0425,43.53,1.1385,41.96,1.2698,56.74,1.2464,48.98
302,0.3952,8.09,0.2124,1.54,0.2658,2.94,0.2416,2.31
303,1.4318,69.35,1.0153,34.04,1.1465,47.22,1.1332,42.90
304,0.7187,22.99,0.6493,17.46,0.6827,20.32,0.6115,16.25
305,0.2010,-0.38,-0.2257,-11.66,-0.2145,-13.49,-0.1447,-9.79
306,1.0775,39.28,0.6854,16.72,0.5166,12.27,0.6005,14.39
307,1.1326,46.52,1.0972,36.73,1.1328,44.04,1.1107,38.43
308,1.0875,46.71,0.8409,27.02,1.2820,56.17,0.9284,31.76
309,0.9270,37.14,0.8393,26.85,0.4890,12.18,0.8792,29.23
310,1.0377,42.52,0.9376,29.36,0.8672,29.51,0.7280,21.66
311,1.0755,37.36,1.1278,32.60,1.1626,36.94,1.1145,32.81
312,1.0003,45.15,1.0913,42.66,0.9786,39.71,1.1814,49.43
313,0.3611,6.51,0.0954,-2.12,0.2664,2.98,-0.0464,-6.65
314,0.7398,24.50,0.7457,20.78,0.7390,22.93,0.6404,17.28
315,1.3738,56.17,0.9949,29.77,0.9358,30.63,1.1048,34.72
316,1.0867,47.62,0.7994,25.37,0.6852,22.43,0.7539,24.58
317,0.4580,10.82,0.4266,9.05,0.1969,0.30,0.1783,0.23
318,1.0971,44.79,0.8903,26.90,0.9817,34.92,0.8085,24.29
319,1.1192,47.96,1.1344,40.46,0.8529,29.75,1.2273,46.63
320,0.7695,24.36,0.8078,21.84,0.6489,17.99,0.8680,25.01
321,0.8720,30.49,0.5152,11.74,0.6199,16.74,0.5669,14.00
322,0.3021,4.38,0.4547,9.39,0.4070,8.28,0.4286,8.74
323,0.9099,31.88,0.6940,18.41,0.8911,29.56,0.7732,22.27
324,1.5741,76.51,1.3725,52.03,1.0386,38.79,1.2873,49.39
325,0.8089,25.76,0.8348,24.01,0.4551,10.40,0.7998,23.39
326,0.8527,34.01,0.6657,19.53,0.4595,11.04,0.6585,19.60
327,0.7019,21.73,0.6748,17.79,0.7616,23.22,0.6998,19.39
328,1.2541,54.13,1.1915,40.70,1.1125,41.92,1.1495,41.23
329,0.8733,31.27,0.8845,26.92,0.7271,22.10,0.7664,22.92
330,0.5257,13.59,0.1823,1.04,-0.0414,-7.29,0.1479,-0.18
331,1.0120,40.35,0.9922,31.06,0.6947,21.01,0.9118,29.07
332,0.4750,11.24,0.4329,8.87,0.3102,4.87,0.3611,6.62
333,1.2609,60.11,1.2139,45.23,1.1096,43.35,1.2504,48.12
334,0.9114,33.05,0.8259,23.92,1.0128,35.70,0.8749,26.82
335,0.5738,15.59,-0.0021,-4.22,0.0346,-4.11,0.0749,-2.20
336,0.7269,24.62,0.8322,26.43,0.7400,24.26,0.8284,26.90
337,1.3370,64.76,0.9829,31.15,1.2233,48.50,1.0690,35.73
338,1.4150,68.56,1.4685,59.16,1.4820,68.99,1.3162,53.08
339,0.7101,21.94,0.3584,6.48,0.6321,17.45,0.3941,7.72
340,1.8995,112.59,1.8229,85.61,1.7182,90.27,1.5853,73.66
341,0.2418,1.87,0.4847,10.96,0.3682,7.00,0.4537,10.01
342,1.3955,63.60,1.0625,34.43,1.0154,36.62,1.0862,37.13
343,1.1013,47.98,0.9451,30.53,0.7660,25.47,0.8806,29.25
344,1.8312,96.67,1.5007,57.58,1.1820,48.13,1.2484,47.21
345,0.8111,28.69,0.5185,12.41,0.5507,14.41,0.7144,20.57
346,0.7082,22.21,0.7883,21.23,0.7005,19.40,0.8121,22.56
347,0.6525,20.24,0.4396,9.49,0.3801,7.47,0.4218,8.91
348,0.5356,14.16,0.1487,-0.15,0.3049,4.70,0.2926,4.35
349,0.6660,21.07,0.6674,18.12,0.4343,9.63,0.6752,18.91
350,1.2162,50.91,1.0613,35.88,1.0423,38.43,1.1299,41.08
351,0.8056,26.92,0.6188,16.39,0.5517,14.67,0.6181,16.70
352,1.2606,50.48,1.0082,30.34,0.7516,22.51,0.9693,29.51
353,0.9887,36.09,0.7997,22.57,0.3938,7.98,0.6011,15.71
354,1.5858,78.88,1.1106,39.67,0.8408,29.94,0.8455,28.31
355,0.8384,26.20,0.5308,11.24,0.4652,9.96,0.4921,10.30
356,0.3076,4.06,0.6606,18.28,0.4775,11.72,0.6050,16.49
357,1.4984,72.61,0.9285,28.23,1.1039,40.91,0.9131,28.26
358,1.4747,72.75,1.1465,42.10,1.3039,59.55,1.0735,40.28
359,0.5506,15.36,0.5479,13.83,0.2969,4.03,0.4889,11.71
360,1.2854,51.47,0.8428,23.46,0.8829,27.47,0.9078,26.48
