config_id,bucket,timeframe,family,feature,mode,tail,threshold_spec,threshold_value,params,formula,bars,days,cagr,sharpe_daily,max_drawdown,trade_count,exposure,total_return,positive_fold_share,worst_fold_cagr,isolated_quarter_flag,largest_positive_fold_share,stage1_pass_gate,cost_side
native_h4|ret_3|high|q|0.55,native_h4,4h,directional_continuation,ret_3,train_quantile,high,q0.55,0.55,{'lookback': 3},3-bar close return,7661,1277,-0.29741603569217123,-0.5046500537429399,-0.8967797523352734,1093,0.4423704477222295,-0.7089142616348008,0.35714285714285715,-0.8695222170271509,0,0.5290478567955882,0,0.001
native_h4|ret_3|high|q|0.65,native_h4,4h,directional_continuation,ret_3,train_quantile,high,q0.65,0.65,{'lookback': 3},3-bar close return,7661,1277,-0.15422826177085036,-0.18680387738984225,-0.7976228341023992,929,0.341861375799504,-0.4432503534269169,0.42857142857142855,-0.8028457594921405,0,0.44010650611915825,0,0.001
native_h4|ret_3|high|q|0.75,native_h4,4h,directional_continuation,ret_3,train_quantile,high,q0.75,0.75,{'lookback': 3},3-bar close return,7661,1277,-0.09706262886683947,-0.08334401890167162,-0.778864005431804,733,0.23626158464952357,-0.3002085574656742,0.42857142857142855,-0.7989464378978086,0,0.33913914956027813,0,0.001
native_h4|ret_3|low|q|0.45,native_h4,4h,directional_continuation,ret_3,train_quantile,low,q0.45,0.45,{'lookback': 3},3-bar close return,7661,1277,-0.44239687132600103,-0.8881667601961026,-0.9012664066607899,1104,0.4499412609319932,-0.8702542392635294,0.2857142857142857,-0.8939615885589988,0,0.6999762943456266,0,0.001
native_h4|ret_3|low|q|0.35,native_h4,4h,directional_continuation,ret_3,train_quantile,low,q0.35,0.35,{'lookback': 3},3-bar close return,7661,1277,-0.46812615065589624,-1.0679894001822146,-0.9145902229026612,970,0.34564678240438584,-0.8900076608033394,0.2857142857142857,-0.9145004516643208,0,0.5075290684768305,0,0.001
native_h4|ret_3|low|q|0.25,native_h4,4h,directional_continuation,ret_3,train_quantile,low,q0.25,0.25,{'lookback': 3},3-bar close return,7661,1277,-0.4470253391455187,-1.1296385700403169,-0.8893358901768391,727,0.23795849105860853,-0.8739807455377349,0.2857142857142857,-0.916374035255412,0,0.46461882912667474,0,0.001
native_h4|retvol_3|high|zero|0,native_h4,4h,trend_quality,retvol_3,zero,high,0,0.0,{'lookback': 3},3-bar compounded close return divided by rolling std*sqrt(n),7661,1277,-0.2491793389668362,-0.33028259918898234,-0.8976288409772177,1125,0.5166427359352564,-0.6328485041088023,0.42857142857142855,-0.8923797525989282,0,0.49017701798987307,0,0.001
native_h4|retvol_3|low|zero|0,native_h4,4h,trend_quality,retvol_3,zero,low,0,0.0,{'lookback': 3},3-bar compounded close return divided by rolling std*sqrt(n),7661,1277,-0.44466481220081977,-0.8747324633698411,-0.8999463024662373,1126,0.4833572640647435,-0.8720899090906211,0.35714285714285715,-0.9029167791303103,0,0.7311664339646738,0,0.001
native_h4|retvol_3|high|q|0.55,native_h4,4h,trend_quality,retvol_3,train_quantile,high,q0.55,0.55,{'lookback': 3},3-bar compounded close return divided by rolling std*sqrt(n),7661,1277,-0.24007247049623615,-0.37381698190648294,-0.8900452738673901,1101,0.4432841665578906,-0.6170417228871843,0.35714285714285715,-0.8773973762369268,0,0.4448840319763659,0,0.001
native_h4|retvol_3|high|q|0.65,native_h4,4h,trend_quality,retvol_3,train_quantile,high,q0.65,0.65,{'lookback': 3},3-bar compounded close return divided by rolling std*sqrt(n),7661,1277,-0.23207889611284582,-0.4767821468090995,-0.8399008131440284,1007,0.34251403211069054,-0.6027720114266031,0.5,-0.8161373395332763,0,0.28112109170658894,0,0.001
native_h4|retvol_3|high|q|0.75,native_h4,4h,trend_quality,retvol_3,train_quantile,high,q0.75,0.75,{'lookback': 3},3-bar compounded close return divided by rolling std*sqrt(n),7661,1277,-0.3415890238063446,-1.1233771877444807,-0.8085370339907302,855,0.24396292912152462,-0.768034715573934,0.21428571428571427,-0.7953119745356422,1,0.8891709524095117,0,0.001
native_h4|retvol_3|low|q|0.45,native_h4,4h,trend_quality,retvol_3,train_quantile,low,q0.45,0.45,{'lookback': 3},3-bar compounded close return divided by rolling std*sqrt(n),7661,1277,-0.45374341084183845,-0.928425238445603,-0.9071798500733903,1120,0.454118261323587,-0.8792528212800023,0.35714285714285715,-0.9127866753470132,0,0.7286310299451442,0,0.001
native_h4|retvol_3|low|q|0.35,native_h4,4h,trend_quality,retvol_3,train_quantile,low,q0.35,0.35,{'lookback': 3},3-bar compounded close return divided by rolling std*sqrt(n),7661,1277,-0.5275192055602587,-1.428636973456789,-0.9412062214392422,1028,0.3580472523169299,-0.9272939827897938,0.14285714285714285,-0.8677197292398688,0,0.754757276871385,0,0.001
native_h4|retvol_3|low|q|0.25,native_h4,4h,trend_quality,retvol_3,train_quantile,low,q0.25,0.25,{'lookback': 3},3-bar compounded close return divided by rolling std*sqrt(n),7661,1277,-0.4025141245098961,-1.0600843102637987,-0.8631112968519568,884,0.253100117478136,-0.8348080897430141,0.21428571428571427,-0.838588905747862,0,0.4933482106536056,0,0.001
native_h4|ret_6|high|zero|0,native_h4,4h,directional_continuation,ret_6,zero,high,0,0.0,{'lookback': 6},6-bar close return,7661,1277,-0.30863553481271966,-0.5022255718409604,-0.8815226678314894,783,0.5225166427359352,-0.7248445504803738,0.2857142857142857,-0.9378202329575581,0,0.6176911464509174,0,0.001
native_h4|ret_6|low|zero|0,native_h4,4h,directional_continuation,ret_6,zero,low,0,0.0,{'lookback': 6},6-bar close return,7661,1277,-0.10837543695135587,0.046958350616208275,-0.651397783115441,784,0.47748335726406477,-0.33038584338971555,0.42857142857142855,-0.7828019573905569,0,0.3776737501904023,0,0.001
native_h4|ret_6|high|q|0.55,native_h4,4h,directional_continuation,ret_6,train_quantile,high,q0.55,0.55,{'lookback': 6},6-bar close return,7661,1277,-0.31929843344599795,-0.5799924785417796,-0.8650283154293787,756,0.4431536352956533,-0.739398166399138,0.42857142857142855,-0.9361204198322723,0,0.6358063961848327,0,0.001
native_h4|ret_6|high|q|0.65,native_h4,4h,directional_continuation,ret_6,train_quantile,high,q0.65,0.65,{'lookback': 6},6-bar close return,7661,1277,-0.2456717531397128,-0.43747563093876335,-0.8071436968944087,658,0.33898968803028323,-0.6268166773047439,0.2857142857142857,-0.903783746502077,0,0.6144624645662857,0,0.001
native_h4|ret_6|high|q|0.75,native_h4,4h,directional_continuation,ret_6,train_quantile,high,q0.75,0.75,{'lookback': 6},6-bar close return,7661,1277,-0.02887239746992898,0.09292345688144699,-0.647968281803885,487,0.22686333376843754,-0.09735923524653645,0.42857142857142855,-0.7458936233730296,0,0.4364392882492271,0,0.001
native_h4|ret_6|low|q|0.45,native_h4,4h,directional_continuation,ret_6,train_quantile,low,q0.45,0.45,{'lookback': 6},6-bar close return,7661,1277,-0.13083503742262093,-0.009830535267081527,-0.6640703419879064,761,0.4451116042292129,-0.3875269402022439,0.5,-0.7673755058332636,0,0.4332244556497011,0,0.001
native_h4|ret_6|low|q|0.35,native_h4,4h,directional_continuation,ret_6,train_quantile,low,q0.35,0.35,{'lookback': 6},6-bar close return,7661,1277,-0.125658852620383,-0.02892535179985464,-0.6297712978969503,683,0.34616890745333506,-0.37467937249311756,0.42857142857142855,-0.7999950125204884,0,0.3962516187818901,0,0.001
native_h4|ret_6|low|q|0.25,native_h4,4h,directional_continuation,ret_6,train_quantile,low,q0.25,0.25,{'lookback': 6},6-bar close return,7661,1277,0.04240791901084617,0.3337007762546543,-0.47780122954369153,509,0.2369142409607101,0.1562827674070597,0.5,-0.543778825405454,0,0.2604721563701451,1,0.001
native_h4|retvol_6|high|zero|0,native_h4,4h,trend_quality,retvol_6,zero,high,0,0.0,{'lookback': 6},6-bar compounded close return divided by rolling std*sqrt(n),7661,1277,-0.30863553481271966,-0.5022255718409604,-0.8815226678314894,783,0.5225166427359352,-0.7248445504803738,0.2857142857142857,-0.9378202329575581,0,0.6176911464509174,0,0.001
native_h4|retvol_6|low|zero|0,native_h4,4h,trend_quality,retvol_6,zero,low,0,0.0,{'lookback': 6},6-bar compounded close return divided by rolling std*sqrt(n),7661,1277,-0.10837543695135587,0.046958350616208275,-0.651397783115441,784,0.47748335726406477,-0.33038584338971555,0.42857142857142855,-0.7828019573905569,0,0.3776737501904023,0,0.001
native_h4|retvol_6|high|q|0.55,native_h4,4h,trend_quality,retvol_6,train_quantile,high,q0.55,0.55,{'lookback': 6},6-bar compounded close return divided by rolling std*sqrt(n),7661,1277,-0.3370009943772986,-0.6753112168403388,-0.8640453508175625,796,0.44641691685158597,-0.7623340352899962,0.42857142857142855,-0.9254405827896806,0,0.6780565917110202,0,0.001
native_h4|retvol_6|high|q|0.65,native_h4,4h,trend_quality,retvol_6,train_quantile,high,q0.65,0.65,{'lookback': 6},6-bar compounded close return divided by rolling std*sqrt(n),7661,1277,-0.14444830001843956,-0.19425528837252967,-0.7297400035321358,681,0.3378149066701475,-0.42041522706174483,0.35714285714285715,-0.8123023338496879,0,0.5572502971030976,0,0.001
native_h4|retvol_6|high|q|0.75,native_h4,4h,trend_quality,retvol_6,train_quantile,high,q0.75,0.75,{'lookback': 6},6-bar compounded close return divided by rolling std*sqrt(n),7661,1277,-0.1418626833470209,-0.25699167234448894,-0.674213654268933,596,0.23808902232084583,-0.41426808761990586,0.35714285714285715,-0.7751744902938565,0,0.3944938372193056,0,0.001
