bucket,timeframe,family,feature,params,formula,scale,allowed_modes,admissible_tails
native_h4,4h,trend_quality,retvol_3,{'lookback': 3},3-bar compounded close return divided by rolling std*sqrt(n),signed,"['zero', 'train_quantile']","['high', 'low']"
native_h4,4h,directional_continuation,ret_6,{'lookback': 6},6-bar close return,signed,"['zero', 'train_quantile']","['high', 'low']"
native_h4,4h,trend_quality,retvol_6,{'lookback': 6},6-bar compounded close return divided by rolling std*sqrt(n),signed,"['zero', 'train_quantile']","['high', 'low']"
native_h4,4h,directional_continuation,ret_12,{'lookback': 12},12-bar close return,signed,"['zero', 'train_quantile']","['high', 'low']"
native_h4,4h,trend_quality,retvol_12,{'lookback': 12},12-bar compounded close return divided by rolling std*sqrt(n),signed,"['zero', 'train_quantile']","['high', 'low']"
native_h4,4h,directional_continuation,ret_24,{'lookback': 24},24-bar close return,signed,"['zero', 'train_quantile']","['high', 'low']"
native_h4,4h,trend_quality,retvol_24,{'lookback': 24},24-bar compounded close return divided by rolling std*sqrt(n),signed,"['zero', 'train_quantile']","['high', 'low']"
native_h4,4h,directional_continuation,ret_48,{'lookback': 48},48-bar close return,signed,"['zero', 'train_quantile']","['high', 'low']"
native_h4,4h,trend_quality,retvol_48,{'lookback': 48},48-bar compounded close return divided by rolling std*sqrt(n),signed,"['zero', 'train_quantile']","['high', 'low']"
native_h4,4h,range_location,rangepct_6,{'lookback': 6},(close - rolling_low_6) / (rolling_high_6 - rolling_low_6),bounded01,"['absolute', 'train_quantile']","['high', 'low']"
native_h4,4h,range_location,rangepct_12,{'lookback': 12},(close - rolling_low_12) / (rolling_high_12 - rolling_low_12),bounded01,"['absolute', 'train_quantile']","['high', 'low']"
native_h4,4h,range_location,rangepct_24,{'lookback': 24},(close - rolling_low_24) / (rolling_high_24 - rolling_low_24),bounded01,"['absolute', 'train_quantile']","['high', 'low']"
native_h4,4h,range_location,rangepct_48,{'lookback': 48},(close - rolling_low_48) / (rolling_high_48 - rolling_low_48),bounded01,"['absolute', 'train_quantile']","['high', 'low']"
native_h4,4h,drawdown_pullback,drawdown_12,{'lookback': 12},close / rolling_high_12 - 1,negative_to_zero,['train_quantile'],"['high', 'low']"
native_h4,4h,drawdown_pullback,drawdown_24,{'lookback': 24},close / rolling_high_24 - 1,negative_to_zero,['train_quantile'],"['high', 'low']"
native_h4,4h,drawdown_pullback,drawdown_48,{'lookback': 48},close / rolling_high_48 - 1,negative_to_zero,['train_quantile'],"['high', 'low']"
native_h4,4h,volatility_level,atrpct_6,{'lookback': 6},rolling ATR_6 / close,positive,['train_quantile'],"['high', 'low']"
native_h4,4h,volatility_level,atrpct_12,{'lookback': 12},rolling ATR_12 / close,positive,['train_quantile'],"['high', 'low']"
native_h4,4h,volatility_level,atrpct_24,{'lookback': 24},rolling ATR_24 / close,positive,['train_quantile'],"['high', 'low']"
native_h4,4h,volatility_clustering,volcluster_3_12,"{'short': 3, 'long': 12}",rolling std_3 / rolling std_12 of log returns,positive_ratio,"['fixed_one', 'train_quantile']","['high', 'low']"
native_h4,4h,volatility_clustering,volcluster_6_24,"{'short': 6, 'long': 24}",rolling std_6 / rolling std_24 of log returns,positive_ratio,"['fixed_one', 'train_quantile']","['high', 'low']"
native_h4,4h,volatility_clustering,volcluster_12_48,"{'short': 12, 'long': 48}",rolling std_12 / rolling std_48 of log returns,positive_ratio,"['fixed_one', 'train_quantile']","['high', 'low']"
native_h4,4h,participation_volume,volratio_6,{'lookback': 6},quote_volume / rolling_mean_quote_volume_6,positive_ratio,"['fixed_one', 'train_quantile']","['high', 'low']"
native_h4,4h,participation_volume,volratio_12,{'lookback': 12},quote_volume / rolling_mean_quote_volume_12,positive_ratio,"['fixed_one', 'train_quantile']","['high', 'low']"
native_h4,4h,participation_volume,volratio_24,{'lookback': 24},quote_volume / rolling_mean_quote_volume_24,positive_ratio,"['fixed_one', 'train_quantile']","['high', 'low']"
native_h4,4h,participation_flow,takeratio_1,{'lookback': 1},rolling mean_1 of taker_buy_base_vol / volume,bounded01,"['absolute', 'train_quantile']","['high', 'low']"
native_h4,4h,participation_flow,takeratio_3,{'lookback': 3},rolling mean_3 of taker_buy_base_vol / volume,bounded01,"['absolute', 'train_quantile']","['high', 'low']"
native_h4,4h,participation_flow,takeratio_6,{'lookback': 6},rolling mean_6 of taker_buy_base_vol / volume,bounded01,"['absolute', 'train_quantile']","['high', 'low']"
native_h4,4h,candle_body,bodyfrac_1,{'lookback': 1},rolling mean_1 of (close-open)/(high-low),signed_bounded,"['zero', 'train_quantile']","['high', 'low']"
native_h4,4h,candle_location,closeloc_1,{'lookback': 1},rolling mean_1 of (close-low)/(high-low),bounded01,"['absolute', 'train_quantile']","['high', 'low']"
native_h4,4h,candle_body,bodyfrac_3,{'lookback': 3},rolling mean_3 of (close-open)/(high-low),signed_bounded,"['zero', 'train_quantile']","['high', 'low']"
native_h4,4h,candle_location,closeloc_3,{'lookback': 3},rolling mean_3 of (close-low)/(high-low),bounded01,"['absolute', 'train_quantile']","['high', 'low']"
native_h4,4h,calendar_dow,calendar_dow,"{'categories': [0, 1, 2, 3, 4, 5, 6]}",day of week category from bar open_time UTC,categorical,['category'],['category']
native_h4,4h,calendar_hour,calendar_hour,"{'categories': [0, 4, 8, 12, 16, 20]}",hour of day category from bar open_time UTC,categorical,['category'],['category']
cross_tf,4h,cross_rel_close_vs_d1_close,x_rel_d1close_atr,{},(h4_close - last_completed_d1_close) / visible_d1_atr_abs,signed,"['zero', 'train_quantile']","['high', 'low']"
cross_tf,4h,cross_rel_close_vs_d1_high,x_rel_d1high_atr,{},(h4_close - last_completed_d1_high) / visible_d1_atr_abs,signed,"['zero', 'train_quantile']","['high', 'low']"
cross_tf,4h,cross_rel_close_vs_d1_low,x_rel_d1low_atr,{},(h4_close - last_completed_d1_low) / visible_d1_atr_abs,signed,"['zero', 'train_quantile']","['high', 'low']"
cross_tf,4h,cross_rel_loc_in_d1_range,x_in_d1range,{},(h4_close - visible_d1_low)/(visible_d1_high - visible_d1_low),bounded01,"['absolute', 'train_quantile']","['high', 'low']"
cross_tf,4h,cross_rel_h4atr_vs_d1atr,x_h4atr6_vs_d1atr,{},h4_atr6_pct / visible_d1_atr20_pct,positive_ratio,"['fixed_one', 'train_quantile']","['high', 'low']"
cross_tf,4h,cross_rel_h4vol_vs_d1vol,x_h4volshare_d1,{},h4_quote_volume / (visible_d1_quote_volume/6),positive_ratio,"['fixed_one', 'train_quantile']","['high', 'low']"
cross_tf,4h,cross_rel_h4ret_vs_d1trend,x_h4ret6_vs_d1ret20,{},h4_ret6 - visible_d1_ret20/5,signed,"['zero', 'train_quantile']","['high', 'low']"
cross_tf,4h,cross_rel_h4loc_signed_by_d1trend,x_h4rangepct_vs_d1trend,{},(h4_rangepct24 - 0.5)*sign(visible_d1_ret20),signed,"['zero', 'train_quantile']","['high', 'low']"
