tau,G,delta,sharpe,cagr,mdd,trades,d_sharpe,d_mdd,pct_suppressed,n_watch,n_reclaimed
0.600000,4,1.500000,1.257082,52.707621,43.133954,159,-0.114697,3.176819,74.137931,172,94
0.600000,4,2.000000,1.261744,53.171930,43.686481,158,-0.110034,3.729346,74.137931,172,94
0.600000,6,0.500000,1.230481,50.197893,51.222432,168,-0.141297,11.265297,73.181818,161,73
0.600000,6,1.000000,1.246697,51.644281,52.606135,157,-0.125082,12.649000,73.662551,179,108
0.600000,6,1.500000,1.385697,61.142753,40.414139,150,0.013918,0.457004,75.303644,186,119
0.600000,6,2.000000,1.355977,59.219610,39.702228,148,-0.015801,-0.254907,75.903614,189,122
0.600000,8,0.500000,1.230481,50.197893,51.222432,168,-0.141297,11.265297,73.181818,161,73
0.600000,8,1.000000,1.222619,50.211604,52.606135,156,-0.149160,12.649000,74.089069,183,113
0.600000,8,1.500000,1.415612,62.904790,39.513330,145,0.043833,-0.443805,76.833977,199,136
0.600000,8,2.000000,1.394687,61.688715,38.824403,139,0.022909,-1.132732,78.409091,207,145
0.650000,2,0.500000,1.268543,52.307200,47.308671,175,-0.103236,7.351536,64.077670,132,52
0.650000,2,1.000000,1.298557,54.197930,47.186906,173,-0.073222,7.229771,65.071770,136,57
0.650000,2,1.500000,1.325005,55.857549,45.039164,173,-0.046773,5.082029,65.071770,136,57
0.650000,2,2.000000,1.332155,56.372062,45.039164,173,-0.039624,5.082029,65.071770,136,57
0.650000,4,0.500000,1.218817,49.437944,50.088140,172,-0.152962,10.131005,65.420561,140,63
0.650000,4,1.000000,1.227916,50.290757,49.790139,163,-0.143862,9.833004,67.873303,150,79
0.650000,4,1.500000,1.273541,53.651356,41.638166,161,-0.098237,1.681031,68.141593,154,86
0.650000,4,2.000000,1.288541,54.759017,42.205227,160,-0.083237,2.248092,68.141593,154,86
0.650000,6,0.500000,1.218817,49.437944,50.088140,172,-0.152962,10.131005,65.420561,140,63
0.650000,6,1.000000,1.266080,52.778598,51.504021,158,-0.105698,11.546886,68.936170,162,99
0.650000,6,1.500000,1.410457,62.703002,39.448320,151,0.038678,-0.508814,70.711297,169,110
0.650000,6,2.000000,1.401094,62.073148,38.724870,148,0.029315,-1.232264,71.369295,172,113
0.650000,8,0.500000,1.218817,49.437944,50.088140,172,-0.152962,10.131005,65.420561,140,63
0.650000,8,1.000000,1.241980,51.335204,51.504021,157,-0.129798,11.546886,69.456067,166,104
0.650000,8,1.500000,1.421981,63.229300,39.928310,147,0.050202,-0.028825,72.800000,182,125
0.650000,8,2.000000,1.405070,62.279714,39.244109,140,0.033291,-0.713026,74.901961,191,134
0.700000,2,0.500000,1.315844,54.968134,44.011854,175,-0.055935,4.054719,55.276382,110,45
0.700000,2,1.000000,1.344306,56.790077,43.882470,173,-0.027473,3.925335,56.716418,114,49
0.700000,2,1.500000,1.372248,58.555980,42.314419,173,0.000470,2.357284,56.716418,114,49
0.700000,2,2.000000,1.379356,59.079401,42.314419,173,0.007577,2.357284,56.716418,114,49
0.700000,4,0.500000,1.283849,53.083101,46.278993,172,-0.087930,6.321858,56.310680,116,55
0.700000,4,1.000000,1.288100,53.730115,45.958249,163,-0.083678,6.001114,60.563380,129,71
0.700000,4,1.500000,1.302025,55.065268,43.000096,162,-0.069753,3.042961,61.290323,133,76
0.700000,4,2.000000,1.310357,55.905810,43.000096,162,-0.061421,3.042961,61.290323,133,76
0.700000,6,0.500000,1.283849,53.083101,46.278993,172,-0.087930,6.321858,56.310680,116,55
0.700000,6,1.000000,1.333853,56.710554,45.958249,159,-0.037926,6.001114,62.555066,142,89
0.700000,6,1.500000,1.450877,65.275807,36.807460,152,0.079098,-3.149675,66.810345,155,102
0.700000,6,2.000000,1.438879,64.580090,35.891912,152,0.067101,-4.065223,66.523605,155,103
0.700000,8,0.500000,1.283849,53.083101,46.278993,172,-0.087930,6.321858,56.310680,116,55
0.700000,8,1.000000,1.318048,55.747145,45.958249,158,-0.053730,6.001114,63.043478,145,93
0.700000,8,1.500000,1.468561,66.220540,36.615051,148,0.096783,-3.342084,68.979592,169,119
0.700000,8,2.000000,1.447257,65.021378,37.810453,145,0.075479,-2.146682,69.512195,171,122
0.750000,2,0.500000,1.324859,55.483531,44.011854,176,-0.046920,4.054719,48.969072,95,39
0.750000,2,1.000000,1.352608,57.266587,43.882470,174,-0.019170,3.925335,50.510204,99,43
0.750000,2,1.500000,1.379479,58.970350,42.314419,174,0.007701,2.357284,50.510204,99,43
0.750000,2,2.000000,1.386580,59.495139,42.314419,174,0.014802,2.357284,50.510204,99,43
0.750000,4,0.500000,1.292838,53.592229,46.278993,173,-0.078940,6.321858,50.248756,101,49
0.750000,4,1.000000,1.289362,53.761193,45.958249,165,-0.082416,6.001114,54.807692,114,64
0.750000,4,1.500000,1.298014,54.769988,43.000096,164,-0.073765,3.042961,55.399061,118,70
0.750000,4,2.000000,1.305770,55.571644,43.000096,164,-0.066009,3.042961,55.399061,118,70
0.750000,6,0.500000,1.292838,53.592229,46.278993,173,-0.078940,6.321858,50.248756,101,49
0.750000,6,1.000000,1.330118,56.389882,45.958249,162,-0.041660,6.001114,57.466063,127,80
0.750000,6,1.500000,1.431685,63.945063,37.770785,156,0.059906,-2.186350,60.619469,137,92
0.750000,6,2.000000,1.436456,64.303620,36.869194,155,0.064678,-3.087941,61.403509,140,95
0.750000,8,0.500000,1.292838,53.592229,46.278993,173,-0.078940,6.321858,50.248756,101,49
0.750000,8,1.000000,1.314290,55.428444,45.958249,161,-0.057489,6.001114,58.035714,130,84
0.750000,8,1.500000,1.450087,64.930864,37.638688,152,0.078308,-2.318447,63.445378,151,108
0.750000,8,2.000000,1.448891,65.008826,38.409332,148,0.077113,-1.547803,65.145228,157,114
0.800000,2,0.500000,1.295825,53.749003,44.011854,182,-0.075953,4.054719,34.920635,66,28
0.800000,2,1.000000,1.316344,55.050163,43.882470,180,-0.055434,3.925335,36.315789,69,31
0.800000,2,1.500000,1.338994,56.466309,42.314419,180,-0.032785,2.357284,36.315789,69,31
0.800000,2,2.000000,1.354758,57.498726,42.314419,180,-0.017021,2.357284,36.315789,69,31
0.800000,4,0.500000,1.280889,52.863795,46.278993,179,-0.090889,6.321858,38.144330,74,36
0.800000,4,1.000000,1.267248,52.379371,45.958249,172,-0.104530,6.001114,43.000000,86,49
0.800000,4,1.500000,1.262218,52.530894,43.000096,171,-0.109560,3.042961,43.902439,90,55
0.800000,4,2.000000,1.284918,54.204732,43.000096,171,-0.086860,3.042961,43.902439,90,55
0.800000,6,0.500000,1.280889,52.863795,46.278993,179,-0.090889,6.321858,38.144330,74,36
0.800000,6,1.000000,1.302683,54.590877,45.958249,169,-0.069096,6.001114,47.169811,100,64
0.800000,6,1.500000,1.370853,59.799854,39.245525,164,-0.000926,-0.711609,50.000000,109,75
0.800000,6,2.000000,1.391266,61.128472,37.123770,163,0.019488,-2.833365,50.909091,112,78
0.800000,8,0.500000,1.280889,52.863795,46.278993,179,-0.090889,6.321858,38.144330,74,36
0.800000,8,1.000000,1.289282,53.787895,45.958249,168,-0.082497,6.001114,47.906977,103,68
0.800000,8,1.500000,1.395296,61.137674,39.736791,161,0.023517,-0.220344,52.631579,120,88
0.800000,8,2.000000,1.415056,62.564262,37.632192,158,0.043277,-2.324943,54.545455,126,94
0.850000,2,0.500000,1.260920,51.792762,44.011854,184,-0.110859,4.054719,27.717391,51,21
0.850000,2,1.000000,1.265593,52.116633,43.882470,183,-0.106185,3.925335,28.648649,53,23
0.850000,2,1.500000,1.287922,53.487991,42.314419,183,-0.083856,2.357284,28.648649,53,23
0.850000,2,2.000000,1.303707,54.500756,42.314419,183,-0.068071,2.357284,28.648649,53,23
0.850000,4,0.500000,1.246028,50.918817,46.278993,181,-0.125751,6.321858,31.216931,59,29
0.850000,4,1.000000,1.262137,51.996519,45.958249,175,-0.109641,6.001114,36.410256,71,41
0.850000,4,1.500000,1.307835,55.076778,43.000096,173,-0.063943,3.042961,38.805970,78,49
0.850000,4,2.000000,1.330357,56.778553,43.000096,173,-0.041421,3.042961,38.805970,78,49
0.850000,6,0.500000,1.246028,50.918817,46.278993,181,-0.125751,6.321858,31.216931,59,29
0.850000,6,1.000000,1.288141,53.621088,45.958249,173,-0.083638,6.001114,40.000000,82,53
0.850000,6,1.500000,1.411460,62.122891,39.367227,167,0.039681,-0.589908,44.339623,94,66
0.850000,6,2.000000,1.433039,63.548932,37.249722,166,0.061260,-2.707412,45.327103,97,69
0.850000,8,0.500000,1.246028,50.918817,46.278993,181,-0.125751,6.321858,31.216931,59,29
0.850000,8,1.000000,1.274720,52.823143,45.958249,172,-0.097059,6.001114,40.865385,85,57
0.850000,8,1.500000,1.440366,63.767063,39.857509,163,0.068587,-0.099626,47.272727,104,78
0.850000,8,2.000000,1.462591,65.335645,37.757126,160,0.090813,-2.200009,49.099099,109,83
0.900000,2,0.500000,1.252494,51.246584,44.058068,185,-0.119285,4.100933,17.613636,31,12
0.900000,2,1.000000,1.253202,51.305775,44.058068,185,-0.118576,4.100933,17.613636,31,12
0.900000,2,1.500000,1.274309,52.594198,42.494923,185,-0.097470,2.537788,17.613636,31,12
0.900000,2,2.000000,1.290129,53.601065,42.494923,185,-0.081649,2.537788,17.613636,31,12
0.900000,4,0.500000,1.256368,51.483402,44.058068,184,-0.115411,4.100933,20.000000,36,17
0.900000,4,1.000000,1.282621,53.100291,44.058068,179,-0.089157,4.100933,23.497268,43,25
0.900000,4,1.500000,1.318139,55.577946,41.987325,177,-0.053640,2.030190,26.455026,50,33
0.900000,4,2.000000,1.340640,57.285221,41.987325,177,-0.031138,2.030190,26.455026,50,33
0.900000,6,0.500000,1.256368,51.483402,44.058068,184,-0.115411,4.100933,20.000000,36,17
0.900000,6,1.000000,1.324731,55.776335,44.058068,178,-0.047047,4.100933,25.268817,47,29
0.900000,6,1.500000,1.419270,62.575602,39.367227,173,0.047492,-0.589908,30.412371,59,42
0.900000,6,2.000000,1.443263,64.159092,37.249722,172,0.071484,-2.707412,31.632653,62,45
0.900000,8,0.500000,1.256368,51.483402,44.058068,184,-0.115411,4.100933,20.000000,36,17
0.900000,8,1.000000,1.307502,54.735786,44.058068,178,-0.064277,4.100933,25.268817,47,29
0.900000,8,1.500000,1.437297,63.519112,39.857509,172,0.065518,-0.099626,31.282051,61,44
0.900000,8,2.000000,1.454573,64.735235,37.757126,170,0.082795,-2.200009,32.994924,65,48
0.950000,2,0.500000,1.279925,52.810646,44.058068,187,-0.091854,4.100933,5.917160,10,3
0.950000,2,1.000000,1.275764,52.565605,44.058068,187,-0.096014,4.100933,5.917160,10,3
0.950000,2,1.500000,1.297361,53.893120,42.494923,187,-0.074417,2.537788,5.917160,10,3
0.950000,2,2.000000,1.313221,54.910109,42.494923,187,-0.058558,2.537788,5.917160,10,3
0.950000,4,0.500000,1.279925,52.810646,44.058068,187,-0.091854,4.100933,5.917160,10,3
0.950000,4,1.000000,1.264554,51.882332,44.058068,187,-0.107225,4.100933,5.917160,10,3
0.950000,4,1.500000,1.306826,54.723542,41.987325,186,-0.064952,2.030190,9.195402,16,9
0.950000,4,2.000000,1.318089,55.715600,41.987325,186,-0.053690,2.030190,9.195402,16,9
0.950000,6,0.500000,1.279925,52.810646,44.058068,187,-0.091854,4.100933,5.917160,10,3
0.950000,6,1.000000,1.277861,52.695302,44.058068,187,-0.093917,4.100933,5.917160,10,3
0.950000,6,1.500000,1.370586,59.259411,39.442875,184,-0.001193,-0.514259,11.864407,21,14
0.950000,6,2.000000,1.379328,59.801111,39.442875,184,0.007550,-0.514259,11.864407,21,14
0.950000,8,0.500000,1.279925,52.810646,44.058068,187,-0.091854,4.100933,5.917160,10,3
0.950000,8,1.000000,1.273036,52.410181,44.058068,187,-0.098743,4.100933,5.917160,10,3
0.950000,8,1.500000,1.401325,60.988239,39.442875,183,0.029547,-0.514259,12.921348,23,16
0.950000,8,2.000000,1.398335,60.836135,39.442875,183,0.026557,-0.514259,12.921348,23,16
