path,d_sharpe,d_cagr,d_mdd
270,-0.048859,-1.926096,7.986907
271,-0.068090,-2.211791,2.695573
272,-0.061228,-2.390732,7.180682
273,-0.091815,-3.760406,1.063469
274,0.033753,1.321167,-3.950864
275,-0.049504,-1.672568,7.785724
276,-0.019015,-0.765843,3.765915
277,-0.119769,-4.624755,-0.238077
278,0.116205,6.792015,-0.342673
279,-0.045107,-1.716168,0.573519
280,-0.138405,-5.440236,0.268308
281,-0.030929,-1.032133,0.130352
282,-0.062369,-2.243913,-0.683621
283,0.071927,3.661799,1.487482
284,0.073890,2.533782,-0.615156
285,0.062199,2.088207,0.063899
286,-0.205660,-6.306334,2.285520
287,-0.056751,-2.110455,1.548245
288,-0.023411,-0.869408,-1.980182
289,0.095020,4.195583,5.442576
290,0.135567,4.974336,-10.082626
291,0.080765,1.919088,-2.563977
292,-0.175585,-6.859867,5.724487
293,0.042124,1.705776,2.605482
294,0.075891,2.317104,-4.414130
295,0.057315,1.845175,-5.320682
296,0.141877,5.610297,6.278139
297,-0.058063,-1.991657,0.955521
298,0.043283,2.361014,-2.889460
299,0.008485,1.970383,1.347862
300,0.001840,0.380086,-2.995624
301,0.071356,3.921173,-3.370899
302,0.010260,0.181067,3.664029
303,-0.025970,-0.661316,0.006370
304,0.058431,2.402113,-10.980121
305,0.116153,2.963436,-3.146237
306,-0.060906,-1.913384,1.714649
307,-0.014668,-0.000324,0.747442
308,0.014519,0.982614,-5.953032
309,0.144761,6.312598,-2.530118
310,0.083113,3.243442,-2.897547
311,0.067868,2.422177,1.207835
312,0.057942,3.321177,1.083998
313,-0.074153,-2.330738,3.093483
314,0.056050,2.080310,-1.019354
315,0.200339,8.588289,-4.056587
316,0.241730,10.802310,-9.898215
317,0.058082,1.835892,-0.572460
318,0.028655,1.185071,1.245848
319,0.095609,4.633906,-1.386203
320,0.095628,3.598963,-2.212555
321,0.041139,1.380609,2.191342
322,0.068585,1.939470,-7.501910
323,0.128673,5.212156,0.561353
324,-0.094003,-3.417230,11.946116
325,-0.037333,-1.357946,2.313856
326,-0.012626,-0.517689,0.000000
327,0.062699,2.644893,2.819853
328,0.051685,2.827299,-1.024645
329,0.036204,1.811181,-5.374675
330,-0.049704,-1.584003,-2.279438
331,0.072311,3.354571,1.103812
332,0.093705,3.078446,0.974026
333,-0.047644,-1.746581,-1.146294
334,0.023196,0.955525,-3.218066
335,-0.039625,-1.105251,3.084754
336,0.097194,4.204406,-1.811569
337,0.129298,5.599476,-1.386335
338,-0.068014,-3.323279,4.112095
339,0.042910,1.303133,0.931604
340,-0.090712,-4.367165,-5.731064
341,-0.042739,-1.590268,0.981111
342,0.020934,0.959252,0.320715
343,-0.019561,-0.621589,-0.255330
344,-0.067964,-3.755010,3.889000
345,0.041079,1.573194,-8.154192
346,0.053282,1.813515,2.036745
347,-0.034948,-1.227690,1.591266
348,0.288680,8.566434,-14.003157
349,0.048005,1.830440,2.789958
350,0.078763,4.171857,4.284279
351,-0.143486,-5.380265,1.717560
352,0.084437,3.467672,-4.639958
353,0.087353,3.383968,-2.141771
354,-0.041294,-1.487456,2.087997
355,-0.046012,-1.361453,1.440160
356,0.030180,1.221479,2.938817
357,0.076092,3.135974,-0.000000
358,0.017271,1.332508,-0.000000
359,0.019828,0.732828,2.932638
360,-0.026004,-0.973534,-1.906099
361,-0.009391,-0.312250,0.000000
362,0.055852,1.148518,-2.062522
363,-0.109264,-3.663749,6.117024
364,-0.015697,-0.417530,-3.062894
365,-0.040722,-1.471556,1.640542
366,0.025024,1.272113,-1.629211
367,-0.039255,-1.944057,5.030877
368,-0.129698,-4.117316,3.789048
369,-0.147625,-5.794029,6.679003
