fold_id,target,model,train_start,train_end,test_start,test_end,train_n,train_pos,test_n,test_pos,logloss,brier,auc
4,hard,DD_ONLY,2020-12-22,2023-12-18,2023-12-22,2024-06-18,375,69,76,14,0.4856010923881405,0.15164461807217008,0.5725806451612904
4,hard,CORE4,2020-12-22,2023-12-18,2023-12-22,2024-06-18,375,69,76,14,0.48910982527235813,0.15297819025687912,0.5576036866359447
4,hard,EXPANDED7,2020-12-22,2023-12-18,2023-12-22,2024-06-18,375,69,76,14,0.4915662677449614,0.15402945463095533,0.5311059907834101
5,hard,PRIOR,2021-06-20,2024-06-15,2024-06-19,2024-12-15,348,62,98,29,0.6486276622961328,0.22221750372761073,0.4147926036981509
5,hard,DD_ONLY,2021-06-20,2024-06-15,2024-06-19,2024-12-15,348,62,98,29,0.6486544352311934,0.22173236085674886,0.5602198900549725
5,hard,CORE4,2021-06-20,2024-06-15,2024-06-19,2024-12-15,348,62,98,29,0.6148246409364541,0.21005143019708591,0.6446776611694153
5,hard,EXPANDED7,2021-06-20,2024-06-15,2024-06-19,2024-12-15,348,62,98,29,0.6467449292265973,0.21772910506068374,0.5552223888055972
6,hard,PRIOR,2021-12-17,2024-12-12,2024-12-16,2025-06-13,367,84,60,14,0.5433286401313151,0.17890869583509664,0.38819875776397517
6,hard,DD_ONLY,2021-12-17,2024-12-12,2024-12-16,2025-06-13,367,84,60,14,0.5577115248706799,0.18459991952486823,0.4829192546583851
6,hard,CORE4,2021-12-17,2024-12-12,2024-12-16,2025-06-13,367,84,60,14,0.5874167193219912,0.19575473366914603,0.39596273291925466
6,hard,EXPANDED7,2021-12-17,2024-12-12,2024-12-16,2025-06-13,367,84,60,14,0.5897322464969829,0.19673783589544727,0.38198757763975155
7,hard,PRIOR,2022-06-15,2025-06-10,2025-06-14,2025-12-10,393,84,43,8,0.48279847042350305,0.15220016180550003,0.85
7,hard,DD_ONLY,2022-06-15,2025-06-10,2025-06-14,2025-12-10,393,84,43,8,0.49573121086097666,0.15748368595906015,0.49642857142857144
7,hard,CORE4,2022-06-15,2025-06-10,2025-06-14,2025-12-10,393,84,43,8,0.4791529074673927,0.1513436883941025,0.5571428571428572
7,hard,EXPANDED7,2022-06-15,2025-06-10,2025-06-14,2025-12-10,393,84,43,8,0.5048654365538262,0.16255626015945965,0.5142857142857142
