config_id,mechanism_type,candidate_id,cost_bps_rt,agg_cagr,agg_sharpe,agg_mdd,total_entries,avg_exposure,discovery_years,entries_per_year,calmar_50bps,pass_cagr,pass_mdd,pass_entries,pass_exposure,pass_all,fail_reasons
C001,C_compression_breakout,C_D1ROC_H4CMP_1HBRK,50,0.661037705816,1.56166667054,0.287687137566,8,0.2765457099,3.4962354551676933,2.2881754111198123,2.29776593909885,True,True,False,True,False,"entries/year outside [6,80]"
C004,C_compression_breakout,C_D1ROC_H4CMP_1HBRK,50,0.620634101107,1.49051889034,0.287687137566,12,0.282326811902,3.4962354551676933,3.432263116679718,2.1573230779725656,True,True,False,True,False,"entries/year outside [6,80]"
C003,C_compression_breakout,C_D1ROC_H4CMP_1HBRK,50,0.619300210085,1.488232355,0.287687137566,14,0.282424796682,3.4962354551676933,4.004306969459671,2.1526864750528607,True,True,False,True,False,"entries/year outside [6,80]"
C006,C_compression_breakout,C_D1ROC_H4CMP_1HBRK,50,0.477111605144,1.20931824458,0.499385016755,17,0.293105137669,3.4962354551676933,4.862372748629601,0.9553983182039931,True,False,False,True,False,"mdd>0.45; entries/year outside [6,80]"
C005,C_compression_breakout,C_D1ROC_H4CMP_1HBRK,50,0.464281819864,1.18474842154,0.508171899243,19,0.29493418689,3.4962354551676933,5.434416601409554,0.913631431717533,True,False,False,True,False,"mdd>0.45; entries/year outside [6,80]"
C008,C_compression_breakout,C_D1ROC_H4CMP_1HBRK,50,0.448987123916,1.15793848153,0.51921698849,23,0.295456772381,3.4962354551676933,6.57850430696946,0.864738893120111,True,False,True,True,False,mdd>0.45
C007,C_compression_breakout,C_D1ROC_H4CMP_1HBRK,50,0.438772633113,1.13803629377,0.521302946951,25,0.296828559297,3.4962354551676933,7.1505481597494125,0.8416845438517012,True,False,True,True,False,mdd>0.45
A007,A_slow_trend_state,A_D1EMA_H4STATE_DD,50,0.26193642252,0.784061883651,0.469076857265,176,0.338598094244,3.4962354551676933,50.339859044635865,0.5584083257640268,True,False,True,True,False,mdd>0.45
A002,A_slow_trend_state,A_D1EMA_H4STATE_DD,50,0.232550638191,0.728838473999,0.466376333504,229,0.347343688813,3.4962354551676933,65.49902114330462,0.498633016911021,True,False,True,True,False,mdd>0.45
A008,A_slow_trend_state,A_D1EMA_H4STATE_DD,50,0.2401329699,0.730701339963,0.505346180909,187,0.357003002219,3.4962354551676933,53.48610023492561,0.4751850888989737,True,False,True,True,False,mdd>0.45
A001,A_slow_trend_state,A_D1EMA_H4STATE_DD,50,0.222972050304,0.713834928131,0.489348229843,228,0.342644563373,3.4962354551676933,65.21299921691464,0.45565108179820574,True,False,True,True,False,mdd>0.45
A005,A_slow_trend_state,A_D1EMA_H4STATE_DD,50,0.214197347834,0.674244003197,0.511672183626,189,0.367184440674,3.4962354551676933,54.058144087705564,0.41862222471441735,True,False,True,True,False,mdd>0.45
A003,A_slow_trend_state,A_D1EMA_H4STATE_DD,50,0.197141774056,0.668634719729,0.488630191101,215,0.313405560632,3.4962354551676933,61.49471417384495,0.4034580295003727,True,False,True,True,False,mdd>0.45
A006,A_slow_trend_state,A_D1EMA_H4STATE_DD,50,0.187694368055,0.617334030959,0.51030299169,191,0.372014097376,3.4962354551676933,54.63018794048551,0.3678096564423455,True,False,True,True,False,mdd>0.45
B006,B_pullback_continuation,B_D1RNG_H4PB_1HBRK,50,0.15927209074,0.59745286475,0.454768969002,76,0.27755821929,3.4962354551676933,21.737666405638215,0.3502263821771436,True,False,True,True,False,mdd>0.45
B011,B_pullback_continuation,B_D1RNG_H4PB_1HBRK,50,0.106529653344,0.547483205044,0.305035559164,41,0.118757552993,3.4962354551676933,11.726898981989038,0.34923683532491095,True,True,True,False,False,"exposure outside [0.15,0.90]"
B012,B_pullback_continuation,B_D1RNG_H4PB_1HBRK,50,0.0955179024357,0.497679083563,0.337325610558,40,0.123820099944,3.4962354551676933,11.44087705559906,0.2831623198656498,True,True,True,False,False,"exposure outside [0.15,0.90]"
B015,B_pullback_continuation,B_D1RNG_H4PB_1HBRK,50,0.0787932469264,0.424473465831,0.343482987588,56,0.146323937682,3.4962354551676933,16.017227877838685,0.22939490389233105,True,True,True,False,False,"exposure outside [0.15,0.90]"
B008,B_pullback_continuation,B_D1RNG_H4PB_1HBRK,50,0.0326060084284,0.258291368847,0.495890038574,72,0.231734003985,3.4962354551676933,20.593578700078307,0.06575249731203124,True,False,True,True,False,mdd>0.45
B007,B_pullback_continuation,B_D1RNG_H4PB_1HBRK,50,-0.00211297661439,0.143399463365,0.463807354579,78,0.193781232649,3.4962354551676933,22.309710258418168,-0.004555720372972434,False,False,True,True,False,cagr<=0; mdd>0.45
