removal_index,removal_pct,removed_episode_id,removed_entry_time,removed_exit_time,removed_trade_pnl_usd,removed_trade_return_pct,removed_native_positive_contribution_rank,cumulative_removed_pnl_usd,cumulative_removed_share_of_total_net_pnl,remaining_terminal_value,remaining_cagr,remaining_sharpe,remaining_net_pnl,marginal_terminal_damage,marginal_cagr_damage,marginal_sharpe_damage
16,8.33,70,2021-07-25T12:00:00Z,2021-08-02T20:00:00Z,11166.92,13.66472,16,393631.96,180.1686,-165152.18,-100.0,0.188814,-175152.18,11166.92,0.0,0.053724
17,8.85,118,2023-06-20T12:00:00Z,2023-06-29T00:00:00Z,10219.15,11.555361,17,403851.11,184.846,-175371.32,-100.0,0.142391,-185371.32,10219.14,0.0,0.046423
18,9.38,164,2024-11-26T16:00:00Z,2024-12-09T12:00:00Z,10069.14,5.472832,18,413920.25,189.4547,-185440.47,-100.0,0.119956,-195440.47,10069.15,0.0,0.022435
19,9.9,12,2019-06-13T04:00:00Z,2019-06-27T16:00:00Z,9486.59,46.082022,19,423406.84,193.7968,-194927.06,-100.0,-0.081033,-204927.06,9486.59,0.0,0.200989
20,10.42,55,2020-10-29T16:00:00Z,2020-11-26T08:00:00Z,8507.29,30.801606,20,431914.14,197.6907,-203434.35,-100.0,-0.244727,-213434.35,8507.29,0.0,0.163694
21,10.94,189,2026-01-09T00:00:00Z,2026-01-18T08:00:00Z,8108.54,4.103626,21,440022.68,201.402,-211542.89,-100.0,-0.266125,-221542.89,8108.54,0.0,0.021398
22,11.46,161,2024-10-13T08:00:00Z,2024-10-23T08:00:00Z,7771.58,6.166557,22,447794.26,204.9591,-219314.47,-100.0,-0.29875,-229314.47,7771.58,0.0,0.032625
23,11.98,89,2022-07-27T08:00:00Z,2022-08-01T20:00:00Z,7755.99,7.324028,23,455550.25,208.5091,-227070.46,-100.0,-0.338077,-237070.46,7755.99,0.0,0.039327
24,12.5,78,2021-11-06T20:00:00Z,2021-11-12T08:00:00Z,6699.41,5.204465,24,462249.65,211.5755,-233769.87,-100.0,-0.365937,-243769.87,6699.41,0.0,0.02786
25,13.02,184,2025-10-01T16:00:00Z,2025-10-08T00:00:00Z,6646.28,3.122713,25,468895.93,214.6175,-240416.14,-100.0,-0.382519,-250416.14,6646.27,0.0,0.016582
26,13.54,112,2023-04-09T04:00:00Z,2023-04-17T08:00:00Z,6071.87,6.247293,26,474967.8,217.3967,-246488.02,-100.0,-0.416526,-256488.02,6071.88,0.0,0.034007
27,14.06,165,2024-12-09T20:00:00Z,2024-12-19T00:00:00Z,5712.91,3.022007,27,480680.71,220.0115,-252200.92,-100.0,-0.432715,-262200.92,5712.9,0.0,0.016189
28,14.58,7,2019-04-27T00:00:00Z,2019-05-17T04:00:00Z,5179.82,37.897776,28,485860.53,222.3824,-257380.75,-100.0,-0.73317,-267380.75,5179.83,0.0,0.300455
29,15.1,36,2020-04-23T12:00:00Z,2020-05-10T04:00:00Z,4690.91,20.628462,29,490551.44,224.5294,-262071.65,-100.0,-0.909461,-272071.65,4690.9,0.0,0.176291
30,15.62,67,2021-04-08T20:00:00Z,2021-04-17T12:00:00Z,4519.97,5.253101,30,495071.4,226.5983,-266591.62,-100.0,-0.947997,-276591.62,4519.97,0.0,0.038536
31,16.15,54,2020-10-09T00:00:00Z,2020-10-29T12:00:00Z,4453.4,19.222683,31,499524.81,228.6366,-271045.02,-100.0,-1.136643,-281045.02,4453.4,0.0,0.188646
32,16.67,168,2025-01-16T04:00:00Z,2025-01-23T12:00:00Z,4234.83,2.274647,32,503759.64,230.5749,-275279.85,-100.0,-1.154142,-285279.85,4234.83,0.0,0.017499
33,17.19,56,2020-11-27T20:00:00Z,2020-12-08T12:00:00Z,4086.45,11.440252,33,507846.09,232.4453,-279366.3,-100.0,-1.263226,-289366.3,4086.45,0.0,0.109084
34,17.71,72,2021-08-18T16:00:00Z,2021-08-25T00:00:00Z,4060.15,3.838405,34,511906.24,234.3037,-283426.45,-100.0,-1.295365,-293426.45,4060.15,0.0,0.032139
35,18.23,149,2024-05-29T20:00:00Z,2024-06-08T12:00:00Z,3952.47,2.914614,35,515858.71,236.1128,-287378.92,-100.0,-1.319496,-297378.92,3952.47,0.0,0.024131
36,18.75,29,2020-01-24T08:00:00Z,2020-02-11T04:00:00Z,3668.47,16.495145,36,519527.18,237.7919,-291047.4,-100.0,-1.515798,-301047.4,3668.48,0.0,0.196302
37,19.27,147,2024-05-16T08:00:00Z,2024-05-23T16:00:00Z,3629.49,2.717392,37,523156.68,239.4531,-294676.89,-100.0,-1.540625,-304676.89,3629.49,0.0,0.024827
38,19.79,110,2023-03-14T16:00:00Z,2023-03-27T16:00:00Z,3327.84,3.688815,38,526484.52,240.9763,-298004.74,-100.0,-1.575528,-308004.74,3327.85,0.0,0.034903
