n_threshold,trigger_trade_episode_id,trigger_trade_exit_time,skipped_trade_episode_id,skipped_trade_entry_time,skipped_trade_exit_time,skipped_trade_was_win,skipped_trade_return_pct,skipped_trade_pnl_usd,skipped_trade_native_positive_contribution_rank,skipped_trade_unit_size_positive_contribution_rank,native_top1_flag,native_top3_flag,native_top5_flag,native_top10_flag,unit_size_top1_flag,unit_size_top3_flag,unit_size_top5_flag,unit_size_top10_flag
2,69,2021-05-12T20:00:00Z,70,2021-07-25T12:00:00Z,2021-08-02T20:00:00Z,1,13.66472,11166.922225,16,20,0,0,0,0,0,0,0,0
2,74,2021-09-20T04:00:00Z,75,2021-10-02T12:00:00Z,2021-10-22T00:00:00Z,1,30.168591,31613.434453,4,9,0,0,1,1,0,0,0,1
2,77,2021-11-06T08:00:00Z,78,2021-11-06T20:00:00Z,2021-11-12T08:00:00Z,1,5.204465,6699.406143,24,36,0,0,0,0,0,0,0,0
2,80,2021-12-28T16:00:00Z,81,2022-02-05T20:00:00Z,2022-02-12T16:00:00Z,1,1.191136,1289.487722,54,60,0,0,0,0,0,0,0,0
2,83,2022-03-04T16:00:00Z,84,2022-03-17T16:00:00Z,2022-03-31T20:00:00Z,1,11.501257,12908.315262,13,23,0,0,0,0,0,0,0,0
2,86,2022-04-09T00:00:00Z,87,2022-07-18T08:00:00Z,2022-07-23T12:00:00Z,0,-0.27001,-483.743953,98,85,0,0,0,0,0,0,0,0
2,93,2022-09-13T16:00:00Z,94,2022-09-13T20:00:00Z,2022-09-15T16:00:00Z,0,-2.893608,-3104.406594,149,137,0,0,0,0,0,0,0,0
2,100,2022-12-12T08:00:00Z,101,2022-12-12T12:00:00Z,2022-12-15T16:00:00Z,1,2.378876,2011.46163,46,54,0,0,0,0,0,0,0,0
2,105,2023-02-09T20:00:00Z,106,2023-02-16T04:00:00Z,2023-02-17T00:00:00Z,0,-5.098208,-6092.570641,174,174,0,0,0,0,0,0,0,0
2,108,2023-02-25T00:00:00Z,109,2023-02-26T20:00:00Z,2023-03-03T04:00:00Z,0,-5.209658,-5333.67945,167,176,0,0,0,0,0,0,0,0
2,114,2023-04-22T00:00:00Z,115,2023-04-30T08:00:00Z,2023-05-01T16:00:00Z,0,-3.936507,-4073.396944,155,158,0,0,0,0,0,0,0,0
2,117,2023-05-31T16:00:00Z,118,2023-06-20T12:00:00Z,2023-06-29T00:00:00Z,1,11.555361,10219.145792,17,22,0,0,0,0,0,0,0,0
2,120,2023-07-10T08:00:00Z,121,2023-07-10T20:00:00Z,2023-07-14T20:00:00Z,0,-2.537147,-2618.701552,144,134,0,0,0,0,0,0,0,0
2,123,2023-09-22T00:00:00Z,124,2023-09-24T20:00:00Z,2023-09-26T00:00:00Z,0,-0.744587,-827.744715,109,96,0,0,0,0,0,0,0,0
2,127,2023-10-13T04:00:00Z,128,2023-10-16T16:00:00Z,2023-11-14T20:00:00Z,1,25.510553,22961.883506,8,11,0,0,0,1,0,0,0,0
2,130,2023-11-22T00:00:00Z,131,2023-11-22T04:00:00Z,2023-11-27T12:00:00Z,1,1.599676,1578.74406,50,58,0,0,0,0,0,0,0,0
2,137,2024-01-15T00:00:00Z,138,2024-01-30T12:00:00Z,2024-03-05T20:00:00Z,1,40.770437,49482.891782,2,4,0,1,1,1,0,0,1,1
2,141,2024-03-23T12:00:00Z,142,2024-03-25T04:00:00Z,2024-04-01T16:00:00Z,1,1.114791,1463.270146,53,61,0,0,0,0,0,0,0,0
2,156,2024-09-16T16:00:00Z,157,2024-09-16T20:00:00Z,2024-09-30T12:00:00Z,1,9.919836,12871.407504,14,26,0,0,0,0,0,0,0,0
2,159,2024-10-04T04:00:00Z,160,2024-10-07T04:00:00Z,2024-10-09T20:00:00Z,0,-4.12473,-5777.040114,170,164,0,0,0,0,0,0,0,0
2,167,2025-01-07T16:00:00Z,168,2025-01-16T04:00:00Z,2025-01-23T12:00:00Z,1,2.274647,4234.826389,32,55,0,0,0,0,0,0,0,0
2,170,2025-02-01T20:00:00Z,171,2025-03-27T04:00:00Z,2025-03-28T16:00:00Z,0,-4.319547,-8712.668803,187,168,0,0,0,0,0,0,0,0
2,175,2025-06-05T16:00:00Z,176,2025-06-09T00:00:00Z,2025-06-12T12:00:00Z,1,0.901651,1661.49828,49,67,0,0,0,0,0,0,0,0
2,178,2025-07-01T16:00:00Z,179,2025-07-02T16:00:00Z,2025-07-15T04:00:00Z,1,7.519603,15844.199025,11,27,0,0,0,0,0,0,0,0
2,181,2025-08-01T00:00:00Z,182,2025-08-09T16:00:00Z,2025-08-14T16:00:00Z,1,0.965419,1800.842892,47,64,0,0,0,0,0,0,0,0
2,186,2025-10-29T20:00:00Z,187,2025-10-30T04:00:00Z,2025-10-30T12:00:00Z,0,-1.131818,-2666.441998,146,108,0,0,0,0,0,0,0,0
2,191,2026-01-20T20:00:00Z,192,2026-01-21T08:00:00Z,2026-01-21T16:00:00Z,1,1.001732,1679.151003,48,63,0,0,0,0,0,0,0,0
3,19,2019-09-11T12:00:00Z,20,2019-09-14T16:00:00Z,2019-09-16T20:00:00Z,0,-2.477486,-609.375716,101,131,0,0,0,0,0,0,0,0
3,23,2019-11-12T04:00:00Z,24,2019-12-25T12:00:00Z,2019-12-25T16:00:00Z,0,-0.577875,-156.076093,84,95,0,0,0,0,0,0,0,0
3,32,2020-02-25T16:00:00Z,33,2020-04-03T16:00:00Z,2020-04-10T12:00:00Z,1,2.548915,572.729656,66,50,0,0,0,0,0,0,0,0
3,40,2020-06-02T16:00:00Z,41,2020-06-04T00:00:00Z,2020-06-11T20:00:00Z,0,-4.17877,-1159.597644,119,165,0,0,0,0,0,0,0,0
3,44,2020-07-10T08:00:00Z,45,2020-07-11T00:00:00Z,2020-07-11T12:00:00Z,0,-1.145009,-300.03253,91,109,0,0,0,0,0,0,0,0
3,53,2020-10-02T08:00:00Z,54,2020-10-09T00:00:00Z,2020-10-29T12:00:00Z,1,19.222683,4453.404048,31,13,0,0,0,0,0,0,0,0
3,60,2021-02-01T16:00:00Z,61,2021-02-02T04:00:00Z,2021-02-23T08:00:00Z,1,47.65338,30715.211499,5,2,0,0,1,1,0,1,1,1
3,66,2021-04-07T12:00:00Z,67,2021-04-08T20:00:00Z,2021-04-17T12:00:00Z,1,5.253101,4519.966216,30,35,0,0,0,0,0,0,0,0
3,87,2022-07-23T12:00:00Z,88,2022-07-24T00:00:00Z,2022-07-26T00:00:00Z,0,-5.257612,-6189.705133,175,178,0,0,0,0,0,0,0,0
3,94,2022-09-15T16:00:00Z,95,2022-10-05T04:00:00Z,2022-10-07T20:00:00Z,0,-3.814733,-3915.085266,154,154,0,0,0,0,0,0,0,0
3,106,2023-02-17T00:00:00Z,107,2023-02-18T00:00:00Z,2023-02-22T16:00:00Z,0,-3.666044,-4191.615356,158,151,0,0,0,0,0,0,0,0
3,115,2023-05-01T16:00:00Z,116,2023-05-04T04:00:00Z,2023-05-08T00:00:00Z,0,-2.486741,-2517.333078,143,132,0,0,0,0,0,0,0,0
3,121,2023-07-14T20:00:00Z,122,2023-07-15T00:00:00Z,2023-07-20T00:00:00Z,0,-1.525959,-1587.143281,127,116,0,0,0,0,0,0,0,0
3,160,2024-10-09T20:00:00Z,161,2024-10-13T08:00:00Z,2024-10-23T08:00:00Z,1,6.166557,7771.579213,22,32,0,0,0,0,0,0,0,0
3,171,2025-03-28T16:00:00Z,172,2025-04-14T20:00:00Z,2025-05-05T00:00:00Z,1,10.793502,19790.714513,9,25,0,0,0,1,0,0,0,0
3,187,2025-10-30T12:00:00Z,188,2026-01-03T04:00:00Z,2026-01-08T04:00:00Z,1,0.344022,397.309446,70,73,0,0,0,0,0,0,0,0
4,20,2019-09-16T20:00:00Z,21,2019-10-27T00:00:00Z,2019-11-01T04:00:00Z,0,-1.993392,-483.344571,97,124,0,0,0,0,0,0,0,0
4,25,2019-12-31T16:00:00Z,26,2020-01-05T00:00:00Z,2020-01-10T00:00:00Z,1,6.090815,1236.720113,56,33,0,0,0,0,0,0,0,0
4,41,2020-06-11T20:00:00Z,42,2020-06-13T00:00:00Z,2020-06-15T00:00:00Z,0,-1.495258,-421.08755,95,115,0,0,0,0,0,0,0,0
4,88,2022-07-26T00:00:00Z,89,2022-07-27T08:00:00Z,2022-08-01T20:00:00Z,1,7.324028,7755.98993,23,28,0,0,0,0,0,0,0,0
4,95,2022-10-07T20:00:00Z,96,2022-10-09T12:00:00Z,2022-10-09T16:00:00Z,1,0.145814,-4.177513,78,78,0,0,0,0,0,0,0,0
4,107,2023-02-22T16:00:00Z,108,2023-02-23T04:00:00Z,2023-02-25T00:00:00Z,0,-5.385974,-5840.238712,171,179,0,0,0,0,0,0,0,0
4,116,2023-05-08T00:00:00Z,117,2023-05-30T00:00:00Z,2023-05-31T16:00:00Z,0,-3.167713,-3079.393562,148,145,0,0,0,0,0,0,0,0
4,122,2023-07-20T00:00:00Z,123,2023-09-17T12:00:00Z,2023-09-22T00:00:00Z,0,-0.194541,-320.507375,92,83,0,0,0,0,0,0,0,0
5,21,2019-11-01T04:00:00Z,22,2019-11-01T08:00:00Z,2019-11-08T12:00:00Z,0,-1.0022,-253.907082,87,105,0,0,0,0,0,0,0,0
5,42,2020-06-15T00:00:00Z,43,2020-06-23T20:00:00Z,2020-06-24T16:00:00Z,0,-4.237869,-1102.831787,118,166,0,0,0,0,0,0,0,0
5,108,2023-02-25T00:00:00Z,109,2023-02-26T20:00:00Z,2023-03-03T04:00:00Z,0,-5.209658,-5333.67945,167,176,0,0,0,0,0,0,0,0
5,117,2023-05-31T16:00:00Z,118,2023-06-20T12:00:00Z,2023-06-29T00:00:00Z,1,11.555361,10219.145792,17,22,0,0,0,0,0,0,0,0
5,123,2023-09-22T00:00:00Z,124,2023-09-24T20:00:00Z,2023-09-26T00:00:00Z,0,-0.744587,-827.744715,109,96,0,0,0,0,0,0,0,0
