days,total_return,CAGR,Sharpe,MDD,Exposure,Turnover,TradesEst,name,family,pos_fold_sharpe_frac,pos_fold_cagr_frac,worst_fold_sharpe,worst_fold_cagr,folds,gate_feature,pull_feature,hold
1095,0.8948953614140394,0.23745213953084088,0.9966047494368757,-0.23734167329307854,0.09552102376599635,66.0,33.0,P_d1_dist_mean_17_ret_7_h19,B_plateau,0.6666666666666666,0.6666666666666666,-1.8214220963091998,-0.21489278714566173,6,d1_dist_mean_17,ret_7,19
1095,1.0201104363353228,0.26412990129653524,0.9773178679908443,-0.3345087927102752,0.13010359536867763,59.0,29.5,P_d1_dist_mean_17_ret_7_h29,B_plateau,0.6666666666666666,0.6666666666666666,-2.357970886369544,-0.28391636780245677,6,d1_dist_mean_17,ret_7,29
1095,0.7429492638082087,0.2034505463317402,0.9567584608248613,-0.19943550791819797,0.09902498476538696,55.0,27.5,P_d1_dist_mean_25_ret_6_h24,B_plateau,0.6666666666666666,0.6666666666666666,-1.3814678716283433,-0.08144491174184554,6,d1_dist_mean_25,ret_6,24
1095,0.9833387059173955,0.25641263681104043,0.9466278070153481,-0.39544149651723937,0.1476234003656307,67.0,33.5,P_d1_dist_mean_17_ret_5_h29,B_plateau,0.6666666666666666,0.6666666666666666,-1.5422083751459115,-0.2019308556677375,6,d1_dist_mean_17,ret_5,29
1095,0.8295565224883177,0.2230623867933108,0.9361935395189539,-0.28899651366097534,0.11365021328458257,63.0,31.5,P_d1_dist_mean_17_ret_6_h24,B_plateau,0.8333333333333334,0.6666666666666666,-1.9566656377876386,-0.24672256796036562,6,d1_dist_mean_17,ret_6,24
1095,0.8388871484015739,0.2251380432305179,0.9311543458190283,-0.3345298985991908,0.11014625228519195,61.0,30.5,P_d1_dist_mean_17_ret_7_h24,B_plateau,0.6666666666666666,0.6666666666666666,-2.3150759429716996,-0.2779772301360186,6,d1_dist_mean_17,ret_7,24
1095,0.7786420007681316,0.2116099964286644,0.8899061837480102,-0.23847726897443777,0.125533211456429,57.0,28.5,P_d1_dist_mean_25_ret_5_h29,B_plateau,0.6666666666666666,0.6666666666666666,-1.5004272749530059,-0.12726330733225766,6,d1_dist_mean_25,ret_5,29
1095,0.6518239424458279,0.18210100231389492,0.7957401103921418,-0.2398628239831163,0.10648994515539305,74.0,37.0,P_d1_dist_mean_21_ret_5_h19,B_plateau,0.6666666666666666,0.6666666666666666,-0.898266596122374,-0.12248723646322202,6,d1_dist_mean_21,ret_5,19
1095,0.6833591494062283,0.18957618535485876,0.779939677561204,-0.39483633285008934,0.13878732480195002,63.0,31.5,P_d1_dist_mean_21_ret_5_h29,B_plateau,0.6666666666666666,0.5,-0.6360060351780468,-0.11515862817265832,6,d1_dist_mean_21,ret_5,29
1095,0.4851523698332705,0.14092475744828237,0.7239248322000961,-0.20880801443746078,0.09841560024375381,68.0,34.0,P_d1_dist_mean_17_ret_6_h19,B_plateau,0.5,0.5,-1.4154778230584604,-0.17857814690916873,6,d1_dist_mean_17,ret_6,19
