feature,category,horizon_k,spearman_rho,spearman_p,binned_MI,MI_chi2_p,n_obs
d1_above_sma200,d1_regime,5,0.01527,0.036692,0.0,1.0,18712
d1_above_sma200,d1_regime,10,0.01385,0.058125,0.0,1.0,18712
d1_above_sma200,d1_regime,20,0.0084,0.250471,0.0,1.0,18712
d1_above_sma200,d1_regime,40,0.01379,0.05942,0.0,1.0,18692
d1_above_sma200,d1_regime,60,0.01252,0.087023,0.0,1.0,18672
d1_above_ema21,d1_regime,1,0.01696,0.020314,0.0,1.0,18712
d1_above_ema21,d1_regime,5,0.03113,2.1e-05,0.0,1.0,18712
d1_above_ema21,d1_regime,10,0.04714,0.0,0.0,1.0,18712
d1_above_ema21,d1_regime,20,0.04616,0.0,0.0,1.0,18712
d1_above_ema21,d1_regime,40,0.05603,0.0,0.0,1.0,18692
d1_above_ema21,d1_regime,60,0.05316,0.0,0.0,1.0,18672
