policy,family,template,support_signal,weak_q,neg_q,aggregate_sharpe,aggregate_cagr,aggregate_mdd,delta_sharpe_vs_vdo,delta_sharpe_vs_core,positive_folds_vs_vdo,positive_folds_vs_core,avg_oos_trades,avg_boundary_threshold,pass_vs_vdo
and_fresh_imb_or_altmom,unbounded_control,and_support,fresh_imb_or_altmom,,,1.0741356976454535,0.3246276430211057,-0.368953472588889,-0.05662410232675241,0.3319147651468377,1,3,29.25,,False
weakvdo_q0.3333333333333333_fresh_imb_and_altmom,bounded_veto,weak_vdo_require_support,fresh_imb_and_altmom,0.3333333333333333,,1.0739380559551301,0.3174373654988836,-0.3407499273598631,-0.05682174401707574,0.3317171234565144,1,3,27.25,0.0036387071090945616,False
weakvdo_q0.3333333333333333_ema28_net_quote_norm_28,bounded_veto,weak_vdo_require_support,ema28_net_quote_norm_28,0.3333333333333333,,1.0731421379279422,0.32188882293910104,-0.3546423597350098,-0.05761766204426366,0.33092120542932646,0,3,28.5,0.0036387071090945616,False
weakvdo_q0.5_ema12_net_quote_norm_28,bounded_veto,weak_vdo_require_support,ema12_net_quote_norm_28,0.5,,1.0578766967488484,0.3088466476629419,-0.3499091327061401,-0.07288310322335745,0.3156557642502327,3,3,27.25,0.0060018951932140924,False
and_ema12_vol_surprise_quote_28,unbounded_control,and_support,ema12_vol_surprise_quote_28,,,1.0366910579716873,0.2911800868546337,-0.3449157272355363,-0.09406874200051862,0.2944701254730715,1,3,26.0,,False
and_ema28_net_quote_norm_28,unbounded_control,and_support,ema28_net_quote_norm_28,,,1.013158719289466,0.262246679932421,-0.2575314693788868,-0.11760108068273989,0.27093778679085023,2,3,24.0,,False
weakvdo_q0.3333333333333333_at_least_two_of_three,bounded_veto,weak_vdo_require_support,at_least_two_of_three,0.3333333333333333,,0.974353096131896,0.2706728872206554,-0.3946132445111501,-0.15640670384030986,0.23213216363328026,1,3,25.5,0.0036387071090945616,False
weakneg_q0.5_activity_and_fresh_imb,bounded_rescue,weak_negative_rescue,activity_and_fresh_imb,,0.5,0.9723028937761498,0.2945712516554022,-0.4339483801068539,-0.15845690619605612,0.230081961277534,1,4,33.25,-0.00656526940851768,False
weakneg_q0.5_activity_or_altmom,bounded_rescue,weak_negative_rescue,activity_or_altmom,,0.5,0.9589325220686727,0.2913114613194847,-0.4275810991004153,-0.17182727790353314,0.21671158957005698,0,3,33.5,-0.00656526940851768,False
and_activity_and_altmom,unbounded_control,and_support,activity_and_altmom,,,0.9535823578486182,0.25295020425828096,-0.3004425880531586,-0.17717744212358766,0.21136142535000246,2,4,24.0,,False
weakneg_q0.5_ema12_vol_surprise_quote_28,bounded_rescue,weak_negative_rescue,ema12_vol_surprise_quote_28,,0.5,0.9475954222225794,0.286497696521711,-0.43318781395570827,-0.18316437774962646,0.20537448972396366,0,3,33.5,-0.00656526940851768,False
and_ema12_net_quote_norm_28,unbounded_control,and_support,ema12_net_quote_norm_28,,,0.8980717986879255,0.24124822865357065,-0.3915504439794384,-0.23268800128428035,0.15585086618930977,1,3,24.25,,False
or_activity_and_fresh_imb,or_control,or_support,activity_and_fresh_imb,,,0.8158467431596774,0.23724834393819894,-0.4943474811711539,-0.31491305681252846,0.07362581066106166,1,3,36.5,,False
or_ema12_vol_surprise_quote_28,or_control,or_support,ema12_vol_surprise_quote_28,,,0.7921691906058795,0.2285842526310673,-0.4898968267656503,-0.33859060936632634,0.04994825810726378,0,2,36.75,,False
core_ungated,control,ungated,,,,0.7422209324986158,0.2095892294117616,-0.49915883973437947,-0.3885388674735901,0.0,1,0,37.0,,False
and_at_least_two_of_three,unbounded_control,and_support,at_least_two_of_three,,,,0.0,0.0,,,0,0,0.0,,False
