policy,family,template,support_signal,weak_q,neg_q,fold,oos_sharpe,oos_cagr,oos_mdd,oos_trades,delta_sharpe_vs_vdo,delta_sharpe_vs_core,weak_thr,neg_thr
weakvdo_q0.3333333333333333_osc_12_28_net_quote_norm_28,bounded_veto,weak_vdo_require_support,osc_12_28_net_quote_norm_28,0.3333333333333333,,4,0.32708511778092436,0.04047478472375121,-0.12728076621197526,11,0.349242423085259,0.7958204163940878,0.0036227697907858666,
weakvdo_q0.3333333333333333_ema12_net_quote_norm_28,bounded_veto,weak_vdo_require_support,ema12_net_quote_norm_28,0.3333333333333333,,1,0.5559673536632442,0.13565631631193242,-0.3523043730480512,29,-0.05071210593388875,0.5906878611107294,0.004185087373277126,
weakvdo_q0.3333333333333333_ema12_net_quote_norm_28,bounded_veto,weak_vdo_require_support,ema12_net_quote_norm_28,0.3333333333333333,,2,1.6563222678054352,0.6229860328489925,-0.24151956387821694,42,0.11881667028912068,0.11113478160970613,0.0034459601248280677,
weakvdo_q0.3333333333333333_ema12_net_quote_norm_28,bounded_veto,weak_vdo_require_support,ema12_net_quote_norm_28,0.3333333333333333,,3,1.6061141679830777,0.5397144163255283,-0.17375207467623555,28,-0.21245916527463127,0.41183947963546386,0.003301011147487187,
weakvdo_q0.3333333333333333_ema12_net_quote_norm_28,bounded_veto,weak_vdo_require_support,ema12_net_quote_norm_28,0.3333333333333333,,4,0.2953625560367888,0.03516193545142321,-0.13024601316346707,11,0.3175198613411234,0.7640978546499523,0.0036227697907858666,
weakvdo_q0.3333333333333333_late_and_low_activity,bounded_veto,weak_vdo_require_support,late_and_low_activity,0.3333333333333333,,1,0.58737192027317,0.14909061983232164,-0.3709870465344203,31,-0.019307539323963008,0.6220924277206551,0.004185087373277126,
weakvdo_q0.3333333333333333_late_and_low_activity,bounded_veto,weak_vdo_require_support,late_and_low_activity,0.3333333333333333,,2,1.5786600081901037,0.603522530995279,-0.30918733110768204,46,0.04115441067378911,0.03347252199437456,0.0034459601248280677,
weakvdo_q0.3333333333333333_late_and_low_activity,bounded_veto,weak_vdo_require_support,late_and_low_activity,0.3333333333333333,,3,1.7667782788683761,0.627296279602666,-0.13236946834247332,28,-0.05179505438933285,0.5725035905207623,0.003301011147487187,
weakvdo_q0.3333333333333333_late_and_low_activity,bounded_veto,weak_vdo_require_support,late_and_low_activity,0.3333333333333333,,4,-0.022157305304334646,-0.01664756943298129,-0.12477834959494816,12,0.0,0.44657799330882886,0.0036227697907858666,
weakvdo_q0.3333333333333333_late_net_and_low_activity,bounded_veto,weak_vdo_require_support,late_net_and_low_activity,0.3333333333333333,,1,0.58737192027317,0.14909061983232164,-0.3709870465344203,31,-0.019307539323963008,0.6220924277206551,0.004185087373277126,
weakvdo_q0.3333333333333333_late_net_and_low_activity,bounded_veto,weak_vdo_require_support,late_net_and_low_activity,0.3333333333333333,,2,1.5786600081901037,0.603522530995279,-0.30918733110768204,46,0.04115441067378911,0.03347252199437456,0.0034459601248280677,
weakvdo_q0.3333333333333333_late_net_and_low_activity,bounded_veto,weak_vdo_require_support,late_net_and_low_activity,0.3333333333333333,,3,1.7667782788683761,0.627296279602666,-0.13236946834247332,28,-0.05179505438933285,0.5725035905207623,0.003301011147487187,
weakvdo_q0.3333333333333333_late_net_and_low_activity,bounded_veto,weak_vdo_require_support,late_net_and_low_activity,0.3333333333333333,,4,-0.022157305304334646,-0.01664756943298129,-0.12477834959494816,12,0.0,0.44657799330882886,0.0036227697907858666,
weakvdo_q0.3333333333333333_low_activity_and_no_altmom,bounded_veto,weak_vdo_require_support,low_activity_and_no_altmom,0.3333333333333333,,1,0.5460616579574737,0.13362176836232553,-0.3719964251130443,31,-0.06061780163965924,0.5807821654049589,0.004185087373277126,
weakvdo_q0.3333333333333333_low_activity_and_no_altmom,bounded_veto,weak_vdo_require_support,low_activity_and_no_altmom,0.3333333333333333,,2,1.5125163981463645,0.5670147966862704,-0.3141228508165954,45,-0.024989199369950033,-0.03267108804936458,0.0034459601248280677,
weakvdo_q0.3333333333333333_low_activity_and_no_altmom,bounded_veto,weak_vdo_require_support,low_activity_and_no_altmom,0.3333333333333333,,3,1.8093877975141706,0.6470088108356555,-0.13236946834247354,28,-0.00918553574353842,0.6151131091665567,0.003301011147487187,
weakvdo_q0.3333333333333333_low_activity_and_no_altmom,bounded_veto,weak_vdo_require_support,low_activity_and_no_altmom,0.3333333333333333,,4,0.3539490211492046,0.044965465404561034,-0.12477834959494816,11,0.37610632645353925,0.8226843197623681,0.0036227697907858666,
weakvdo_q0.3333333333333333_activity_or_fresh_imb,bounded_veto,weak_vdo_require_support,activity_or_fresh_imb,0.3333333333333333,,1,0.58737192027317,0.14909061983232164,-0.3709870465344203,31,-0.019307539323963008,0.6220924277206551,0.004185087373277126,
weakvdo_q0.3333333333333333_activity_or_fresh_imb,bounded_veto,weak_vdo_require_support,activity_or_fresh_imb,0.3333333333333333,,2,1.5786600081901037,0.603522530995279,-0.30918733110768204,46,0.04115441067378911,0.03347252199437456,0.0034459601248280677,
weakvdo_q0.3333333333333333_activity_or_fresh_imb,bounded_veto,weak_vdo_require_support,activity_or_fresh_imb,0.3333333333333333,,3,1.7667782788683761,0.627296279602666,-0.13236946834247332,28,-0.05179505438933285,0.5725035905207623,0.003301011147487187,
weakvdo_q0.3333333333333333_activity_or_fresh_imb,bounded_veto,weak_vdo_require_support,activity_or_fresh_imb,0.3333333333333333,,4,-0.022157305304334646,-0.01664756943298129,-0.12477834959494816,12,0.0,0.44657799330882886,0.0036227697907858666,
weakvdo_q0.3333333333333333_activity_or_altmom,bounded_veto,weak_vdo_require_support,activity_or_altmom,0.3333333333333333,,1,0.5460616579574737,0.13362176836232553,-0.3719964251130443,31,-0.06061780163965924,0.5807821654049589,0.004185087373277126,
weakvdo_q0.3333333333333333_activity_or_altmom,bounded_veto,weak_vdo_require_support,activity_or_altmom,0.3333333333333333,,2,1.5125163981463645,0.5670147966862704,-0.3141228508165954,45,-0.024989199369950033,-0.03267108804936458,0.0034459601248280677,
weakvdo_q0.3333333333333333_activity_or_altmom,bounded_veto,weak_vdo_require_support,activity_or_altmom,0.3333333333333333,,3,1.8093877975141706,0.6470088108356555,-0.13236946834247354,28,-0.00918553574353842,0.6151131091665567,0.003301011147487187,
weakvdo_q0.3333333333333333_activity_or_altmom,bounded_veto,weak_vdo_require_support,activity_or_altmom,0.3333333333333333,,4,0.3539490211492046,0.044965465404561034,-0.12477834959494816,11,0.37610632645353925,0.8226843197623681,0.0036227697907858666,
weakvdo_q0.3333333333333333_activity_and_fresh_imb,bounded_veto,weak_vdo_require_support,activity_and_fresh_imb,0.3333333333333333,,1,0.6509193954722228,0.17120358058546126,-0.3333459204388465,29,0.044239935875089786,0.6856399029197079,0.004185087373277126,
weakvdo_q0.3333333333333333_activity_and_fresh_imb,bounded_veto,weak_vdo_require_support,activity_and_fresh_imb,0.3333333333333333,,2,1.43666242532552,0.5155278477379719,-0.323444971113123,43,-0.10084317219079453,-0.10852506087020908,0.0034459601248280677,
weakvdo_q0.3333333333333333_activity_and_fresh_imb,bounded_veto,weak_vdo_require_support,activity_and_fresh_imb,0.3333333333333333,,3,1.7945529244965905,0.6387892762143053,-0.13669452357361334,28,-0.02402040876111844,0.6002782361489767,0.003301011147487187,
weakvdo_q0.3333333333333333_activity_and_fresh_imb,bounded_veto,weak_vdo_require_support,activity_and_fresh_imb,0.3333333333333333,,4,0.3222358854220594,0.039629685918125324,-0.12775209903264362,11,0.344393190726394,0.7909711840352229,0.0036227697907858666,
weakvdo_q0.3333333333333333_activity_and_altmom,bounded_veto,weak_vdo_require_support,activity_and_altmom,0.3333333333333333,,1,0.5936900775998236,0.1487700797700564,-0.33526537956171054,29,-0.012989381997309368,0.6284105850473087,0.004185087373277126,
weakvdo_q0.3333333333333333_activity_and_altmom,bounded_veto,weak_vdo_require_support,activity_and_altmom,0.3333333333333333,,2,1.6146549608676446,0.6050777664659701,-0.2770220280385999,42,0.07714936335133005,0.0694674746719155,0.0034459601248280677,
weakvdo_q0.3333333333333333_activity_and_altmom,bounded_veto,weak_vdo_require_support,activity_and_altmom,0.3333333333333333,,3,1.5526056788108742,0.5135539671234639,-0.17375207467623555,28,-0.2659676544468348,0.35833099046326033,0.003301011147487187,
weakvdo_q0.3333333333333333_activity_and_altmom,bounded_veto,weak_vdo_require_support,activity_and_altmom,0.3333333333333333,,4,0.2953625560367888,0.03516193545142321,-0.13024601316346707,11,0.3175198613411234,0.7640978546499523,0.0036227697907858666,
weakvdo_q0.3333333333333333_fresh_imb_or_altmom,bounded_veto,weak_vdo_require_support,fresh_imb_or_altmom,0.3333333333333333,,1,0.6456001369188276,0.17090384650206913,-0.35295952680975096,30,0.038920677321694575,0.6803206443663127,0.004185087373277126,
weakvdo_q0.3333333333333333_fresh_imb_or_altmom,bounded_veto,weak_vdo_require_support,fresh_imb_or_altmom,0.3333333333333333,,2,1.4368664705632976,0.5294280328618222,-0.3197398675028654,47,-0.10063912695301691,-0.10832101563243146,0.0034459601248280677,
weakvdo_q0.3333333333333333_fresh_imb_or_altmom,bounded_veto,weak_vdo_require_support,fresh_imb_or_altmom,0.3333333333333333,,3,1.7667782788683761,0.627296279602666,-0.13236946834247332,28,-0.05179505438933285,0.5725035905207623,0.003301011147487187,
weakvdo_q0.3333333333333333_fresh_imb_or_altmom,bounded_veto,weak_vdo_require_support,fresh_imb_or_altmom,0.3333333333333333,,4,-0.022157305304334646,-0.01664756943298129,-0.12477834959494816,12,0.0,0.44657799330882886,0.0036227697907858666,
weakvdo_q0.3333333333333333_fresh_imb_and_altmom,bounded_veto,weak_vdo_require_support,fresh_imb_and_altmom,0.3333333333333333,,1,0.5481573171000925,0.13189811816573638,-0.3286327196624964,28,-0.058522142497040464,0.5828778245475776,0.004185087373277126,
weakvdo_q0.3333333333333333_fresh_imb_and_altmom,bounded_veto,weak_vdo_require_support,fresh_imb_and_altmom,0.3333333333333333,,2,1.5083156443028145,0.5483209419725759,-0.31508748810346543,42,-0.02918995321350004,-0.03687184189291459,0.0034459601248280677,
weakvdo_q0.3333333333333333_fresh_imb_and_altmom,bounded_veto,weak_vdo_require_support,fresh_imb_and_altmom,0.3333333333333333,,3,1.5679738127700056,0.5211453697611426,-0.16961267326014284,28,-0.2505995204877034,0.3736991244223917,0.003301011147487187,
weakvdo_q0.3333333333333333_fresh_imb_and_altmom,bounded_veto,weak_vdo_require_support,fresh_imb_and_altmom,0.3333333333333333,,4,0.32708511778092436,0.04047478472375121,-0.12728076621197526,11,0.349242423085259,0.7958204163940878,0.0036227697907858666,
weakvdo_q0.3333333333333333_all_three,bounded_veto,weak_vdo_require_support,all_three,0.3333333333333333,,1,0.536980101326532,0.12714261669403415,-0.32567755921029184,28,-0.06969935827060103,0.5717006087740171,0.004185087373277126,
weakvdo_q0.3333333333333333_all_three,bounded_veto,weak_vdo_require_support,all_three,0.3333333333333333,,2,1.5464275979774385,0.5621769425135759,-0.28451932681564873,41,0.008922000461123902,0.001240111781709352,0.0034459601248280677,
weakvdo_q0.3333333333333333_all_three,bounded_veto,weak_vdo_require_support,all_three,0.3333333333333333,,3,1.5526056788108742,0.5135539671234639,-0.17375207467623555,28,-0.2659676544468348,0.35833099046326033,0.003301011147487187,
weakvdo_q0.3333333333333333_all_three,bounded_veto,weak_vdo_require_support,all_three,0.3333333333333333,,4,0.2953625560367888,0.03516193545142321,-0.13024601316346707,11,0.3175198613411234,0.7640978546499523,0.0036227697907858666,
weakvdo_q0.3333333333333333_at_least_two_of_three,bounded_veto,weak_vdo_require_support,at_least_two_of_three,0.3333333333333333,,1,0.47459670732890197,0.10369749092030567,-0.335133902523263,24,-0.13208275226823102,0.509317214776387,0.004185087373277126,
