entry_date,exit_date,entry_open,exit_open,bars,approx_net_return_bidask
2024-11-25,2024-11-26,97900.05,93010.01,1,-0.05184751372255858
2024-12-07,2024-12-08,99740.84,99831.99,1,-0.0010859595275566347
2024-12-09,2024-12-10,101109.6,97276.48,1,-0.03983280125130162
2025-01-07,2025-01-08,102235.6,96954.6,1,-0.053549991240971484
2025-01-19,2025-01-25,104556.23,104870.51,6,0.0010018390246906428
2025-04-23,2025-05-04,93442.99,95856.42,11,0.023778227572969213
2025-05-09,2025-05-12,103261.61,104118.0,3,0.006278829353639104
2025-05-14,2025-05-17,104103.72,103463.9,3,-0.008131708251358116
2025-05-22,2025-05-24,109643.99,107318.3,2,-0.023166907532479963
2025-07-03,2025-07-04,108849.59,109584.77,1,0.004742593983031451
2025-07-11,2025-07-21,116010.01,117265.11,10,0.00879927582045803
2025-08-12,2025-08-15,118686.0,118295.09,3,-0.005285070068700715
2025-09-11,2025-09-21,113960.0,115685.63,10,0.01311416181221392
2025-10-04,2025-10-11,122232.21,112774.49,7,-0.07921842905682264
2025-10-27,2025-10-29,114559.41,112898.44,2,-0.016467798749062235
