episode_id,entry_time,exit_time,hold_bars,hold_days,exit_reason,realized_return_pct,mfe_pct,mae_pct,giveback_ratio,win_flag,unit_size_positive_contribution_rank_desc
16,2019-08-11T12:00:00Z,2019-08-13T16:00:00Z,13,2.166667,vtrend_ema21_d1_trail_stop,-4.697393,1.0355930802905726,6.03297895111544,5.535944754171184,0,150
17,2019-09-06T08:00:00Z,2019-09-09T04:00:00Z,17,2.833333,vtrend_ema21_d1_trail_stop,-4.070877,1.6713743626972108,5.934678542875096,3.435646430181296,0,141
18,2019-09-14T16:00:00Z,2019-09-16T20:00:00Z,13,2.166667,vtrend_ema21_d1_trend_exit,-2.477486,0.5000861210851835,2.7983838824896665,5.95411869184426,0,115
19,2019-10-27T00:00:00Z,2019-11-01T04:00:00Z,31,5.166667,vtrend_ema21_d1_trail_stop,-1.993392,7.17448886416446,3.530946037073167,1.2778444621967016,0,109
20,2019-11-01T08:00:00Z,2019-11-08T12:00:00Z,43,7.166667,vtrend_ema21_d1_trail_stop,-1.0022,4.448008835250587,4.5290692107219215,1.2253143006501108,0,92
21,2019-11-11T00:00:00Z,2019-11-12T04:00:00Z,7,1.166667,vtrend_ema21_d1_trend_exit,-3.506286,0.2554653871915497,4.757573098911841,14.725092226959742,0,130
22,2019-12-29T04:00:00Z,2019-12-31T16:00:00Z,15,2.5,vtrend_ema21_d1_trail_stop,-1.730321,2.9268569347177937,2.315427203856302,1.5911874200188185,0,105
23,2020-01-05T00:00:00Z,2020-01-10T00:00:00Z,30,5.0,vtrend_ema21_d1_trail_stop,6.090815,14.85359144251029,0.591533746151356,0.589943279133936,1,31
24,2020-01-10T20:00:00Z,2020-01-19T16:00:00Z,53,8.833333,vtrend_ema21_d1_trail_stop,6.896027,14.044811264300542,1.3155047990285496,0.508998243534358,1,28
25,2020-01-21T12:00:00Z,2020-01-24T04:00:00Z,16,2.666667,vtrend_ema21_d1_trail_stop,-4.075365,1.760804380471524,4.499712332661363,3.3144904937757262,0,142
26,2020-01-24T08:00:00Z,2020-02-11T04:00:00Z,107,17.833333,vtrend_ema21_d1_trail_stop,16.495145,22.057720431072,1.304328532472404,0.2521826971401894,1,15
27,2020-02-11T16:00:00Z,2020-02-16T16:00:00Z,30,5.0,vtrend_ema21_d1_trail_stop,-3.208631,3.1924040335563384,5.278021603438086,2.0050829927142977,0,129
28,2020-02-18T08:00:00Z,2020-02-20T12:00:00Z,13,2.166667,vtrend_ema21_d1_trail_stop,-2.49744,4.584437407091081,4.598586365238868,1.5447647722569031,0,117
29,2020-02-24T00:00:00Z,2020-02-25T16:00:00Z,10,1.666667,vtrend_ema21_d1_trail_stop,-5.635659,0.4389667043240803,6.689284286002824,13.838465752608213,0,161
30,2020-04-03T16:00:00Z,2020-04-10T12:00:00Z,41,6.833333,vtrend_ema21_d1_trail_stop,2.548915,11.006382834944812,1.7552686352128266,0.7684148336266025,1,48
31,2020-04-12T20:00:00Z,2020-04-15T16:00:00Z,17,2.833333,vtrend_ema21_d1_trail_stop,-5.956309,0.57051131447201,7.644686922278717,11.440299515378365,0,163
32,2020-04-15T20:00:00Z,2020-04-20T20:00:00Z,30,5.0,vtrend_ema21_d1_trail_stop,0.377498,8.258269833591497,3.9851860919495032,0.9542884880723463,1,68
33,2020-04-23T12:00:00Z,2020-05-10T04:00:00Z,100,16.666667,vtrend_ema21_d1_trail_stop,20.628462,40.97414658601522,0.4592571781950031,0.4965493190518178,1,12
34,2020-05-11T04:00:00Z,2020-05-21T16:00:00Z,63,10.5,vtrend_ema21_d1_trail_stop,4.233015,14.302933884030574,5.80059720110043,0.7040456850096873,1,35
35,2020-05-23T00:00:00Z,2020-05-25T00:00:00Z,12,2.0,vtrend_ema21_d1_trail_stop,-5.117545,1.4018443483422642,5.844233825609077,4.650580041965213,0,154
36,2020-05-28T20:00:00Z,2020-06-02T16:00:00Z,29,4.833333,vtrend_ema21_d1_trail_stop,-0.032556,9.70550662995226,2.068282809909669,1.0033543843965371,0,76
37,2020-06-04T00:00:00Z,2020-06-11T20:00:00Z,47,7.833333,vtrend_ema21_d1_trail_stop,-4.17877,3.273373622158648,5.818410420913243,2.2765942670620904,0,145
38,2020-06-23T20:00:00Z,2020-06-24T16:00:00Z,5,0.833333,vtrend_ema21_d1_trail_stop,-4.237869,0.2107593933728901,4.576972854790324,21.10761623564777,0,146
39,2020-07-09T00:00:00Z,2020-07-10T08:00:00Z,8,1.333333,vtrend_ema21_d1_trail_stop,-3.172528,0.0,3.393134007151005,,0,128
40,2020-07-11T00:00:00Z,2020-07-11T12:00:00Z,3,0.5,vtrend_ema21_d1_trend_exit,-1.145009,0.0177393366112296,1.2839901512534353,65.54632577833662,0,95
41,2020-07-25T20:00:00Z,2020-08-03T00:00:00Z,49,8.166667,vtrend_ema21_d1_trail_stop,14.214177,25.19299520118056,0.3492069350340197,0.4357885242905173,1,18
42,2020-08-03T04:00:00Z,2020-08-11T20:00:00Z,52,8.666667,vtrend_ema21_d1_trail_stop,2.047621,8.252509094657293,1.3223615755546825,0.7518789768646681,1,55
43,2020-08-12T12:00:00Z,2020-08-19T04:00:00Z,40,6.666667,vtrend_ema21_d1_trail_stop,3.080331,8.68292443300018,1.7568427805014455,0.6452426801858433,1,43
44,2020-08-19T12:00:00Z,2020-08-25T16:00:00Z,37,6.166667,vtrend_ema21_d1_trail_stop,-3.762374,0.5118518139398943,6.2118729095534615,8.350514147912754,0,133
45,2020-08-31T00:00:00Z,2020-09-02T12:00:00Z,15,2.5,vtrend_ema21_d1_trail_stop,-2.800311,2.7976554170313173,4.80073071861228,2.000949217316942,0,120
46,2020-09-18T08:00:00Z,2020-09-21T12:00:00Z,19,3.166667,vtrend_ema21_d1_trail_stop,-3.094097,1.957968300409398,6.09886885979788,2.5802589854764477,0,124
47,2020-09-28T16:00:00Z,2020-10-02T08:00:00Z,22,3.666667,vtrend_ema21_d1_trail_stop,-3.962348,0.0660269459309282,4.9372744013656185,61.01107493514956,0,140
48,2020-10-09T00:00:00Z,2020-10-29T12:00:00Z,123,20.5,vtrend_ema21_d1_trail_stop,19.222683,26.728359756132058,0.9817534424701296,0.28081321953959765,1,13
49,2020-10-29T16:00:00Z,2020-11-26T08:00:00Z,166,27.666667,vtrend_ema21_d1_trail_stop,30.801606,44.85991895298751,2.493463318839654,0.31338248666299207,1,8
50,2020-11-27T20:00:00Z,2020-12-08T12:00:00Z,64,10.666667,vtrend_ema21_d1_trail_stop,11.440252,18.24056042982591,1.1034953750869714,0.37281247229150033,1,24
51,2020-12-13T00:00:00Z,2021-01-11T08:00:00Z,176,29.333333,vtrend_ema21_d1_trail_stop,82.381517,122.8123353722246,0.6181562662708229,0.3292081226994441,1,1
52,2021-01-12T04:00:00Z,2021-01-17T08:00:00Z,31,5.166667,vtrend_ema21_d1_trail_stop,-0.83891,14.506180672644096,7.538400743635513,1.0578312113251165,0,87
53,2021-01-17T20:00:00Z,2021-01-21T12:00:00Z,22,3.666667,vtrend_ema21_d1_trail_stop,-9.797859,6.112938435283131,12.987390483067832,2.602806752223769,0,171
54,2021-02-02T04:00:00Z,2021-02-23T08:00:00Z,127,21.166667,vtrend_ema21_d1_trail_stop,47.65338,73.73294375708929,0.2609366497838867,0.3537030047655162,1,2
55,2021-02-24T00:00:00Z,2021-02-28T04:00:00Z,25,4.166667,vtrend_ema21_d1_trail_stop,-8.892181,6.338032102078728,10.627837164491156,2.402987687153489,0,170
56,2021-03-02T08:00:00Z,2021-03-16T00:00:00Z,82,13.666667,vtrend_ema21_d1_trail_stop,14.819498,27.829830487651176,4.299185829211413,0.46749593007489576,1,17
57,2021-03-18T00:00:00Z,2021-03-22T20:00:00Z,29,4.833333,vtrend_ema21_d1_trail_stop,-5.939132,1.963769773749838,9.02446403413009,4.024352487440097,0,162
58,2021-03-28T16:00:00Z,2021-04-07T12:00:00Z,59,9.833333,vtrend_ema21_d1_trail_stop,-0.264454,6.712327594878201,3.051602211849452,1.0393982558601267,0,80
59,2021-04-09T00:00:00Z,2021-04-17T12:00:00Z,51,8.5,vtrend_ema21_d1_trail_stop,4.62788,11.556407037553852,0.8284286035845164,0.5995398928956742,1,34
60,2021-05-02T16:00:00Z,2021-05-04T16:00:00Z,12,2.0,vtrend_ema21_d1_trail_stop,-5.124388,4.112191080515103,6.091242960558528,2.2461454002662995,0,155
61,2021-05-06T00:00:00Z,2021-05-12T20:00:00Z,41,6.833333,vtrend_ema21_d1_trail_stop,-5.411013,3.489850888747545,15.468794063980996,2.55049976990333,0,159
62,2021-07-25T12:00:00Z,2021-08-02T20:00:00Z,50,8.333333,vtrend_ema21_d1_trail_stop,13.66472,23.71401332033449,1.6582645048202944,0.42377024861149665,1,20
63,2021-08-04T08:00:00Z,2021-08-18T00:00:00Z,82,13.666667,vtrend_ema21_d1_trail_stop,17.917037,27.14080602051177,1.4101535202318132,0.33984875075341797,1,14
64,2021-08-18T16:00:00Z,2021-08-25T00:00:00Z,38,6.333333,vtrend_ema21_d1_trail_stop,3.838405,10.103749126507578,4.225654247435909,0.6201009197734537,1,38
65,2021-08-27T04:00:00Z,2021-09-07T16:00:00Z,69,11.5,vtrend_ema21_d1_trail_stop,-0.553987,12.910274397509008,8.589937045990197,1.0429105519327218,0,85
66,2021-09-18T08:00:00Z,2021-09-20T04:00:00Z,11,1.833333,vtrend_ema21_d1_trail_stop,-6.520204,0.3161984737146958,8.684175519814916,21.6206055437293,0,166
67,2021-10-02T12:00:00Z,2021-10-22T00:00:00Z,117,19.5,vtrend_ema21_d1_trail_stop,30.168591,40.36953320151604,1.76018236787629,0.2526891294629326,1,9
68,2021-10-25T00:00:00Z,2021-10-27T08:00:00Z,14,2.333333,vtrend_ema21_d1_trail_stop,-1.679495,4.592678987216157,4.782367067182708,1.3656896126802938,0,103
69,2021-10-29T00:00:00Z,2021-11-06T08:00:00Z,50,8.333333,vtrend_ema21_d1_trail_stop,0.154368,5.99228103975112,2.0309404828626847,0.9742388584620839,1,72
70,2021-11-06T20:00:00Z,2021-11-12T08:00:00Z,33,5.5,vtrend_ema21_d1_trail_stop,5.204465,12.67771105311026,0.2246870375203685,0.5894791277228887,1,33
