branch_id,slow_period,e0_trade_id,entry_bar,exit_bar,entry_price_exec,exit_price_exec,bars_held,ATR_entry,MFE_R_final,MAE_R_final,realized_R,giveback_R,giveback_ratio,exit_reason,partial_exit_done,net_pnl_per_unit,gross_pnl_per_unit,cost_per_unit,time_from_peak_to_exit,entry_ER30_context_bin
E3,120,30,3095,3114,8442.75,8115.82,19,209.2428,1.778,1.7298,-0.8264,2.6044,1.4648,trail_stop,True,-172.9195,-131.0333,41.8862,24.0,<0.10
E4,120,30,3095,3114,8442.75,8115.82,19,209.2428,1.778,1.7298,-0.8264,2.6044,1.4648,trail_stop,True,-172.9195,-131.0333,41.8862,24.0,<0.10
E5,120,30,3095,3114,8442.75,8115.82,19,209.2428,1.778,1.7298,-1.7603,3.5383,1.99,trail_stop,False,-368.3264,-326.93,41.3964,24.0,<0.10
E0,120,31,3122,3140,7823.93,7910.04,18,212.8485,1.297,1.7823,0.2198,1.0773,0.8306,ema_cross_down,False,46.7751,86.11,39.3349,8.0,0.20-0.25
E1,120,31,3122,3140,7823.93,7910.04,18,212.8485,1.297,1.7823,0.2198,1.0773,0.8306,ema_cross_down,False,46.7751,86.11,39.3349,8.0,0.20-0.25
E2,120,31,3122,3140,7823.93,7910.04,18,212.8485,1.297,1.7823,0.2198,1.0773,0.8306,ema_cross_down,False,46.7751,86.11,39.3349,8.0,0.20-0.25
E3,120,31,3122,3140,7823.93,7910.04,18,212.8485,1.297,1.7823,0.2632,1.0338,0.7971,ema_cross_down,True,56.0219,95.38,39.3581,8.0,0.20-0.25
E4,120,31,3122,3140,7823.93,7910.04,18,212.8485,1.297,1.7823,0.2632,1.0338,0.7971,ema_cross_down,True,56.0219,95.38,39.3581,8.0,0.20-0.25
E5,120,31,3122,3140,7823.93,7910.04,18,212.8485,1.297,1.7823,0.2198,1.0773,0.8306,ema_cross_down,False,46.7751,86.11,39.3349,8.0,0.20-0.25
E0,120,32,3141,3143,7980.59,7809.25,2,173.7405,0.0324,1.3215,-1.2134,1.2458,38.4449,ema_cross_down,False,-210.8146,-171.34,39.4746,4.0,0.15-0.20
E1,120,32,3141,3143,7980.59,7809.25,2,173.7405,0.0324,1.3215,-1.2134,1.2458,38.4449,ema_cross_down,False,-210.8146,-171.34,39.4746,4.0,0.15-0.20
E2,120,32,3141,3143,7980.59,7809.25,2,173.7405,0.0324,1.3215,-1.2134,1.2458,38.4449,ema_cross_down,False,-210.8146,-171.34,39.4746,4.0,0.15-0.20
E3,120,32,3141,3143,7980.59,7809.25,2,173.7405,0.0324,1.3215,-1.2134,1.2458,38.4449,ema_cross_down,False,-210.8146,-171.34,39.4746,4.0,0.15-0.20
E4,120,32,3141,3143,7980.59,7809.25,2,173.7405,0.0324,1.3215,-1.2134,1.2458,38.4449,ema_cross_down,False,-210.8146,-171.34,39.4746,4.0,0.15-0.20
E5,120,32,3141,3143,7980.59,7809.25,2,173.7405,0.0324,1.3215,-1.2134,1.2458,38.4449,ema_cross_down,False,-210.8146,-171.34,39.4746,4.0,0.15-0.20
E0,120,33,3169,3256,8082.01,11830.0,87,153.5146,38.3546,0.4689,24.0903,14.2643,0.3719,trail_stop,False,3698.21,3747.99,49.78,20.0,<0.10
E1,120,33,3169,3191,8082.01,8924.39,22,153.5146,8.149,0.4689,5.2103,2.9387,0.3606,trail_stop,False,799.864,842.38,42.516,12.0,<0.10
E2,120,33,3169,3191,8082.01,8924.39,22,153.5146,8.149,0.4689,5.2103,2.9387,0.3606,trail_stop,False,799.864,842.38,42.516,12.0,<0.10
E3,120,33,3169,3256,8082.01,11830.0,87,153.5146,38.3546,0.4689,16.283,22.0716,0.5755,trail_stop,True,2499.6838,2546.46,46.7762,20.0,<0.10
E4,120,33,3169,3191,8082.01,8924.39,22,153.5146,8.149,0.4689,3.6964,4.4526,0.5464,trail_stop,True,567.4531,609.3867,41.9335,12.0,<0.10
E5,120,33,3169,3252,8082.01,13093.8,83,153.5146,38.3546,0.4689,32.3021,6.0525,0.1578,trail_stop,False,4958.8505,5011.79,52.9395,4.0,<0.10
E0,120,34,3266,3280,11873.61,10396.98,14,674.3555,0.5493,2.7042,-2.2723,2.8215,5.137,trail_stop,False,-1532.3065,-1476.63,55.6765,36.0,0.10-0.15
E1,120,34,3266,3280,11873.61,10396.98,14,674.3555,0.5493,2.7042,-2.2723,2.8215,5.137,trail_stop,False,-1532.3065,-1476.63,55.6765,36.0,0.10-0.15
