branch_id,slow_period,fold,cagr,mdd,sharpe,sortino,mar,ulcer_index,n_days,trade_count,win_rate,profit_factor,avg_holding_bars,total_cost,skew,tail_ratio,exposure,mean_MFE_R,median_MFE_R,mean_realized_R,median_realized_R,mean_giveback_R,median_giveback_R,mean_giveback_ratio,median_giveback_ratio,pct_MFE1_loss,pct_MFE1_retained_low,pct_MFE2_retained_low,mean_time_peak_to_exit,exit_reason_mix,top5_pnl_pct,top10_pnl_pct,top10_mean_size,n_partials,partial_frac_of_trades
E1,120,3,73.76570998778156,11.085694173545079,1.8620935939736074,1.3747012361492559,6.654135395852448,7.808831449503723,181,14,57.14,2.3948,24.4,5882.42,0.6748,2.2436,0.3132,3.9061,2.5958,1.0901,0.3439,2.816,2.7752,1.4782,0.881,38.46,61.54,44.44,30.0,{'trail_stop': 14},49.07,85.07,9178.0127,0,0.0
E1,120,4,6.305550174974095,8.939671351884847,0.4474513930299509,0.22776660026503798,0.7053447410731299,6.642122265009198,180,8,50.0,1.2582,21.6,3404.16,1.1716,1.9491,0.1593,3.0717,2.3211,0.3896,-0.016,2.682,2.7469,2.1821,1.0273,42.86,71.43,50.0,29.5,"{'trail_stop': 7, 'ema_cross_down': 1}",311.62,311.62,7767.473,0,0.0
E1,120,5,-30.70413937424963,17.42282227046892,-1.5163819461053771,-0.816551885051394,-1.762294242436949,8.839607629634017,182,13,23.08,0.4267,16.4,5455.46,1.6858,0.8865,0.194,2.4432,1.6904,-0.6885,-1.1691,3.1317,2.5737,2.5694,1.7956,66.67,88.89,83.33,28.0,"{'trail_stop': 11, 'ema_cross_down': 2}",53.95,64.22,4931.8476,0,0.0
E1,120,6,-28.785220592676453,23.94178485564916,-1.2347245765937567,-0.8410852783773696,-1.2023005288131,16.60184295619216,183,20,25.0,0.5393,14.9,7768.21,1.3046,0.7733,0.2708,2.8002,1.7041,-0.3259,-0.538,3.1261,2.9419,2.2212,1.3975,61.54,84.62,77.78,28.8,"{'trail_stop': 16, 'ema_cross_down': 4}",63.1,85.04,5584.1307,0,0.0
E1,120,7,2.4223147584245375,25.959279858708385,0.2404783075064809,0.21919049608636051,0.0933120938488569,9.655401685157555,181,22,31.82,1.0411,19.6,8570.6,2.3709,1.4762,0.3956,4.9502,1.7305,1.3741,-0.4135,3.576,2.9419,2.835,1.2446,58.82,76.47,60.0,25.82,"{'trail_stop': 19, 'ema_cross_down': 3}",1838.87,2087.36,8067.2718,0,0.0
E1,120,8,3.586453300944825,31.410632153953777,0.2803762319221889,0.2669689240625531,0.11417959636617452,20.768895739469453,180,22,31.82,1.0583,21.9,8638.35,1.8935,2.2237,0.4438,5.1094,1.8086,1.385,-1.2932,3.7243,3.3098,3.8294,1.8912,61.11,72.22,50.0,23.09,"{'trail_stop': 20, 'ema_cross_down': 2}",1074.04,1414.35,9789.9556,0,0.0
E1,120,9,-26.158290383579054,19.628147550269116,-1.2491358171312033,-0.8966443882290372,-1.3326927727940585,15.129346618742428,182,18,27.78,0.5542,20.0,6349.08,2.6062,1.7784,0.3279,2.6801,1.759,-0.6472,-1.9226,3.3273,3.2462,4.6449,1.8912,58.33,83.33,75.0,26.22,"{'trail_stop': 14, 'ema_cross_down': 4}",77.35,118.09,6144.3683,0,0.0
E1,120,10,59.887884559784666,12.00944625272048,1.681870547208166,1.674687212430092,4.986731552773998,6.97388426752276,183,24,50.0,2.1597,27.2,9222.61,2.6537,5.6978,0.5906,4.1362,3.1527,0.8935,0.0489,3.2427,3.1736,2.4179,0.9812,40.0,80.0,76.47,35.5,"{'trail_stop': 21, 'ema_cross_down': 3}",134.19,148.95,9706.218,0,0.0
E1,120,11,251.7685293535133,13.329913159983132,3.054796957024852,3.40944616088904,18.887484586871224,5.767488335047972,182,28,57.14,2.9542,30.6,13291.95,2.0794,4.1037,0.7805,5.3542,3.2541,2.2269,0.6608,3.1273,3.1736,2.2383,0.8178,36.0,68.0,60.0,35.86,"{'trail_stop': 25, 'ema_cross_down': 3}",70.19,91.16,18427.6894,0,0.0
E1,120,12,32.02373174783357,22.46676144477686,0.8907436685794411,0.7920646700088714,1.4253826403305914,15.018139514816816,181,26,42.31,1.3384,22.3,14655.38,2.8087,1.9379,0.5321,3.6189,2.2279,0.6617,-0.2257,2.9572,2.7585,4.2295,1.0974,42.11,57.89,46.15,25.08,"{'trail_stop': 21, 'ema_cross_down': 5}",226.59,268.37,15457.8851,0,0.0
E1,120,13,-15.146130976799544,16.121415605274557,-0.5439197758970555,-0.3800652815310065,-0.9395037847572193,9.446472735521947,182,21,38.1,0.6053,17.3,11831.38,0.052,0.8009,0.3306,2.3446,1.6902,-0.5331,-0.278,2.8777,2.8451,3.6737,1.0816,50.0,62.5,50.0,22.1,"{'trail_stop': 17, 'ema_cross_down': 4}",64.5,88.54,4350.9249,0,0.0
E1,120,14,139.96078523713925,13.865238371968925,2.719130711230288,3.080286409853038,10.094365598509663,5.145780383039702,183,21,57.14,3.6171,27.6,12843.03,2.4331,2.818,0.5245,4.6636,3.5406,1.5728,0.8921,3.0908,2.8618,4.126,0.7758,33.33,55.56,38.46,32.38,"{'trail_stop': 17, 'ema_cross_down': 4}",68.91,87.15,17548.7804,0,0.0
E1,120,15,93.33121193445089,15.806806992100375,2.0827349704042084,2.1202432781265625,5.904494942026823,7.351823461226228,181,22,45.45,1.8207,23.0,15901.8,2.4211,2.0391,0.4625,4.1888,2.2314,0.9173,-0.3597,3.2714,3.048,7.8282,1.1922,41.18,58.82,41.67,29.82,"{'trail_stop': 18, 'ema_cross_down': 4}",115.18,145.68,17548.7804,0,0.0
E1,120,16,-2.6094370866476035,17.281689629612284,0.027248151270912232,0.02242379685396257,-0.15099432651401842,9.969072850083807,180,21,42.86,0.9864,19.8,17446.99,0.918,1.6688,0.3821,3.4422,2.3963,0.3658,-0.3706,3.0764,2.8148,19.4392,1.1832,47.06,70.59,58.33,35.43,"{'trail_stop': 18, 'ema_cross_down': 3}",3726.18,5038.44,11277.0127,0,0.0
