label,trade_id,entry_time,exit_time,entry_price,exit_price,qty,pnl,return_pct,days_held,entry_reason,exit_reason,regime
candidate,32,1733932800000,1734566400000,101573.637407,100103.831041,0.18329148,-296.925258,-1.447035,7.333333,vdo_trend_accel,trailing_stop,AnalyticalRegime.BULL
candidate,33,1734825600000,1736280000000,95941.753766,96355.562123,0.19238858,51.805438,0.431312,16.833333,vdo_trend,trailing_stop,AnalyticalRegime.BULL
candidate,34,1736539200000,1737633600000,96062.728526,101842.580986,0.18985266,1068.317728,6.016748,12.666667,vdo_trend_accel,trailing_stop,AnalyticalRegime.CHOP
candidate,35,1737734400000,1738526400000,105225.295224,98174.921398,0.1825816,-1314.155913,-6.700265,9.166667,vdo_trend_accel,emergency_dd,AnalyticalRegime.CHOP
candidate,36,1738699200000,1740470400000,98014.963119,89230.71232,0.18078317,-1612.241845,-8.962153,20.5,vdo_trend_accel,emergency_dd,AnalyticalRegime.CHOP
candidate,37,1740686400000,1741075200000,85214.513887,83103.234397,0.19029897,-425.496006,-2.477606,4.5,vdo_dip_buy,trailing_stop,AnalyticalRegime.NEUTRAL
candidate,38,1741176000000,1741320000000,90492.797084,86904.290488,0.16368513,-608.722579,-3.965516,1.666667,vdo_trend_accel,emergency_dd,AnalyticalRegime.BULL
candidate,39,1743264000000,1743926400000,82564.546637,82941.965786,0.13534375,34.242807,0.45712,7.666667,vdo_dip_buy,trailing_stop,AnalyticalRegime.NEUTRAL
candidate,40,1745208000000,1746403200000,88259.020888,94183.355959,0.17546243,1014.70974,6.712441,13.833333,vdo_trend_accel,trailing_stop,AnalyticalRegime.CHOP
candidate,41,1746561600000,1748174400000,96444.429154,107152.756825,0.17302718,1825.021196,11.103106,18.666667,vdo_trend_accel,trailing_stop,AnalyticalRegime.BULL
candidate,42,1748880000000,1752566400000,105203.711473,116662.380065,0.17804499,2009.001834,10.891886,42.666667,vdo_trend,trailing_stop,AnalyticalRegime.BULL
candidate,43,1753084800000,1754078400000,118895.179204,113215.369662,0.16882003,-987.535134,-4.777157,11.5,vdo_trend_accel,emergency_dd,AnalyticalRegime.BULL
candidate,44,1754251200000,1755273600000,116074.618792,117157.984089,0.16939375,153.74656,0.933335,11.833333,vdo_trend_accel,trailing_stop,AnalyticalRegime.BULL
candidate,45,1755734400000,1756152000000,113933.113412,110605.441549,0.17393434,-607.653529,-2.920724,4.833333,vdo_trend_accel,emergency_dd,AnalyticalRegime.BULL
candidate,46,1756324800000,1758427200000,111159.886121,115553.779497,0.17028302,718.690169,3.952769,24.333333,vdo_trend_accel,trailing_stop,AnalyticalRegime.BULL
candidate,47,1758715200000,1760112000000,110740.592253,118900.000765,0.17351715,1384.850523,7.368038,16.166667,vdo_trend_accel,trailing_stop,AnalyticalRegime.TOPPING
candidate,48,1760284800000,1760630400000,114331.346938,108440.687927,0.14833708,-897.931829,-5.152269,4.0,vdo_trend_accel,emergency_dd,AnalyticalRegime.BULL
candidate,49,1760846400000,1761782400000,109406.925556,109911.306205,0.17811842,60.473642,0.461013,10.833333,vdo_trend_accel,trailing_stop,AnalyticalRegime.BULL
candidate,50,1762372800000,1763064000000,103734.738031,98583.472541,0.12640779,-669.852652,-4.965806,8.0,vdo_trend_accel,emergency_dd,AnalyticalRegime.NEUTRAL
