entry_bar_idx,entry_fill_bar_idx,entry_ts_ms,exit_ts_ms,entry_fill_price,exit_fill_price,qty,return_pct,pnl_usd
10571,10572,1667001600000,1667419200000,20612.436988,20230.434383,5.83443400,-1.853263,-2405.818688
10602,10603,1667448000000,1667808000000,20330.945708,20614.470059,5.78819927,1.394546,1462.114451
10806,10807,1670385600000,1670400000000,17041.999226,16746.271161,6.98059148,-1.735290,-2239.705133
10819,10820,1670572800000,1671120000000,17228.865953,17411.005927,6.76473465,1.057179,1055.457342
11003,11004,1673222400000,1675108800000,17144.962112,22762.080836,6.84912693,32.762503,38238.508579
11139,11140,1675180800000,1675627200000,23144.927580,22869.763073,6.71565637,-1.188876,-2078.288481
11174,11175,1675684800000,1675972800000,22901.113950,22008.964518,6.68637360,-3.895660,-6185.984647
11232,11233,1676520000000,1676592000000,24756.337783,23494.208159,5.92653652,-5.098208,-7688.916235
11243,11244,1676678400000,1677081600000,24592.814382,23691.230989,5.64482732,-3.666044,-5289.881933
11274,11275,1677124800000,1677268800000,24479.310964,23159.093526,5.44673461,-5.393197,-7380.086161
11298,11299,1677470400000,1677816000000,23575.547878,22297.375890,5.33449230,-5.421600,-6996.816398
11391,11392,1678809600000,1678910400000,25920.571144,24345.606122,4.57508742,-6.076120,-7372.677566
11399,11400,1678924800000,1679515200000,24309.951731,26642.137867,4.56807270,9.593545,10471.040989
11443,11444,1679558400000,1679932800000,27659.568838,26876.733096,4.38686014,-2.830253,-3611.047613
11471,11472,1679961600000,1681027200000,27152.031681,27875.113966,4.32937346,2.663087,2949.470584
11546,11547,1681041600000,1681718400000,27958.137183,29808.469160,4.30358699,6.618223,7770.639618
11599,11600,1681804800000,1681905600000,29805.393054,29281.336688,4.29113840,-1.758260,-2437.273797
11671,11672,1682841600000,1682956800000,29295.703747,28142.476403,4.27618613,-3.936507,-5111.928469
11694,11695,1683172800000,1683504000000,29125.954124,28401.667018,4.11941803,-2.486741,-3159.138873
11849,11850,1685404800000,1685534400000,27764.133324,27070.089594,4.20138704,-2.499785,-3086.544214
11978,11979,1687262400000,1687982400000,26934.904717,30069.897535,4.20982513,11.639146,13007.888030
